subpart_id,part_id,subpart_number,subpart_title,source_document
SUBPART-209.3,PART-209,209.3,Reserved,KB 2/USA/DFARS.pdf
SUBPART-209.4,PART-209,209.4,"DEBARMENT, SUSPENSION, AND INELIGIBILITY",KB 2/USA/DFARS.pdf
SUBPART-209.5,PART-209,209.5,ORGANIZATIONAL AND CONSULTANT CONFLICTS OF INTEREST,KB 2/USA/DFARS.pdf
SUBPART-211.1,PART-211,211.1,SELECTING AND DEVELOPING REQUIREMENTS DOCUMENTS,KB 2/USA/DFARS.pdf
SUBPART-211.2,PART-211,211.2,USING AND MAINTAINING REQUIREMENTS DOCUMENTS,KB 2/USA/DFARS.pdf
SUBPART-211.5,PART-211,211.5,LIQUIDATED DAMAGES,KB 2/USA/DFARS.pdf
SUBPART-211.6,PART-211,211.6,PRIORITIES AND ALLOCATIONS,KB 2/USA/DFARS.pdf
SUBPART-211.70,PART-211,211.70,PURCHASE REQUESTS,KB 2/USA/DFARS.pdf
SUBPART-212.1,PART-212,212.1,ACQUISITION OF COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES,KB 2/USA/DFARS.pdf
SUBPART-212.2,PART-212,212.2,SPECIAL REQUIREMENTS FOR THE ACQUISITION OF COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES,KB 2/USA/DFARS.pdf
SUBPART-212.3,PART-212,212.3,SOLICITATION PROVISIONS AND CONTRACT CLAUSES FOR THE ACQUISITION OF COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES,KB 2/USA/DFARS.pdf
SUBPART-212.5,PART-212,212.5,"APPLICABILITY OF CERTAIN LAWS TO THE ACQUISITION OFCOMMERCIAL PRODUCTS, COMMERCIAL SERVICES, AND COMMERCIALLY AVAILABLEOFF-THE-SHELF ITEMS",KB 2/USA/DFARS.pdf
SUBPART-212.6,PART-212,212.6,STREAMLINED PROCEDURES FOR EVALUATION AND SOLICITATION FOR COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES,KB 2/USA/DFARS.pdf
SUBPART-212.70,PART-212,212.70,DEFENSE COMMERCIAL SOLUTIONS OPENING,KB 2/USA/DFARS.pdf
SUBPART-212.71,PART-212,212.71,RESERVED,KB 2/USA/DFARS.pdf
SUBPART-213.0,PART-213,213.0,Reserved,KB 2/USA/DFARS.pdf
SUBPART-213.1,PART-213,213.1,PROCEDURES,KB 2/USA/DFARS.pdf
SUBPART-213.2,PART-213,213.2,ACTIONS AT OR BELOW THE MICRO-PURCHASE THRESHOLD,KB 2/USA/DFARS.pdf
SUBPART-213.3,PART-213,213.3,SIMPLIFIED ACQUISITION METHODS,KB 2/USA/DFARS.pdf
SUBPART-213.4,PART-213,213.4,FAST PAYMENT PROCEDURE,KB 2/USA/DFARS.pdf
SUBPART-213.5,PART-213,213.5,SIMPLIFIED PROCEDURES FOR CERTAIN COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES,KB 2/USA/DFARS.pdf
SUBPART-213.70,PART-213,213.70,SIMPLIFIED ACQUISITION PROCEDURES UNDER THE 8(A) PROGRAM,KB 2/USA/DFARS.pdf
SUBPART-214.2,PART-214,214.2,SOLICITATION OF BIDS,KB 2/USA/DFARS.pdf
SUBPART-214.4,PART-214,214.4,OPENING OF BIDS AND AWARD OF CONTRACT,KB 2/USA/DFARS.pdf
SUBPART-214.5,PART-214,214.5,TWO-STEP SEALED BIDDING,KB 2/USA/DFARS.pdf
SUBPART-215.1,PART-215,215.1,SOURCE SELECTION PROCESSES AND TECHNIQUES,KB 2/USA/DFARS.pdf
SUBPART-215.2,PART-215,215.2,SOLICITATION AND RECEIPT OF PROPOSALS AND INFORMATION,KB 2/USA/DFARS.pdf
SUBPART-215.3,PART-215,215.3,SOURCE SELECTION,KB 2/USA/DFARS.pdf
SUBPART-215.4,PART-215,215.4,CONTRACT PRICING,KB 2/USA/DFARS.pdf
SUBPART-215.5,PART-215,215.5,"PREAWARD, AWARD, AND POSTAWARD NOTIFICATIONS, PROTESTS, AND MISTAKES",KB 2/USA/DFARS.pdf
SUBPART-215.6,PART-215,215.6,UNSOLICITED PROPOSALS,KB 2/USA/DFARS.pdf
SUBPART-216.1,PART-216,216.1,SELECTING CONTRACT TYPES,KB 2/USA/DFARS.pdf
SUBPART-216.2,PART-216,216.2,FIXED-PRICE CONTRACTS,KB 2/USA/DFARS.pdf
SUBPART-216.3,PART-216,216.3,COST-REIMBURSEMENT CONTRACTS,KB 2/USA/DFARS.pdf
SUBPART-216.4,PART-216,216.4,INCENTIVE CONTRACTS,KB 2/USA/DFARS.pdf
SUBPART-216.5,PART-216,216.5,INDEFINITE-DELIVERY CONTRACTS,KB 2/USA/DFARS.pdf
SUBPART-216.6,PART-216,216.6,"TIME-AND-MATERIALS, LABOR-HOUR, AND LETTER CONTRACTS",KB 2/USA/DFARS.pdf
SUBPART-216.7,PART-216,216.7,AGREEMENTS,KB 2/USA/DFARS.pdf
SUBPART-217.1,PART-217,217.1,MULTIYEAR CONTRACTING,KB 2/USA/DFARS.pdf
SUBPART-217.2,PART-217,217.2,OPTIONS,KB 2/USA/DFARS.pdf
SUBPART-217.4,PART-217,217.4,Reserved,KB 2/USA/DFARS.pdf
SUBPART-217.5,PART-217,217.5,INTERAGENCY ACQUISITIONS,KB 2/USA/DFARS.pdf
SUBPART-217.6,PART-217,217.6,MANAGEMENT AND OPERATING CONTRACTS,KB 2/USA/DFARS.pdf
SUBPART-217.7,PART-217,217.7,INTERAGENCY ACQUISITIONS: ACQUISITIONS BY NONDEFENSE AGENCIES ON BEHALF OF THE DEPARTMENT OF DEFENSE,KB 2/USA/DFARS.pdf
SUBPART-217.70,PART-217,217.70,EXCHANGE OF PERSONAL PROPERTY,KB 2/USA/DFARS.pdf
SUBPART-217.71,PART-217,217.71,MASTER AGREEMENT FOR REPAIR AND ALTERATION OF VESSELS,KB 2/USA/DFARS.pdf
SUBPART-217.72,PART-217,217.72,Reserved,KB 2/USA/DFARS.pdf
SUBPART-217.73,PART-217,217.73,IDENTIFICATION OF SOURCES OF SUPPLY,KB 2/USA/DFARS.pdf
SUBPART-217.74,PART-217,217.74,UNDEFINITIZED CONTRACT ACTIONS,KB 2/USA/DFARS.pdf
SUBPART-217.75,PART-217,217.75,ACQUISITION OF REPLENISHMENT PARTS,KB 2/USA/DFARS.pdf
SUBPART-217.76,PART-217,217.76,CONTRACTS WITH PROVISIONING REQUIREMENTS,KB 2/USA/DFARS.pdf
SUBPART-217.77,PART-217,217.77,OVER AND ABOVE WORK,KB 2/USA/DFARS.pdf
SUBPART-217.78,PART-217,217.78,REVERSE AUCTIONS,KB 2/USA/DFARS.pdf
SUBPART-218.1,PART-218,218.1,AVAILABLE ACQUISITION FLEXIBILITIES,KB 2/USA/DFARS.pdf
SUBPART-218.2,PART-218,218.2,EMERGENCY ACQUISITION FLEXIBILITIES,KB 2/USA/DFARS.pdf
SUBPART-219.0,PART-219,219.0,Reserved,KB 2/USA/DFARS.pdf
SUBPART-219.2,PART-219,219.2,POLICIES,KB 2/USA/DFARS.pdf
SUBPART-219.3,PART-219,219.3,DETERMINATION OF SMALL BUSINESS STATUS FOR SMALL BUSINESS PROGRAMS,KB 2/USA/DFARS.pdf
SUBPART-219.4,PART-219,219.4,COOPERATION WITH THE SMALL BUSINESS ADMINISTRATION,KB 2/USA/DFARS.pdf
SUBPART-219.5,PART-219,219.5,"SMALL BUSINESS TOTALSET- ASIDES, PARTIAL SET-ASIDES, AND RESERVES",KB 2/USA/DFARS.pdf
SUBPART-219.6,PART-219,219.6,CERTIFICATES OF COMPETENCY AND DETERMINATIONS OF RESPONSIBILITY,KB 2/USA/DFARS.pdf
SUBPART-219.7,PART-219,219.7,THE SMALL BUSINESS SUBCONTRACTING PROGRAM,KB 2/USA/DFARS.pdf
SUBPART-219.8,PART-219,219.8,CONTRACTING WITH THE SMALL BUSINESS ADMINISTRATION (THE 8(A) PROGRAM),KB 2/USA/DFARS.pdf
SUBPART-219.10,PART-219,219.10,Reserved,KB 2/USA/DFARS.pdf
SUBPART-219.11,PART-219,219.11,Reserved,KB 2/USA/DFARS.pdf
SUBPART-219.12,PART-219,219.12,Reserved,KB 2/USA/DFARS.pdf
SUBPART-219.13,PART-219,219.13,HISTORICALLY UNDERUTILIZED BUSINESS ZONE (HUBZONE) PROGRAM,KB 2/USA/DFARS.pdf
SUBPART-219.70,PART-219,219.70,RESERVED,KB 2/USA/DFARS.pdf
SUBPART-219.71,PART-219,219.71,PILOT MENTOR-PROTEGE PROGRAM,KB 2/USA/DFARS.pdf
SUBPART-219.72,PART-219,219.72,(REMOVED),KB 2/USA/DFARS.pdf
SUBPART-222.1,PART-222,222.1,BASIC LABOR POLICIES,KB 2/USA/DFARS.pdf
SUBPART-222.3,PART-222,222.3,CONTRACT WORK HOURS AND SAFETY STANDARDS,KB 2/USA/DFARS.pdf
SUBPART-222.4,PART-222,222.4,LABOR STANDARDS FOR CONTRACTS INVOLVING CONSTRUCTION,KB 2/USA/DFARS.pdf
SUBPART-222.6,PART-222,222.6,"CONTRACTS FOR MATERIALS, SUPPLIES, ARTICLES, AND EQUIPMENT",KB 2/USA/DFARS.pdf
SUBPART-222.8,PART-222,222.8,EQUAL EMPLOYMENT OPPORTUNITY,KB 2/USA/DFARS.pdf
SUBPART-222.10,PART-222,222.10,SERVICE CONTRACT LABOR STANDARDS,KB 2/USA/DFARS.pdf
SUBPART-222.13,PART-222,222.13,EQUAL OPPORTUNITY FOR VETERANS,KB 2/USA/DFARS.pdf
SUBPART-222.14,PART-222,222.14,EMPLOYMENT OF WORKERS WITH DISABILITIES,KB 2/USA/DFARS.pdf
SUBPART-222.17,PART-222,222.17,COMBATING TRAFFICKING IN PERSONS,KB 2/USA/DFARS.pdf
SUBPART-222.70,PART-222,222.70,RESTRICTIONS ON THE EMPLOYMENT OF PERSONNEL FOR WORK ON CONSTRUCTION AND SERVICE CONTRACTS IN NONCONTIGUOUS STATES,KB 2/USA/DFARS.pdf
SUBPART-222.71,PART-222,222.71,RESERVED,KB 2/USA/DFARS.pdf
SUBPART-222.72,PART-222,222.72,COMPLIANCE WITH LABOR LAWS OF FOREIGN GOVERNMENTS,KB 2/USA/DFARS.pdf
SUBPART-222.73,PART-222,222.73,LIMITATIONS APPLICABLE TO CONTRACTS PERFORMED ON GUAM,KB 2/USA/DFARS.pdf
SUBPART-222.74,PART-222,222.74,RESTRICTIONS ON THE USE OF MANDATORYARBITRATION AGREEMENTS,KB 2/USA/DFARS.pdf
SUBPART-223.1,PART-223,223.1,SUSTAINABLE PRODUCTS AND SERVICES,KB 2/USA/DFARS.pdf
SUBPART-223.2,PART-223,223.2,ENERGY AND WATER EFFICIENCY AND RENEWABLE ENERGY,KB 2/USA/DFARS.pdf
SUBPART-223.3,PART-223,223.3,"HAZARDOUS MATERIAL IDENTIFICATION, MATERIAL SAFETY DATA, AND NOTICE OF RADIOACTIVE MATERIALS",KB 2/USA/DFARS.pdf
SUBPART-223.4,PART-223,223.4,Reserved,KB 2/USA/DFARS.pdf
SUBPART-223.5,PART-223,223.5,Reserved,KB 2/USA/DFARS.pdf
SUBPART-223.7,PART-223,223.7,CONTRACTING FOR ENVIRONMENTALLY PREFERABLE PRODUCTS AND SERVICES,KB 2/USA/DFARS.pdf
SUBPART-223.70,PART-223,223.70,RESERVED,KB 2/USA/DFARS.pdf
SUBPART-223.71,PART-223,223.71,"STORAGE, TREATMENT, AND DISPOSAL OF TOXIC OR HAZARDOUS MATERIALS",KB 2/USA/DFARS.pdf
SUBPART-223.72,PART-223,223.72,"SAFEGUARDING SENSITIVE CONVENTIONAL ARMS, AMMUNITION, AND EXPLOSIVES",KB 2/USA/DFARS.pdf
SUBPART-223.73,PART-223,223.73,MINIMIZING THE USE OF MATERIALS CONTAINING HEXAVALENT CHROMIUM,KB 2/USA/DFARS.pdf
SUBPART-223.74,PART-223,223.74,PROHIBITION ON PROCUREMENT OF CERTAIN ITEMS CONTAINING PERFLUOROALKYL OR POLYFLUOROALKYL SUBSTANCES,KB 2/USA/DFARS.pdf
SUBPART-224.1,PART-224,224.1,PROTECTION OF INDIVIDUAL PRIVACY,KB 2/USA/DFARS.pdf
SUBPART-224.2,PART-224,224.2,FREEDOM OF INFORMATION ACT,KB 2/USA/DFARS.pdf
SUBPART-225.1,PART-225,225.1,BUY AMERICAN—SUPPLIES,KB 2/USA/DFARS.pdf
SUBPART-225.2,PART-225,225.2,BUY AMERICAN—CONSTRUCTIONMATERIALS,KB 2/USA/DFARS.pdf
SUBPART-225.3,PART-225,225.3,CONTRACTS PERFORMED OUTSIDE THE UNITED STATES,KB 2/USA/DFARS.pdf
SUBPART-225.4,PART-225,225.4,TRADE AGREEMENTS,KB 2/USA/DFARS.pdf
SUBPART-225.5,PART-225,225.5,EVALUATING FOREIGN OFFERS—SUPPLY CONTRACTS,KB 2/USA/DFARS.pdf
SUBPART-225.6,PART-225,225.6,Reserved,KB 2/USA/DFARS.pdf
SUBPART-225.7,PART-225,225.7,PROHIBITED SOURCES,KB 2/USA/DFARS.pdf
SUBPART-225.8,PART-225,225.8,OTHER INTERNATIONAL AGREEMENTS AND COORDINATION,KB 2/USA/DFARS.pdf
SUBPART-225.9,PART-225,225.9,CUSTOMS AND DUTIES,KB 2/USA/DFARS.pdf
SUBPART-225.10,PART-225,225.10,ADDITIONAL FOREIGN ACQUISITION REGULATIONS,KB 2/USA/DFARS.pdf
SUBPART-225.11,PART-225,225.11,SOLICITATION PROVISIONS AND CONTRACT CLAUSES,KB 2/USA/DFARS.pdf
SUBPART-225.70,PART-225,225.70,"AUTHORIZATION ACTS, APPROPRIATIONS ACTS, AND OTHER STATUTORY RESTRICTIONS ON FOREIGN ACQUISITION",KB 2/USA/DFARS.pdf
SUBPART-225.71,PART-225,225.71,OTHER RESTRICTIONS ON FOREIGN ACQUISITION,KB 2/USA/DFARS.pdf
SUBPART-225.72,PART-225,225.72,REPORTING CONTRACT PERFORMANCE OUTSIDE THE UNITED STATES,KB 2/USA/DFARS.pdf
SUBPART-225.73,PART-225,225.73,ACQUISITIONS FOR FOREIGN MILITARY SALES,KB 2/USA/DFARS.pdf
SUBPART-225.74,PART-225,225.74,Reserved,KB 2/USA/DFARS.pdf
SUBPART-225.75,PART-225,225.75,BALANCE OF PAYMENTS PROGRAM,KB 2/USA/DFARS.pdf
SUBPART-225.76,PART-225,225.76,SECONDARY ARAB BOYCOTT OF ISRAEL,KB 2/USA/DFARS.pdf
SUBPART-225.77,PART-225,225.77,ACQUISITIONS IN SUPPORT OF OPERATIONS IN AFGHANISTAN,KB 2/USA/DFARS.pdf
SUBPART-225.78,PART-225,225.78,ACQUISITIONS IN SUPPORT OF GEOGRAPHIC COMBATANT COMMANDS THEATER SECURITY COOPERATION EFFORTS,KB 2/USA/DFARS.pdf
SUBPART-225.79,PART-225,225.79,EXPORT CONTROL,KB 2/USA/DFARS.pdf
DFARS-SP226.1,DFARS-P226,226.1,INDIAN INCENTIVE PROGRAM,KB 2/USA/DFARS.pdf
DFARS-SP226.3,DFARS-P226,226.3,Reserved,KB 2/USA/DFARS.pdf
DFARS-SP226.5,DFARS-P226,226.5,DRUG-FREE WORKPLACE,KB 2/USA/DFARS.pdf
DFARS-SP226.70,DFARS-P226,226.70,RESERVED,KB 2/USA/DFARS.pdf
DFARS-SP226.71,DFARS-P226,226.71,PREFERENCE FOR LOCAL AND SMALL BUSINESSES,KB 2/USA/DFARS.pdf
DFARS-SP226.72,DFARS-P226,226.72,DEMONSTRATIONPROJECT FOR,KB 2/USA/DFARS.pdf
DFARS-SP227.3,DFARS-P227,227.3,PATENT RIGHTS UNDER GOVERNMENT CONTRACTS,KB 2/USA/DFARS.pdf
DFARS-SP227.4,DFARS-P227,227.4,RIGHTS IN DATA AND COPYRIGHTS,KB 2/USA/DFARS.pdf
DFARS-SP227.6,DFARS-P227,227.6,FOREIGN LICENSE AND TECHNICAL ASSISTANCE AGREEMENTS,KB 2/USA/DFARS.pdf
DFARS-SP227.70,DFARS-P227,227.70,"INFRINGEMENT CLAIMS, LICENSES, AND ASSIGNMENTS",KB 2/USA/DFARS.pdf
DFARS-SP227.71,DFARS-P227,227.71,TECHNICAL DATA AND ASSOCIATED RIGHTS,KB 2/USA/DFARS.pdf
DFARS-SP227.72,DFARS-P227,227.72,"COMPUTER SOFTWARE, COMPUTER",KB 2/USA/DFARS.pdf
DFARS-SP228.1,DFARS-P228,228.1,BONDS AND OTHERFINANCIAL PROTECTIONS,KB 2/USA/DFARS.pdf
DFARS-SP228.3,DFARS-P228,228.3,INSURANCE,KB 2/USA/DFARS.pdf
DFARS-SP229.1,DFARS-P229,229.1,GENERAL,KB 2/USA/DFARS.pdf
DFARS-SP229.2,DFARS-P229,229.2,FEDERAL EXCISE TAXES,KB 2/USA/DFARS.pdf
DFARS-SP229.4,DFARS-P229,229.4,CONTRACT CLAUSES,KB 2/USA/DFARS.pdf
DFARS-SP229.70,DFARS-P229,229.70,SPECIAL PROCEDURES FOR OVERSEAS CONTRACTS,KB 2/USA/DFARS.pdf
DFARS-SP230.2,DFARS-P230,230.2,CAS PROGRAM REQUIREMENTS,KB 2/USA/DFARS.pdf
DFARS-SP230.70,DFARS-P230,230.70,Reserved,KB 2/USA/DFARS.pdf
DFARS-SP230.71,DFARS-P230,230.71,Reserved,KB 2/USA/DFARS.pdf
DFARS-SP231.1,DFARS-P231,231.1,APPLICABILITY,KB 2/USA/DFARS.pdf
DFARS-SP231.2,DFARS-P231,231.2,CONTRACTS WITH COMMERCIAL ORGANIZATIONS,KB 2/USA/DFARS.pdf
DFARS-SP231.3,DFARS-P231,231.3,CONTRACTS WITH EDUCATIONAL INSTITUTIONS,KB 2/USA/DFARS.pdf
DFARS-SP231.6,DFARS-P231,231.6,"CONTRACTS WITH STATE, LOCAL, AND FEDERALLY",KB 2/USA/DFARS.pdf
DFARS-SP231.7,DFARS-P231,231.7,CONTRACTS WITH NONPROFIT ORGANIZATIONS,KB 2/USA/DFARS.pdf
DFARS-SP232.1,DFARS-P232,232.1,FINANCING FOR OTHER THAN A COMMERCIAL PURCHASE,KB 2/USA/DFARS.pdf
DFARS-SP232.2,DFARS-P232,232.2,COMMERCIAL PRODUCT AND,KB 2/USA/DFARS.pdf
DFARS-SP232.3,DFARS-P232,232.3,LOAN GUARANTEES FOR DEFENSE PRODUCTION,KB 2/USA/DFARS.pdf
DFARS-SP232.4,DFARS-P232,232.4,ADVANCE PAYMENTS FOR,KB 2/USA/DFARS.pdf
DFARS-SP232.5,DFARS-P232,232.5,PROGRESS PAYMENTS BASED ON COSTS,KB 2/USA/DFARS.pdf
DFARS-SP232.6,DFARS-P232,232.6,CONTRACT DEBTS,KB 2/USA/DFARS.pdf
DFARS-SP232.7,DFARS-P232,232.7,CONTRACT FUNDING,KB 2/USA/DFARS.pdf
DFARS-SP232.8,DFARS-P232,232.8,ASSIGNMENT OF CLAIMS,KB 2/USA/DFARS.pdf
DFARS-SP232.9,DFARS-P232,232.9,PROMPT PAYMENT,KB 2/USA/DFARS.pdf
DFARS-SP232.10,DFARS-P232,232.10,PERFORMANCE-BASED PAYMENTS,KB 2/USA/DFARS.pdf
DFARS-SP232.11,DFARS-P232,232.11,ELECTRONIC FUNDS TRANSFER,KB 2/USA/DFARS.pdf
DFARS-SP232.70,DFARS-P232,232.70,ELECTRONIC SUBMISSION AND PROCESSING,KB 2/USA/DFARS.pdf
DFARS-SP232.71,DFARS-P232,232.71,LEVIES ON CONTRACT PAYMENTS,KB 2/USA/DFARS.pdf
DFARS-SP232.72,DFARS-P232,232.72,Reserved,KB 2/USA/DFARS.pdf
DFARS-SP233.1,DFARS-P233,233.1,PROTESTS,KB 2/USA/DFARS.pdf
DFARS-SP233.2,DFARS-P233,233.2,DISPUTES AND APPEALS,KB 2/USA/DFARS.pdf
DFARS-SP234.2,DFARS-P234,234.2,EARNED VALUE MANAGEMENT SYSTEM,KB 2/USA/DFARS.pdf
DFARS-SP234.70,DFARS-P234,234.70,ACQUISITION OF MAJOR,KB 2/USA/DFARS.pdf
DFARS-SP234.71,DFARS-P234,234.71,COST AND SOFTWARE DATA REPORTING,KB 2/USA/DFARS.pdf
DFARS-SP235.70,DFARS-P235,235.70,Reserved,KB 2/USA/DFARS.pdf
DFARS-SP236.1,DFARS-P236,236.1,GENERAL,KB 2/USA/DFARS.pdf
DFARS-SP236.2,DFARS-P236,236.2,SPECIAL ASPECTS OF CONTRACTING FOR CONSTRUCTION,KB 2/USA/DFARS.pdf
DFARS-SP236.3,DFARS-P236,236.3,TWO-PHASE DESIGN-BUILD SELECTION PROCEDURES,KB 2/USA/DFARS.pdf
DFARS-SP236.4,DFARS-P236,236.4,Reserved,KB 2/USA/DFARS.pdf
