odp_id,securityrequirement_id,clause_reference,parameter_text,operation,source_document
odp_018,03.02.01,03.02.01.a.02,[Assignment: organization-defined events],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_019,03.02.01,03.02.01.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_020,03.02.01,03.02.01.b,[Assignment: organization-defined events],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_021,03.02.02,03.02.02.a.01,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_022,03.02.02,03.02.02.a.02,[Assignment: organization-defined events],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_023,03.02.02,03.02.02.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_024,03.02.02,03.02.02.b,[Assignment: organization-defined events],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_025,03.03.01,03.03.01.a,[Assignment: organization-defined event types],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_026,03.03.01,03.03.01.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_027,03.03.04,03.03.04.a,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_028,03.03.04,03.03.04.b,[Assignment: organization-defined additional actions],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_029,03.03.05,03.03.05.a,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_030,03.03.07,03.03.07.b,[Assignment: organization-defined granularity of time measurement],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_031,03.04.01,03.04.01.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_032,03.04.02,03.04.02.a,[Assignment: organization-defined configuration settings],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_033,03.04.06,03.04.06.b,"[Assignment: organization-defined functions, ports, protocols, connections, and/or services]",Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_034,03.04.06,03.04.06.c,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_035,03.04.08,03.04.08.c,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_036,03.04.10,03.04.10.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_037,03.04.12,03.04.12.a,[Assignment: organization-defined system configurations],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_038,03.04.12,03.04.12.b,[Assignment: organization-defined security requirements],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_039,03.05.01,03.05.01.b,[Assignment: organization-defined circumstances or situations requiring re-authentication],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_040,03.05.02,03.05.02,[Assignment: organization-defined devices or types of devices],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_041,03.05.05,03.05.05.c,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_042,03.05.05,03.05.05.d,[Assignment: organization-defined characteristic identifying individual status],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_043,03.05.07,03.05.07.a,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_044,03.05.07,03.05.07.f,[Assignment: organization-defined composition and complexity rules],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_045,03.05.12,03.05.12.e,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_046,03.05.12,03.05.12.e,[Assignment: organization-defined events],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_047,03.06.02,03.06.02.b,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_048,03.06.02,03.06.02.c,[Assignment: organization-defined authorities],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_049,03.06.03,03.06.03,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_050,03.06.04,03.06.04.a.01,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_051,03.06.04,03.06.04.a.03,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_052,03.06.04,03.06.04.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_053,03.06.04,03.06.04.b,[Assignment: organization-defined events],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_054,03.08.07,03.08.07.a,[Assignment: organization-defined types of system media],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_055,03.09.01,03.09.01.b,[Assignment: organization-defined conditions requiring rescreening],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_056,03.09.02,03.09.02.a.01,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_057,03.10.01,03.10.01.c,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_058,03.10.02,03.10.02.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_059,03.10.02,03.10.02.b,[Assignment: organization-defined events or potential indications of events],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_060,03.10.06,03.10.06.b,[Assignment: organization-defined security requirements],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_061,03.11.01,03.11.01.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_062,03.11.02,03.11.02.a,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_063,03.11.02,03.11.02.b,[Assignment: organization-defined response times],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_064,03.11.02,03.11.02.c,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_065,03.12.01,03.12.01,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_066,03.12.05,03.12.05.a,[Selection (one or more): interconnection security agreements; information exchange security agreements; memoranda of understanding or agreement; service-level agreements; user agreements; nondisclosure agreements; other types of agreements],Selection,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_067,03.12.05,03.12.05.c,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_068,03.13.09,03.13.09,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_069,03.13.10,03.13.10,[Assignment: organization-defined requirements for key establishment and management],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_070,03.13.11,03.13.11,[Assignment: organization-defined types of cryptography],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_071,03.13.12,03.13.12.a,[Assignment: organization-defined exceptions where remote activation is to be allowed],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_072,03.14.01,03.14.01.b,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_073,03.14.02,03.14.02.c.01,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_074,03.15.01,03.15.01.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_075,03.15.02,03.15.02.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_076,03.15.03,03.15.03.d,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_077,03.16.01,03.16.01,[Assignment: organization-defined systems security engineering principles],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_078,03.16.03,03.16.03.a,[Assignment: organization-defined security requirements],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_079,03.17.01,03.17.01.b,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_080,03.17.03,03.17.03.b,[Assignment: organization-defined security requirements],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
