tailoringdecision_id,table,control_identifier,control_name,tailoring_criteria,security_requirement,source_document
td_0001,Table 3. Access Control (AC),AC-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0002,Table 3. Access Control (AC),AC-02,Account Management,CUI,03.01.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0003,Table 3. Access Control (AC),AC-02(01),Account Management | Automated System Account Management,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0004,Table 3. Access Control (AC),AC-02(02),Account Management | Automated Temporary and Emergency Account Management,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0005,Table 3. Access Control (AC),AC-02(03),Account Management | Disable Accounts,CUI,03.01.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0006,Table 3. Access Control (AC),AC-02(04),Account Management | Automated Audit Actions,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0007,Table 3. Access Control (AC),AC-02(05),Account Management | Inactivity Logout,CUI,03.01.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0008,Table 3. Access Control (AC),AC-02(13),Account Management | Disable Accounts for High-Risk Individuals,CUI,03.01.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0009,Table 3. Access Control (AC),AC-03,Access Enforcement,CUI,03.01.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0010,Table 3. Access Control (AC),AC-04,Information Flow Enforcement,CUI,03.01.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0011,Table 3. Access Control (AC),AC-05,Separation of Duties,CUI,03.01.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0012,Table 3. Access Control (AC),AC-06,Least Privilege,CUI,03.01.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0013,Table 3. Access Control (AC),AC-06(01),Least Privilege | Authorize Access to Security Functions,CUI,03.01.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0014,Table 3. Access Control (AC),AC-06(02),Least Privilege | Non-Privileged Access for Non-Security Functions,CUI,03.01.06,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0015,Table 3. Access Control (AC),AC-06(05),Least Privilege | Privileged Accounts,CUI,03.01.06,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0016,Table 3. Access Control (AC),AC-06(07),Least Privilege | Review of User Privileges,CUI,03.01.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0017,Table 3. Access Control (AC),AC-06(09),Least Privilege | Log Use of Privileged Functions,CUI,03.01.07,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0018,Table 3. Access Control (AC),AC-06(10),Least Privilege | Prohibit Non-Privileged Users From Executing Privileged Functions,CUI,03.01.07,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0019,Table 3. Access Control (AC),AC-07,Unsuccessful Logon Attempts,CUI,03.01.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0020,Table 3. Access Control (AC),AC-08,System Use Notification,CUI,03.01.09,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0021,Table 3. Access Control (AC),AC-11,Device Lock,CUI,03.01.10,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0022,Table 3. Access Control (AC),AC-11(01),Device Lock | Pattern-Hiding Displays,CUI,03.01.10,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0023,Table 3. Access Control (AC),AC-12,Session Termination,CUI,03.01.11,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0024,Table 3. Access Control (AC),AC-14,Permitted Actions Without Identification or Authentication,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0025,Table 3. Access Control (AC),AC-17,Remote Access,CUI,03.01.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0026,Table 3. Access Control (AC),AC-17(01),Remote Access | Monitoring and Control,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0027,Table 3. Access Control (AC),AC-17(02),Remote Access | Protection of Confidentiality and Integrity Using Encryption,CUI,03.13.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0028,Table 3. Access Control (AC),AC-17(03),Remote Access | Managed Access Control Points,CUI,03.01.12,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0029,Table 3. Access Control (AC),AC-17(04),Remote Access | Privileged Commands and Access,CUI,03.01.12,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0030,Table 3. Access Control (AC),AC-18,Wireless Access,CUI,03.01.16,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0031,Table 3. Access Control (AC),AC-18(01),Wireless Access | Authentication and Encryption,CUI,03.01.16,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0032,Table 3. Access Control (AC),AC-18(03),Wireless Access | Disable Wireless Networking,CUI,03.01.16,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0033,Table 3. Access Control (AC),AC-19,Access Control for Mobile Devices,CUI,03.01.18,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0034,Table 3. Access Control (AC),AC-19(05),Access Control for Mobile Devices | Full Device or Container- Based Encryption,CUI,03.01.18,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0035,Table 3. Access Control (AC),AC-20,Use of External Systems,CUI,03.01.20,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0036,Table 3. Access Control (AC),AC-20(01),Use of External Systems | Limits on Authorized Use,CUI,03.01.20,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0037,Table 3. Access Control (AC),AC-20(02),Use of External Systems | Portable Storage Devices – Restricted Use,CUI,03.01.20,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0038,Table 3. Access Control (AC),AC-21,Information Sharing,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0039,Table 3. Access Control (AC),AC-22,Publicly Accessible Content,CUI,03.01.22,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0040,Table 4. Awareness and Training (AT),AT-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0041,Table 4. Awareness and Training (AT),AT-02,Literacy Training and Awareness,CUI,03.02.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0042,Table 4. Awareness and Training (AT),AT-02(02),Literacy Training and Awareness | Insider Threat,CUI,03.02.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0043,Table 4. Awareness and Training (AT),AT-02(03),Literacy Training and Awareness | Social Engineering and Mining,CUI,03.02.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0044,Table 4. Awareness and Training (AT),AT-03,Role-Based Training,CUI,03.02.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0045,Table 4. Awareness and Training (AT),AT-04,Training Records,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0046,Table 5. Audit and Accountability (AU),AU-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0047,Table 5. Audit and Accountability (AU),AU-02,Event Logging,CUI,03.03.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0048,Table 5. Audit and Accountability (AU),AU-03,Content of Audit Records,CUI,03.03.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0049,Table 5. Audit and Accountability (AU),AU-03(01),Additional Audit Information,CUI,03.03.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0050,Table 5. Audit and Accountability (AU),AU-04,Audit Log Storage Capacity,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0051,Table 5. Audit and Accountability (AU),AU-05,Response to Audit Logging Process Failures,CUI,03.03.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0052,Table 5. Audit and Accountability (AU),AU-06,"Audit Record Review, Analysis, and Reporting",CUI,03.03.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0053,Table 5. Audit and Accountability (AU),AU-06(01),"Audit Record Review, Analysis, and Reporting | Automated Process Integration",NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0054,Table 5. Audit and Accountability (AU),AU-06(03),"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",CUI,03.03.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0055,Table 5. Audit and Accountability (AU),AU-07,Audit Record Reduction and Report Generation,CUI,03.03.06,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0056,Table 5. Audit and Accountability (AU),AU-07(01),Audit Record Reduction and Report Generation | Automatic Processing,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0057,Table 5. Audit and Accountability (AU),AU-08,Time Stamps,CUI,03.03.07,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0058,Table 5. Audit and Accountability (AU),AU-09,Protection of Audit Information,CUI,03.03.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0059,Table 5. Audit and Accountability (AU),AU-09(04),Protection of Audit Information | Access by Subset of Privileged Users,CUI,03.03.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0060,Table 5. Audit and Accountability (AU),AU-11,Audit Record Retention,CUI,03.03.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0061,Table 5. Audit and Accountability (AU),AU-12,Audit Record Generation,CUI,03.03.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0062,"Table 6. Assessment, Authorization, and Monitoring (CA)",CA-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0063,"Table 6. Assessment, Authorization, and Monitoring (CA)",CA-02,Control Assessments,CUI,03.12.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0064,"Table 6. Assessment, Authorization, and Monitoring (CA)",CA-02(01),Control Assessments | Independent Assessors,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0065,"Table 6. Assessment, Authorization, and Monitoring (CA)",CA-03,Information Exchange,CUI,03.12.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0066,"Table 6. Assessment, Authorization, and Monitoring (CA)",CA-05,Plan of Action and Milestones,CUI,03.12.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0067,"Table 6. Assessment, Authorization, and Monitoring (CA)",CA-06,Authorization,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0068,"Table 6. Assessment, Authorization, and Monitoring (CA)",CA-07,Continuous Monitoring,CUI,03.12.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0069,"Table 6. Assessment, Authorization, and Monitoring (CA)",CA-07(01),Continuous Monitoring | Independent Assessment,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0070,"Table 6. Assessment, Authorization, and Monitoring (CA)",CA-07(04),Continuous Monitoring | Risk Monitoring,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0071,"Table 6. Assessment, Authorization, and Monitoring (CA)",CA-09,Internal System Connections,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0072,Table 7. Configuration Management (CM),CM-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0073,Table 7. Configuration Management (CM),CM-02,Baseline Configuration,CUI,03.04.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0074,Table 7. Configuration Management (CM),CM-02(02),Baseline Configuration | Automation Support for Accuracy and Currency,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0075,Table 7. Configuration Management (CM),CM-02(03),Baseline Configuration | Retention of Previous Configurations,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0076,Table 7. Configuration Management (CM),CM-02(07),Baseline Configuration | Configure Systems and Components for High-Risk Areas,CUI,03.04.12,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0077,Table 7. Configuration Management (CM),CM-03,Configuration Change Control,CUI,03.04.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0078,Table 7. Configuration Management (CM),CM-03(02),"Configuration Change Control | Testing, Validation, and Documentation of Changes",NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0079,Table 7. Configuration Management (CM),CM-03(04),Configuration Change Control | Security and Privacy Representatives,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0080,Table 7. Configuration Management (CM),CM-04,Impact Analyses,CUI,03.04.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0081,Table 7. Configuration Management (CM),CM-04(02),Impact Analyses | Verification of Controls,CUI,03.04.04,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0082,Table 7. Configuration Management (CM),CM-05,Access Restrictions for Change,CUI,03.04.05,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0083,Table 7. Configuration Management (CM),CM-06,Configuration Settings,CUI,03.04.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0084,Table 7. Configuration Management (CM),CM-07,Least Functionality,CUI,03.04.06,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0085,Table 7. Configuration Management (CM),CM-07(01),Least Functionality | Periodic Review,CUI,03.04.06,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0086,Table 7. Configuration Management (CM),CM-07(02),Least Functionality | Prevent Program Execution,ORC,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0087,Table 7. Configuration Management (CM),CM-07(05),Least Functionality | Authorized Software – Allow by Exception,CUI,03.04.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0088,Table 7. Configuration Management (CM),CM-08,System Component Inventory,CUI,03.04.10,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0089,Table 7. Configuration Management (CM),CM-08(01),System Component Inventory | Updates During Installation and Removal,CUI,03.04.10,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0090,Table 7. Configuration Management (CM),CM-08(03),System Component Inventory | Automated Unauthorized Component Detection,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0091,Table 7. Configuration Management (CM),CM-09,Configuration Management Plan,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0092,Table 7. Configuration Management (CM),CM-10,Software Usage Restrictions,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0093,Table 7. Configuration Management (CM),CM-11,User-Installed Software,ORC,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0094,Table 7. Configuration Management (CM),CM-12,Information Location,CUI,03.04.11,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0095,Table 7. Configuration Management (CM),CM-12(01),Information Location | Automated Tools to Support Information Location,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0096,Table 8. Contingency Planning (CP),CP-01,Policy and Procedures,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0097,Table 8. Contingency Planning (CP),CP-02,Contingency Plan,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0098,Table 8. Contingency Planning (CP),CP-02(01),Contingency Plan | Coordinate With Related Plans,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0099,Table 8. Contingency Planning (CP),CP-02(03),Contingency Plan | Resume Mission and Business Functions,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0100,Table 8. Contingency Planning (CP),CP-02(08),Contingency Plan | Identify Critical Assets,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0101,Table 8. Contingency Planning (CP),CP-03,Contingency Training,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0102,Table 8. Contingency Planning (CP),CP-04,Contingency Plan Testing,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0103,Table 8. Contingency Planning (CP),CP-04(01),Contingency Plan Testing | Coordinate Related Plans,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0104,Table 8. Contingency Planning (CP),CP-06,Alternate Storage Site,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0105,Table 8. Contingency Planning (CP),CP-06(01),Alternate Storage Site | Separation of Primary Site,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0106,Table 8. Contingency Planning (CP),CP-06(03),Alternate Storage Site | Accessibility,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0107,Table 8. Contingency Planning (CP),CP-07,Alternate Processing Site,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0108,Table 8. Contingency Planning (CP),CP-07(01),Alternate Processing Site | Separation of Primary Site,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0109,Table 8. Contingency Planning (CP),CP-07(02),Alternate Processing Site | Accessibility,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0110,Table 8. Contingency Planning (CP),CP-07(03),Alternate Processing Site | Priority of Service,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0111,Table 8. Contingency Planning (CP),CP-08,Telecommunications Services,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
