clause_id,securityrequirement_id,parent_id,label,level,text,contains_odp,source_document
03.01.18.b,03.01.18,03.01.18,b.,1,Authorize the connection of mobile devices to the system.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.18.c,03.01.18,03.01.18,c.,1,Implement full-device or container-based encryption to protect the confidentiality of CUI on mobile devices.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.20.a,03.01.20,03.01.20,a.,1,Prohibit the use of external systems unless the systems are specifically authorized.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.20.b,03.01.20,03.01.20,b.,1,Establish the following security requirements to be satisfied on external systems prior to allowing use of or access to those systems by authorized individuals: [Assignment: organization-defined security requirements].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.20.c,03.01.20,03.01.20,c.,1,"Permit authorized individuals to use external systems to access the organizational system or to process, store, or transmit CUI only after:",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.20.c.01,03.01.20,03.01.20.c,1.,2,Verifying that the security requirements on the external systems as specified in the organization’s system security plans have been satisfied and,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.20.c.02,03.01.20,03.01.20.c,2.,2,Retaining approved system connection or processing agreements with the organizational entities hosting the external systems.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.20.d,03.01.20,03.01.20,d.,1,Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.22.a,03.01.22,03.01.22,a.,1,Train authorized individuals to ensure that publicly accessible information does not contain CUI.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.22.b,03.01.22,03.01.22,b.,1,"Review the content on publicly accessible systems for CUI and remove such information, if discovered.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.02.01.a,03.02.01,03.02.01,a.,1,Provide security literacy training to system users:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.02.01.a.01,03.02.01,03.02.01.a,1.,2,"As part of initial training for new users and [Assignment: organization- defined frequency] thereafter,",yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
