clause_id,securityrequirement_id,parent_id,label,level,text,contains_odp,source_document
03.04.08.c,03.04.08,03.04.08,c.,1,Review and update the list of authorized software programs [Assignment: organization-defined frequency].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.04.10.a,03.04.10,03.04.10,a.,1,Develop and document an inventory of system components.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.04.10.b,03.04.10,03.04.10,b.,1,Review and update the system component inventory [Assignment: organization- defined frequency].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.04.10.c,03.04.10,03.04.10,c.,1,"Update the system component inventory as part of installations, removals, and system updates.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.04.11.a,03.04.11,03.04.11,a.,1,Identify and document the location of CUI and the system components on which the information is processed and stored.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.04.11.b,03.04.11,03.04.11,b.,1,Document changes to the system or system component location where CUI is processed and stored.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.04.12.a,03.04.12,03.04.12,a.,1,Issue systems or system components with the following configurations to individuals traveling to high-risk locations: [Assignment: organization-defined system configurations].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.04.12.b,03.04.12,03.04.12,b.,1,Apply the following security requirements to the systems or components when the individuals return from travel: [Assignment: organization-defined security requirements].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.01.a,03.05.01,03.05.01,a.,1,"Uniquely identify and authenticate system users, and associate that unique identification with processes acting on behalf of those users.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.01.b,03.05.01,03.05.01,b.,1,Re-authenticate users when [Assignment: organization-defined circumstances or situations requiring re-authentication].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.05.a,03.05.05,03.05.05,a.,1,"Receive authorization from organizational personnel or roles to assign an individual, group, role, service, or device identifier.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.05.b,03.05.05,03.05.05,b.,1,"Select and assign an identifier that identifies an individual, group, role, service, or device.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.05.c,03.05.05,03.05.05,c.,1,Prevent the reuse of identifiers for [Assignment: organization-defined time period].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.05.d,03.05.05,03.05.05,d.,1,Manage individual identifiers by uniquely identifying each individual as [Assignment: organization-defined characteristic identifying individual status].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.07.a,03.05.07,03.05.07,a.,1,"Maintain a list of commonly-used, expected, or compromised passwords, and update the list [Assignment: organization-defined frequency] and when organizational passwords are suspected to have been compromised.",yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.07.b,03.05.07,03.05.07,b.,1,"Verify that passwords are not found on the list of commonly used, expected, or compromised passwords when users create or update passwords.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.07.c,03.05.07,03.05.07,c.,1,Transmit passwords only over cryptographically protected channels.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.07.d,03.05.07,03.05.07,d.,1,Store passwords in a cryptographically protected form.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.07.e,03.05.07,03.05.07,e.,1,Select a new password upon first use after account recovery.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.07.f,03.05.07,03.05.07,f.,1,Enforce the following composition and complexity rules for passwords: [Assignment: organization-defined composition and complexity rules].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.12.a,03.05.12,03.05.12,a.,1,"Verify the identity of the individual, group, role, service, or device receiving the authenticator as part of the initial authenticator distribution.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.12.b,03.05.12,03.05.12,b.,1,Establish initial authenticator content for any authenticators issued by the organization.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.12.c,03.05.12,03.05.12,c.,1,"Establish and implement administrative procedures for initial authenticator distribution; for lost, compromised, or damaged authenticators; and for revoking authenticators.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.12.d,03.05.12,03.05.12,d.,1,Change default authenticators at first use.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.12.e,03.05.12,03.05.12,e.,1,Change or refresh authenticators [Assignment: organization-defined frequency] or when the following events occur: [Assignment: organization-defined events].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.05.12.f,03.05.12,03.05.12,f.,1,Protect authenticator content from unauthorized disclosure and modification.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.02.a,03.06.02,03.06.02,a.,1,Track and document system security incidents.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.02.b,03.06.02,03.06.02,b.,1,Report suspected incidents to the organizational incident response capability within [Assignment: organization-defined time period].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.02.c,03.06.02,03.06.02,c.,1,Report incident information to [Assignment: organization-defined authorities].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.02.d,03.06.02,03.06.02,d.,1,Provide an incident response support resource that offers advice and assistance to system users on handling and reporting incidents.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.04.a,03.06.04,03.06.04,a.,1,Provide incident response training to system users consistent with assigned roles and responsibilities:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.04.a.01,03.06.04,03.06.04.a,1.,2,"Within [Assignment: organization-defined time period] of assuming an incident response role or responsibility or acquiring system access,",yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.04.a.02,03.06.04,03.06.04.a,2.,2,"When required by system changes, and",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.04.a.03,03.06.04,03.06.04.a,3.,2,[Assignment: organization-defined frequency] thereafter.,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.04.b,03.06.04,03.06.04,b.,1,Review and update incident response training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.05.a,03.06.05,03.06.05,a.,1,Develop an incident response plan that:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.05.a.01,03.06.05,03.06.05.a,1.,2,"Provides the organization with a roadmap for implementing its incident response capability,",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.05.a.02,03.06.05,03.06.05.a,2.,2,"Describes the structure and organization of the incident response capability,",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.05.a.03,03.06.05,03.06.05.a,3.,2,"Provides a high-level approach for how the incident response capability fits into the overall organization,",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.05.a.04,03.06.05,03.06.05.a,4.,2,"Defines reportable incidents,",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.05.a.05,03.06.05,03.06.05.a,5.,2,"Addresses the sharing of incident information, and",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.05.a.06,03.06.05,03.06.05.a,6.,2,"Designates responsibilities to organizational entities, personnel, or roles.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.05.b,03.06.05,03.06.05,b.,1,Distribute copies of the incident response plan to designated incident response personnel (identified by name and/or by role) and organizational elements.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.05.c,03.06.05,03.06.05,c.,1,"Update the incident response plan to address system and organizational changes or problems encountered during plan implementation, execution, or testing.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.06.05.d,03.06.05,03.06.05,d.,1,Protect the incident response plan from unauthorized disclosure.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.07.04.a,03.07.04,03.07.04,a.,1,"Approve, control, and monitor the use of system maintenance tools.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.07.04.b,03.07.04,03.07.04,b.,1,Check media with diagnostic and test programs for malicious code before it is used in the system.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.07.04.c,03.07.04,03.07.04,c.,1,"Prevent the removal of system maintenance equipment containing CUI by verifying that there is no CUI on the equipment, sanitizing or destroying the equipment, or retaining the equipment within the facility.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.07.05.a,03.07.05,03.07.05,a.,1,Approve and monitor nonlocal maintenance and diagnostic activities.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.07.05.b,03.07.05,03.07.05,b.,1,Implement multi-factor authentication and replay resistance in the establishment of nonlocal maintenance and diagnostic sessions.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.07.05.c,03.07.05,03.07.05,c.,1,Terminate session and network connections when nonlocal maintenance is completed.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.07.06.a,03.07.06,03.07.06,a.,1,Establish a process for maintenance personnel authorization.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.07.06.b,03.07.06,03.07.06,b.,1,Maintain a list of authorized maintenance organizations or personnel.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.07.06.c,03.07.06,03.07.06,c.,1,Verify that non-escorted personnel who perform maintenance on the system possess the required access authorizations.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.07.06.d,03.07.06,03.07.06,d.,1,Designate organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.08.05.a,03.08.05,03.08.05,a.,1,Protect and control system media that contain CUI during transport outside of controlled areas.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.08.05.b,03.08.05,03.08.05,b.,1,Maintain accountability of system media that contain CUI during transport outside of controlled areas.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.08.05.c,03.08.05,03.08.05,c.,1,Document activities associated with the transport of system media that contain CUI.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.08.07.a,03.08.07,03.08.07,a.,1,Restrict or prohibit the use of [Assignment: organization-defined types of system media].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.08.07.b,03.08.07,03.08.07,b.,1,Prohibit the use of removable system media without an identifiable owner.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.08.09.a,03.08.09,03.08.09,a.,1,Protect the confidentiality of backup information.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.08.09.b,03.08.09,03.08.09,b.,1,Implement cryptographic mechanisms to prevent the unauthorized disclosure of CUI at backup storage locations.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.09.01.a,03.09.01,03.09.01,a.,1,Screen individuals prior to authorizing access to the system.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.09.01.b,03.09.01,03.09.01,b.,1,Rescreen individuals in accordance with [Assignment: organization-defined conditions requiring rescreening].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.09.02.a,03.09.02,03.09.02,a.,1,When individual employment is terminated:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.09.02.a.01,03.09.02,03.09.02.a,1.,2,"Disable system access within [Assignment: organization-defined time period],",yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.09.02.a.02,03.09.02,03.09.02.a,2.,2,"Terminate or revoke authenticators and credentials associated with the individual, and",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.09.02.a.03,03.09.02,03.09.02.a,3.,2,Retrieve security-related system property.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.09.02.b,03.09.02,03.09.02,b.,1,When individuals are reassigned or transferred to other positions in the organization:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.09.02.b.01,03.09.02,03.09.02.b,1.,2,"Review and confirm the ongoing operational need for current logical and physical access authorizations to the system and facility, and",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.09.02.b.02,03.09.02,03.09.02.b,2.,2,Modify access authorization to correspond with any changes in operational need.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.01.a,03.10.01,03.10.01,a.,1,"Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.01.b,03.10.01,03.10.01,b.,1,Issue authorization credentials for facility access.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.01.c,03.10.01,03.10.01,c.,1,Review the facility access list [Assignment: organization-defined frequency].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.01.d,03.10.01,03.10.01,d.,1,Remove individuals from the facility access list when access is no longer required.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.02.a,03.10.02,03.10.02,a.,1,Monitor physical access to the facility where the system resides to detect and respond to physical security incidents.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.02.b,03.10.02,03.10.02,b.,1,Review physical access logs [Assignment: organization-defined frequency] and upon occurrence of [Assignment: organization-defined events or potential indications of events].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.06.a,03.10.06,03.10.06,a.,1,Determine alternate work sites allowed for use by employees.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.06.b,03.10.06,03.10.06,b.,1,Employ the following security requirements at alternate work sites: [Assignment: organization-defined security requirements].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.07.a,03.10.07,03.10.07,a.,1,Enforce physical access authorizations at entry and exit points to the facility where the system resides by:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.07.a.01,03.10.07,03.10.07.a,1.,2,Verifying individual physical access authorizations before granting access to the facility and,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.07.a.02,03.10.07,03.10.07.a,2.,2,"Controlling ingress and egress with physical access control systems, devices, or guards.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.07.b,03.10.07,03.10.07,b.,1,Maintain physical access audit logs for entry or exit points.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.07.c,03.10.07,03.10.07,c.,1,"Escort visitors, and control visitor activity.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.07.d,03.10.07,03.10.07,d.,1,"Secure keys, combinations, and other physical access devices.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.10.07.e,03.10.07,03.10.07,e.,1,Control physical access to output devices to prevent unauthorized individuals from obtaining access to CUI.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.11.01.a,03.11.01,03.11.01,a.,1,"Assess the risk (including supply chain risk) of unauthorized disclosure resulting from the processing, storage, or transmission of CUI.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.11.01.b,03.11.01,03.11.01,b.,1,Update risk assessments [Assignment: organization-defined frequency].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.11.02.a,03.11.02,03.11.02,a.,1,Monitor and scan the system for vulnerabilities [Assignment: organization- defined frequency] and when new vulnerabilities affecting the system are identified.,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.11.02.b,03.11.02,03.11.02,b.,1,Remediate system vulnerabilities within [Assignment: organization-defined response times].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.11.02.c,03.11.02,03.11.02,c.,1,Update system vulnerabilities to be scanned [Assignment: organization-defined frequency] and when new vulnerabilities are identified and reported.,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.12.02.a,03.12.02,03.12.02,a.,1,Develop a plan of action and milestones for the system:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.12.02.a.01,03.12.02,03.12.02.a,1.,2,To document the planned remediation actions to correct weaknesses or deficiencies noted during security assessments and,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.12.02.a.02,03.12.02,03.12.02.a,2.,2,To reduce or eliminate known system vulnerabilities.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.12.02.b,03.12.02,03.12.02,b.,1,Update the existing plan of action and milestones based on the findings from:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.12.02.b.01,03.12.02,03.12.02.b,1.,2,"Security assessments,",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.12.02.b.02,03.12.02,03.12.02.b,2.,2,"Audits or reviews, and",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.12.02.b.03,03.12.02,03.12.02.b,3.,2,Continuous monitoring activities.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.12.05.a,03.12.05,03.12.05,a.,1,Approve and manage the exchange of CUI between the system and other systems using [Selection (one or more): interconnection security agreements; information exchange security agreements; memoranda of understanding or agreement; service-level agreements; user agreements; non-disclosure agreements; other types of agreements].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.12.05.b,03.12.05,03.12.05,b.,1,"Document interface characteristics, security requirements, and responsibilities for each system as part of the exchange agreements.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.12.05.c,03.12.05,03.12.05,c.,1,Review and update the exchange agreements [Assignment: organization-defined frequency].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.13.01.a,03.13.01,03.13.01,a.,1,Monitor and control communications at external managed interfaces to the system and key internal managed interfaces within the system.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.13.01.b,03.13.01,03.13.01,b.,1,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.13.01.c,03.13.01,03.13.01,c.,1,Connect to external systems only through managed interfaces that consist of boundary protection devices arranged in accordance with an organizational security architecture.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
