dispositivo_id,artigo_id,tipo,rotulo,texto,status,nota_alteracao,parent_id,parent_type,source_document
art_7_par_5,art_7,parágrafo,§ 5º,"§ 5º O controlador que obteve o consentimento referido no inciso I do caput deste artigo que necessitar comunicar ou compartilhar dados pessoais com outros controladores deverá obter consentimento específico do titular para esse fim, ressalvadas as hipóteses de dispensa do consentimento previstas nesta Lei.",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_par_6,art_7,parágrafo,§ 6º,"§ 6º A eventual dispensa da exigência do consentimento não desobriga os agentes de tratamento das demais obrigações previstas nesta Lei, especialmente da observância dos princípios gerais e da garantia dos direitos do titular.",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_par_7,art_7,parágrafo,§ 7º,"§ 7º O tratamento posterior dos dados pessoais a que se referem os §§ 3º e 4º deste artigo poderá ser realizado para novas finalidades, desde que observados os propósitos legítimos e específicos para o novo tratamento e a preservação dos direitos do titular, assim como os fundamentos e os princípios previstos nesta Lei. (Parágrafo acrescido pela Lei nº 13.853, de 8/7/2019)",vigente,"(Parágrafo acrescido pela Lei nº 13.853, de 8/7/2019)",art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_8_par_1,art_8,parágrafo,§ 1º,"§ 1º Caso o consentimento seja fornecido por escrito, esse deverá constar de cláusula destacada das demais cláusulas contratuais.",vigente,,art_8,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_8_par_2,art_8,parágrafo,§ 2º,§ 2º Cabe ao controlador o ônus da prova de que o consentimento foi obtido em conformidade com o disposto nesta Lei.,vigente,,art_8,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_8_par_3,art_8,parágrafo,§ 3º,§ 3º É vedado o tratamento de dados pessoais mediante vício de consentimento.,vigente,,art_8,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_8_par_4,art_8,parágrafo,§ 4º,"§ 4º O consentimento deverá referir-se a finalidades determinadas, e as autorizações genéricas para o tratamento de dados pessoais serão nulas.",vigente,,art_8,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_8_par_5,art_8,parágrafo,§ 5º,"§ 5º O consentimento pode ser revogado a qualquer momento mediante manifestação expressa do titular, por procedimento gratuito e facilitado, ratificados os tratamentos realizados sob amparo do consentimento anteriormente manifestado enquanto não houver requerimento de eliminação, nos termos do inciso VI do caput do art. 18 desta Lei.",vigente,,art_8,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_8_par_6,art_8,parágrafo,§ 6º,"§ 6º Em caso de alteração de informação referida nos incisos I, II, III ou V do art. 9º desta Lei, o controlador deverá informar ao titular, com destaque de forma específica do teor das alterações, podendo o titular, nos casos em que o seu consentimento é exigido, revogá-lo caso discorde da alteração.",vigente,,art_8,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_9_inc_I,art_9,inciso,I,I - finalidade específica do tratamento;,vigente,,art_9,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_9_inc_II,art_9,inciso,II,"II - forma e duração do tratamento, observados os segredos comercial e industrial;",vigente,,art_9,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_9_inc_III,art_9,inciso,III,III - identificação do controlador;,vigente,,art_9,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_9_inc_IV,art_9,inciso,IV,IV - informações de contato do controlador;,vigente,,art_9,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_9_inc_V,art_9,inciso,V,V - informações acerca do uso compartilhado de dados pelo controlador e a finalidade;,vigente,,art_9,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_9_inc_VI,art_9,inciso,VI,VI - responsabilidades dos agentes que realizarão o tratamento; e,vigente,,art_9,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_9_inc_VII,art_9,inciso,VII,"VII - direitos do titular, com menção explícita aos direitos contidos no art. 18 desta Lei.",vigente,,art_9,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_9_par_1,art_9,parágrafo,§ 1º,"§ 1º Na hipótese em que o consentimento é requerido, esse será considerado nulo caso as informações fornecidas ao titular tenham conteúdo enganoso ou abusivo ou não tenham sido apresentadas previamente com transparência, de forma clara e inequívoca.",vigente,,art_9,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
