domain_identifier,control_id
IRO,IRO-10.3
IRO,IRO-10.4
IRO,IRO-10.5
IRO,IRO-11
IRO,IRO-11.1
IRO,IRO-11.2
IRO,IRO-12
IRO,IRO-12.1
IRO,IRO-12.2
IRO,IRO-12.3
IRO,IRO-12.4
IRO,IRO-13
IRO,IRO-14
IRO,IRO-15
IRO,IRO-16
MDM,MDM-01
MDM,MDM-02
MDM,MDM-03
MDM,MDM-04
MDM,MDM-05
MDM,MDM-06
MDM,MDM-07
MDM,MDM-08
MDM,MDM-09
MDM,MDM-10
MDM,MDM-11
MNT,MNT-01
MNT,MNT-02
MNT,MNT-02.1
MNT,MNT-03
MNT,MNT-03.1
MNT,MNT-03.2
MNT,MNT-03.3
MNT,MNT-04
MNT,MNT-04.1
MNT,MNT-04.2
MNT,MNT-04.3
MNT,MNT-04.4
MNT,MNT-05
MNT,MNT-05.1
MNT,MNT-05.2
MNT,MNT-05.3
MNT,MNT-05.4
MNT,MNT-05.5
MNT,MNT-05.6
MNT,MNT-05.7
MNT,MNT-06
MNT,MNT-06.1
MNT,MNT-06.2
MNT,MNT-07
MNT,MNT-08
MNT,MNT-09
MNT,MNT-10
MNT,MNT-11
MON,MON-01
MON,MON-01.1
MON,MON-01.10
MON,MON-01.11
MON,MON-01.12
MON,MON-01.13
MON,MON-01.14
MON,MON-01.15
MON,MON-01.16
MON,MON-01.17
MON,MON-01.2
MON,MON-01.3
MON,MON-01.4
MON,MON-01.5
MON,MON-01.6
MON,MON-01.7
MON,MON-01.8
MON,MON-01.9
MON,MON-02
MON,MON-02.1
MON,MON-02.2
MON,MON-02.3
MON,MON-02.4
MON,MON-02.5
MON,MON-02.6
MON,MON-02.7
MON,MON-02.8
MON,MON-02.9
MON,MON-03
MON,MON-03.1
MON,MON-03.2
MON,MON-03.3
MON,MON-03.4
MON,MON-03.5
MON,MON-03.6
MON,MON-03.7
MON,MON-04
MON,MON-05
MON,MON-05.1
MON,MON-05.2
MON,MON-06
MON,MON-06.1
MON,MON-06.2
MON,MON-07
MON,MON-07.1
MON,MON-08
MON,MON-08.1
MON,MON-08.2
MON,MON-08.3
MON,MON-08.4
MON,MON-09
MON,MON-09.1
MON,MON-10
MON,MON-11
MON,MON-11.1
MON,MON-11.2
MON,MON-11.3
MON,MON-12
MON,MON-13
MON,MON-14
MON,MON-14.1
MON,MON-15
MON,MON-16
MON,MON-16.1
MON,MON-16.2
MON,MON-16.3
MON,MON-16.4
MON,MON-17
MON,MON-17.1
NET,NET-01
NET,NET-01.1
NET,NET-02
NET,NET-02.1
NET,NET-02.2
NET,NET-02.3
NET,NET-03
NET,NET-03.1
NET,NET-03.2
NET,NET-03.3
NET,NET-03.4
NET,NET-03.5
NET,NET-03.6
NET,NET-03.7
NET,NET-03.8
NET,NET-04
NET,NET-04.1
NET,NET-04.10
NET,NET-04.11
NET,NET-04.12
NET,NET-04.13
NET,NET-04.14
NET,NET-04.2
NET,NET-04.3
NET,NET-04.4
NET,NET-04.5
NET,NET-04.6
NET,NET-04.7
NET,NET-04.8
NET,NET-04.9
NET,NET-05
NET,NET-05.1
NET,NET-05.2
NET,NET-06
NET,NET-06.1
NET,NET-06.2
NET,NET-06.3
NET,NET-06.4
NET,NET-06.5
NET,NET-06.6
NET,NET-06.7
NET,NET-07
NET,NET-08
NET,NET-08.1
NET,NET-08.2
NET,NET-08.3
NET,NET-08.4
NET,NET-09
NET,NET-09.1
NET,NET-09.2
NET,NET-10
NET,NET-10.1
NET,NET-10.2
NET,NET-10.3
NET,NET-10.4
NET,NET-11
NET,NET-12
NET,NET-12.1
NET,NET-12.2
NET,NET-13
NET,NET-14
NET,NET-14.1
NET,NET-14.2
NET,NET-14.3
NET,NET-14.4
NET,NET-14.5
NET,NET-14.6
NET,NET-14.7
NET,NET-14.8
NET,NET-15
NET,NET-15.1
NET,NET-15.2
NET,NET-15.3
NET,NET-15.4
NET,NET-15.5
NET,NET-16
NET,NET-17
NET,NET-18
NET,NET-18.1
NET,NET-18.2
NET,NET-18.3
NET,NET-18.4
NET,NET-18.5
NET,NET-18.6
NET,NET-18.7
NET,NET-18.8
NET,NET-18.9
NET,NET-19
NET,NET-20
NET,NET-20.1
NET,NET-20.2
NET,NET-20.3
NET,NET-20.4
NET,NET-20.5
NET,NET-20.6
NET,NET-20.7
NET,NET-20.8
NET,NET-20.9
OPS,OPS-01
OPS,OPS-01.1
OPS,OPS-02
OPS,OPS-03
OPS,OPS-04
OPS,OPS-05
OPS,OPS-06
OPS,OPS-07
PES,PES-01
PES,PES-01.1
PES,PES-01.2
PES,PES-02
PES,PES-02.1
PES,PES-02.2
PES,PES-03
PES,PES-03.1
PES,PES-03.2
PES,PES-03.3
PES,PES-03.4
PES,PES-04
PES,PES-04.1
PES,PES-04.2
PES,PES-04.3
PES,PES-05
PES,PES-05.1
PES,PES-05.2
PES,PES-06
PES,PES-06.1
PES,PES-06.2
PES,PES-06.3
PES,PES-06.4
PES,PES-06.5
PES,PES-06.6
PES,PES-07
PES,PES-07.1
PES,PES-07.2
PES,PES-07.3
PES,PES-07.4
PES,PES-07.5
PES,PES-07.6
PES,PES-07.7
PES,PES-08
PES,PES-08.1
PES,PES-08.2
PES,PES-08.3
PES,PES-09
PES,PES-09.1
PES,PES-10
PES,PES-11
PES,PES-12
PES,PES-12.1
PES,PES-12.2
PES,PES-13
PES,PES-14
PES,PES-15
PES,PES-16
PES,PES-17
PES,PES-18
PES,PES-19
PRI,PRI-01
PRI,PRI-01.1
PRI,PRI-01.10
PRI,PRI-01.2
PRI,PRI-01.3
PRI,PRI-01.4
PRI,PRI-01.5
PRI,PRI-01.6
PRI,PRI-01.7
PRI,PRI-01.8
PRI,PRI-01.9
PRI,PRI-02
PRI,PRI-02.1
PRI,PRI-02.2
PRI,PRI-02.3
PRI,PRI-02.4
PRI,PRI-02.5
PRI,PRI-02.6
PRI,PRI-02.7
PRI,PRI-03
PRI,PRI-03.1
PRI,PRI-03.10
PRI,PRI-03.11
PRI,PRI-03.2
PRI,PRI-03.3
PRI,PRI-03.4
PRI,PRI-03.5
PRI,PRI-03.6
PRI,PRI-03.7
PRI,PRI-03.8
PRI,PRI-03.9
PRI,PRI-04
PRI,PRI-04.1
PRI,PRI-04.2
PRI,PRI-04.3
PRI,PRI-04.4
PRI,PRI-04.5
PRI,PRI-04.6
PRI,PRI-04.7
PRI,PRI-05
PRI,PRI-05.1
PRI,PRI-05.2
PRI,PRI-05.3
PRI,PRI-05.4
PRI,PRI-05.5
PRI,PRI-05.6
PRI,PRI-05.7
PRI,PRI-05.8
PRI,PRI-06
PRI,PRI-06.1
PRI,PRI-06.2
PRI,PRI-06.3
PRI,PRI-06.4
PRI,PRI-06.5
PRI,PRI-06.6
PRI,PRI-06.7
PRI,PRI-07
PRI,PRI-07.1
PRI,PRI-07.2
PRI,PRI-07.3
PRI,PRI-07.4
PRI,PRI-07.5
PRI,PRI-08
PRI,PRI-09
PRI,PRI-10
PRI,PRI-10.1
PRI,PRI-10.2
PRI,PRI-11
PRI,PRI-12
PRI,PRI-12.1
PRI,PRI-13
PRI,PRI-14
PRI,PRI-14.1
PRI,PRI-14.2
PRI,PRI-15
PRI,PRI-16
PRI,PRI-17
PRI,PRI-17.1
PRI,PRI-17.2
PRI,PRI-18
PRM,PRM-01
PRM,PRM-01.1
PRM,PRM-01.2
PRM,PRM-02
PRM,PRM-03
PRM,PRM-04
PRM,PRM-05
PRM,PRM-06
PRM,PRM-07
PRM,PRM-08
RSK,RSK-01
RSK,RSK-01.1
RSK,RSK-01.2
RSK,RSK-01.3
RSK,RSK-01.4
RSK,RSK-01.5
RSK,RSK-02
RSK,RSK-02.1
RSK,RSK-03
RSK,RSK-03.1
RSK,RSK-04
RSK,RSK-04.1
RSK,RSK-04.2
RSK,RSK-05
RSK,RSK-06
RSK,RSK-06.1
RSK,RSK-06.2
RSK,RSK-07
RSK,RSK-08
RSK,RSK-09
RSK,RSK-09.1
RSK,RSK-09.2
RSK,RSK-10
RSK,RSK-11
RSK,RSK-12
SAT,SAT-01
SAT,SAT-01.1
SAT,SAT-02
SAT,SAT-02.1
SAT,SAT-02.2
SAT,SAT-03
SAT,SAT-03.1
SAT,SAT-03.2
SAT,SAT-03.3
SAT,SAT-03.4
SAT,SAT-03.5
SAT,SAT-03.6
SAT,SAT-03.7
SAT,SAT-03.8
SAT,SAT-03.9
SAT,SAT-04
SAT,SAT-05
SEA,SEA-01
SEA,SEA-01.1
SEA,SEA-01.2
SEA,SEA-02
SEA,SEA-02.1
SEA,SEA-02.2
SEA,SEA-02.3
SEA,SEA-03
SEA,SEA-03.1
SEA,SEA-03.2
SEA,SEA-04
SEA,SEA-04.1
SEA,SEA-04.2
SEA,SEA-04.3
SEA,SEA-04.4
SEA,SEA-05
SEA,SEA-06
SEA,SEA-07
SEA,SEA-07.1
SEA,SEA-07.2
SEA,SEA-07.3
SEA,SEA-08
SEA,SEA-08.1
SEA,SEA-09
SEA,SEA-09.1
SEA,SEA-10
SEA,SEA-11
SEA,SEA-12
SEA,SEA-13
SEA,SEA-13.1
SEA,SEA-14
SEA,SEA-14.1
SEA,SEA-14.2
SEA,SEA-15
SEA,SEA-16
SEA,SEA-17
SEA,SEA-18
SEA,SEA-18.1
SEA,SEA-18.2
SEA,SEA-19
SEA,SEA-20
SEA,SEA-21
TDA,TDA-01
TDA,TDA-01.1
TDA,TDA-01.2
TDA,TDA-01.3
TDA,TDA-01.4
TDA,TDA-02
TDA,TDA-02.1
TDA,TDA-02.10
TDA,TDA-02.11
TDA,TDA-02.12
TDA,TDA-02.13
TDA,TDA-02.2
TDA,TDA-02.3
TDA,TDA-02.4
TDA,TDA-02.5
TDA,TDA-02.6
TDA,TDA-02.7
TDA,TDA-02.8
TDA,TDA-02.9
TDA,TDA-03
TDA,TDA-03.1
TDA,TDA-04
TDA,TDA-04.1
TDA,TDA-04.2
TDA,TDA-05
TDA,TDA-05.1
TDA,TDA-05.2
TDA,TDA-06
TDA,TDA-06.1
TDA,TDA-06.2
TDA,TDA-06.3
TDA,TDA-06.4
TDA,TDA-06.5
TDA,TDA-07
TDA,TDA-08
TDA,TDA-08.1
TDA,TDA-09
TDA,TDA-09.1
TDA,TDA-09.2
TDA,TDA-09.3
TDA,TDA-09.4
TDA,TDA-09.5
TDA,TDA-09.6
TDA,TDA-09.7
TDA,TDA-10
TDA,TDA-10.1
TDA,TDA-11
TDA,TDA-11.1
TDA,TDA-11.2
TDA,TDA-12
TDA,TDA-13
TDA,TDA-14
TDA,TDA-14.1
TDA,TDA-14.2
TDA,TDA-15
TDA,TDA-16
TDA,TDA-17
TDA,TDA-17.1
TDA,TDA-18
TDA,TDA-19
TDA,TDA-20
TDA,TDA-20.1
TDA,TDA-20.2
TDA,TDA-20.3
TDA,TDA-21
TDA,TDA-22
TDA,TDA-22.1
THR,THR-01
THR,THR-02
THR,THR-03
THR,THR-03.1
THR,THR-04
THR,THR-05
THR,THR-06
THR,THR-06.1
THR,THR-07
THR,THR-08
THR,THR-09
THR,THR-10
THR,THR-11
TPM,TPM-01
TPM,TPM-01.1
TPM,TPM-02
TPM,TPM-03
TPM,TPM-03.1
TPM,TPM-03.2
TPM,TPM-03.3
TPM,TPM-03.4
TPM,TPM-04
TPM,TPM-04.1
TPM,TPM-04.2
TPM,TPM-04.3
TPM,TPM-04.4
TPM,TPM-05
TPM,TPM-05.1
TPM,TPM-05.2
TPM,TPM-05.3
TPM,TPM-05.4
TPM,TPM-05.5
TPM,TPM-05.6
TPM,TPM-05.7
TPM,TPM-05.8
TPM,TPM-06
TPM,TPM-07
TPM,TPM-08
TPM,TPM-09
TPM,TPM-10
TPM,TPM-11
VPM,VPM-01
VPM,VPM-01.1
VPM,VPM-02
VPM,VPM-03
VPM,VPM-03.1
VPM,VPM-04
VPM,VPM-04.1
VPM,VPM-04.2
VPM,VPM-04.3
VPM,VPM-05
VPM,VPM-05.1
VPM,VPM-05.2
VPM,VPM-05.3
