reference_id,citation,source_document
REF-16,Guidelines on Data Protection Officers ('DPOs') | Article29 Working Party. (2017).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-17,"Han, I. A., Kişisel Verilerin İşlenmesi Bağlamında Hukuka Uygunluk Sebebi Olarak Veri Sahibinin Rızası, Galatasaray Üniversitesi Hukuk Fakültesi Dergisi, 18(1), 417-459",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-18,"Kaya, M. B. (2021). The New Paradigm of Data Protection Law: The Principle of Accountability. İstanbul Hukuk Mecmuası.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-19,Kişisel Veri İşleme Şartları | Kişisel Verileri Koruma Kurumu. (n.d.).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-20,Madde ve Gerekçesi ile Kişisel Verilerin Korunması Kanunu | Kişisel Verileri Koruma Kurumu. (2019).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-21,"Opinion 06/2014 on the ""Notion of legitimate interests of the data controller under Article 7 of Directive 95/46/EC"" | Article 29 Data Protection Working Party (n.d.)",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-22,Özel Nitelikli Kişisel Verilerin İşlenme Şartları | Kişisel Verileri Koruma Kurulu.(n.d.).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-23,"Press Release No 158/22 |Court of Justice of the European Union”, 2022",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-24,"Rücker, D., & Kugler, T. (2017). New European General Data Protection Regulation. Nomos/Hart.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-25,Sıkça Sorulan Sorular | Kişisel Verileri Koruma Kurumu. (2019).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-26,Special category data. (n.d.).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-27,Temel İlkeler | Kişisel Verileri Koruma Kurumu. (n.d.).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-28,The Criteria for The Determination of Countries Having an Adequate Level of Protection | Kişisel Verileri Koruma Kurulu. (2019).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-29,The Eleventh Development Plan | Presidency of Republic of Turkey Presidency of Strategy and Budget. (2019).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-30,"Uçak, M. (2021). Kişisel Verilerin Hukuka Uygun İşlenmesinde Çocuğun Rızası. Kişisel Verileri Koruma Dergisi, 3(1), 41-60.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-31,"Uršič, H. (2021). Data Subject Rights Under the GDPR.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-32,"Ustaran, E. (2022). European Data Protection, Third Edition.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-33,"Van Alsenoy, B. (2019). Data Protection Law in the EU.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-34,Yapay Zekâ Alanında Kişisel Verilerin Korunmasına Dair Tavsiyeler| Kişisel Verileri Koruma Kurulu. (n.d.).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-35,2018/10 sayılı Kurul Kararı | Kişisel Verileri Koruma Kurulu. (2018).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-36,2019/125 sayılı Kurul Kararı | Kişisel Verileri Koruma Kurulu. (2019).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-37,2020/173 sayılı Kurul Kararı | Kişisel Verileri Koruma Kurumu. (2020).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
