provision_id,instrument,article_label,note,source_document
KVKK-7,KVKK (Turkish Personal Data Protection Act No: 6698),Art. 7,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-9,KVKK (Turkish Personal Data Protection Act No: 6698),Art. 9,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-10,KVKK (Turkish Personal Data Protection Act No: 6698),Art. 10,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-10(1)(a),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 10(1)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-10(1)(b),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 10(1)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-10(1)(c),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 10(1)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-10(1)(ç),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 10(1)(ç),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-10(1)(d),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 10(1)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-11(1)(b),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 11(1)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-11(1)(c),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 11(1)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-11(1)(d),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 11(1)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-11(1)(e),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 11(1)(e),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-11(1)(g),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 11(1)(g),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-11(a),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 11(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-11(b),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 11(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-11(e),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 11(e),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-11(f),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 11(f),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-12,KVKK (Turkish Personal Data Protection Act No: 6698),Art. 12,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-5(1)(a),GDPR (Regulation (EU) 2016/679),Art. 5(1)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-5(1)(b),GDPR (Regulation (EU) 2016/679),Art. 5(1)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-5(1)(c),GDPR (Regulation (EU) 2016/679),Art. 5(1)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-5(1)(d),GDPR (Regulation (EU) 2016/679),Art. 5(1)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-5(1)(e),GDPR (Regulation (EU) 2016/679),Art. 5(1)(e),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-5(1)(f),GDPR (Regulation (EU) 2016/679),Art. 5(1)(f),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-5(2),GDPR (Regulation (EU) 2016/679),Art. 5(2),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-6,GDPR (Regulation (EU) 2016/679),Art. 6,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-6(1)(a),GDPR (Regulation (EU) 2016/679),Art. 6(1)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-6(1)(b),GDPR (Regulation (EU) 2016/679),Art. 6(1)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-6(1)(c),GDPR (Regulation (EU) 2016/679),Art. 6(1)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-6(1)(d),GDPR (Regulation (EU) 2016/679),Art. 6(1)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-6(1)(e),GDPR (Regulation (EU) 2016/679),Art. 6(1)(e),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-6(1)(f),GDPR (Regulation (EU) 2016/679),Art. 6(1)(f),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-6(3),GDPR (Regulation (EU) 2016/679),Art. 6(3),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-6(3)(2),GDPR (Regulation (EU) 2016/679),Art. 6(3)(2),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-7,GDPR (Regulation (EU) 2016/679),Art. 7,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-7(1),GDPR (Regulation (EU) 2016/679),Art. 7(1),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-7(2),GDPR (Regulation (EU) 2016/679),Art. 7(2),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-7(3),GDPR (Regulation (EU) 2016/679),Art. 7(3),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-7(4),GDPR (Regulation (EU) 2016/679),Art. 7(4),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-8,GDPR (Regulation (EU) 2016/679),Art. 8,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(2),GDPR (Regulation (EU) 2016/679),Art. 9(2),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(2)(a),GDPR (Regulation (EU) 2016/679),Art. 9(2)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(2)(b),GDPR (Regulation (EU) 2016/679),Art. 9(2)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(2)(c),GDPR (Regulation (EU) 2016/679),Art. 9(2)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(2)(e),GDPR (Regulation (EU) 2016/679),Art. 9(2)(e),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(2)(f),GDPR (Regulation (EU) 2016/679),Art. 9(2)(f),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(2)(g),GDPR (Regulation (EU) 2016/679),Art. 9(2)(g),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(2)(h),GDPR (Regulation (EU) 2016/679),Art. 9(2)(h),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(2)(i),GDPR (Regulation (EU) 2016/679),Art. 9(2)(i),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(2)(j),GDPR (Regulation (EU) 2016/679),Art. 9(2)(j),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-9(4),GDPR (Regulation (EU) 2016/679),Art. 9(4),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-10,GDPR (Regulation (EU) 2016/679),Art. 10,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-12-14,GDPR (Regulation (EU) 2016/679),Art. 12-14,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(1)(a),GDPR (Regulation (EU) 2016/679),Art. 13(1)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(1)(b),GDPR (Regulation (EU) 2016/679),Art. 13(1)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(1)(c),GDPR (Regulation (EU) 2016/679),Art. 13(1)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(1)(d),GDPR (Regulation (EU) 2016/679),Art. 13(1)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(1)(e),GDPR (Regulation (EU) 2016/679),Art. 13(1)(e),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(1)(f),GDPR (Regulation (EU) 2016/679),Art. 13(1)(f),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(2)(a),GDPR (Regulation (EU) 2016/679),Art. 13(2)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(2)(b)(c)(d),GDPR (Regulation (EU) 2016/679),"Art. 13(2)(b), (c), (d)",,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(2)(e),GDPR (Regulation (EU) 2016/679),Art. 13(2)(e),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(2)(f),GDPR (Regulation (EU) 2016/679),Art. 13(2)(f),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-13(3),GDPR (Regulation (EU) 2016/679),Art. 13(3),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-14,GDPR (Regulation (EU) 2016/679),Art. 14,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-14(1)(d),GDPR (Regulation (EU) 2016/679),Art. 14(1)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-14(2)(b),GDPR (Regulation (EU) 2016/679),Art. 14(2)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-14(2)(d),GDPR (Regulation (EU) 2016/679),Art. 14(2)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-14(2)(f),GDPR (Regulation (EU) 2016/679),Art. 14(2)(f),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-14(3)(a),GDPR (Regulation (EU) 2016/679),Art. 14(3)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-14(3)(b),GDPR (Regulation (EU) 2016/679),Art. 14(3)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-14(3)(c),GDPR (Regulation (EU) 2016/679),Art. 14(3)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-14(5),GDPR (Regulation (EU) 2016/679),Art. 14(5),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-15,GDPR (Regulation (EU) 2016/679),Art. 15,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-15(3),GDPR (Regulation (EU) 2016/679),Art. 15(3),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-16,GDPR (Regulation (EU) 2016/679),Art. 16,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-17,GDPR (Regulation (EU) 2016/679),Art. 17,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-17(1)(b),GDPR (Regulation (EU) 2016/679),Art. 17(1)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-17(1)(c),GDPR (Regulation (EU) 2016/679),Art. 17(1)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-17(3)(b),GDPR (Regulation (EU) 2016/679),Art. 17(3)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-17(3)(e),GDPR (Regulation (EU) 2016/679),Art. 17(3)(e),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-18,GDPR (Regulation (EU) 2016/679),Art. 18,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-18(1)(d),GDPR (Regulation (EU) 2016/679),Art. 18(1)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-18(2),GDPR (Regulation (EU) 2016/679),Art. 18(2),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-19,GDPR (Regulation (EU) 2016/679),Art. 19,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-20,GDPR (Regulation (EU) 2016/679),Art. 20,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-21,GDPR (Regulation (EU) 2016/679),Art. 21,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-21(1),GDPR (Regulation (EU) 2016/679),Art. 21(1),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-21(2),GDPR (Regulation (EU) 2016/679),Art. 21(2),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-22,GDPR (Regulation (EU) 2016/679),Art. 22,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-22(2),GDPR (Regulation (EU) 2016/679),Art. 22(2),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-23,GDPR (Regulation (EU) 2016/679),Art. 23,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-28(3),GDPR (Regulation (EU) 2016/679),Art. 28(3),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-29,GDPR (Regulation (EU) 2016/679),Art. 29,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-30,GDPR (Regulation (EU) 2016/679),Art. 30,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-31,GDPR (Regulation (EU) 2016/679),Art. 31,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-33-34,GDPR (Regulation (EU) 2016/679),Art. 33-34,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-35,GDPR (Regulation (EU) 2016/679),Art. 35,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-36,GDPR (Regulation (EU) 2016/679),Art. 36,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-37,GDPR (Regulation (EU) 2016/679),Art. 37,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-37(1)(a),GDPR (Regulation (EU) 2016/679),Art. 37(1)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-37(1)(c),GDPR (Regulation (EU) 2016/679),Art. 37(1)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-40,GDPR (Regulation (EU) 2016/679),Art. 40,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-42,GDPR (Regulation (EU) 2016/679),Art. 42,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
GDPR-65,GDPR (Regulation (EU) 2016/679),Art. 65,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
COMM-5(1)(a),"Communique on Principles and Procedures to Be Followed in Fulfillment of the Obligation to Inform (Authority, 2018)",Art. 5(1)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
COMM-5(1)(b),"Communique on Principles and Procedures to Be Followed in Fulfillment of the Obligation to Inform (Authority, 2018)",Art. 5(1)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
COMM-5(1)(f),"Communique on Principles and Procedures to Be Followed in Fulfillment of the Obligation to Inform (Authority, 2018)",Art. 5(1)(f),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
COMM-6(1)(a),"Communique on Principles and Procedures to Be Followed in Fulfillment of the Obligation to Inform (Authority, 2018)",Art. 6(1)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
COMM-6(1)(b),"Communique on Principles and Procedures to Be Followed in Fulfillment of the Obligation to Inform (Authority, 2018)",Art. 6(1)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TRCONST-20,Constitution of the Republic of Turkey,Article 20,"the Turkish Constitution explicitly affirms, in Article 20, the right of every individual to access their personal data",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
DIR-95-46-EC,Directive 95/46/EC,Directive 95/46/EC,The Turkish Personal Data Protection Act No: 6698 (“KVKK”) was legislated with the inspiration of the EU Directive 95/46/EC,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
