tablerow_id,table_id,row_order,col1,col2,col3,source_document
TBL-4-R5,TBL-4,5,"From which source the personal data originate, and if applicable, whether it came from publicly accessible sources",Art. 14(2)(f),X,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-4-R6,TBL-4,6,The categories of personal data concerned,Art. 14(1)(d),X,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-4-R7,TBL-4,7,Existence of the exception available,Exceptions available under Art. 14(5),No exception available,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5-R1,TBL-5,1,"Right to be informed; GDPR Art.12-14, KVKK Art.10","Fairness, Transparency",For all legal bases,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5-R2,TBL-5,2,"Right of access by the data subjects; GDPR Art. 15, KVKK Art. 11/(a), Art.11(b)","Fairness, Transparency, Accountability",For all legal bases,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5-R3,TBL-5,3,"Right to rectification; GDPR Art. 16, KVKK Art.11(1)(d)",Accuracy,For all legal bases,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5-R4,TBL-5,4,"Right to erasure; GDPR Art. 17, KVKK Art.11(1)(e) (partially similar, just saying data subjects are given the right to erasure, no detailed explanations like in the GDPR","Storage limitation, Purpose limitation, Lawfulness",For all legal bases but consent and legitimate interest have their own conditions,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5-R5,TBL-5,5,"Right to restriction of processing; GDPR Art. 18, KVKK Missing","Accuracy, Lawfulness, Purpose limitation",For all bases,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5-R6,TBL-5,6,"Right to request notification; GDPR Art. 19, KVKK Art.11(1)(d)",Accuracy,For all bases,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5-R7,TBL-5,7,"Right to data portability; GDPR Art.20, KVKK Missing","Integrity, Confidentiality","Consent, Performance of a contract, not applicable for public interest",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5-R8,TBL-5,8,"Right to object; GDPR Art. 21, KVKK Missing","Fairness, Purpose limitation","Public interest, Legitimate interest",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5-R9,TBL-5,9,"Right to object for direct marketing; GDPR Art.21(2), KVKK Missing",Fairness,For all bases,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5-R10,TBL-5,10,"Right to object automated individual decision-making; GDPR Art. 22, KVKK Art.11(1)(g) (partially similar, it is stated that data subjects have the right to object to the results of decisions based solely on automated processing)",Fairness,For all bases,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
