control_id,number,domain_number,sub_heading,text,annex,source_document
A1-6.9,6.9,6,,Ensure that adoption of new technologies shall be adequately evaluated for existing/evolving security threats and IT/security team of the bank reach reasonable level of comfort and maturity with such technologies before introducing for critical systems of the bank.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-7.1,7.1,7,,"Follow a documented risk-based strategy for inventorying IT components that need to be patched, identification of patches and applying patches so as to minimize the number of vulnerable systems and the time window of vulnerability/exposure.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-7.2,7.2,7,,"Put in place systems and processes to identify, track, manage and monitor the status of patches to operating system and application software running at end-user devices directly connected to the internet and in respect of Server operating Systems/Databases/Applications/ Middleware, etc.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-7.3,7.3,7,,"Changes to business applications, supporting technology, service components and facilities should be managed using robust configuration management processes, configuration baseline that ensure integrity of any changes thereto",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-7.4,7.4,7,,"Periodically conduct VA/PT of internet facing web/mobile applications, servers & network components throughout their lifecycle (pre-implementation, post implementation, after changes etc.)",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-7.5,7.5,7,,"Periodically conduct Application security testing of web/mobile applications throughout their lifecycle (pre-implementation, post implementation, after changes) in environment closely resembling or replica of production environment.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-7.6,7.6,7,,"As a threat mitigation strategy, identify the root cause of incident and apply necessary patches to plug the vulnerabilities.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-7.7,7.7,7,,"Periodically evaluate the access device configurations and patch levels to ensure that all access points, nodes between (i) different VLANs in the Data Centre (ii) LAN/WAN interfaces (iii) bank’s network to external network and interconnections with partner, vendor and service provider networks are to be securely configured.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-8.1,8.1,8,,"Provide secure access to the bank’s assets/services from within/outside bank’s network by protecting data/information at rest (e.g. using encryption, if supported by the device) and in-transit (e.g. using technologies such as VPN or other secure web protocols, etc.)",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-8.2,8.2,8,,"Carefully protect customer access credentials such as logon userid, authentication information and tokens, access profiles, etc. against leakage/attacks",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-8.3,8.3,8,,Disallow administrative rights on end-user workstations/PCs/laptops and provide access rights on a need to know basis and for specific duration when it is required following an established process.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-8.4,8.4,8,,"Implement centralised authentication and authorisation system or accessing and administering applications, operating systems, databases, network and security devices/systems, point of connectivity (local/remote, etc.) including enforcement of strong password policy, two-factor/multi-factor authentication depending on risk assessment and following the principle of least privileges and separation of duties.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-8.5,8.5,8,,"Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/superuser/administrative access to critical systems (Servers/OS/DB, applications, network devices etc.).",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-8.6,8.6,8,,"Implement controls to minimize invalid logon counts, deactivate dormant accounts.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-8.7,8.7,8,,Monitor any abnormal change in pattern of logon.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-8.8,8.8,8,,"Implement measures to control installation of software on PCs/laptops, etc.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-8.9,8.9,8,,"Implement controls for remote management/wiping/locking of mobile devices including laptops, etc.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-8.10,8.10,8,,"Implement measures to control use of VBA/macros in office documents, control permissible attachment types in email systems.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-9.1,9.1,9,,Implement authentication framework/mechanism to provide positive identify verification of bank to customers.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-9.2,9.2,9,,Customer identity information should be kept secure.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-9.3,9.3,9,,Banks should act as the identity provider for identification and authentication of customers for access to partner systems using secure authentication technologies.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-10.1,10.1,10,,"Implement secure mail and messaging systems, including those used by bank’s partners & vendors, that include measures to prevent email spoofing, identical mail domains, protection of attachments, malicious links etc.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-10.2,10.2,10,,Document and implement email server specific controls,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-11.1,11.1,11,,Banks shall be accountable for ensuring appropriate management and assurance on security risks in outsourced and partner arrangements.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-11.2,11.2,11,,Banks shall carefully evaluate the need for outsourcing critical processes and selection of vendor/partner based on comprehensive risk assessment.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-11.3,11.3,11,,"Among others, banks shall regularly conduct effective due diligence, oversight and management of third party vendors/service providers & partners.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-11.4,11.4,11,,"Establish appropriate framework, policies and procedures supported by baseline system security configuration standards to evaluate, assess, approve, review, control and monitor the risks and materiality of all its vendor/outsourcing activities shall be put in place.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-11.5,11.5,11,,Banks shall ensure and demonstrate that the service provider (including another bank) adheres to all regulatory and legal requirements of the country. Banks may necessarily enter into agreement with the service provider that amongst others provides for right of audit by the bank and inspection by the regulators of the country.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-11.6,11.6,11,,"Reserve Bank of India shall have access to all information resources (online/in person) that are consumed by banks, to be made accessible to RBI officials by the banks when sought, though the infrastructure/enabling resources may not physically be located in the premises of banks.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-11.7,11.7,11,,"Further, banks have to adhere to the relevant legal and regulatory requirements relating to geographical location of infrastructure and movement of data out of borders.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-11.8,11.8,11,,Banks shall thoroughly satisfy about the credentials of vendor/third-party personnel accessing and managing the bank’s critical assets.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-11.9,11.9,11,,"Background checks, non-disclosure and security policy compliance agreements shall be mandated for all third party service providers",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-12.1,12.1,12,,"Define and implement policy for restriction and secure use of removable media/BYOD on various types/categories of devices including but not limited to workstations/PCs/Laptops/Mobile devices/servers, etc. and secure erasure of data on such media after use.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-12.2,12.2,12,,Limit media types and information that could be transferred/copied to/from such devices.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-12.3,12.3,12,,Get the removable media scanned for malware/anti-virus prior to providing read/write access.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-12.4,12.4,12,,Consider implementing centralised policies through Active Directory or End- point management systems to whitelist/blacklist/restrict removable media use.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-12.5,12.5,12,,"As default rule, use of removable devices and media should not be permitted in the banking environment unless specifically authorised for defined use and duration of use.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-13.1,13.1,13,,"Build a robust defence against the installation, spread, and execution of malicious code at multiple points in the enterprise.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-13.2,13.2,13,,"Implement Anti-malware, Antivirus protection including behavioural detection systems for all categories of devices – (Endpoints such as PCs/laptops/ mobile devices etc.), servers (operating systems, databases, applications, etc.), Web/Internet gateways, email-gateways, Wireless networks, SMS servers etc. including tools and processes for centralised management and monitoring.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-13.3,13.3,13,,Consider implementing whitelisting of internet websites/systems.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-13.4,13.4,13,,"Consider implementing secure web gateways with capability to deep scan network packets including secure (HTTPS, etc.) traffic passing through the web/internet gateway",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-14.1,14.1,14,,Subscribe to Anti-phishing/anti-rouge app services from external service providers for identifying and taking down phishing websites/rouge applications.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-15.1,15.1,15,,Develop a comprehensive data loss/leakage prevention strategy to safeguard sensitive (including confidential) business and customer data/information.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-15.2,15.2,15,,"This shall include protecting data processed in end point devices, data in transmission, as well as data stored in servers and other digital stores, whether online or offline.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-15.3,15.3,15,,Similar arrangements need to be ensured at the vendor managed facilities as well.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-16.1,16.1,16,,"Consult all the stakeholders before finalising the scope, frequency and storage of log collection.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-16.2,16.2,16,,"Manage and analyse audit logs in a systematic manner so as to detect, understand or recover from an attack.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-16.3,16.3,16,,"Enough care is to be taken to capture audit logs pertaining to user actions in a system. Such arrangements should facilitate forensic auditing, if need be.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-17.1,17.1,17,,"Implement and periodically validate settings for capturing of appropriate logs/audit trails of each device, system software and application software , ensuring that logs include minimum information to uniquely identify the log for example by including a date, timestamp, source addresses, destination addresses, and various other useful elements of each packet and/or event and/or transaction.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-18.1,18.1,18,,"Periodically conduct vulnerability assessment and penetration testing exercises for all the critical systems, particularly those facing the internet.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-18.2,18.2,18,,The vulnerabilities detected are to be remedied promptly in terms of the bank’s risk management/treatment framework so as to avoid exploitation of such vulnerabilities.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-18.3,18.3,18,,Penetration testing of public facing systems as well as other critical applications are to be carried out by professionally qualified teams.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-18.4,18.4,18,,Findings of VA/PT and the follow up actions necessitated are to be monitored closely by the Information Security/Information Technology Audit team as well as Senior/Top Management.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-18.5,18.5,18,,"Red Teams may be used to identify the vulnerabilities and the business risk, assess the efficacy of the defences and check the mitigating controls already in place by simulating the objectives and actions of an attacker.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-18.6,18.6,18,,"Periodically and actively participate in cyber drills conducted under the aegis of Cert-IN, IDRBT etc.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.1,19.1,19,Responding to Cyber-Incidents:,Put in place a fully effective Incident Response programme with due approval of the Board / Top Management.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.2,19.2,19,Responding to Cyber-Incidents:,"Have written incident response procedures including the roles of staff / outsourced staff handling such incidents; Response strategies shall consider readiness to meet various incident scenarios based on situational awareness and potential/post impact, consistent communication & co-ordination with stakeholders during response;",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.3,19.3,19,Responding to Cyber-Incidents:,Have a mechanism to dynamically incorporate lessons learnt to continually improve the response strategies.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.4,19.4,19,Recovery from Cyber - Incidents:,Bank’s BCP/DR capabilities shall adequately and effectively support the Bank’s cyber resilience objectives and should be so designed to enable the bank to recover rapidly from cyber-attacks/other incidents and safely resume critical operations aligned with recovery time objectives while ensuring security of processes and data is protected.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.5,19.5,19,Recovery from Cyber - Incidents:,Banks shall ensure such capabilities in all interconnected systems and networks including those of vendors and partners and readiness demonstrated through collaborative & co-ordinated resilience testing that meet the bank’s recovery time objectives.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.6,19.6,19,Recovery from Cyber - Incidents:,"Such testing shall also include testing of crisis communication to customers and other internal and external stakeholders, reputation management. Adequate capacity shall be planned and maintained, in consideration thereof. The following may be considered:",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-20.1,20.1,20,,Risk based transaction monitoring or surveillance process shall be implemented as part of fraud risk management system across all -delivery channels.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-20.2,20.2,20,,"The bank should notify the customer, through alternate communication channels, of all payment or fund transfer transactions above a specified value determined by the customer.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-21.1,21.1,21,,"Develop a comprehensive set of metrics that provide for prospective and retrospective measures, like key performance indicators and key risk indicators.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-21.2,21.2,21,,"Some illustrative metrics include coverage of anti-malware software and their updation percentage, patch latency, extent of user awareness training, vulnerability related metrics, etc.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-22.1,22.1,22,,Have support/ arrangement for network forensics/forensic investigation/DDOS mitigation services on stand-by.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-22.2,22.2,22,,"Periodically and actively participate in cyber drills conducted under the aegis of Cert-IN, IDRBT etc.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-23.1,23.1,23,,"Define and communicate to users/employees, vendors & partners security policy/ies covering secure and acceptable use of bank’s network/assets including customer information/data, educating them about cybersecurity risks and protection measures at their level.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-23.2,23.2,23,,Encourage them to report suspicious behaviour incidents to the incident management team.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-23.3,23.3,23,,"Conduct targeted awareness/training for key personnel (at executive, operations, security related administration/operation and management roles, etc.)",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-23.4,23.4,23,,Evaluate the awareness level periodically.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-23.5,23.5,23,,"Establish a mechanism for adaptive capacity building for effective Cybersecurity Management. Making cyber security awareness programs mandatory for new recruits and web-based quiz & training for lower, middle & upper management every year. (Recent and past cyber-attacks show, cyber adversaries are also targeting bank employees).",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-23.6,23.6,23,,Board members may be sensitised on various technological developments and cyber security related developments periodically.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-23.7,23.7,23,,Board members may be provided with training programmes on IT Risk / Cyber- security Risk and evolving best practices in this regard so as to cover all the Board members atleast once a year.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-24.1,24.1,24,,Improve and maintain customer awareness and education with regard to cybersecurity risks.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-24.2,24.2,24,,Encourage customers to report phishing mails/ Phishing sites and on such reporting take effective remedial action.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-24.3,24.3,24,,Educate the customers on the downside risk of sharing their login credentials / passwords etc. to any third party vendor and the consequences thereof.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
