control_id,objective_id,title,control_text
A.3.21,OBJ-A.3.3,Secure disposal or re-use of equipment,Items of equipment containing storage media with PII shall be verified to ensure that any sensitive data has been removed or securely overwritten.
A.3.22,OBJ-A.3.3,User endpoint devices,"PII stored on, processed by or accessible via user endpoint devices shall be protected."
A.3.23,OBJ-A.3.3,Secure authentication,Secure authentication technologies and procedures related to PII processing shall be implemented based on information access restrictions.
A.3.24,OBJ-A.3.3,Information backup,"Backup copies of PII, and software and systems related to PII processing shall be maintained and regularly tested."
A.3.25,OBJ-A.3.3,Logging,"Logs that record activities, exceptions, faults and other relevant events related to PII processing shall be produced, stored, protected and analysed."
A.3.26,OBJ-A.3.3,Use of cryptography,"Rules for the effective use of cryptography related to PII processing, including cryptographic key management, shall be defined and implemented."
A.3.27,OBJ-A.3.3,Secure development life cycle,Rules for the secure development of software and systems related to PII processing shall be established and applied.
A.3.28,OBJ-A.3.3,Application security requirements,"Information security requirements related to PII processing shall be identified, specified and approved when developing or acquiring applications."
A.3.29,OBJ-A.3.3,Secure system architecture and engineering principles,"Principles for engineering secure systems related to processing PII shall be established, documented, maintained and applied."
A.3.30,OBJ-A.3.3,Outsourced development,"The organization shall direct, monitor and review the activities related to outsourced PII processing system development."
A.3.31,OBJ-A.3.3,Test information,"Test information related to PII processing shall be appropriately selected, protected and managed."
