article_id,section_id,part_id,article_number,heading,text,source_document
ART-20,SEC-1-5,PART-1,20,Right to Object to Processing for Direct Marketing Purposes,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-21,SEC-1-5,PART-1,21,Right to object to processing causing material or moral damage to the Data Subject or Others,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-22,SEC-1-5,PART-1,22,Right to object to Decisions based on Automated Processing,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-23,SEC-1-5,PART-1,23,"Right to request rectification, blocking and erasure of data",,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-24,SEC-1-5,PART-1,24,Data Subject's Consent,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-25,SEC-1-5,PART-1,25,Lodging Complaints,"Anyone having a legitimate interest or capacity may lodge a written complaint to the Authority if he believes that there might be a breach of any provision of this Law or that a person is processing personal data in a manner inconsistent with the provisions of this Law. All complaints that may be lodged pursuant to this Law, shall be subject to a resolution issued by the Board, prescribing specific rules and procedures for lodging and processing of such complaints.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-26,SEC-1-5,PART-1,26,"Submission of requests, notifications, objections, complaints and exchanged of correspondences","Pursuant to Legislative-Decree No (28) of 2002 with respect to Electronic transactions, any electronic medium, as subsequently identified by a resolution issued by the Board, may be used for submitting requests, notifications, objections, complaints and for exchanging correspondences.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-27,SEC-2-1,PART-2,27,Establishment of the Authority and its Logo,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-28,SEC-2-1,PART-2,28,Minister oversight over the Authority's work,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-29,SEC-2-1,PART-2,29,Financial resources and Budget of the Authority,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-30,SEC-2-1,PART-2,30,Duties and powers of the Authority,"The Authority shall undertake all assigned duties and granted powers necessary to protect personal data, and it shall, in particular, carry out the following duties:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-31,SEC-2-1,PART-2,31,"Exercising of Duties and Powers, and undertaking of Consultations","The Authority shall carry out its duties and exercise its powers efficiently, effectively, and transparently, without discrimination and in a consistent manner, in accordance with the State's overall policy with respect to the Authority's area of work.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-32,SEC-2-1,PART-2,32,Conflict of Interest,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-33,SEC-2-1,PART-2,33,Authority's Annual Reports,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-34,SEC-2-1,PART-2,34,Appeal against resolutions of the Authority,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-35,SEC-2-1,PART-2,35,Employees of the Authority,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-36,SEC-2-1,PART-2,36,Inspection,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-37,SEC-2-1,PART-2,37,Maintaining confidentiality of information and documents,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-38,SEC-2-1,PART-2,38,Notification to Central Bank of Bahrain (CBB),"Chief Executive shall notify the Governor of CBB concerning any inspection which the Authority intends to carry out, pursuant to provisions of this Law, with respect to businesses of financial institutions subject to CBB monitoring. The Governor may assign any CBB employee to attend inspection and record observations.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-39,SEC-2-2,PART-2,39,Formation of the Board,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-40,SEC-2-2,PART-2,40,Duties and Powers,"The Board is responsible for setting the Authority's policy, overseeing its work, and may take any action necessary to realize the Authority's duties and exercise its powers, and may in particular:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-41,SEC-2-2,PART-2,41,Meetings,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-42,SEC-2-2,PART-2,42,Quorum and Voting,"A meeting of the Board shall be duly convened if attended by a majority of its members, provided that the Chairman or the Deputy Chairman is present. Resolutions of the Board shall be made by a majority of the members present except in cases where this Law, or Regulations, or resolutions implementing its provisions, require a special majority. In the event that the votes are equally split, the vote of the Meeting chairman shall be the deciding vote.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-43,SEC-2-3,PART-2,43,"Appointment, remuneration, and Vacancy of Office",,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-44,SEC-2-3,PART-2,44,Duties and Powers,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-45,SEC-2-3,PART-2,45,Resignation,"The Chief Executive may resign from office, by submitting a written request to the Board, at least three months before the specified resignation date. Acceptance of the resignation is subject to the Board's approval.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-46,SEC-2-3,PART-2,46,Removal from Office,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-47,SEC-3-1,PART-3,47,Conducting Investigation,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-48,SEC-3-1,PART-3,48,Investigation procedures,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-49,SEC-3-1,PART-3,49,"Requesting information, date, and documents from third party",,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-50,SEC-3-1,PART-3,50,Delegation of Law enforcement officers,"In carrying out its duties, the investigation committee, may delegate any of the law enforcement officers referred to in Article (36) of this Law to carry out any of their assigned duties.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-51,SEC-3-1,PART-3,51,Examination of witnesses,"Subject to provisions of Articles (65) - (68) of Law of Evidence in Civil and Commercial matters promulgated by legislative Decree No (14) of 1996, and to Article (119) of Code of criminal procedures promulgated by Legislative Decree No (46) of 2002, the investigation committee may examine any witness whom the committee deems necessary, and shall examine any witnesses upon the concerned parties' request, unless the committee finds examining witnesses, in such case, to be pointless. If the committee is of the view that the witness conduct involves a crime, it shall prepare a memorandum which the Chief Executive shall refer to the Public Prosecution.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-52,SEC-3-1,PART-3,52,Termination of investigation procedures,"The investigation Committee shall, within a period not exceeding 6 months from the date of commencement of investigation, submit to the Chief Executive, a reasoned report of its findings, accompanied with the complete investigation file. Before the expiry of the 6 months period, and upon the Committee's request, the Chief Executive may extend the prescribed period to additional period or periods not exceeding, in total, six months, provided that the delay is attributed to reasons beyond the committee's control.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-53,SEC-3-1,PART-3,53,Notification to concerned parties,"The Chief Executive shall, within 3 working days of receiving the report prescribed in Article (52) of this Law, notify the concerned parties thereof, and shall provide them with a copy of the report and its attachments. The parties concerned with the investigation are entitled to submit a memorandum with their data, comments and supporting documents, as a defense, to the Chief Executive office within a period not exceeding 30 days from receiving the report and its attachments. In the event of investigation initiated by a complaint, and where the plaintiff exercises the right to reply to the committee's report, in such case, the plaintiff shall, and before the expiry of the specified period, provide the defendant with the a copy of his reply and supporting documents thereof via the Chief Executive Office. The defendant may, within a period equivalent to the one specified for the plaintiff, provide the Authority with his comments on the plaintiff's reply.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-54,SEC-3-1,PART-3,54,Disposition of investigation,"The report accompanied with Chief Executive Comments, shall be submitted to the Board. Submission shall be made by the Chief Executive in the first session taking place after the termination of the specified periods in paragraph (2) of Article (53) of this Law. The Board may decide to dismiss the investigation, or to declare that the alleged violation, was not proven against the Data Controller. In evidence of violation, the Board may adopt any of the measure prescribed in Article (55) of this Law, or it may refer the matter once again to the investigation committee for further inquiry, search and for completion of investigation.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-55,SEC-3-1,PART-3,55,Permitted measures in evidence of violation,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-56,SEC-3-1,PART-3,56,Cases of Urgency,,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-57,SEC-3-2,PART-3,57,Compensation,"Without prejudice to provisions of the Civil Law, a party who suffers damage resulting from processing of his personal data by the Data Controller, or as a result of violating provisions of this Law by Data protection Guardian, is entitled to claim compensation from the Data Controller or Data protection Guardian as the case maybe.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-58,SEC-3-3,PART-3,58,Penalties,Without prejudice to any stricter penalty imposed by any other law:,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-59,SEC-3-3,PART-3,59,Liability of legal person,"Without prejudice to criminal liability of natural person, a legal person shall be subject to penalties to the lower and upper limits being double the amounts prescribed for fines, if any of the crimes stipulated in Article (58) of this Law was committed, under the legal person name, or on its behalf, or for its benefits. Provided that such crimes are the result of actions, omission, approval, cover-up, or gross negligence by any member of the Board of Directors of the legal person, or by its delegated official, or by a person acting in such capacity.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-60,SEC-3-3,PART-3,60,Conciliation,"The Board, or the party delegated thereof, may agree to conciliation, except for cases of recidivism, with respect to crimes stipulated in paragraphs (1/c), (1/d), (1/e) of Article (58) of this Law; provided that the final verdict has not been issued in the relevant case, and subject to payment of minimum amount of fine within 7 days from agreement to conciliation. Criminal proceedings, concerning the criminal offense subject of conciliation, shall laps upon completion of conciliation, without prejudice to the right to claim compensation by the party suffering damage.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
