clause_id,article_id,parent_clause_id,label,level,citation,text,source_document
ART-8-2,ART-8,,2,1,Article (8)(2),"The Board shall pass a resolution prescribing particular conditions to be met in the technical and organizational measures referred to under Paragraph (1) of this Article. When processing personal data, the resolution may impose specific security measures on certain activities.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-8-3,ART-8,,3,1,Article (8)(3),"Where the data processor in entrusted with the processing of the data, the data controller shall:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-8-3-a,ART-8,ART-8-3,a,2,Article (8)(3)(a),choose a data processor who provides sufficient safeguards in respect of implementing the technical and organizational measures necessary when processing data. The data controller must take reasonable steps to ensure compliance with those measures; and,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-8-3-b,ART-8,ART-8-3,b,2,Article (8)(3)(b),"Ensure that the processing is only carried out pursuant to a written contract between the data processor and the data controller, which shall stipulate in particular that:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-8-3-b-i,ART-8,ART-8-3-b,i,3,Article (8)(3)(b)(i),The Data Processor will only act on a processing pursuant to the data controller's instructions; and,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-8-3-b-ii,ART-8,ART-8-3-b,ii,3,Article (8)(3)(b)(ii),The Data Processor complies with obligations equivalent to those imposed on the data controller with respect to security and confidentiality.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-9-1,ART-9,,1,1,Article (9)(1),"The Data Controller must not disclose any personal data without the data subject's consent or in execution of a judicial order issued by a competent court, Public Prosecution, investigation judge or Military Prosecution.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-9-2,ART-9,,2,1,Article (9)(2),"The Data Controller must not process any personal data in breach of the provisions of this Law. In all circumstances, an individual who has access to personal data must not undertake any processing without the data controller's consent or in execution of a judicial order issued by a competent court, investigation judge, Public Prosecution, or Military Prosecution. They also, must not use the personal data for their personal benefit, or for the benefit of others. Prohibition shall remain valid even after termination of the employment relationship or contract duration.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-10-1,ART-10,,1,1,Article (10)(1),The Data Protection Guardian is responsible for the following:,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-10-1-a,ART-10,ART-10-1,a,2,Article (10)(1)(a),Assisting the data controller in exercising his rights and adhering to his duties as prescribed under the provisions of this Law;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-10-1-b,ART-10,ART-10-1,b,2,Article (10)(1)(b),liaising between the Authority and Data Controller with respect to the data controller's implementation of specific provisions related to the processing of personal data;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-10-1-c,ART-10,ART-10-1,c,2,Article (10)(1)(c),"ensuring that the Data Controller processes personal data in compliance with the provisions of this Law, and in the event of the Personal Data Guardian identifying any violation regarding this matter, he shall immediately bring it to the attention of the Data Controller to eliminate the causes of violation or undertake the necessary rectification as soon as possible;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-10-1-d,ART-10,ART-10-1,d,2,Article (10)(1)(d),"notifying the Authority upon obtaining new evidence concerning the committed violations which the Data Controller has not yet rectified nor eliminated its causes, after a period exceeding ten days from his notification thereof;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-10-1-e,ART-10,ART-10-1,e,2,Article (10)(1)(e),"Maintaining a register of the processing which the Data Controller is obliged to notify the Authority about, in accordance with the provisions of Article (14) of this Law. The Data Controller shall maintain the register if a Data Protection Guardian is not appointed. The register shall comprise, at least, of the information prescribed under the said Article. The Data Protection Guardian shall provide the Authority with an updated version of the register once every month ; and",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-10-1-f,ART-10,ART-10-1,f,2,Article (10)(1)(f),Data protection Guardian shall perform his duties independently and impartially.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-10-2,ART-10,,2,1,Article (10)(2),"The Authority shall create a register entitled “Data Protection Guardians Register” where recognition of a Data Protection Guardian is subject to being recorded in the Register. The Board shall pass a resolution prescribing the Data Protection Guardian's duties, specifically the necessary conditions regarding who shall be recorded under the register, the procedures of recording, duration and renewal thereof.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-10-3,ART-10,,3,1,Article (10)(3),"A fee shall be imposed on an application to record under the register as prescribed by Paragraph (2) of this Article. Additionally, a fee shall be imposed on an annual basis, if an application to record in the said register has been approved, and for renewals thereof. The Minister shall issue a decision, pursuant to the Council of Minister's approval, prescribing the types of fees, and identifying situations of exemptions from and refund of fee.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-10-4,ART-10,,4,1,Article (10)(4),"The Data Controller may appoint a Data Protection Guardian, however, the Board may pass a resolution obliging certain categories of Data Controllers to appoint a Data Protection Guardian. In all circumstances, the Data Controller must notify the Authority within three (3) working days of such appointment.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-11-1,ART-11,,1,1,Article (11)(1),"The personal data recorded in the Registers, accessible to the public, must be within the limits of necessity, and for the purposes for which such registers were created.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-11-2,ART-11,,2,1,Article (11)(2),The Board shall pass a resolution prescribing the conditions to be considered when creating the registers as referred to in Paragraph (1) of this Article.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-12-1,ART-12,,1,1,Article (12)(1),"The transfer is to a country or territory that is listed in a record compiled and updated by the Authority, comprising of countries and territories that, upon the Authority's discretion, provide adequate legislative and regulatory protection for personal data. Such record shall be published in the Official Gazette.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-12-2,ART-12,,2,1,Article (12)(2),"A transfer occurs upon the Authority's authorisation on a case-by-case basis provided that the data will be subject to an adequate level of protection. The adequacy of such level of protection shall be assessed in the light of all the circumstances surrounding the data transfer operation, which shall include in particular the following:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-12-2-i,ART-12,ART-12-2,i,2,Article (12)(2)(i),"the nature of the data to be transferred, purpose and duration of processing;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-12-2-ii,ART-12,ART-12-2,ii,2,Article (12)(2)(ii),"the country or territory of origin of the data, its final destination, and available measures, in such countries and territories, to protect personal data; and",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-12-2-iii,ART-12,ART-12-2,iii,2,Article (12)(2)(iii),"Relevant international agreements and legislations that are in force in the country or territory, which the data shall be transferred to.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-12-2-closing,ART-12,ART-12-2,closing sentence,2,Article (12)(2)(closing sentence),The aforementioned authorisation may be conditional or for a certain timeframe.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-13-1,ART-13,,1,1,Article (13)(1),"Notwithstanding the provisions of Article (12) of this Law, the Data Controller may transfer personal data outside the Kingdom to another country or territory that does not provide adequate level of protection in any of the following circumstances:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-13-1-a,ART-13,ART-13-1,a,2,Article (13)(1)(a),if the data subject has given his consent to the transfer;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-13-1-b,ART-13,ART-13-1,b,2,Article (13)(1)(b),"If the transfer is for data obtained from a register compiled in accordance with the law for the purpose of providing information to the public, whether it is available for the public or limited to any person demonstrating a legitimate interest, in accordance with certain conditions. In such case, accessing this information shall be in accordance with stipulated conditions concerning accessing the register.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-13-1-c,ART-13,ART-13-1,c,2,Article (13)(1)(c),If the transfer is necessary for:,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-13-1-c-i,ART-13,ART-13-1-c,i,3,Article (13)(1)(c)(i),"the performance of a contract between the data subject and the Data Controller or taking steps, at the request of the data subject, with the purpose of entering into a contract;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-13-1-c-ii,ART-13,ART-13-1-c,ii,3,Article (13)(1)(c)(ii),"the conclusion or performance of a contract entered into, in the interest of the data subject, between the Data Controller and a third party;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-13-1-c-iii,ART-13,ART-13-1-c,iii,3,Article (13)(1)(c)(iii),protecting the vital interests of the data subject;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-13-1-c-iv,ART-13,ART-13-1-c,iv,3,Article (13)(1)(c)(iv),"Complying with an obligation prescribed in law, not being a contractual obligation, or complying with an order from a competent court, the Public Prosecution, the investigation Judge, or the Military Prosecution; or",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-13-1-c-v,ART-13,ART-13-1-c,v,3,Article (13)(1)(c)(v),Preparing or pursuing a legal claim or defense.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-13-2,ART-13,,2,1,Article (13)(2),"Without prejudice to Paragraph (1) of this Article, the Authority may authorize a transfer of personal data, or collection thereof, to another country or territory that does not ensure an adequate level of protection within the meaning of Article (12) of this Law, where the Data Controller adduces adequate safeguards with respect to the protection of the privacy and fundamental rights and freedoms of individuals. These safeguards may -in particular- be prescribed according to a contract to which the Data controller is a party, and the Authority shall accordingly subject the grant of such authorisation to fulfilment of certain conditions.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-1,ART-14,,1,1,Article (14)(1),"The Data Controller shall give prior notice to the Authority of any wholly or partially automated processing operation, or set of such operations, intended to serve a single purpose or several related purposes. The Data Controller is not required to give prior notice in respect of:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-1-a,ART-14,ART-14-1,a,2,Article (14)(1)(a),"processing the sole purpose of which is the keeping, according to the law , of a register that is intended to provide information to the public and is accessible either by the public in general or limited to those with legitimate interest;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-1-b,ART-14,ART-14-1,b,2,Article (14)(1)(b),"processing carried out in the course of activities related to associations, of all types, unions, and any non-profit-seeking body;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-1-c,ART-14,ART-14-1,c,2,Article (14)(1)(c),"employer processing data in relation to his employees' data to the extent necessary to perform his duties, obligations, organize his matters, pursue his rights and protecting his employees' rights;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-1-d,ART-14,ART-14-1,d,2,Article (14)(1)(d),in situations where a Data Protection Guardian is appointed.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-2,ART-14,,2,1,Article (14)(2),"A resolution by the Board shall determine applicable rules and procedures to submission of the notification prescribed in Paragraph (1) of this Article, and shall specifically include the following:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-2-a,ART-14,ART-14-2,a,2,Article (14)(2)(a),"the name and address of the Data Controller and Data Processor, if any;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-2-b,ART-14,ART-14-2,b,2,Article (14)(2)(b),the purpose of the processing;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-2-c,ART-14,ART-14-2,c,2,Article (14)(2)(c),a description of the data and categories of data subjects and the data recipients or categories of recipient;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-2-d,ART-14,ART-14-2,d,2,Article (14)(2)(d),any proposed transfer of data to a country or a territory outside the Kingdom; and,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-2-e,ART-14,ART-14-2,e,2,Article (14)(2)(e),General description allowing the Authority to perform a preliminary assessment of the appropriateness of available security measures pursuant to Article (8) of this Law.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-3,ART-14,,3,1,Article (14)(3),"The Board may pass a resolution, where a simplified version of the notification prescribed in paragraph (1) of this Article shall be sufficient, in situations where, due to the nature of the data to be processed, no infringement to the data subject's rights and freedoms as prescribed by law shall occur. The simplified notification shall be submitted pursuant to the rules and procedures issued in the aforementioned resolution and shall include the following:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-3-a,ART-14,ART-14-3,a,2,Article (14)(3)(a),the purpose of the processing;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-3-b,ART-14,ART-14-3,b,2,Article (14)(3)(b),the processed data or categories of processed data;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-3-c,ART-14,ART-14-3,c,2,Article (14)(3)(c),the categories of data subjects affected by such processing and the data recipients or categories of recipient;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-3-d,ART-14,ART-14-3,d,2,Article (14)(3)(d),the length of time during which the data may be stored; and,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-3-e,ART-14,ART-14-3,e,2,Article (14)(3)(e),Information required to be included within the notification.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-4,ART-14,,4,1,Article (14)(4),"The Authority shall within ten working days of receipt of a notification made pursuant to Paragraphs (1) or (3) of this Article, inform the Data Controller to complete any deficiency in a notification within a period not exceeding fifteen days from date of request. The applicant shall stop the processing until the notification is deemed complete.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-5,ART-14,,5,1,Article (14)(5),"All notifications under Paragraphs (1) and (3) of this Article shall be promptly recorded, upon its receipt, in the register referenced under Article (16) of this Law. The Authority, upon its request of the Data Controller to complete any deficiencies in a notification pursuant to Paragraph (4) of this Article, shall, by virtue of a justified resolution, write-off incomplete notification from the register. The Authority shall immediately notify the Data Controller upon the issuance of such resolution.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-14-6,ART-14,,6,1,Article (14)(6),"The Data Controller shall notify the Authority of any change with respect to the information, which the Authority was notified with pursuant to this Article, within thirty days from the date of such change.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-15-1,ART-15,,1,1,Article (15)(1),it is prohibited to process any of the following operations without obtaining the Authority's prior written authorisation:,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-15-1-a,ART-15,ART-15-1,a,2,Article (15)(1)(a),Automatic processing of sensitive personal data as referenced under Paragraph (2) of Article (5) of this Law;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-15-1-b,ART-15,ART-15-1,b,2,Article (15)(1)(b),Automatic processing of biometric data necessary for the verification of an individual's identity;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-15-1-c,ART-15,ART-15-1,c,2,Article (15)(1)(c),"Automatic processing of genetic data , unless carried out by physicians, or a specialist within a licensed medical establishment, and is necessary for preventative medicine, medical diagnosis or the administration of health care or treatment;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-15-1-d,ART-15,ART-15-1,d,2,Article (15)(1)(d),"Automatic processing involving linkage between personal data files, of two or more data controllers, processed for different purposes; and",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-15-1-e,ART-15,ART-15-1,e,2,Article (15)(1)(e),"Processing that is done by means of visual recording, and used for surveillance purposes.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-15-2,ART-15,,2,1,Article (15)(2),"A request for authorisation shall be submitted and processed in accordance with the rules and procedures prescribed by a resolution issued by the Board. The same data should be included in the request for authorisation, and the notification prescribed in Article (14) of this Law. The Authority may, within five working days, of receipt of the request, instruct the Data Controller to complete any deficiency in the request, and the applicant shall complete such deficiency within the following five working days, or else, the Authority shall make its decision in consideration of the information given.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-15-3,ART-15,,3,1,Article (15)(3),"The Authority shall grant the authorisation where the request satisfies all conditions prescribed pursuant to a resolution issued by the Board. The Authority shall make a ruling on the request for authorisation and notify the concerned party of the decision within thirty days of submission thereof. If the Data Controller does not receive a reply within the period mentioned herein, it is deemed as an implied rejection.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-16-1,ART-16,,1,1,Article (16)(1),The Authority shall maintain a register entitled “The Notifications and Authorisations Register” recording the following:,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-16-1-a,ART-16,ART-16-1,a,2,Article (16)(1)(a),"Notifications referenced under Paragraph (1) of Article (14) of this Law, and all data to be included pursuant to Paragraphs (1)(a) to (1)(d) of the same Article.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-16-1-b,ART-16,ART-16-1,b,2,Article (16)(1)(b),"Notifications subject to the simplified notifications provisions in accordance with Paragraph (3) of Article (14) of this Law, and all data to be included in such notifications pursuant to Paragraphs (3)(a) to (3)(d) of the same Article.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-16-1-c,ART-16,ART-16-1,c,2,Article (16)(1)(c),What may be issued by the Authority in response to the notifications referenced under Paragraphs (1)(a) and (1)(b) of this Article.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-16-1-d,ART-16,ART-16-1,d,2,Article (16)(1)(d),Notifications that are submitted to the Authority by the Data Controllers with respect to the changes to the notification data referenced under Paragraphs (1) (a) and (1) (b) of this Article.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-16-1-e,ART-16,ART-16-1,e,2,Article (16)(1)(e),"Applications for obtaining prior authorisation pursuant to the provisions of Article (15) of this Law, the data included therein and resolutions passed by the Authority with respect to prior authorisation.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-16-1-f,ART-16,ART-16-1,f,2,Article (16)(1)(f),Any other data relevant to notices and authorisation which the Authority decides to record.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
