id,label,name,legal_reference,definition
DEF_015,Definition,threat intelligence,Art 3(15),"information that has been aggregated, transformed, analysed, interpreted or enriched to provide the necessary context for decision-making and to enable relevant and sufficient understanding in order to mitigate the impact of an ICT-related incident or of a cyber threat, including the technical details of a cyber-attack, those responsible for the attack and their modus operandi and motivations;"
DEF_016,Definition,vulnerability,Art 3(16),"a weakness, susceptibility or flaw of an asset, system, process or control that can be exploited;"
DEF_017,Definition,threat-led penetration testing (TLPT),Art 3(17),"a framework that mimics the tactics, techniques and procedures of real- life threat actors perceived as posing a genuine cyber threat, that delivers a controlled, bespoke, intelligence-led (red team) test of the financial entity’s critical live production systems;"
DEF_018,Definition,ICT third-party risk,Art 3(18),"an ICT risk that may arise for a financial entity in relation to its use of ICT services provided by ICT third-party service providers or by subcontractors of the latter, including through outsourcing arrangements;"
DEF_019,Definition,ICT third-party service provider,Art 3(19),an undertaking providing ICT services;
DEF_020,Definition,ICT intra-group service provider,Art 3(20),"an undertaking that is part of a financial group and that provides predominantly ICT services to financial entities within the same group or to financial entities belonging to the same institutional protection scheme, including to their parent undertakings, subsidiaries, branches or other entities that are under common ownership or control;"
DEF_021,Definition,ICT services,Art 3(21),"digital and data services provided through ICT systems to one or more internal or external users on an ongoing basis, including hardware as a service and hardware services which includes the provision of technical support via software or firmware updates by the hardware provider, excluding traditional analogue telephone services;"
DEF_022,Definition,critical or important function,Art 3(22),"a function, the disruption of which would materially impair the financial performance of a financial entity, or the soundness or continuity of its services and activities, or the discontinued, defective or failed performance of that function would materially impair the continuing compliance of a financial entity with the conditions and obligations of its authorisation, or with its other obligations under applicable financial services law;"
DEF_023,Definition,critical ICT third-party service provider,Art 3(23),an ICT third-party service provider designated as critical in accordance with Article 31;
DEF_024,Definition,ICT third-party service provider established in a third country,Art 3(24),an ICT third-party service provider that is a legal person established in a third-country and that has entered into a contractual arrangement with a financial entity for the provision of ICT services;
DEF_025,Definition,subsidiary,Art 3(25),"a subsidiary undertaking within the meaning of Article 2, point (10), and Article 22 of Directive 2013/34/EU;"
DEF_026,Definition,group,Art 3(26),"a group as defined in Article 2, point (11), of Directive 2013/34/EU;"
DEF_027,Definition,parent undertaking,Art 3(27),"a parent undertaking within the meaning of Article 2, point (9), and Article 22 of Directive 2013/34/EU;"
DEF_028,Definition,ICT subcontractor established in a third country,Art 3(28),"an ICT subcontractor that is a legal person established in a third-country and that has entered into a contractual arrangement either with an ICT third-party service provider, or with an ICT third-party service provider established in a third country;"
DEF_029,Definition,ICT concentration risk,Art 3(29),"an exposure to individual or multiple related critical ICT third-party service providers creating a degree of dependency on such providers so that the unavailability, failure or other type of shortfall of such provider may potentially endanger the ability of a financial entity to deliver critical or important functions, or cause it to suffer other types of adverse effects, including large losses, or endanger the financial stability of the Union as a whole;"
DEF_030,Definition,management body,Art 3(30),"a management body as defined in Article 4(1), point (36), of Directive 2014/65/EU, Article 3(1), point (7), of Directive 2013/36/EU, Article 2(1), point (s), of Directive 2009/65/EC of the European Parliament and of the Council (31), Article 2(1), point (45), of Regulation (EU) No 909/2014, Article 3(1), point (20), of Regulation (EU) 2016/1011, and in the relevant provision of the Regulation on markets in crypto-assets, or the equivalent persons who effectively run the entity or have key functions in accordance with relevant Union or national law;"
DEF_031,Definition,credit institution,Art 3(31),"a credit institution as defined in Article 4(1), point (1), of Regulation (EU) No 575/2013 of the European Parliament and of the Council (32);"
DEF_032,Definition,institution exempted pursuant to Directive 2013/36/EU,Art 3(32),"an entity as referred to in Article 2(5), points (4) to (23), of Directive 2013/36/EU;"
DEF_033,Definition,investment firm,Art 3(33),"an investment firm as defined in Article 4(1), point (1), of Directive 2014/65/EU;"
DEF_034,Definition,small and non-interconnected investment firm,Art 3(34),an investment firm that meets the conditions laid out in Article 12(1) of Regulation (EU) 2019/2033 of the European Parliament and of the Council (33);
DEF_035,Definition,payment institution,Art 3(35),"a payment institution as defined in Article 4, point (4), of Directive (EU) 2015/2366;"
DEF_036,Definition,payment institution exempted pursuant to Directive (EU) 2015/2366,Art 3(36),a payment institution exempted pursuant to Article 32(1) of Directive (EU) 2015/2366;
DEF_037,Definition,account information service provider,Art 3(37),an account information service provider as referred to in Article 33(1) of Directive (EU) 2015/2366;
DEF_038,Definition,electronic money institution,Art 3(38),"an electronic money institution as defined in Article 2, point (1), of Directive 2009/110/EC of the European Parliament and of the Council;"
DEF_039,Definition,electronic money institution exempted pursuant to Directive 2009/110/EC,Art 3(39),an electronic money institution benefitting from a waiver as referred to in Article 9(1) of Directive 2009/110/EC;
DEF_040,Definition,central counterparty,Art 3(40),"a central counterparty as defined in Article 2, point (1), of Regulation (EU) No 648/2012;"
DEF_041,Definition,trade repository,Art 3(41),"a trade repository as defined in Article 2, point (2), of Regulation (EU) No 648/2012;"
DEF_042,Definition,central securities depository,Art 3(42),"a central securities depository as defined in Article 2(1), point (1), of Regulation (EU) No 909/2014;"
DEF_043,Definition,trading venue,Art 3(43),"a trading venue as defined in Article 4(1), point (24), of Directive 2014/65/EU;"
DEF_044,Definition,manager of alternative investment funds,Art 3(44),"a manager of alternative investment funds as defined in Article 4(1), point (b), of Directive 2011/61/EU;"
DEF_045,Definition,management company,Art 3(45),"a management company as defined in Article 2(1), point (b), of Directive 2009/65/EC;"
DEF_046,Definition,data reporting service provider,Art 3(46),"a data reporting service provider within the meaning of Regulation (EU) No 600/2014, as referred to in Article 2(1), points (34) to (36) thereof;"
DEF_047,Definition,insurance undertaking,Art 3(47),"an insurance undertaking as defined in Article 13, point (1), of Directive 2009/138/EC;"
DEF_048,Definition,reinsurance undertaking,Art 3(48),"a reinsurance undertaking as defined in Article 13, point (4), of Directive 2009/138/EC;"
DEF_049,Definition,insurance intermediary,Art 3(49),"an insurance intermediary as defined in Article 2(1), point (3), of Directive (EU) 2016/97 of the European Parliament and of the Council (34);"
DEF_050,Definition,ancillary insurance intermediary,Art 3(50),"an ancillary insurance intermediary as defined in Article 2(1), point (4), of Directive (EU) 2016/97;"
DEF_051,Definition,reinsurance intermediary,Art 3(51),"a reinsurance intermediary as defined in Article 2(1), point (5), of Directive (EU) 2016/97;"
DEF_052,Definition,institution for occupational retirement provision,Art 3(52),"an institution for occupational retirement provision as defined in Article 6, point (1), of Directive (EU) 2016/2341;"
DEF_053,Definition,small institution for occupational retirement provision,Art 3(53),an institution for occupational retirement provision which operates pension schemes which together have less than 100 members in total;
DEF_054,Definition,credit rating agency,Art 3(54),"a credit rating agency as defined in Article 3(1), point (b), of Regulation (EC) No 1060/2009;"
DEF_055,Definition,crypto-asset service provider,Art 3(55),a crypto-asset service provider as defined in the relevant provision of the Regulation on markets in crypto-assets;
DEF_056,Definition,issuer of asset-referenced tokens,Art 3(56),an issuer of asset-referenced tokens as defined in the relevant provision of the Regulation on markets in crypto-assets;
DEF_057,Definition,administrator of critical benchmarks,Art 3(57),"an administrator of ‘critical benchmarks’ as defined in Article 3(1), point (25), of Regulation (EU) 2016/1011;"
DEF_058,Definition,crowdfunding service provider,Art 3(58),"a crowdfunding service provider as defined in Article 2(1), point (e), of Regulation (EU) 2020/1503 of the European Parliament and of the Council (35);"
DEF_059,Definition,securitisation repository,Art 3(59),"a securitisation repository as defined in Article 2, point (23), of Regulation (EU) 2017/2402 of the European Parliament and of the Council (36);"
DEF_060,Definition,microenterprise,Art 3(60),"a financial entity, other than a trading venue, a central counterparty, a trade repository or a central securities depository, which employs fewer than 10 persons and has an annual turnover and/or annual balance sheet total that does not exceed EUR 2 million;"
DEF_061,Definition,Lead Overseer,Art 3(61),"the European Supervisory Authority appointed in accordance with Article 31(1), point (b) of this Regulation;"
DEF_062,Definition,Joint Committee,Art 3(62),"the committee referred to in Article 54 of Regulations (EU) No 1093/2010, (EU) No 1094/2010 and (EU) No 1095/2010;"
DEF_063,Definition,small enterprise,Art 3(63),"a financial entity that employs 10 or more persons, but fewer than 50 persons, and has an annual turnover and/or annual balance sheet total that exceeds EUR 2 million, but does not exceed EUR 10 million;"
DEF_064,Definition,medium-sized enterprise,Art 3(64),a financial entity that is not a small enterprise and employs fewer than 250 persons and has an annual turnover that does not exceed EUR 50 million and/or an annual balance sheet that does not exceed EUR 43 million;
DEF_065,Definition,public authority,Art 3(65),"any government or other public administration entity, including national central banks."
