citation_id,citation_text,citation_type,code,chapter_or_title,source_document
CIT_105_CMR_460_000,105 CMR 460.000,CMR regulation,CMR,105 CMR 460,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_480_000,105 CMR 480.000,CMR regulation,CMR,105 CMR 480,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_480_135,105 CMR 480.135,CMR regulation,CMR,105 CMR 480,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_510_000,105 CMR 510.000,CMR regulation,CMR,105 CMR 510,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_515_000,105 CMR 515.000,CMR regulation,CMR,105 CMR 515,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_520_000,105 CMR 520.000,CMR regulation,CMR,105 CMR 520,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_533_000,105 CMR 533.000,CMR regulation,CMR,105 CMR 533,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_541_000,105 CMR 541.000,CMR regulation,CMR,105 CMR 541,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_560_000,105 CMR 560.000,CMR regulation,CMR,105 CMR 560,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_561_000,105 CMR 561.000,CMR regulation,CMR,105 CMR 561,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_570_000,105 CMR 570.000,CMR regulation,CMR,105 CMR 570,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_590_000,105 CMR 590.000,CMR regulation,CMR,105 CMR 590,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_590_012,105 CMR 590.012,CMR regulation,CMR,105 CMR 590,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_675_000,105 CMR 675.000,CMR regulation,CMR,105 CMR 675,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_220_CMR_25_03_2,220 CMR 25.03(2),CMR regulation,CMR,220 CMR 25,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_11_05_1,310 CMR 11.05(1),CMR regulation,CMR,310 CMR 11,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_15_00,310 CMR 15.00,CMR regulation,CMR,310 CMR 15,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_16_00,310 CMR 16.00,CMR regulation,CMR,310 CMR 16,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_16_05,310 CMR 16.05,CMR regulation,CMR,310 CMR 16,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_19_061,310 CMR 19.061,CMR regulation,CMR,310 CMR 19,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_19_061_3,310 CMR 19.061 (3),CMR regulation,CMR,310 CMR 19,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_7_00,310 CMR 7.00,CMR regulation,CMR,310 CMR 7,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_7_07,310 CMR 7.07,CMR regulation,CMR,310 CMR 7,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_7_08,310 CMR 7.08,CMR regulation,CMR,310 CMR 7,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_7_09,310 CMR 7.09,CMR regulation,CMR,310 CMR 7,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_7_10,310 CMR 7.10,CMR regulation,CMR,310 CMR 7,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_7_11,310 CMR 7.11,CMR regulation,CMR,310 CMR 7,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_7_15,310 CMR 7.15,CMR regulation,CMR,310 CMR 7,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_310_CMR_7_26_50,310 CMR 7.26(50),CMR regulation,CMR,310 CMR 7,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_333_CMR_11_07,333 CMR 11.07,CMR regulation,CMR,333 CMR 11,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_333_CMR_2_00,333 CMR 2.00,CMR regulation,CMR,333 CMR 2,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_Federal_1999_Food_Code,federal 1999 Food Code,Federal code,,,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_Interstate_Shellfish_Shippers_List,Interstate Shellfish Shippers List (ISSL),Program/list,,,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111,M.G.L. c. 111,M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_107,"M.G.L. c. 111, s. 107",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_108,"M.G.L. c. 111, s. 108",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_109,"M.G.L. c. 111, s. 109",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_110,"M.G.L. c. 111, s. 110",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_111A,"M.G.L. c. 111, s. 111A",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_112_113,"M.G.L. c. 111, s. 112-113",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_113,"M.G.L. c. 111, s. 113",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_122,"M.G.L. c. 111, s. 122",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_122A,"M.G.L. c. 111, s. 122A",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_123,"M.G.L. c. 111, s. 123",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_125,"M.G.L. c. 111, s. 125",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_125A,"M.G.L. c. 111, s. 125A",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_127A,"M.G.L. c. 111, s. 127A",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_127B,"M.G.L. c. 111, s. 127B",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_131,"M.G.L. c. 111, s. 131",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_143,"M.G.L. c. 111, s. 143",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_150A_and_150A1_2,"M.G.L. c. 111, s. 150A and 150A1/2",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_150B,"M.G.L. c. 111, s. 150B",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_151,"M.G.L. c. 111, s. 151",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_181,"M.G.L. c. 111, s. 181",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_189_s_199A,"M.G.L. c. 111, s. 189 - s. 199A",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_26_33,"M.G.L. c. 111, s. 26-33",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_27A,"M.G.L. c. 111, s. 27A",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_27B,M.G.L. c. 111 s. 27B,M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_29,"M.G.L. c. 111, s. 29",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_31,"M.G.L. c. 111, s. 31",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_31A,"M.G.L. c. 111, s. 31A",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_31B,"M.G.L. c. 111, s. 31B",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_31C,"M.G.L. c. 111, s. 31C",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_32,"M.G.L. c. 111, s. 32",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_33,"M.G.L. c. 111, s. 33",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_50,"M.G.L. c. 111, s. 50",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_5S,"M.G.L. c. 111, s. 5S",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_7,"M.G.L. c. 111, s. 7",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_8C,"M.G.L. c. 111, s. 8C",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_92,"M.G.L. c. 111, s. 92",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_92_105_116,"M.G.L. c. 111, s. 92-105, 116",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_94A,"M.G.L. c. 111, s. 94A",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_94H,"M.G.L. c. 111, s. 94H",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_111_s_95,"M.G.L. c. 111, s. 95",M.G.L. statute,M.G.L.,c. 111,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_114_s_34,M.G.L. c. 114. s. 34,M.G.L. statute,M.G.L.,c. 114,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_114_s_45,"M.G.L. c. 114, s. 45",M.G.L. statute,M.G.L.,c. 114,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_114_s_49,"M.G.L. c. 114, s. 49",M.G.L. statute,M.G.L.,c. 114,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_129_s_15,"M.G.L. c. 129, s. 15",M.G.L. statute,M.G.L.,c. 129,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_130_s_81,"M.G.L. c. 130, s. 81",M.G.L. statute,M.G.L.,c. 130,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_M_G_L_c_131_s_80A,"M.G.L. c. 131, s. 80A",M.G.L. statute,M.G.L.,c. 131,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
