source_id,target_id,rel_type,source_document
PART_V_I,PART_V_I_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_V_J,PART_V_J_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_V_K,PART_V_K_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_VI,PART_VI_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_VIII_A,PART_VIII_A_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_VIII_B,PART_VIII_B_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_VIII_C,PART_VIII_C_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_A,PART_IX_A_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_B,PART_IX_B_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_C,PART_IX_C_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_D,PART_IX_D_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_E,PART_IX_E_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_E,PART_IX_E_p2,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_F,PART_IX_F_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_G,PART_IX_G_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_H,PART_IX_H_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_I,PART_IX_I_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_J,PART_IX_J_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_K,PART_IX_K_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_L,PART_IX_L_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_M,PART_IX_M_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_N,PART_IX_N_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_O,PART_IX_O_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_P,PART_IX_P_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_Q,PART_IX_Q_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
PART_IX_R,PART_IX_R_p1,HAS_PROVISION,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
