boardpower_id,power_type,modality,part_id,section_id,provision_id,text,source_document
POWER_037,duty,must,PART_IV,PART_IV_K,PART_IV_K_p1,"Upon receiving a report of a lead poisoned child or upon the request of the occupant, the board must inspect residential premises constructed before 1978 in which a child under six resides for compliance with the State Lead Poisoning Prevention law and regulations. M.G.L. c.111, s.189 - s.199A and 105 CMR 460.000.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_038,duty,must,PART_IV,PART_IV_K,PART_IV_K_p1,"Also, the board must inspect for lead any time it conducts a Sanitary Code inspection in such premises. Judicial proceedings must be initiated to enforce compliance in accordance with the timelines set forth in 105 CMR 560.000.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_039,power,may,PART_V,PART_V_B,PART_V_B_p1,Boards may adopt bacterial standards for milk which are stricter than the standards adopted by the Department of Public Health.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_040,duty,shall,PART_V,PART_V_B,PART_V_B_p1,City health departments shall have milk inspectors. Town boards may appoint a milk inspector.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_041,power,may,PART_V,PART_V_D,PART_V_D_p1,"Boards enforce sanitary standards for bakeries and in the preparation, handling, storing, labeling, and transporting of bakery products. Boards may take enforcement action against bakeries found unfit for the production, handling, or storing of food, or that are dangerous to the health of its employees. M.G.L. c. 94, s. 2-10.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_042,duty,responsible,PART_V,PART_V_E,PART_V_E_p1,"Boards are responsible for licensing, inspecting, and enforcing the sanitary and 2. labeling standards applicable to the manufacturing of frozen desserts and 3. frozen dessert mixes pursuant to M.G.L. c. 94, s. 65G-65U and the regulations found at 105 CMR 561.000.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_043,duty,responsible,PART_V,PART_V_F,PART_V_F_p1,"While the Department of Public Health issues licenses for cold storage and refrigerating warehouses, local boards of health are responsible for inspecting cold storage warehouses for compliance with M.G.L. c. 94, s. 66-72.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_044,power,authorized,PART_V,PART_V_H,PART_V_H_p1,"Boards of health are authorized to collect food samples pursuant to M.G.L. c. 94, s. 188- 189.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_045,power,authorized,PART_V,PART_V_I,PART_V_I_p1,"Boards of health are authorized to inspect and to seize tainted, diseased, decayed, unwholesome, or unfit meat, fish, vegetables, produce, fruit or provisions of any kind that are exhibited and exposed for sale as food.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_046,power,may,PART_V,PART_V_J,PART_V_J_p1,"Slaughter houses are generally under the jurisdiction of the Department of Public Health pursuant to M.G.L. c. 94, s. 118-131, however, local boards of health may have concurrent jurisdiction where they have determined that a slaughter house is a nuisance.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_047,duty,responsible,PART_VI,,PART_VI_p1,"The local board of health is responsible for licensing motels and manufactured housing communities. M.G.L. c. 140, s. 32B.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_048,duty,shall,PART_VI,,PART_VI_p1,"The board shall at once notify the Department of Environmental Protection of the granting or renewal of such a license, and said department shall have jurisdiction to inspect the premises to determine that the sources of water supply and the works for the disposal of the sewage of such premises are sanitary.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_049,power,may,PART_VI,,PART_VI_p1,The board of health may adopt rules and regulations to enforce this statute.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_050,duty,must,PART_VI,,PART_VI_p1,"A board must also grant licenses to public boarding houses in accordance with M.G.L. c. 140, s. 36.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_051,power,may,PART_VI,,PART_VI_p1,A board may require the licensee to thoroughly cleanse and disinfect all parts of a public lodging place and the furniture therein to the satisfaction of the board.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_052,duty,required,PART_VIII,PART_VIII_A,PART_VIII_A_p1,"Boards are required to notify the Department of Environmental Protection (DEP) of pending applications. DEP recommends notification to the mayor or selectmen concerning any pending applications for licenses for the collection, storage, treatment, or disposal of hazardous waste, as well as information supplied annually by DEP identifying types and quantities of hazardous waste generated, stored, treated or disposed of within the city or town.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_053,power,may,PART_VIII,PART_VIII_A,PART_VIII_A_p1,"A board may rescind, suspend, or modify the site assignment after due notice and hearing after determining that the operation and maintenance of a facility has resulted in a significant danger to the public health or is not in compliance with the conditions established in the assignment.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_054,power,may,PART_VIII,PART_VIII_B,PART_VIII_B_p1,"In addition, boards may issue permits for the removal and transportation of these substances, including permitting waste haulers. M.G.L. c. 111, s. 31A.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_055,power,may,PART_VIII,PART_VIII_B,PART_VIII_B_p1,A board may investigate sources of nuisances brought into towns and or existing on vessels docked in the municipality such as illegal dumping and issue orders to clean up after such dumping.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_056,power,may,PART_VIII,PART_VIII_C,PART_VIII_C_p1,Boards may adopt and enforce regulations to control air pollution.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_057,power,may,PART_IX,PART_IX_A,PART_IX_A_p1,"Even though the Massachusetts General Laws give no authority to local boards of health to regulate pesticides, the Massachusetts Supreme Court has decided that they may make reasonable regulations that are not inconsistent with the Massachusetts Pesticide Control Act, M.G.L. c. 132B or state regulations, 333 CMR 2.00.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_058,power,may,PART_IX,PART_IX_A,PART_IX_A_p1,"Boards also work to control mosquito-borne diseases, such as West Nile Virus and Eastern Equine Encephalitis, in collaboration with local mosquito control districts, when available, and in conjunction with the Department of Public Health and the Department of Agricultural Resources. In cases where an emergency exists, local boards of health may grant waivers for a use of pesticides not otherwise allowed.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_059,duty,required,PART_IX,PART_IX_B,PART_IX_B_p1,"Boards of health are required to examine all nuisances, sources of filth and causes of sickness within the city or town.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_060,duty,required,PART_IX,PART_IX_B,PART_IX_B_p1,"Whenever a board is aware of a nuisance or cause of sickness that may be injurious to the public health, the board is required to remove or destroy the nuisance or cause of sickness, or prevent the nuisance or cause of sickness. M.G.L. c. 111, s. 122.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_061,duty,required,PART_IX,PART_IX_B,PART_IX_B_p1,"Boards are required to adopt regulations related to the removal and destruction of such nuisances. M.G.L. c. 111, s. 122.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_062,duty,shall,PART_IX,PART_IX_B,PART_IX_B_p1,"Boards shall order owners to remove and abate any such nuisances. M.G.L. c. 111, s. 123.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_063,duty,shall,PART_IX,PART_IX_B,PART_IX_B_p1,If an owner fails to abate or remove a nuisance a Board may abate or remove such nuisances and demolish any building declared a nuisance and the costs of such clean up shall be a lien against the property and its owner.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_064,power,authorized,PART_IX,PART_IX_B,PART_IX_B_p1,"Boards are authorized to enter any land, building or premises, or go on board a vessel within its town, to examine into and destroy or prevent a nuisance, source of filth or cause of sickness. M.G.L. c. 111, s. 131.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_065,duty,shall,PART_IX,PART_IX_C,PART_IX_C_p1,The board shall assign locations for noisome trades after a public hearing.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_066,power,may,PART_IX,PART_IX_D,PART_IX_D_p1,Boards of health in towns may nominate animal inspectors if the provisions of section 15 have been accepted.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_067,power,may,PART_IX,PART_IX_E,PART_IX_E_p1,Boards of health may authorize the use of traps to capture furbearing mammals to minimize threats to human health and safety associated with activities of these,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_068,power,may,PART_IX,PART_IX_F,PART_IX_F_p1,"Boards of health may authorize businesses operating vapor, pool, shower or bath houses. M.G.L. c. 140, s. 51.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_069,duty,responsible,PART_IX,PART_IX_G,PART_IX_G_p1,"Local boards are responsible for issuing, receiving, and recording death certificates and burial permits. M.G.L. c. 114, s. 45;","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_070,duty,must,PART_IX,PART_IX_L,PART_IX_L_p1,"Boards must inspect tanning facilities within 30 days of licensure, every six months thereafter, and upon receipt of a complaint.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_071,power,may,PART_IX,PART_IX_L,PART_IX_L_p1,"Boards enforce regulatory requirements, hold hearings, and may issue variances.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_072,power,may,PART_IX,PART_IX_M,PART_IX_M_p1,Boards may receive complaints from the Department that initiate investigations regarding the failure to comply with the Smoke Free Workplace Act.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_073,duty,must,PART_IX,PART_IX_N,PART_IX_N_p1,A board must approve or disapprove definitive plans for the subdivision of land.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_074,power,may,PART_IX,PART_IX_O,PART_IX_O_p1,"A board of health may order the fluoridation of public water supplies. However, this order may be overturned by a municipal referendum vote.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
