definition_id,number,term,definition_text,full_text,defined_in,source_document
DEF_11,11,end-point,any device that is connected to a network and serves as an entry point to that network,(11) ‘end-point’ means any device that is connected to a network and serves as an entry point to that network;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_12,12,economic operator,"the manufacturer, the authorised representative, the importer, the distributor, or other natural or legal person who is subject to obligations in relation to the manufacture of products with digital elements or to the making available of products with digital elements on the market in accordance with this Regulation","(12) ‘economic operator’ means the manufacturer, the authorised representative, the importer, the distributor, or other natural or legal person who is subject to obligations in relation to the manufacture of products with digital elements or to the making available of products with digital elements on the market in accordance with this Regulation;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_13,13,manufacturer,"a natural or legal person who develops or manufactures products with digital elements or has products with digital elements designed, developed or manufactured, and markets them under its name or trademark, whether for payment, monetisation or free of charge","(13) ‘manufacturer’ means a natural or legal person who develops or manufactures products with digital elements or has products with digital elements designed, developed or manufactured, and markets them under its name or trademark, whether for payment, monetisation or free of charge;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_14,14,open-source software steward,"a legal person, other than a manufacturer, that has the purpose or objective of systematically providing support on a sustained basis for the development of specific products with digital elements, qualifying as free and open-source software and intended for commercial activities, and that ensures the viability of those products","(14) ‘open-source software steward’ means a legal person, other than a manufacturer, that has the purpose or objective of systematically providing support on a sustained basis for the development of specific products with digital elements, qualifying as free and open-source software and intended for commercial activities, and that ensures the viability of those products;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_15,15,authorised representative,a natural or legal person established within the Union who has received a written mandate from a manufacturer to act on its behalf in relation to specified tasks,(15) ‘authorised representative’ means a natural or legal person established within the Union who has received a written mandate from a manufacturer to act on its behalf in relation to specified tasks;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_16,16,importer,a natural or legal person established in the Union who places on the market a product with digital elements that bears the name or trademark of a natural or legal person established outside the Union,(16) ‘importer’ means a natural or legal person established in the Union who places on the market a product with digital elements that bears the name or trademark of a natural or legal person established outside the Union;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_17,17,distributor,"a natural or legal person in the supply chain, other than the manufacturer or the importer, that makes a product with digital elements available on the Union market without affecting its properties","(17) ‘distributor’ means a natural or legal person in the supply chain, other than the manufacturer or the importer, that makes a product with digital elements available on the Union market without affecting its properties;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_18,18,consumer,"a natural person who acts for purposes which are outside that person’s trade, business, craft or profession","(18) ‘consumer’ means a natural person who acts for purposes which are outside that person’s trade, business, craft or profession;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_19,19,"microenterprises’, ‘small enterprises’ and ‘medium-sized enterprises","respectively, microenterprises, small enterprises and medium-sized enterprises as defined in the Annex to Recommendation 2003/361/EC","(19) ‘microenterprises’, ‘small enterprises’ and ‘medium-sized enterprises’ mean, respectively, microenterprises, small enterprises and medium-sized enterprises as defined in the Annex to Recommendation 2003/361/EC;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_20,20,support period,the period during which a manufacturer is required to ensure that vulnerabilities of a product with digital elements are handled effectively and in accordance with the essential cybersecurity requirements set out in Part II of Annex I,(20) ‘support period’ means the period during which a manufacturer is required to ensure that vulnerabilities of a product with digital elements are handled effectively and in accordance with the essential cybersecurity requirements set out in Part II of Annex I;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_21,21,placing on the market,the first making available of a product with digital elements on the Union market,(21) ‘placing on the market’ means the first making available of a product with digital elements on the Union market;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_22,22,making available on the market,"the supply of a product with digital elements for distribution or use on the Union market in the course of a commercial activity, whether in return for payment or free of charge","(22) ‘making available on the market’ means the supply of a product with digital elements for distribution or use on the Union market in the course of a commercial activity, whether in return for payment or free of charge;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_23,23,intended purpose,"the use for which a product with digital elements is intended by the manufacturer, including the specific context and conditions of use, as specified in the information supplied by the manufacturer in the instructions for use, promotional or sales materials and statements, as well as in the technical documentation","(23) ‘intended purpose’ means the use for which a product with digital elements is intended by the manufacturer, including the specific context and conditions of use, as specified in the information supplied by the manufacturer in the instructions for use, promotional or sales materials and statements, as well as in the technical documentation;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_24,24,reasonably foreseeable use,"use that is not necessarily the intended purpose supplied by the manufacturer in the instructions for use, promotional or sales materials and statements, as well as in the technical documentation, but which is likely to result from reasonably foreseeable human behaviour or technical operations or interactions","(24) ‘reasonably foreseeable use’ means use that is not necessarily the intended purpose supplied by the manufacturer in the instructions for use, promotional or sales materials and statements, as well as in the technical documentation, but which is likely to result from reasonably foreseeable human behaviour or technical operations or interactions;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_25,25,reasonably foreseeable misuse,"the use of a product with digital elements in a way that is not in accordance with its intended purpose, but which may result from reasonably foreseeable human behaviour or interaction with other systems","(25) ‘reasonably foreseeable misuse’ means the use of a product with digital elements in a way that is not in accordance with its intended purpose, but which may result from reasonably foreseeable human behaviour or interaction with other systems;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_26,26,notifying authority,"the national authority responsible for setting up and carrying out the necessary procedures for the assessment, designation and notification of conformity assessment bodies and for their monitoring","(26) ‘notifying authority’ means the national authority responsible for setting up and carrying out the necessary procedures for the assessment, designation and notification of conformity assessment bodies and for their monitoring;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_27,27,conformity assessment,the process of verifying whether the essential cybersecurity requirements set out in Annex I have been fulfilled,(27) ‘conformity assessment’ means the process of verifying whether the essential cybersecurity requirements set out in Annex I have been fulfilled;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_28,28,conformity assessment body,"a conformity assessment body as defined in Article 2, point (13), of Regulation (EC) No 765/2008","(28) ‘conformity assessment body’ means a conformity assessment body as defined in Article 2, point (13), of Regulation (EC) No 765/2008;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_29,29,notified body,a conformity assessment body designated in accordance with Article 43 and other relevant Union harmonisation legislation,(29) ‘notified body’ means a conformity assessment body designated in accordance with Article 43 and other relevant Union harmonisation legislation;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_30,30,substantial modification,"a change to the product with digital elements following its placing on the market, which affects the compliance of the product with digital elements with the essential cybersecurity requirements set out in Part I of Annex I or which results in a modification to the intended purpose for which the product with digital elements has been assessed","(30) ‘substantial modification’ means a change to the product with digital elements following its placing on the market, which affects the compliance of the product with digital elements with the essential cybersecurity requirements set out in Part I of Annex I or which results in a modification to the intended purpose for which the product with digital elements has been assessed;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_31,31,CE marking,a marking by which a manufacturer indicates that a product with digital elements and the processes put in place by the manufacturer are in conformity with the essential cybersecurity requirements set out in Annex I and other applicable Union harmonisation legislation providing for its affixing,(31) ‘CE marking’ means a marking by which a manufacturer indicates that a product with digital elements and the processes put in place by the manufacturer are in conformity with the essential cybersecurity requirements set out in Annex I and other applicable Union harmonisation legislation providing for its affixing;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_32,32,Union harmonisation legislation,Union legislation listed in Annex I to Regulation (EU) 2019/1020 and any other Union legislation harmonising the conditions for the marketing of products to which that Regulation applies,(32) ‘Union harmonisation legislation’ means Union legislation listed in Annex I to Regulation (EU) 2019/1020 and any other Union legislation harmonising the conditions for the marketing of products to which that Regulation applies;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_33,33,market surveillance authority,"a market surveillance authority as defined in Article 3, point (4), of Regulation (EU) 2019/1020","(33) ‘market surveillance authority’ means a market surveillance authority as defined in Article 3, point (4), of Regulation (EU) 2019/1020;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_34,34,international standard,"an international standard as defined in Article 2, point (1)(a), of Regulation (EU) No 1025/2012","(34) ‘international standard’ means an international standard as defined in Article 2, point (1)(a), of Regulation (EU) No 1025/2012;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_35,35,European standard,"a European standard as defined in Article 2, point (1)(b), of Regulation (EU) No 1025/2012","(35) ‘European standard’ means a European standard as defined in Article 2, point (1)(b), of Regulation (EU) No 1025/2012;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_36,36,harmonised standard,"a harmonised standard as defined in Article 2, point (1)(c), of Regulation (EU) No 1025/2012","(36) ‘harmonised standard’ means a harmonised standard as defined in Article 2, point (1)(c), of Regulation (EU) No 1025/2012;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_37,37,cybersecurity risk,the potential for loss or disruption caused by an incident and is to be expressed as a combination of the magnitude of such loss or disruption and the likelihood of occurrence of the incident,(37) ‘cybersecurity risk’ means the potential for loss or disruption caused by an incident and is to be expressed as a combination of the magnitude of such loss or disruption and the likelihood of occurrence of the incident;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_38,38,significant cybersecurity risk,"a cybersecurity risk which, based on its technical characteristics, can be assumed to have a high likelihood of an incident that could lead to a severe negative impact, including by causing considerable material or non-material loss or disruption","(38) ‘significant cybersecurity risk’ means a cybersecurity risk which, based on its technical characteristics, can be assumed to have a high likelihood of an incident that could lead to a severe negative impact, including by causing considerable material or non-material loss or disruption;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_39,39,software bill of materials,a formal record containing details and supply chain relationships of components included in the software elements of a product with digital elements,(39) ‘software bill of materials’ means a formal record containing details and supply chain relationships of components included in the software elements of a product with digital elements;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_40,40,vulnerability,"a weakness, susceptibility or flaw of a product with digital elements that can be exploited by a cyber threat","(40) ‘vulnerability’ means a weakness, susceptibility or flaw of a product with digital elements that can be exploited by a cyber threat;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_41,41,exploitable vulnerability,a vulnerability that has the potential to be effectively used by an adversary under practical operational conditions,(41) ‘exploitable vulnerability’ means a vulnerability that has the potential to be effectively used by an adversary under practical operational conditions;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_42,42,actively exploited vulnerability,a vulnerability for which there is reliable evidence that a malicious actor has exploited it in a system without permission of the system owner,(42) ‘actively exploited vulnerability’ means a vulnerability for which there is reliable evidence that a malicious actor has exploited it in a system without permission of the system owner;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_43,43,incident,"an incident as defined in Article 6, point (6), of Directive (EU) 2022/2555","(43) ‘incident’ means an incident as defined in Article 6, point (6), of Directive (EU) 2022/2555;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_44,44,incident having an impact on the security of the product with digital elements,"an incident that negatively affects or is capable of negatively affecting the ability of a product with digital elements to protect the availability, authenticity, integrity or confidentiality of data or functions","(44) ‘incident having an impact on the security of the product with digital elements’ means an incident that negatively affects or is capable of negatively affecting the ability of a product with digital elements to protect the availability, authenticity, integrity or confidentiality of data or functions;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_45,45,near miss,"a near miss as defined in Article 6, point (5), of Directive (EU) 2022/2555","(45) ‘near miss’ means a near miss as defined in Article 6, point (5), of Directive (EU) 2022/2555;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_46,46,cyber threat,"a cyber threat as defined in Article 2, point (8), of Regulation (EU) 2019/881","(46) ‘cyber threat’ means a cyber threat as defined in Article 2, point (8), of Regulation (EU) 2019/881;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_47,47,personal data,"personal data as defined in Article 4, point (1), of Regulation (EU) 2016/679","(47) ‘personal data’ means personal data as defined in Article 4, point (1), of Regulation (EU) 2016/679;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_48,48,free and open-source software,"software the source code of which is openly shared and which is made available under a free and open-source licence which provides for all rights to make it freely accessible, usable, modifiable and redistributable","(48) ‘free and open-source software’ means software the source code of which is openly shared and which is made available under a free and open-source licence which provides for all rights to make it freely accessible, usable, modifiable and redistributable;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_49,49,recall,"recall as defined in Article 3, point (22), of Regulation (EU) 2019/1020","(49) ‘recall’ means recall as defined in Article 3, point (22), of Regulation (EU) 2019/1020;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_50,50,withdrawal,"withdrawal as defined in Article 3, point (23), of Regulation (EU) 2019/1020","(50) ‘withdrawal’ means withdrawal as defined in Article 3, point (23), of Regulation (EU) 2019/1020;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_51,51,CSIRT designated as coordinator,a CSIRT designated as coordinator pursuant to Article 12(1) of Directive (EU) 2022/2555.,(51) ‘CSIRT designated as coordinator’ means a CSIRT designated as coordinator pursuant to Article 12(1) of Directive (EU) 2022/2555.,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
