paragraph_id,parent_id,parent_type,level,label,text,amendment_history,source_document
S-7(3)(c.1)(iv),S-7(3)(c.1),Paragraph,subparagraph,iv,"the disclosure is requested for the purpose of communicating with the next of kin or authorized representative of an injured, ill or deceased individual;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(c.2),S-7(3),Subsection,paragraph,c.2,made to the government institution mentioned in section 7 of the Proceeds of Crime (Money Laundering) and Terrorist Financing Act as required by that section;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d),S-7(3),Subsection,paragraph,d,made on the initiative of the organization to a government institution or a part of a government institution and the organization,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d)(i),S-7(3)(d),Paragraph,subparagraph,i,"has reasonable grounds to believe that the information relates to a contravention of the laws of Canada, a province or a foreign jurisdiction that has been, is being or is about to be committed, or",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d)(ii),S-7(3)(d),Paragraph,subparagraph,ii,"suspects that the information relates to national security, the defence of Canada or the conduct of international affairs;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d.1),S-7(3),Subsection,paragraph,d.1,"made to another organization and is reasonable for the purposes of investigating a breach of an agreement or a contravention of the laws of Canada or a province that has been, is being or is about to be committed and it is reasonable to expect that disclosure with the knowledge or consent of the individual would compromise the investigation;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d.2),S-7(3),Subsection,paragraph,d.2,"made to another organization and is reasonable for the purposes of detecting or suppressing fraud or of preventing fraud that is likely to be committed and it is reasonable to expect that the disclosure with the knowledge or consent of the individual would compromise the ability to prevent, detect or suppress the fraud;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d.21),S-7(3),Subsection,paragraph,d.21,made to another organization under subsection 11.01(1) of the Proceeds of Crime (Money Laundering) and Terrorist Financing Act;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d.3),S-7(3),Subsection,paragraph,d.3,"made on the initiative of the organization to a government institution, a part of a government institution or the individual’s next of kin or authorized representative and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d.3)(i),S-7(3)(d.3),Paragraph,subparagraph,i,"the organization has reasonable grounds to believe that the individual has been, is or may be the victim of financial abuse,",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d.3)(ii),S-7(3)(d.3),Paragraph,subparagraph,ii,"the disclosure is made solely for purposes related to preventing or investigating the abuse, and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d.3)(iii),S-7(3)(d.3),Paragraph,subparagraph,iii,it is reasonable to expect that disclosure with the knowledge or consent of the individual would compromise the ability to prevent or investigate the abuse;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(d.4),S-7(3),Subsection,paragraph,d.4,"necessary to identify the individual who is injured, ill or deceased, made to a government institution, a part of a government institution or the individual’s next of kin or authorized representative and, if the individual is alive, the organization informs that individual in writing without delay of the disclosure;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(e),S-7(3),Subsection,paragraph,e,"made to a person who needs the information because of an emergency that threatens the life, health or security of an individual and, if the individual whom the information is about is alive, the organization informs that individual in writing without delay of the disclosure;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(e.1),S-7(3),Subsection,paragraph,e.1,"of information that is contained in a witness statement and the disclosure is necessary to assess, process or settle an insurance claim;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(e.2),S-7(3),Subsection,paragraph,e.2,"of information that was produced by the individual in the course of their employment, business or profession and the disclosure is consistent with the purposes for which the information was produced;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3)(f),S-7(3),Subsection,paragraph,f,"for statistical, or scholarly study or research, purposes that cannot be achieved without disclosing the information, it is impracticable to obtain consent and the organization informs the Commissioner of the disclosure before the information is disclosed;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
