clausula_id,articulo_id,tipo,marcador,orden,texto,source_document
ART-2-PAR-1,ART-2,parágrafo,1,12,"Parágrafo. Los principios sobre protección de datos serán aplicables a todas las bases de datos, incluidas las exceptuadas en el presente artículo, con los límites dispuestos en la presente ley y sin reñir con los datos que tienen características de estar amparados por la reserva legal. En el evento que la normatividad especial que regule las bases de datos exceptuadas prevea principios que tengan en consideración la naturaleza especial de datos, los mismos aplicarán de manera concurrente a los previstos en la presente ley.",KB 2/South America/Ley_1581_de_2012.pdf
ART-3-INC-1,ART-3,inciso,1,13,"Para los efectos de la presente ley, se entiende por:",KB 2/South America/Ley_1581_de_2012.pdf
ART-3-LIT-a,ART-3,literal,a,14,"a) Autorización: Consentimiento previo, expreso e informado del Titular para llevar a cabo el Tratamiento de datos personales;",KB 2/South America/Ley_1581_de_2012.pdf
ART-3-LIT-b,ART-3,literal,b,15,b) Base de Datos: Conjunto organizado de datos personales que sea objeto de Tratamiento;,KB 2/South America/Ley_1581_de_2012.pdf
ART-3-LIT-c,ART-3,literal,c,16,c) Dato personal: Cualquier información vinculada o que pueda asociarse a una o varias personas naturales determinadas o determinables;,KB 2/South America/Ley_1581_de_2012.pdf
ART-3-LIT-d,ART-3,literal,d,17,"d) Encargado del Tratamiento: Persona natural o jurídica, pública o privada, que por sí misma o en asocio con otros, realice el Tratamiento de datos personales por cuenta del Responsable del Tratamiento;",KB 2/South America/Ley_1581_de_2012.pdf
ART-3-LIT-e,ART-3,literal,e,18,"e) Responsable del Tratamiento: Persona natural o jurídica, pública o privada, que por sí misma o en asocio con otros, decida sobre la base de datos y/o el Tratamiento de los datos;",KB 2/South America/Ley_1581_de_2012.pdf
ART-3-LIT-f,ART-3,literal,f,19,f) Titular: Persona natural cuyos datos personales sean objeto de Tratamiento;,KB 2/South America/Ley_1581_de_2012.pdf
ART-3-LIT-g,ART-3,literal,g,20,"g) Tratamiento: Cualquier operación o conjunto de operaciones sobre datos personales, tales como la recolección, almacenamiento, uso, circulación o supresión.",KB 2/South America/Ley_1581_de_2012.pdf
ART-4-INC-1,ART-4,inciso,1,21,"En el desarrollo, interpretación y aplicación de la presente ley, se aplicarán, de manera armónica e integral, los siguientes principios:",KB 2/South America/Ley_1581_de_2012.pdf
ART-4-LIT-a,ART-4,literal,a,22,a) Principio de legalidad en materia de Tratamiento de datos: El Tratamiento a que se refiere la presente ley es una actividad reglada que debe sujetarse a lo establecido en ella y en las demás disposiciones que la desarrollen;,KB 2/South America/Ley_1581_de_2012.pdf
ART-4-LIT-b,ART-4,literal,b,23,"b) Principio de finalidad: El Tratamiento debe obedecer a una finalidad legítima de acuerdo con la Constitución y la Ley, la cual debe ser informada al Titular;",KB 2/South America/Ley_1581_de_2012.pdf
ART-4-LIT-c,ART-4,literal,c,24,"c) Principio de libertad: El Tratamiento sólo puede ejercerse con el consentimiento, previo, expreso e informado del Titular. Los datos personales no podrán ser obtenidos o divulgados sin previa autorización, o en ausencia de mandato legal o judicial que releve el consentimiento;",KB 2/South America/Ley_1581_de_2012.pdf
ART-4-LIT-d,ART-4,literal,d,25,"d) Principio de veracidad o calidad: La información sujeta a Tratamiento debe ser veraz, completa, exacta, actualizada, comprobable y comprensible. Se prohíbe el Tratamiento de datos parciales, incompletos, fraccionados o que induzcan a error;",KB 2/South America/Ley_1581_de_2012.pdf
ART-4-LIT-e,ART-4,literal,e,26,"e) Principio de transparencia: En el Tratamiento debe garantizarse el derecho del Titular a obtener del Responsable del Tratamiento o del Encargado del Tratamiento, en cualquier momento y sin restricciones, información acerca de la existencia de datos que le conciernan;",KB 2/South America/Ley_1581_de_2012.pdf
ART-4-LIT-f,ART-4,literal,f,27,"f) Principio de acceso y circulación restringida: El Tratamiento se sujeta a los límites que se derivan de la naturaleza de los datos personales, de las disposiciones de la presente ley y la Constitución. En este sentido, el Tratamiento sólo podrá hacerse por personas autorizadas por el Titular y/o por las personas previstas en la presente ley;",KB 2/South America/Ley_1581_de_2012.pdf
ART-4-INC-2,ART-4,inciso,2,28,"Los datos personales, salvo la información pública, no podrán estar disponibles en Internet u otros medios de divulgación o comunicación masiva, salvo que el acceso sea técnicamente controlable para brindar un conocimiento restringido sólo a los Titulares o terceros autorizados conforme a la presente ley;",KB 2/South America/Ley_1581_de_2012.pdf
ART-4-LIT-g,ART-4,literal,g,29,"g) Principio de seguridad: La información sujeta a Tratamiento por el Responsable del Tratamiento o Encargado del Tratamiento a que se refiere la presente ley, se deberá manejar con las medidas técnicas, humanas y administrativas que sean necesarias para otorgar seguridad a los registros evitando su adulteración, pérdida, consulta, uso o acceso no autorizado o fraudulento;",KB 2/South America/Ley_1581_de_2012.pdf
ART-4-LIT-h,ART-4,literal,h,30,"h) Principio de confidencialidad: Todas las personas que intervengan en el Tratamiento de datos personales que no tengan la naturaleza de públicos están obligadas a garantizar la reserva de la información, inclusive después de finalizada su relación con alguna de las labores que comprende el Tratamiento, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas en la presente ley y en los términos de la misma.",KB 2/South America/Ley_1581_de_2012.pdf
ART-5-INC-1,ART-5,inciso,1,31,"Para los propósitos de la presente ley, se entiende por datos sensibles aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación, tales como aquellos que revelen el origen racial o étnico, la orientación política, las convicciones religiosas o filosóficas, la pertenencia a sindicatos, organizaciones sociales, de derechos humanos o que promueva intereses de cualquier partido político o que garanticen los derechos y garantías de partidos políticos de oposición así como los datos relativos a la salud, a la vida sexual y los datos biométricos.",KB 2/South America/Ley_1581_de_2012.pdf
ART-6-INC-1,ART-6,inciso,1,32,"Se prohíbe el Tratamiento de datos sensibles, excepto cuando:",KB 2/South America/Ley_1581_de_2012.pdf
ART-6-LIT-a,ART-6,literal,a,33,"a) El Titular haya dado su autorización explícita a dicho Tratamiento, salvo en los casos que por ley no sea requerido el otorgamiento de dicha autorización;",KB 2/South America/Ley_1581_de_2012.pdf
ART-6-LIT-b,ART-6,literal,b,34,"b) El Tratamiento sea necesario para salvaguardar el interés vital del Titular y este se encuentre física o jurídicamente incapacitado. En estos eventos, los representantes legales deberán otorgar su autorización;",KB 2/South America/Ley_1581_de_2012.pdf
ART-6-LIT-c,ART-6,literal,c,35,"c) El Tratamiento sea efectuado en el curso de las actividades legítimas y con las debidas garantías por parte de una fundación, ONG, asociación o cualquier otro organismo sin ánimo de lucro, cuya finalidad sea política, filosófica, religiosa o sindical, siempre que se refieran exclusivamente a sus miembros o a las personas que mantengan contactos regulares por razón de su finalidad. En estos eventos, los datos no se podrán suministrar a terceros sin la autorización del Titular;",KB 2/South America/Ley_1581_de_2012.pdf
ART-6-LIT-d,ART-6,literal,d,36,"d) El Tratamiento se refiera a datos que sean necesarios para el reconocimiento, ejercicio o defensa de un derecho en un proceso judicial;",KB 2/South America/Ley_1581_de_2012.pdf
ART-6-LIT-e,ART-6,literal,e,37,"e) El Tratamiento tenga una finalidad histórica, estadística o científica. En este evento deberán adoptarse las medidas conducentes a la supresión de identidad de los Titulares.",KB 2/South America/Ley_1581_de_2012.pdf
ART-7-INC-1,ART-7,inciso,1,38,"En el Tratamiento se asegurará el respeto a los derechos prevalentes de los niños, niñas y adolescentes.",KB 2/South America/Ley_1581_de_2012.pdf
ART-7-INC-2,ART-7,inciso,2,39,"Queda proscrito el Tratamiento de datos personales de niños, niñas y adolescentes, salvo aquellos datos que sean de naturaleza pública.",KB 2/South America/Ley_1581_de_2012.pdf
ART-7-INC-3,ART-7,inciso,3,40,"Es tarea del Estado y las entidades educativas de todo tipo proveer información y capacitar a los representantes legales y tutores sobre los eventuales riesgos a los que se enfrentan los niños, niñas y adolescentes respecto del Tratamiento indebido de sus datos personales, y proveer de conocimiento acerca del uso responsable y seguro por parte de niños, niñas y adolescentes de sus datos personales, su derecho a la privacidad y protección de su información personal y la de los demás. El Gobierno Nacional reglamentará la materia, dentro de los seis (6) meses siguientes a la promulgación de esta ley.",KB 2/South America/Ley_1581_de_2012.pdf
ART-8-INC-1,ART-8,inciso,1,41,El Titular de los datos personales tendrá los siguientes derechos:,KB 2/South America/Ley_1581_de_2012.pdf
ART-8-LIT-a,ART-8,literal,a,42,"a) Conocer, actualizar y rectificar sus datos personales frente a los Responsables del Tratamiento o Encargados del Tratamiento. Este derecho se podrá ejercer, entre otros frente a datos parciales, inexactos, incompletos, fraccionados, que induzcan a error, o aquellos cuyo Tratamiento esté expresamente prohibido o no haya sido autorizado;",KB 2/South America/Ley_1581_de_2012.pdf
ART-8-LIT-b,ART-8,literal,b,43,"b) Solicitar prueba de la autorización otorgada al Responsable del Tratamiento salvo cuando expresamente se exceptúe como requisito para el Tratamiento, de conformidad con lo previsto en el artículo 10 de la presente ley;",KB 2/South America/Ley_1581_de_2012.pdf
ART-8-LIT-c,ART-8,literal,c,44,"c) Ser informado por el Responsable del Tratamiento o el Encargado del Tratamiento, previa solicitud, respecto del uso que le ha dado a sus datos personales;",KB 2/South America/Ley_1581_de_2012.pdf
ART-8-LIT-d,ART-8,literal,d,45,"d) Presentar ante la Superintendencia de Industria y Comercio quejas por infracciones a lo dispuesto en la presente ley y las demás normas que la modifiquen, adicionen o complementen;",KB 2/South America/Ley_1581_de_2012.pdf
ART-8-LIT-e,ART-8,literal,e,46,"e) Revocar la autorización y/o solicitar la supresión del dato cuando en el Tratamiento no se respeten los principios, derechos y garantías constitucionales y legales. La revocatoria y/o supresión procederá cuando la Superintendencia de Industria y Comercio haya determinado que en el Tratamiento el Responsable o Encargado han incurrido en conductas contrarias a esta ley y a la Constitución;",KB 2/South America/Ley_1581_de_2012.pdf
ART-8-LIT-f,ART-8,literal,f,47,f) Acceder en forma gratuita a sus datos personales que hayan sido objeto de Tratamiento.,KB 2/South America/Ley_1581_de_2012.pdf
ART-9-INC-1,ART-9,inciso,1,48,"Sin perjuicio de las excepciones previstas en la ley, en el Tratamiento se requiere la autorización previa e informada del Titular, la cual deberá ser obtenida por cualquier medio que pueda ser objeto de consulta posterior.",KB 2/South America/Ley_1581_de_2012.pdf
ART-10-INC-1,ART-10,inciso,1,49,La autorización del Titular no será necesaria cuando se trate de:,KB 2/South America/Ley_1581_de_2012.pdf
ART-10-LIT-a,ART-10,literal,a,50,a) Información requerida por una entidad pública o administrativa en ejercicio de sus funciones legales o por orden judicial;,KB 2/South America/Ley_1581_de_2012.pdf
ART-10-LIT-b,ART-10,literal,b,51,b) Datos de naturaleza pública;,KB 2/South America/Ley_1581_de_2012.pdf
ART-10-LIT-c,ART-10,literal,c,52,c) Casos de urgencia médica o sanitaria;,KB 2/South America/Ley_1581_de_2012.pdf
ART-10-LIT-d,ART-10,literal,d,53,"d) Tratamiento de información autorizado por la ley para fines históricos, estadísticos o científicos;",KB 2/South America/Ley_1581_de_2012.pdf
ART-10-LIT-e,ART-10,literal,e,54,e) Datos relacionados con el Registro Civil de las Personas.,KB 2/South America/Ley_1581_de_2012.pdf
ART-10-INC-2,ART-10,inciso,2,55,Quien acceda a los datos personales sin que medie autorización previa deberá en todo caso cumplir con las disposiciones contenidas en la presente ley.,KB 2/South America/Ley_1581_de_2012.pdf
ART-11-INC-1,ART-11,inciso,1,56,"La información solicitada podrá ser suministrada por cualquier medio, incluyendo los electrónicos, según lo requiera el Titular. La información deberá ser de fácil lectura, sin barreras técnicas que impidan su acceso y deberá corresponder en un todo a aquella que repose en la base de datos.",KB 2/South America/Ley_1581_de_2012.pdf
ART-11-INC-2,ART-11,inciso,2,57,"El Gobierno Nacional establecerá la forma en la cual los Responsables del Tratamiento y Encargados del Tratamiento deberán suministrar la información del Titular, atendiendo a la naturaleza del dato personal, Esta reglamentación deberá darse a más tardar dentro del año siguiente a la promulgación de la presente ley.",KB 2/South America/Ley_1581_de_2012.pdf
ART-12-INC-1,ART-12,inciso,1,58,"El Responsable del Tratamiento, al momento de solicitar al Titular la autorización, deberá informarle de manera clara y expresa lo siguiente:",KB 2/South America/Ley_1581_de_2012.pdf
ART-12-LIT-a,ART-12,literal,a,59,a) El Tratamiento al cual serán sometidos sus datos personales y la finalidad del mismo;,KB 2/South America/Ley_1581_de_2012.pdf
ART-12-LIT-b,ART-12,literal,b,60,"b) El carácter facultativo de la respuesta a las preguntas que le sean hechas, cuando estas versen sobre datos sensibles o sobre los datos de las niñas, niños y adolescentes;",KB 2/South America/Ley_1581_de_2012.pdf
ART-12-LIT-c,ART-12,literal,c,61,c) Los derechos que le asisten como Titular;,KB 2/South America/Ley_1581_de_2012.pdf
ART-12-LIT-d,ART-12,literal,d,62,"d) La identificación, dirección física o electrónica y teléfono del Responsable del Tratamiento.",KB 2/South America/Ley_1581_de_2012.pdf
ART-12-PAR-1,ART-12,parágrafo,1,63,"Parágrafo. El Responsable del Tratamiento deberá conservar prueba del cumplimiento de lo previsto en el presente artículo y, cuando el Titular lo solicite, entregarle copia de esta.",KB 2/South America/Ley_1581_de_2012.pdf
ART-13-INC-1,ART-13,inciso,1,64,La información que reúna las condiciones establecidas en la presente ley podrá suministrarse a las siguientes personas:,KB 2/South America/Ley_1581_de_2012.pdf
ART-13-LIT-a,ART-13,literal,a,65,"a) A los Titulares, sus causahabientes o sus representantes legales;",KB 2/South America/Ley_1581_de_2012.pdf
ART-13-LIT-b,ART-13,literal,b,66,b) A las entidades públicas o administrativas en ejercicio de sus funciones legales o por orden judicial;,KB 2/South America/Ley_1581_de_2012.pdf
ART-13-LIT-c,ART-13,literal,c,67,c) A los terceros autorizados por el Titular o por la ley.,KB 2/South America/Ley_1581_de_2012.pdf
ART-14-INC-1,ART-14,inciso,1,68,"Los Titulares o sus causahabientes podrán consultar la información personal del Titular que repose en cualquier base de datos, sea esta del sector público o privado. El Responsable del Tratamiento o Encargado del Tratamiento deberán suministrar a estos toda la información contenida en el registro individual o que esté vinculada con la identificación del Titular.",KB 2/South America/Ley_1581_de_2012.pdf
ART-14-INC-2,ART-14,inciso,2,69,"La consulta se formulará por el medio habilitado por el Responsable del Tratamiento o Encargado del Tratamiento, siempre y cuando se pueda mantener prueba de esta.",KB 2/South America/Ley_1581_de_2012.pdf
ART-14-INC-3,ART-14,inciso,3,70,"La consulta será atendida en un término máximo de diez (10) días hábiles contados a partir de la fecha de recibo de la misma. Cuando no fuere posible atender la consulta dentro de dicho término, se informará al interesado, expresando los motivos de la demora y señalando la fecha en que se atenderá su consulta, la cual en ningún caso podrá superar los cinco (5) días hábiles siguientes al vencimiento del primer término.",KB 2/South America/Ley_1581_de_2012.pdf
ART-14-PAR-1,ART-14,parágrafo,1,71,"Parágrafo. Las disposiciones contenidas en leyes especiales o los reglamentos expedidos por el Gobierno Nacional podrán establecer términos inferiores, atendiendo a la naturaleza del dato personal.",KB 2/South America/Ley_1581_de_2012.pdf
ART-15-INC-1,ART-15,inciso,1,72,"El Titular o sus causahabientes que consideren que la información contenida en una base de datos debe ser objeto de corrección, actualización o supresión, o cuando adviertan el presunto incumplimiento de cualquiera de los deberes contenidos en esta ley, podrán presentar un reclamo ante el Responsable del Tratamiento o el Encargado del Tratamiento el cual será tramitado bajo las siguientes reglas:",KB 2/South America/Ley_1581_de_2012.pdf
ART-15-NUM-1,ART-15,numeral,1,73,"1. El reclamo se formulará mediante solicitud dirigida al Responsable del Tratamiento o al Encargado del Tratamiento, con la identificación del Titular, la descripción de los hechos que dan lugar al reclamo, la dirección, y acompañando los documentos que se quiera hacer valer. Si el reclamo resulta incompleto, se requerirá al interesado dentro de los cinco (5) días siguientes a la recepción del reclamo para que subsane las fallas. Transcurridos dos (2) meses desde la fecha del requerimiento, sin que el solicitante presente la información requerida, se entenderá que ha desistido del reclamo.",KB 2/South America/Ley_1581_de_2012.pdf
ART-15-INC-2,ART-15,inciso,2,74,"En caso de que quien reciba el reclamo no sea competente para resolverlo, dará traslado a quien corresponda en un término máximo de dos (2) días hábiles e informará de la situación al interesado.",KB 2/South America/Ley_1581_de_2012.pdf
ART-15-NUM-2,ART-15,numeral,2,75,"2. Una vez recibido el reclamo completo, se incluirá en la base de datos una leyenda que diga ""reclamo en trámite"" y el motivo del mismo, en un término no mayor a dos (2) días hábiles. Dicha leyenda deberá mantenerse hasta que el reclamo sea decidido.",KB 2/South America/Ley_1581_de_2012.pdf
ART-15-NUM-3,ART-15,numeral,3,76,"3. El término máximo para atender el reclamo será de quince (15) días hábiles contados a partir del día siguiente a la fecha de su recibo. Cuando no fuere posible atender el reclamo dentro de dicho término, se informará al interesado los motivos de la demora y la fecha en que se atenderá su reclamo, la cual en ningún caso podrá superar los ocho (8) días hábiles siguientes al vencimiento del primer término.",KB 2/South America/Ley_1581_de_2012.pdf
ART-16-INC-1,ART-16,inciso,1,77,El Titular o causahabiente sólo podrá elevar queja ante la Superintendencia de Industria y Comercio una vez haya agotado el trámite de consulta o reclamo ante el Responsable del Tratamiento o Encargado del Tratamiento.,KB 2/South America/Ley_1581_de_2012.pdf
ART-17-INC-1,ART-17,inciso,1,78,"Los Responsables del Tratamiento deberán cumplir los siguientes deberes, sin perjuicio de las demás disposiciones previstas en la presente ley y en otras que rijan su actividad:",KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-a,ART-17,literal,a,79,"a) Garantizar al Titular, en todo tiempo, el pleno y efectivo ejercicio del derecho de hábeas data;",KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-b,ART-17,literal,b,80,"b) Solicitar y conservar, en las condiciones previstas en la presente ley, copia de la respectiva autorización otorgada por el Titular;",KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-c,ART-17,literal,c,81,c) Informar debidamente al Titular sobre la finalidad de la recolección y los derechos que le asisten por virtud de la autorización otorgada;,KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-d,ART-17,literal,d,82,"d) Conservar la información bajo las condiciones de seguridad necesarias para impedir su adulteración, pérdida, consulta, uso o acceso no autorizado o fraudulento;",KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-e,ART-17,literal,e,83,"e) Garantizar que la información que se suministre al Encargado del Tratamiento sea veraz, completa, exacta, actualizada, comprobable y comprensible;",KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-f,ART-17,literal,f,84,"f) Actualizar la información, comunicando de forma oportuna al Encargado del Tratamiento, todas las novedades respecto de los datos que previamente le haya suministrado y adoptar las demás medidas necesarias para que la información suministrada a este se mantenga actualizada;",KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-g,ART-17,literal,g,85,g) Rectificar la información cuando sea incorrecta y comunicar lo pertinente al Encargado del Tratamiento;,KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-h,ART-17,literal,h,86,"h) Suministrar al Encargado del Tratamiento, según el caso, únicamente datos cuyo Tratamiento esté previamente autorizado de conformidad con lo previsto en la presente ley;",KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-i,ART-17,literal,i,87,"i) Exigir al Encargado del Tratamiento en todo momento, el respeto a las condiciones de seguridad y privacidad de la información del Titular;",KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-j,ART-17,literal,j,88,j) Tramitar las consultas y reclamos formulados en los términos señalados en la presente ley;,KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-k,ART-17,literal,k,89,"k) Adoptar un manual interno de políticas y procedimientos para garantizar el adecuado cumplimiento de la presente ley y en especial, para la atención de consultas y reclamos;",KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-l,ART-17,literal,l,90,"l) Informar al Encargado del Tratamiento cuando determinada información se encuentra en discusión por parte del Titular, una vez se haya presentado la reclamación y no haya finalizado el trámite respectivo;",KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-m,ART-17,literal,m,91,m) Informar a solicitud del Titular sobre el uso dado a sus datos;,KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-n,ART-17,literal,n,92,n) Informar a la autoridad de protección de datos cuando se presenten violaciones a los códigos de seguridad y existan riesgos en la administración de la información de los Titulares.,KB 2/South America/Ley_1581_de_2012.pdf
ART-17-LIT-o,ART-17,literal,o,93,o) Cumplir las instrucciones y requerimientos que imparta la Superintendencia de Industria y Comercio.,KB 2/South America/Ley_1581_de_2012.pdf
ART-18-INC-1,ART-18,inciso,1,94,"Los Encargados del Tratamiento deberán cumplir los siguientes deberes, sin perjuicio de las demás disposiciones previstas en la presente ley y en otras que rijan su actividad:",KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-a,ART-18,literal,a,95,"a) Garantizar al Titular, en todo tiempo, el pleno y efectivo ejercicio del derecho de hábeas data;",KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-b,ART-18,literal,b,96,"b) Conservar la información bajo las condiciones de seguridad necesarias para impedir su adulteración, pérdida, consulta, uso o acceso no autorizado o fraudulento;",KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-c,ART-18,literal,c,97,"c) Realizar oportunamente la actualización, rectificación o supresión de los datos en los términos de la presente ley;",KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-d,ART-18,literal,d,98,d) Actualizar la información reportada por los Responsables del Tratamiento dentro de los cinco (5) días hábiles contados a partir de su recibo;,KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-e,ART-18,literal,e,99,e) Tramitar las consultas y los reclamos formulados por los Titulares en los términos señalados en la presente ley;,KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-f,ART-18,literal,f,100,"f) Adoptar un manual interno de políticas y procedimientos para garantizar el adecuado cumplimiento de la presente ley y, en especial, para la atención de consultas y reclamos por parte de los Titulares;",KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-g,ART-18,literal,g,101,"g) Registrar en la base de datos las leyenda ""reclamo en trámite"" en la forma en que se regula en la presente ley;",KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-h,ART-18,literal,h,102,"h) Insertar en la base de datos la leyenda ""información en discusión judicial"" una vez notificado por parte de la autoridad competente sobre procesos judiciales relacionados con la calidad del dato personal;",KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-i,ART-18,literal,i,103,i) Abstenerse de circular información que esté siendo controvertida por el Titular y cuyo bloqueo haya sido ordenado por la Superintendencia de Industria y Comercio;,KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-j,ART-18,literal,j,104,j) Permitir el acceso a la información únicamente a las personas que pueden tener acceso a ella;,KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-k,ART-18,literal,k,105,k) Informar a la Superintendencia de Industria y Comercio cuando se presenten violaciones a los códigos de seguridad y existan riesgos en la administración de la información de los Titulares;,KB 2/South America/Ley_1581_de_2012.pdf
ART-18-LIT-l,ART-18,literal,l,106,l) Cumplir las instrucciones y requerimientos que imparta la Superintendencia de Industria y Comercio.,KB 2/South America/Ley_1581_de_2012.pdf
ART-18-PAR-1,ART-18,parágrafo,1,107,"Parágrafo. En el evento en que concurran las calidades de Responsable del Tratamiento y Encargado del Tratamiento en la misma persona, le será exigible el cumplimiento de los deberes previstos para cada uno.",KB 2/South America/Ley_1581_de_2012.pdf
ART-19-INC-1,ART-19,inciso,1,108,"La Superintendencia de Industria y Comercio, a través de una Delegatura para la Protección de Datos Personales, ejercerá la vigilancia para garantizar que en el Tratamiento de datos personales se respeten los principios, derechos, garantías y procedimientos previstos en la presente ley.",KB 2/South America/Ley_1581_de_2012.pdf
ART-19-PAR-1,ART-19,parágrafo,1,109,Parágrafo 1°. El Gobierno Nacional en el plazo de seis (6) meses contados a partir de la fecha de entrada en vigencia de la presente ley incorporará dentro de la estructura de la Superintendencia de Industria y Comercio un despacho de Superintendente Delegado para ejercer las funciones de Autoridad de Protección de Datos.,KB 2/South America/Ley_1581_de_2012.pdf
ART-19-PAR-2,ART-19,parágrafo,2,110,Parágrafo 2°. La vigilancia del tratamiento de los datos personales regulados en la Ley 1266 de 2008 se sujetará a lo previsto en dicha norma.,KB 2/South America/Ley_1581_de_2012.pdf
ART-20-INC-1,ART-20,inciso,1,111,La Superintendencia de Industria y Comercio contará con los siguientes recursos para ejercer las funciones que le son atribuidas por la presente ley:,KB 2/South America/Ley_1581_de_2012.pdf
ART-20-LIT-a,ART-20,literal,a,112,a) Los recursos que le sean destinados en el Presupuesto General de la Nación.,KB 2/South America/Ley_1581_de_2012.pdf
ART-21-INC-1,ART-21,inciso,1,113,La Superintendencia de Industria y Comercio ejercerá las siguientes funciones:,KB 2/South America/Ley_1581_de_2012.pdf
ART-21-LIT-a,ART-21,literal,a,114,a) Velar por el cumplimiento de la legislación en materia de protección de datos personales;,KB 2/South America/Ley_1581_de_2012.pdf
ART-21-LIT-b,ART-21,literal,b,115,"b) Adelantar las investigaciones del caso, de oficio o a petición de parte y, como resultado de ellas, ordenar las medidas que sean necesarias para hacer efectivo el derecho de hábeas data. Para el efecto, siempre que se desconozca el derecho, podrá disponer que se conceda el acceso y suministro de los datos, la rectificación, actualización o supresión de los mismos;",KB 2/South America/Ley_1581_de_2012.pdf
ART-21-LIT-c,ART-21,literal,c,116,"c) Disponer el bloqueo temporal de los datos cuando, de la solicitud y de las pruebas aportadas por el Titular, se identifique un riesgo cierto de vulneración de sus derechos fundamentales, y dicho bloqueo sea necesario para protegerlos mientras se adopta una decisión definitiva;",KB 2/South America/Ley_1581_de_2012.pdf
