Relationship_Type,Source_Node_Type,Source_ID,Target_Node_Type,Target_ID,Properties
HAS_SUB_PARAGRAPH,Paragraph,PARA-030-01,SubParagraph,SUBPARA-030-01-e,order:e
HAS_SUB_PARAGRAPH,Paragraph,PARA-030-01,SubParagraph,SUBPARA-030-01-f,order:f
HAS_SUB_PARAGRAPH,Paragraph,PARA-030-01,SubParagraph,SUBPARA-030-01-g,order:g
HAS_SUB_PARAGRAPH,Paragraph,PARA-028-03,SubParagraph,SUBPARA-028-03-a,order:a
HAS_SUB_PARAGRAPH,Paragraph,PARA-028-03,SubParagraph,SUBPARA-028-03-b,order:b
HAS_SUB_PARAGRAPH,Paragraph,PARA-028-03,SubParagraph,SUBPARA-028-03-c,order:c
HAS_SUB_PARAGRAPH,Paragraph,PARA-028-03,SubParagraph,SUBPARA-028-03-d,order:d
HAS_SUB_PARAGRAPH,Paragraph,PARA-028-03,SubParagraph,SUBPARA-028-03-e,order:e
HAS_SUB_PARAGRAPH,Paragraph,PARA-028-03,SubParagraph,SUBPARA-028-03-f,order:f
HAS_SUB_PARAGRAPH,Paragraph,PARA-028-03,SubParagraph,SUBPARA-028-03-g,order:g
HAS_SUB_PARAGRAPH,Paragraph,PARA-028-03,SubParagraph,SUBPARA-028-03-h,order:h
