clause_id,container_id,parent_clause_id,clause_ref,heading,obligation_type,text,page,source_document
CL-C-1,SEC-C,,C.1,Backing up your data,recommended,"Backing up your data is not a technical requirement of Cyber Essentials. However, we highly recommend implementing an appropriate backup solution.",5,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-C-2,SEC-C,,C.2,Backing up your data,informative,Backing up means creating a copy of your information and saving it to another device or to cloud storage (online).,5,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-C-3,SEC-C,,C.3,Backing up your data,informative,Backing up regularly means you will always have a recent version of your information saved. This will help you recover quicker if your data is lost or stolen.,5,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-C-4,SEC-C,,C.4,Backing up your data,recommended,"If automatic backups are available, you should consider turning them on. This will regularly save your information into cloud storage, without you having to remember.",5,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-C-5,SEC-C,,C.5,Backing up your data,recommended,"If you back up your information to a USB stick or an external hard drive, disconnect it from your computer when a backup isn’t being done.",6,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-OV-1,SEC-D-OV,,D.1,Cyber Essentials scope overview,mandatory,"Your assessment and certification should cover the whole of the IT infrastructure used to carry out your organisation’s business, or if necessary, a well-defined and separately managed sub-set. Either way, you must clearly define the scope boundary, namely: the business unit managing it, the network boundary and physical location. You must agree the scope with the Certification Body before assessment begins.",6,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-OV-2,SEC-D-OV,,D.2,Cyber Essentials scope overview,informative,A sub-set can be used to define what is in scope or what is out of scope for your Cyber Essentials certification.,6,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-OV-3,SEC-D-OV,,D.3,Cyber Essentials scope overview,informative,Please note: Organisations that choose a scope which includes their whole IT infrastructure achieve the best protection and maximise their customers' confidence.,6,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-OV-4,SEC-D-OV,,D.4,Cyber Essentials scope overview,mandatory,"Where parts of an organisation’s infrastructure have been excluded from scope, you will need to justify the reason for a partial scope to your assessor.",6,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-OV-5,SEC-D-OV,,D.5,Cyber Essentials scope overview,mandatory,The requirements apply to all devices and software in scope and which meet any of these conditions:,6,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-OV-5a,SEC-D-OV,CL-D-OV-5,D.5(a),Cyber Essentials scope overview,mandatory,can accept incoming network connections from internet-connected devices,6,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-OV-5b,SEC-D-OV,CL-D-OV-5,D.5(b),Cyber Essentials scope overview,mandatory,can establish outbound connections to devices via the internet,6,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-OV-5c,SEC-D-OV,CL-D-OV-5,D.5(c),Cyber Essentials scope overview,mandatory,control the flow of data between any of the above devices and the internet,6,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-OV-6,SEC-D-OV,,D.6,Cyber Essentials scope overview,mandatory,A scope that doesn’t include end-user devices isn’t acceptable.,7,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-OV-7,SEC-D-OV,,D.7,Cyber Essentials scope overview,mandatory,"If your organisation’s data or services are hosted on cloud services, these services must be in scope. Cloud services cannot be excluded from scope.",7,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-AM-1,SEC-D-AM,,D.8,Asset management and Cyber Essentials,informative,"Asset management isn’t a specific Cyber Essentials control, but effective asset management can help meet all five controls, so it should be considered as a core security function.",7,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-AM-2,SEC-D-AM,,D.9,Asset management and Cyber Essentials,informative,"Most business operations depend on some aspect of asset management, and cyber security shouldn’t be considered in isolation, or as the primary consumer of asset information. These functions include IT operations, financial accounting, managing software licences, procurement and logistics. They may not all need the same information, but there will be overlaps and dependencies between the respective requirements. Integrating and coordinating asset management across your organisation will help reduce or manage any conflicts between these functions.",7,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-AM-3,SEC-D-AM,,D.10,Asset management and Cyber Essentials,informative,"Effective asset management doesn’t mean making lists or databases that are never used. It means creating, establishing and maintaining authoritative and accurate information about your assets that enables both day-to-day operations and efficient decision making when you need it. In particular, it will help you track and control devices as they're introduced into your business.",7,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-AM-4,SEC-D-AM,,D.11,Asset management and Cyber Essentials,informative,The NCSC has comprehensive guidance for organisations on asset management.,7,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-i-1,SEC-D-i,,D(i).1,Bring your own device (BYOD),mandatory,"In addition to mobile or remote devices owned by the organisation, user-owned devices which access organisational data or services (as defined above) are in scope. However, all mobile or remote devices used only for the purpose of:",8,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-i-1a,SEC-D-i,CL-D-i-1,D(i).1(a),Bring your own device (BYOD),mandatory,native voice applications,8,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-i-1b,SEC-D-i,CL-D-i-1,D(i).1(b),Bring your own device (BYOD),mandatory,native text applications,8,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-i-1c,SEC-D-i,CL-D-i-1,D(i).1(c),Bring your own device (BYOD),mandatory,multi-factor authentication (MFA) applications are out of scope.,8,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-i-2,SEC-D-i,,D(i).2,Bring your own device (BYOD),informative,"Traditionally, user devices were managed centrally, which ensured consistency across the organisation. Certifying security controls in this way is more straightforward as there is a standard build or reference.",8,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-i-3,SEC-D-i,,D(i).3,Bring your own device (BYOD),informative,"BYOD complicates matters, as users are given more freedom to ‘customise’ their experience making consistent implementation of the controls more challenging. Using the organisational data and services definitions to enforce strong access policies should remove some of this ambiguity.",8,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-i-4,SEC-D-i,,D(i).4,Bring your own device (BYOD),informative,For further information and advice on the use of BYOD please see the NCSC’s guidance.,9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-ii-1,SEC-D-ii,,D(ii).1,Home and remote working,mandatory,Our default approach is that all corporate or BYOD home/remote working devices used for your organisation’s business are in scope for Cyber Essentials.,9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-ii-2,SEC-D-ii,,D(ii).2,Home and remote working,mandatory,"If your organisation gives the home/remote worker a router, that router is then also in scope.",9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-ii-3,SEC-D-ii,,D(ii).3,Home and remote working,mandatory,All other routers are out of scope which means you need to apply Cyber Essentials firewall controls (such as a software firewall) on user devices.,9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-ii-4,SEC-D-ii,,D(ii).4,Home and remote working,informative,"If the home/remote worker is using a corporate VPN, their internet boundary is on the company firewall or virtual/cloud firewall.",9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iii-1,SEC-D-iii,,D(iii).1,Wireless devices,mandatory,Wireless devices (including wireless access points) are:,9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iii-1a,SEC-D-iii,CL-D-iii-1,D(iii).1(a),Wireless devices,mandatory,in scope if they can communicate with other devices via the internet,9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iii-1b,SEC-D-iii,CL-D-iii-1,D(iii).1(b),Wireless devices,mandatory,out of scope if it's not possible for an attacker to attack directly via the internet (the Cyber Essentials scheme isn’t concerned with attacks that can only be launched within the signal range of the wireless device),9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iii-1c,SEC-D-iii,CL-D-iii-1,D(iii).1(c),Wireless devices,mandatory,out of scope if they are part of an ISP router at the home or remote location,9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iv-1,SEC-D-iv,,D(iv).1,Cloud services,mandatory,"If your organisation’s data or services are hosted on cloud services, these services must be in scope.",9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iv-2,SEC-D-iv,,D(iv).2,Cloud services,mandatory,"For cloud services, the applicant organisation is always responsible for ensuring all controls are implemented, but some of the controls can be implemented by the cloud service provider. Who implements which control depends on the type of cloud service. We consider three different types of cloud service:",9,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iv-2a,SEC-D-iv,CL-D-iv-2,D(iv).2(a),Cloud services,informative,"Infrastructure as a Service (IaaS) – the cloud provider delivers virtual servers and network equipment that, much like physical equipment, your organisation configures and manages. Examples of IaaS include Rackspace, Google Compute Engine, or Amazon EC2",10,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iv-2b,SEC-D-iv,CL-D-iv-2,D(iv).2(b),Cloud services,informative,"Platform as a Service (PaaS) – the cloud provider delivers and manages the underlying infrastructure, and your organisation provides and manages the applications. Examples of PaaS include Azure Web Apps and Amazon Web Services Lambda",10,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iv-2c,SEC-D-iv,CL-D-iv-2,D(iv).2(c),Cloud services,mandatory,"Software as a Service (SaaS) – the cloud provider delivers applications, and your organisation then configures the services. You must still make sure that the service is configured securely. Examples of SaaS include Microsoft 365, Dropbox and Gmail",10,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iv-3,SEC-D-iv,,D(iv).3,Cloud services,informative,"Who implements the controls will vary, depending how the cloud service is designed. The table below explains who might typically be expected to implement each control:",10,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-iv-4,SEC-D-iv,,D(iv).4,Cloud services,mandatory,"In cases where the cloud provider implements one of the controls on your behalf, you must make sure that the cloud provider has committed to implementing this via contractual clauses or documents referenced by contract, such as security statements or privacy statements. Cloud providers will often explain how they implement security in documents published in their trust centres, referencing a ‘shared responsibility model.’",10,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-v-1,SEC-D-v,,D(v).1,Accounts used by third parties and managed infrastructure,mandatory,"All accounts that your organisation owns are in scope, even when those accounts are used by a third party, such as a supplier, contractor or Managed Service Provider (MSP) to manage or support your infrastructure.",11,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-v-2,SEC-D-v,,D(v).2,Accounts used by third parties and managed infrastructure,mandatory,"If you’re using externally managed services (such as remote administration), you must be able to confirm that the Cyber Essentials technical controls are being met and be able to demonstrate this in your assessment answers.",11,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-vi-1,SEC-D-vi,,D(vi).1,Devices used by third parties,mandatory,All end user devices your organisation owns that are loaned to a third party must be included in the assessment scope.,11,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-vi-2,SEC-D-vi,,D(vi).2,Devices used by third parties,informative,"For devices not owned by your organisation, the table below explains what is in and out of scope:",11,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-vi-3,SEC-D-vi,,D(vi).3,Devices used by third parties,mandatory,"For devices out of scope of the assessment, your organisation is still responsible for confirming that the devices interacting with organisational services and data are configured correctly. It's up to you how to achieve this, as it falls outside of the assessment scope.",12,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-D-vii-1,SEC-D-vii,,D(vii).1,Software development,mandatory,Publicly available commercial web applications (rather than apps developed in-house) are in scope by default. Bespoke and custom components of web applications are out of scope. The best way to mitigate vulnerabilities in applications is robust development and testing in line with commercial best practice. See the Software Security Code of Practice for further details.,12,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-INTRO-1,CT-1,,1.Intro.1,Introduction,informative,"All devices run network services to allow them to communicate with other devices and services. By restricting access to these services, you reduce your exposure to attacks. You can do this using firewalls or network devices with firewall functionality. For cloud services, you can achieve this using data flow policies.",13,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-INTRO-2,CT-1,,1.Intro.2,Introduction,informative,"A boundary firewall is a network device which can restrict the inbound and outbound network traffic to services on its network of computers and mobile devices. It can help protect against cyber attacks by implementing restrictions, known as ‘firewall rules,’ which can allow or block traffic depending on its source, destination and type of communication protocol.",13,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-INTRO-3,CT-1,,1.Intro.3,Introduction,mandatory,"Alternatively, if your organisation doesn't control the network to which a device connects, you must configure a software firewall on the device. This works in the same way as a boundary firewall but only protects the single device on which it’s configured. This approach allows for more tailored rules and means that the rules apply to the device wherever it's used. But you should note that this creates a greater administrative overhead when managing firewall rules.",13,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R1,CT-1,,1.R1,Requirements,mandatory,You must protect every device in scope with a correctly configured firewall (or network device with firewall functionality).,13,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R2,CT-1,,1.R2,Requirements,recommended,"Information: Most desktop and laptop operating systems now come with a software firewall pre-installed, we advise that these are turned on in preference to a third-party firewall application.",14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R3,CT-1,,1.R3,Requirements,mandatory,"For all firewalls (or network devices with firewall functionality), your organisation must:",14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R3a,CT-1,CL-1-R3,1.R3(a),Requirements,mandatory,change default administrative passwords to a strong and unique password (see password-based authentication) – or disable remote administrative access entirely,14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R3b,CT-1,CL-1-R3,1.R3(b),Requirements,mandatory,"prevent access to the administrative interface (used to manage firewall configuration) from the internet, unless there is a clear and documented business need, and the interface is protected by one of the following controls:",14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R3b-i,CT-1,CL-1-R3b,1.R3(b)(i),Requirements,mandatory,multi-factor authentication (see MFA details below),14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R3b-ii,CT-1,CL-1-R3b,1.R3(b)(ii),Requirements,mandatory,an IP allow list that limits access to a small range of trusted addresses combined with a properly managed password authentication approach,14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R3c,CT-1,CL-1-R3,1.R3(c),Requirements,mandatory,block unauthenticated inbound connections by default,14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R3d,CT-1,CL-1-R3,1.R3(d),Requirements,mandatory,"ensure inbound firewall rules are approved and documented by an authorised person, and include the business need in the documentation",14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R3e,CT-1,CL-1-R3,1.R3(e),Requirements,mandatory,"remove or disable unnecessary firewall rules, when they are no longer needed",14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-1-R4,CT-1,,1.R4,Requirements,mandatory,"Make sure you use a software firewall on devices which are used on untrusted networks, such as public wifi hotspots.",14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-INTRO-1,CT-2,,2.Intro.1,Introduction,informative,"The default configurations of computers and network devices aren’t always secure. Standard out-of-the-box configurations often include one or more weak points such as: an administrative account with a pre-set, publicly known default password or without multi-factor authentication enabled; pre-enabled but unnecessary user accounts (sometimes with special access privileges); pre-installed but unnecessary applications or services",15,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-INTRO-2,CT-2,,2.Intro.2,Introduction,informative,"These default installations can allow attackers to gain unauthorised access to your organisation’s sensitive information. But by applying some simple technical controls when installing computers and network devices, you can minimise vulnerabilities and protect against common types of attack.",15,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R1,CT-2,,2.R1,Computers and network devices,mandatory,Your organisation must proactively manage your computers and network devices. You must regularly:,15,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R1a,CT-2,CL-2-R1,2.R1(a),Computers and network devices,mandatory,remove and disable unnecessary user accounts (such as guest accounts and administrative accounts that won’t be used),15,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R1b,CT-2,CL-2-R1,2.R1(b),Computers and network devices,mandatory,change any default or guessable account passwords (see password-based authentication),15,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R1c,CT-2,CL-2-R1,2.R1(c),Computers and network devices,mandatory,"remove or disable unnecessary software (including applications, system utilities and network services)",15,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R1d,CT-2,CL-2-R1,2.R1(d),Computers and network devices,mandatory,disable any auto-run feature which allows file execution without user authorisation (such as when they are downloaded),15,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R1e,CT-2,CL-2-R1,2.R1(e),Computers and network devices,mandatory,ensure users are authenticated before allowing them access to organisational data or services,15,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R1f,CT-2,CL-2-R1,2.R1(f),Computers and network devices,mandatory,"ensure appropriate device locking controls (see ‘device unlocking’, below) for users that are physically present",15,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R2,CT-2,,2.R2,Device unlocking credentials,mandatory,"If a device requires a user’s physical presence to access a device’s services (such as logging on to a laptop or unlocking a mobile phone), a credential such as a biometric, password or PIN must be in place before a user can gain access to the services.",16,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R3,CT-2,,2.R3,Device unlocking credentials,mandatory,"You must protect your chosen authentication method (which can be biometric authentication, password or PIN) against brute-force attacks. When it's possible to configure, you should apply one of the following:",16,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R3a,CT-2,CL-2-R3,2.R3(a),Device unlocking credentials,recommended,"‘throttling' the rate of attempts, so that the length of time the user must wait between attempts increases with each unsuccessful attempt. You should allow no more than 10 guesses in 5 minutes",16,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R3b,CT-2,CL-2-R3,2.R3(b),Device unlocking credentials,recommended,locking devices after no more than 10 unsuccessful attempts,16,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R4,CT-2,,2.R4,Device unlocking credentials,mandatory,"When the vendor doesn't allow you to configure the above, use the vendor’s default setting.",16,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-2-R5,CT-2,,2.R5,Device unlocking credentials,mandatory,"Technical controls must be used to manage the quality of credentials. If credentials are just to unlock a device, use a minimum password or PIN length of at least 6 characters. When the device unlocking credentials are also used for authentication, you must apply the full password requirements to the credentials described in User Access Controls.",16,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-INTRO-1,CT-3,,3.Intro.1,Introduction,informative,"Any device that runs software can contain security flaws, known as vulnerabilities.",16,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-INTRO-2,CT-3,,3.Intro.2,Introduction,informative,"Vulnerabilities are regularly discovered in all sorts of software. Once discovered, malicious individuals or groups move quickly to misuse (or ‘exploit’) vulnerabilities to attack computers and networks.",17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-INTRO-3,CT-3,,3.Intro.3,Introduction,informative,"Product vendors provide fixes for vulnerabilities identified in products that they still support, in the form of patches, security updates, registry fixes, scripts, configuration changes or any other mechanism prescribed by the vendor to fix a known vulnerability. These may be made available to customers immediately or on a regular release schedule (perhaps monthly).",17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R1,CT-3,,3.R1,Requirements,mandatory,You must make sure that all software in scope is kept up to date. All software on in-scope devices must:,17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R1a,CT-3,CL-3-R1,3.R1(a),Requirements,mandatory,be licensed and supported,17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R1b,CT-3,CL-3-R1,3.R1(b),Requirements,mandatory,"be removed from devices when it becomes unsupported, or removed from scope by using a defined sub-set that prevents all traffic to or from the internet",17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R1c,CT-3,CL-3-R1,3.R1(c),Requirements,mandatory,have automatic updates enabled where possible,17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R1d,CT-3,CL-3-R1,3.R1(d),Requirements,mandatory,"be updated, including vulnerability fixes, within 14 days* of release, where:",17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R1d-i,CT-3,CL-3-R1d,3.R1(d)(i),Requirements,mandatory,the update fixes vulnerabilities described by the vendor as ‘critical’ or ‘high risk’,17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R1d-ii,CT-3,CL-3-R1d,3.R1(d)(ii),Requirements,mandatory,the update addresses vulnerabilities with a CVSS v3 base score of 7 or above,17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R1d-iii,CT-3,CL-3-R1d,3.R1(d)(iii),Requirements,mandatory,there are no details of the level of vulnerabilities that the update fixes provided by the vendor,17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R2,CT-3,,3.R2,Requirements,recommended,Please note: For optimum security we strongly recommend (but it’s not mandatory) that all released updates are applied within 14 days of release.,17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R3,CT-3,,3.R3,Requirements,informative,*It's important that updates are applied as soon as possible. 14 days is considered a reasonable period to be able to implement this requirement. Any longer would constitute a serious security risk while a shorter period may not be practical.,17,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R4,CT-3,,3.R4,Requirements,informative,"Information: If the vendor uses different terms to describe the severity of vulnerabilities, see the precise definition in the Common Vulnerability Scoring System (CVSS). For the purposes of the Cyber Essentials scheme, ‘critical’ or ‘high risk’ vulnerabilities are those with a CVSS v3 base score of 7 or above, or are identified by the vendor as 'critical or high risk'.",18,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-3-R5,CT-3,,3.R5,Requirements,mandatory,Caution: Some vendors release security updates for multiple issues with differing severity levels as a single update. If such an update covers any ‘critical’ or ‘high risk’ issues then it must be installed within 14 days.,18,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-INTRO-1,CT-4,,4.Intro.1,Introduction,informative,"Every active user account in your organisation facilitates access to devices and applications, and to sensitive business information. By making sure that only authorised individuals have user accounts, and that they're only granted as much access as they need to carry out their role, you reduce the risk of information being stolen or damaged.",18,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-INTRO-2,CT-4,,4.Intro.2,Introduction,informative,"Compared to normal user accounts, accounts with special access privileges have enhanced access to devices, applications and information. If these accounts are compromised, an attacker could take advantage of their greater access to corrupt information on a large scale, disrupt business processes or gain unauthorised access to other devices in the organisation.",18,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-INTRO-3,CT-4,,4.Intro.3,Introduction,informative,"Administrative accounts are especially highly privileged, for example. These accounts typically allow the user to: execute software that can make significant and security-related changes to the operating system; make changes to the operating system for some or all users; create new accounts and allocate privileges",18,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-INTRO-4,CT-4,,4.Intro.4,Introduction,informative,"All types of administrators will have this kind of account, including domain administrators and local administrators.",19,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-4-INTRO-5,CT-4,,4.Intro.5,Introduction,informative,"This is important because if a user opens a malicious URL or email attachment, the malware would typically be executed with the same privilege level of the user’s account. This is why it’s important to take special care allocating and using privileged accounts.",19,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
