item_id,item_number,part_id,article_id,text,source_document
article_3_part_0_item_8,8,article_3_part_0,article_3,Destruction of personal data – actions performed on personal data contained in an information system that make restoration of such data impossible and (or) actions aimed at the physical destruction of physical media of personal data;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_3_part_0_item_9,9,article_3_part_0,article_3,Anonymization of personal data – actions performed on personal data that make it impossible to determine the identity of the subject without the use of information in addition to such anonymized data;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_3_part_0_item_10,10,article_3_part_0,article_3,Personal data information system – a database that contains personal data and the information technologies and hardware used for their processing;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_3_part_0_item_11,11,article_3_part_0,article_3,"Cross-border transfer of personal data – cross-border transfer of personal data to a foreign authority, foreign private entity or foreign legal entity located in a foreign state. (Article 3 ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701)","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_1,1,article_6_part_1,article_6,Personal data processing is conducted with the consent of the data subject to the processing of their personal data;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_2,2,article_6_part_1,article_6,"Personal data processing is required to attain the purposes stipulated by an international agreement of the Russian Federation or by law, or for the exercise and fulfillment of functions, powers and obligations imposed on controllers by the legislation of the Russian Federation.","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_3,3,article_6_part_1,article_6,"Personal data processing is conducted in connection with the involvement of the individual in constitutional, civil, administrative, criminal court proceedings, and court proceedings in arbitration courts (ed. Federal Law dated July 29, 2017 N 223-FZ - Legislation Bulletin of the Russian Federation, 2017, N 31, art. 4772);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_3_1,3.1,article_6_part_1,article_6,"Personal data processing is necessary for the execution of a judicial act, an act of another body, or official entity, to be executed in accordance with the legislation of the Russian Federation on enforcement proceedings (hereinafter referred to as “enforcement of a judicial act”) (clause 3.1 introduced by Federal Law dated July 29, 2017 N 223-FZ - Legislation Bulletin of the Russian Federation, 2017, N 31, art. 4772);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_4,4,article_6_part_1,article_6,"Personal data processing is necessary for the execution of powers of federal executive bodies, state extra-budgetary funds, executive bodies of state bodies of the constituent entities of the Russian Federation, local government bodies and the functions of organizations involved in the provision of state and municipal services, respectively, stipulated by Federal Law dated July 27, 2010 N 210-FZ “On the organization of the provision of state and municipal services”, including the registration of a data subject on a single portal of state and municipal services and (or) regional portals of state and municipal services (ed. Federal Law dated April 5, 2013 N 43-FZ - Legislation Bulletin of the Russian Federation, 2013, N 14, art. 1651);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_5,5,article_6_part_1,article_6,"Personal data processing required for the execution of an agreement under which the data subject is a beneficiary or guarantor, or for the conclusion of an agreement on the initiative of the data subject or an agreement under which the data subject is a beneficiary or guarantor (ed. Federal Law dated December 21, 2013 N 363-FZ - Legislation Bulletin of the Russian Federation, 2013, N 51, art. 6683; Federal Law dated July 3, 2016 N 231-FZ - Legislation Bulletin of the Russian Federation, 2016, N 27, art. 4164);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_6,6,article_6_part_1,article_6,"Personal data processing required for the protection of life, health, or other vital interests of the data subject if it is not possible to obtain their consent;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_7,7,article_6_part_1,article_6,"Processing of personal data required to exercise the rights and legal interests of a controller or third parties, including in the cases stipulated by the Federal Law “On the protection of the rights and legal interests of private entities carrying out activities for the repayment of overdue debt and on amendments introduced to Federal law 'On microfinance activities and microfinance organizations’”, or to attain socially significant purposes provided that this does not violate the rights and liberties of the data subject (ed. Federal Law dated July 3, 2016 N 231-FZ - Legislation Bulletin of the Russian Federation, 2016, N 27, art. 4164);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_8,8,article_6_part_1,article_6,"Processing of personal data required for the professional activities of a journalist and (or) the legal activities of the media, or for the purpose of scientific, literary or other creative activity, provided that it does not infringe upon the rights and liberties of the data subject;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_9,9,article_6_part_1,article_6,"Processing of personal data carried out for statistical or other research purposes, with the exception of the purposes specified in article 15 of this Federal Law, subject to compulsory anonymization of the personal data;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_10,10,article_6_part_1,article_6,Processing of personal data for public access provided by the data subject or at their request (hereinafter “personal data made publicly accessible by a data subject”);,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_item_11,11,article_6_part_1,article_6,Processing of personal data that are subject to publication or compulsory disclosure in accordance with federal laws.,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_9_part_4_item_1,1,article_9_part_4,article_9,"The surname, forename, patronymic, address of the data subject, their principal identification document number, and information on the date of issue of such document and the body that issued it;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_9_part_4_item_2,2,article_9_part_4,article_9,"The surname, forename, patronymic, address of the representative of the data subject, their principal identification document number, information on the date of issue of such document and the body that issued it, and details of the power of attorney or other document confirming the authority of the representative (upon receipt of consent from the representative of the data subject);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_9_part_4_item_3,3,article_9_part_4,article_9,"The name or surname, forename, patronymic, and address of the controller receiving the consent of the data subject;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_9_part_4_item_4,4,article_9_part_4,article_9,The purpose of the personal data processing;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_9_part_4_item_5,5,article_9_part_4,article_9,A list of personal data for the processing of which consent is given by the data subject;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_9_part_4_item_6,6,article_9_part_4,article_9,"The name or surname, forename, patronymic, and address of the entity conducting the processing of the personal data on the instruction of the controller, if the processing is to be assigned to such entity;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_9_part_4_item_7,7,article_9_part_4,article_9,A list of actions undertaken involving the personal data for which consent is given and a general description of the methods of personal data processing that are to be used by the controller;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_9_part_4_item_8,8,article_9_part_4,article_9,"The period for which consent is given by a data subject and the procedure for withdrawal of such consent, unless otherwise stipulated by federal law;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_9_part_4_item_9,9,article_9_part_4,article_9,The signature of the data subject.,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_1,1,article_10_part_2,article_10,The data subject has given their written consent to the processing of their personal data;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_2,2,article_10_part_2,article_10,"The personal data have been made public by the data subject (ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_2_1,2.1,article_10_part_2,article_10,"The processing of personal data is necessary for the implementation of international agreements of the Russian Federation on readmission (clause 2.1 introduced by Federal Law dated November 25, 2019 N 266-FZ - Legislation Bulletin of the Russian Federation, 2009, N 48, art. 5716);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_2_2,2.2,article_10_part_2,article_10,"The processing of personal data is conducted in accordance with Federal Law dated January 25, 2002 N 8-FZ “On the all-Russian population census” (clause 2.2 introduced by Federal Law dated November 25, 2009 N 266-FZ - Legislation Bulletin of the Russian Federation, 2009, N 48, art. 5716);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_2_3,2.3,article_10_part_2,article_10,"the processing of personal data is conducted in accordance with legislation on social services, labor legislation, or pension legislation of the Russian Federation (clause 2.3 introduced by Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701; ed. Federal Law dated July 21, 2014 N 216-FZ - Legislation Bulletin of the Russian Federation, 2014, N 30, art. 4217);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_3,3,article_10_part_2,article_10,"The processing of personal data is necessary to protect the life, health or other vital interests of the data subject or the life, health or other vital interests of other entities and it is not possible to obtain the consent of the data subject (ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_4,4,article_10_part_2,article_10,"The processing of personal data is conducted for the purposes of preventive medicine, medical diagnosis, or the provision of medical and social care provided that the processing of personal data is conducted by an individual who is professionally involved in medical activities and has a duty in accordance with the legislation of the Russian Federation to maintain medical confidentiality;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_5,5,article_10_part_2,article_10,"The processing of the personal data of members (participants) of a non- governmental association or religious organization is conducted by such non- governmental association or religious organization acting in accordance with the legislation of the Russian Federation for the purpose of attaining the legal purposes stipulated in its articles of association, provided that the personal data are not disseminated without the written consent of the data subjects;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_6,6,article_10_part_2,article_10,"The processing of personal data is necessary in order to exercise the rights of the data subject or third parties to be established or exercised, and in connection with the administration of justice (ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_7,7,article_10_part_2,article_10,"The processing of personal data is conducted in accordance with the legislation of the Russian Federation on defense, security, counter-terrorism, transport safety, anti-corruption measures, investigative activities, enforcement proceedings, and the penal legislation of the Russian Federation (ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_7_1,7.1,article_10_part_2,article_10,"The processing of personal data received in accordance with the legislation of the Russian Federation conducted by the prosecution authorities in connection with the exercising of their prosecutorial oversight (clause 7.1 introduced by Federal Law dated July 23, 2013 N 205-FZ - Legislation Bulletin of the Russian Federation, 2013, N 30, art. 4038);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_8,8,article_10_part_2,article_10,"The processing of personal data is conducted in accordance with legislation on mandatory types of insurance and insurance legislation (clause 8 introduced by Federal Law dated November 29, 2010 N 313-FZ - Legislation Bulletin of the Russian Federation, 2010, N 49, art. 6409; ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_9,9,article_10_part_2,article_10,"The processing of personal data is conducted by state bodies and municipal bodies or organizations in the cases stipulated by the legislation of the Russian Federation for the purpose of placing children without parental care into the family care of citizens (clause 9 introduced by Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_10_part_2_item_10,10,article_10_part_2,article_10,"The processing of personal data in accordance with the legislation of the Russian Federation on the citizenship of the Russian Federation (clause 10 introduced by Federal Law dated June 4, 2014 N 142-FZ - Legislation Bulletin of the Russian Federation, 2014, N 23, art. 2927);","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_12_part_4_item_1,1,article_12_part_4,article_12,If the data subject has given their consent to the cross-border transfer of their personal data;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_12_part_4_item_2,2,article_12_part_4,article_12,In the cases stipulated by international agreements of the Russian Federation;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_12_part_4_item_3,3,article_12_part_4,article_12,"In the cases stipulated by federal laws as necessary to protect the foundations of the constitutional order of the Russian Federation, to ensure national defense and state security, to ensure the stable and safe operation of the transport system, and to protect personal interests, society, and the state in the transport sector against acts of unlawful interference;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_12_part_4_item_4,4,article_12_part_4,article_12,For the purpose of the execution of an agreement to which the data subject is a party;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_12_part_4_item_5,5,article_12_part_4,article_12,"For the purpose of protecting the life, health or other vital interests of the data subject or other entities if it is not possible to obtain the written consent of the data subject. (Article 12 ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701).","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_7_item_1,1,article_14_part_7,article_14,Confirmation of the processing of the personal data by the controller;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_7_item_2,2,article_14_part_7,article_14,The legal grounds for and purposes of the processing of the personal data;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_7_item_3,3,article_14_part_7,article_14,The purposes and methods used by the controller for the processing of the personal data;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_7_item_4,4,article_14_part_7,article_14,The name and location of the controller and information on individuals (with the exception of the employees of the controller) who have access to the personal data or to whom the personal data may be disclosed on the basis of an agreement with the controller or on the basis of a federal law;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_7_item_5,5,article_14_part_7,article_14,"Processed personal data relating to the relevant data subject and the source from which they were obtained, unless a different procedure for the submission of such data is prescribed by a federal law;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_7_item_6,6,article_14_part_7,article_14,"The period for the processing of the personal data, including the period for which they are stored;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_7_item_7,7,article_14_part_7,article_14,The procedure for the data subject to exercise the rights stipulated by this Federal Law;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_7_item_8,8,article_14_part_7,article_14,Information on any executed or planned cross-border transfer of personal data;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_7_item_9,9,article_14_part_7,article_14,"The name or surname, forename, patronymic, and the address of the entity conducting the processing of personal data on the instruction of the controller, if the processing has been or is intended to be assigned to such entity;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_7_item_10,10,article_14_part_7,article_14,Other information stipulated by this Federal Law or other federal laws.,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_8_item_1,1,article_14_part_8,article_14,"Processing of the personal data, including personal data obtained as a result of investigative, counter-intelligence and intelligence activities, is conducted for the purposes of national defense, state security, and law enforcement;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_8_item_2,2,article_14_part_8,article_14,"Processing of the personal data is conducted by bodies that have detained the data subject on suspicion of committing a crime, have brought a criminal charge against the data subject, or have imposed a measure of restraint against the data subject prior to bringing charges, with the exception of the cases stipulated in the penal legislation of the Russian Federation where a suspect or accused person is permitted to inspect such personal data;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_8_item_3,3,article_14_part_8,article_14,Processing of the personal data is conducted in accordance with legislation on the countering of the legitimization (laundering) of proceeds of crime and the financing of terrorism;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_8_item_4,4,article_14_part_8,article_14,Access of the data subject to their personal data would violate the rights and legal interests of third parties;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_14_part_8_item_5,5,article_14_part_8,article_14,"The processing of personal data is conducted in the cases stipulated by the legislation of the Russian Federation concerning transport safety for the purpose of ensuring the stable and safe operation of the transport system and to protect personal interests, society, and the state in the transport sector against acts of unlawful interference. (Article 14 ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701).","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_18_part_3_item_1,1,article_18_part_3,article_18,"The name or surname, forename, patronymic, and address of the controller or its representative;","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_18_part_3_item_2,2,article_18_part_3,article_18,The purpose and legal grounds for processing the personal data;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_18_part_3_item_3,3,article_18_part_3,article_18,The anticipated users of the personal data;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_18_part_3_item_4,4,article_18_part_3,article_18,The rights of the data subject as stipulated by this Federal Law;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_18_part_3_item_5,5,article_18_part_3,article_18,The source from which the personal data were obtained.,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_18_part_4_item_1,1,article_18_part_4,article_18,The data subject has been notified of the processing of their personal data by the relevant controller;,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
