reg_clause_id,reg_article_id,clause_type,label,paragraph_no,parent_clause_id,text,source_document
REG_ART_17_P2,REG_ART_17,paragraph,,2,,"The previous paragraph shall not apply when the processing of personal data is for purposes different from those that are necessary and create the legal relationship between the data controller and the data subject. In this case, to obtain tacit consent, the data controller shall observe the provisions of Article 8, third paragraph, of the Law and Articles 11, 12, and 13 of these Regulations, and with respect to sensitive, financial, or property data, it shall obtain express consent, or as required by the Law, express and written consent.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_18_P1,REG_ART_18,paragraph,,1,,It is considered that express consent was given verbally when the data subject gives it orally to the data controller in the latter’s presence of by the use of any technology that permits oral dialogue.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_19_P1,REG_ART_19,paragraph,,1,,"It will be considered that express consent was given in writing when the data subject provides it in a document bearing his hand-written signature, fingerprint, or any other mechanism authorized by law. In a digital environment, an electronic signature may be used or any mechanism or procedure that is established for this purpose and permits the identification of the data subject and the obtaining of his consent.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_20_P1,REG_ART_20,paragraph,,1,,"To show that consent has been obtained, the burden of proof always rests upon the data controller.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_21_P1,REG_ART_21,paragraph,,1,,"At any time, the data subject may revoke his consent for the processing of his personal data and the data controller shall establish simple and free-of-charge mechanisms to permit the data subject to revoke his consent using at least the same media that he used to provide it, provided that the law does not prevent this.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_21_P2,REG_ART_21,paragraph,,2,,The mechanisms or procedure established by the data controller to deal with consent revocation requests may not exceed the period contemplated in Article 32 of the Law.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_21_P3,REG_ART_21,paragraph,,3,,"When the data subject requests confirmation that the processing of his personal data has stopped, the data controller shall expressly respond to such request.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_21_P4,REG_ART_21,paragraph,,4,,"If the personal data has been transmitted prior to the date of the revocation of consent and continue to be processed by the data processor, the data controller shall bring the revocation to the attention of the data processor so that he takes the necessary steps to deal with it.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_22_P1,REG_ART_22,paragraph,,1,,"In case of refusal by the data controller to stop the processing of personal data in the event of a withdrawal of consent, the data subject may file with the Institute the complaint to which Chapter IX of these Regulations refers.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_23_P1,REG_ART_23,paragraph,,1,,"The data controller must bring to the attention of the data subject the information related to the existence and main characteristics of the processing to which his personal data will be submitted, through a privacy notice, pursuant to the Law and this Regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_24_P1,REG_ART_24,paragraph,,1,,"The privacy notice must be simple, with the necessary information, written in a clear and understandable language, and with a structure and design that facilitates its understanding.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_25_P1,REG_ART_25,paragraph,,1,,"For the divulging of privacy notices, the data controller may use physical or electronic formats, verbal means or any other technology, provided it complies with the duty to inform the data subject.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_26_P1,REG_ART_26,paragraph,,1,,"A privacy notice must contain the items referred to in Articles 8, 15, 16, 33, and 36 of the Law, as well as those established in the guidelines referred to in Article 43(III) of the Law.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_27_P1,REG_ART_27,paragraph,,1,,"As provided in Article 17(II) of the Law, when personal data is obtained directly from the data subject, the data controller must immediately provide at least the following information:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_27_F_I,REG_ART_27,fraction,I,,,The identity and address of the data controller;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_27_F_II,REG_ART_27,fraction,II,,,"The purposes of the processing, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_27_F_III,REG_ART_27,fraction,III,,,The mechanisms offered by the data controller so that the data subject will be aware of the privacy notice in accordance with Article 26 of these Regulations.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_27_P2,REG_ART_27,paragraph,,2,,"The immediate divulging of the above information does not exempt the data controller from the obligation to provide mechanisms for the data subject to become aware of the content of the privacy notice, pursuant to Article 26 of these Regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_28_P1,REG_ART_28,paragraph,,1,,"The data controller may bring a privacy notice to the attention of the data subject, as provided in the previous Article, when it obtains personal data by printed means, provided the space used to obtain the personal data is minimal and limited so that the personal data obtained is also the minimum.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_29_P1,REG_ART_29,paragraph,,1,,"When personal data is obtained indirectly from the data subject, the data controller must observe the following in order to bring the privacy notice to the attention of the data subject:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_29_F_I,REG_ART_29,fraction,I,,,"When the personal data are processed for the purpose contemplated in the consent to transfer or have been obtained from a public access source, the privacy notice shall be made known in the first contact with the data subject, or",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_29_F_II,REG_ART_29,fraction,II,,,"When the data controller wishes to use the data for a purpose different from that consented to, in other words, there will be a change of purpose, the privacy notice must be made known prior to the use of the data.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_30_P1,REG_ART_30,paragraph,,1,,"Among the purposes of processing referred to in Article 16(II) of the Law, as applicable, there must be included those concerning processing for marketing, advertising, or commercial exploration.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_30_P2,REG_ART_30,paragraph,,2,,The above is without prejudice to current law which regulates processing for the purposes set out in the previous paragraph when this contemplates higher protection for the data subject than that provided in the Law and these Regulations.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_31_P1,REG_ART_31,paragraph,,1,,"To show that a privacy notice has been given in accordance with the principle of information, the burden of proof shall always rest upon the data controller.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_32_P1,REG_ART_32,paragraph,,1,,"In accordance with Article 18, third paragraph, of the Law, when it is impossible to communicate the privacy notice to the data subject or this requires disproportionate efforts given the number of data subjects or the age of the data, the data controller may implement compensatory measures using mass communication media in accordance with the guidelines issued by the Institute and published in the Federal Official Gazette under which it is possible to use the measures established in Article 35 of these Regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_32_P2,REG_ART_32,paragraph,,2,,"The cases not included in the guidelines issued by the Institute shall require the express authorization of the latter, prior to the implementation of the compensatory measure, in accordance with the procedure established in Articles 33 and 34 of these Regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_33_P1,REG_ART_33,paragraph,,1,,"The procedure to obtain authorization from the Institute for the use of compensatory measures using mass communication media to which the previous Article refers, shall always be initiated at the request of the data controller.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_33_P2,REG_ART_33,paragraph,,2,,The data controller shall submit the request directly to the Institute or by any other means that the latter has authorized for this purpose. The request shall contain the following information:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_33_F_I,REG_ART_33,fraction,I,,,"The name of the data controller making the application, and as applicable, of its representative, as well as a copy of the official identification proving legal status and the original for comparison. In the case of a representative, a copy of the document proving his right to represent the data controller must be submitted, as well as the original for comparison;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_33_F_II,REG_ART_33,fraction,II,,,Address to receive notifications and name of person authorized to receive them;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_33_F_III,REG_ART_33,fraction,III,,,"The processing to which it is intended to apply the compensatory measure and its principal features, such as purpose; type of personal data processed; if transfers are to take place; details of the data subjects, among them age, geographic location, educational and socio-economic level, among others;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_33_F_IV,REG_ART_33,fraction,IV,,,"Causes or justification for the impossibility of bringing a privacy notice to the attention of the data subjects or the disproportionate efforts that this would require. The data controller shall state the number of data subjects involved, age of the data, whether or not there is direct contact with the data subjects, and their economic situation;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_33_F_V,REG_ART_33,fraction,V,,,Type of compensatory measure sought to be used and for what period of time it will be published;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_33_F_VI,REG_ART_33,fraction,VI,,,"Proposed text for the compensatory measure, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_33_F_VII,REG_ART_33,fraction,VII,,,Documents that the data controller considers necessary to submit to the Institute.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_P1,REG_ART_34,paragraph,,1,,The Institute shall have a period of ten days following receipt of the request for compensatory measures to issue its decision on the matter.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_P2,REG_ART_34,paragraph,,2,,"If the Institute does not issue a decision within the period established, the compensatory measure request will be considered as authorized.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_P3,REG_ART_34,paragraph,,3,,"Once the request is submitted by the data controller to the Institute, the latter shall weigh the disproportionate efforts to make known the privacy notice, taking the following into account:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_F_I,REG_ART_34,fraction,I,,,The number of data subjects;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_F_II,REG_ART_34,fraction,II,,,The age of the data;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_F_III,REG_ART_34,fraction,III,,,The economic situation of the data controller;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_F_IV,REG_ART_34,fraction,IV,,,"The geographic area and sector in which the data controller operates, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_F_V,REG_ART_34,fraction,V,,,The compensatory measure to be adopted.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_P4,REG_ART_34,paragraph,,4,,"When weighing the request, if the Institute considers that the compensatory measure proposed does not comply with the principle of information, it may propose to the data controller the adoption of a compensatory measure different from that suggested by the data controller in its request.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_P5,REG_ART_34,paragraph,,5,,"The proposal of the Institute shall be brought to the attention of the data controller so that it may take such action as it considers appropriate within a period of no more than five days, calculated from the day following that on which it received notification.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_P6,REG_ART_34,paragraph,,6,,"If the data controller does not respond within the period mentioned in the previous paragraph, the Institute shall resolve the matter based on the file of the matter.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_P7,REG_ART_34,paragraph,,7,,"When the Institute decides that the data controller does not justify the impossibility of bringing the privacy notice to the attention of the data subject or that this requires disproportionate efforts, the use of compensatory measures shall not be authorized.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34_P8,REG_ART_34,paragraph,,8,,Any authorization given by the Institute shall be valid unless the circumstances under which the compensatory measure was authorized change.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_35_P1,REG_ART_35,paragraph,,1,,Mass communication compensatory measures must contain the information provided in Article 27 of these Regulations and shall be made known by means of privacy notices published in any of the following media:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_35_F_I,REG_ART_35,fraction,I,,,Newspapers with national circulation;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
