source_id,target_id,rel_type,reg_article_id,source_document
REG_ART_97_P1,REG_CITE_32,CITES_LAW_PROVISION,REG_ART_97,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_98_P1,REG_CITE_9,CITES_LAW_PROVISION,REG_ART_98,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_101_P1,REG_CITE_33,CITES_LAW_PROVISION,REG_ART_101,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_103_P1,REG_CITE_34,CITES_LAW_PROVISION,REG_ART_103,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_105_P1,REG_CITE_35,CITES_LAW_PROVISION,REG_ART_105,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_107_P1,REG_CITE_9,CITES_LAW_PROVISION,REG_ART_107,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_107_F_I,REG_CITE_9,CITES_LAW_PROVISION,REG_ART_107,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_107_F_III,REG_CITE_9,CITES_LAW_PROVISION,REG_ART_107,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_108_P1,REG_CITE_36,CITES_LAW_PROVISION,REG_ART_108,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_109_P1,REG_CITE_37,CITES_LAW_PROVISION,REG_ART_109,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_113_P1,REG_CITE_38,CITES_LAW_PROVISION,REG_ART_113,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_114_P3,REG_CITE_39,CITES_LAW_PROVISION,REG_ART_114,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_114_P5,REG_CITE_39,CITES_LAW_PROVISION,REG_ART_114,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_116_P1,REG_CITE_40,CITES_LAW_PROVISION,REG_ART_116,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_120_P1,REG_CITE_41,CITES_LAW_PROVISION,REG_ART_120,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_120_P7,REG_CITE_39,CITES_LAW_PROVISION,REG_ART_120,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_120_P8,REG_CITE_41,CITES_LAW_PROVISION,REG_ART_120,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_121_P1,REG_CITE_38,CITES_LAW_PROVISION,REG_ART_121,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_122_P1,REG_CITE_39,CITES_LAW_PROVISION,REG_ART_122,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_124_P2,REG_CITE_42,CITES_LAW_PROVISION,REG_ART_124,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_124_P3,REG_CITE_43,CITES_LAW_PROVISION,REG_ART_124,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_124_P3,REG_CITE_44,CITES_LAW_PROVISION,REG_ART_124,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_124_P4,REG_CITE_9,CITES_LAW_PROVISION,REG_ART_124,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_140_P1,REG_CITE_45,CITES_LAW_PROVISION,REG_ART_140,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_140_P1,REG_CITE_46,CITES_LAW_PROVISION,REG_ART_140,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
