cited_law_reference_id,citation_text,cited_article_numbers,cited_instrument,source_document
REG_CITE_36,Article 3 (III) of the Law,3,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_37,Article 27 of the Law,27,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_38,Article 45 of the Law,45,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_39,Article 47 of the Law,47,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_40,Article 46 of the Law,46,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_41,Article 54 of the Law,54,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_42,Article 53 (IV) of the Law,53,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_43,Article 53 (III) of the Law,53,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_44,Article 52 (V) of the Law,52,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_45,Article 61 of the Law,61,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_46,Article 64 of the Law,64,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
