reg_article_id,number,rubric,reg_chapter_id,reg_section_id,text,regulation_id,source_document
REG_ART_11,11,Principle of Consent,REG_CH_2,REG_CH_2_S_I,"The data controller must obtain consent for the processing of personal data unless it is not required under Article 10 of the Law. The request for consent shall refer to a specific purpose or purposes, contemplated in the privacy notice. When personal data are obtained personally or directly from the data subject consent shall be prior to the processing.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_12,12,Characteristics of Consent,REG_CH_2,REG_CH_2_S_I,"Obtaining consent, tacitly or explicitly, shall be: Free: without error, bad faith, violence or fraud that may affect the expression of the will of the data subject; Specific: refer to one or several specific purposes that justify the processing, and Informed: the data subject must previously know from the privacy notice, the processing to be done with his personal data and the consequences of granting his consent. Express consent must also be unequivocal, in other words, that there are elements that unquestionably demonstrate that it was given.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_13,13,Tacit Consent,REG_CH_2,REG_CH_2_S_I,"Unless the Law requires the express consent of the data subject, tacit consent will be valid, as a general rule, pursuant to Articles 12 and 13 of these Regulations.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_14,14,Request for Tacit Consent,REG_CH_2,REG_CH_2_S_I,"When the data controller seeks to collect personal data directly or personally from the data subject, it shall previously make available to the data subject a privacy notice which shall contain a mechanism by which, as the case may be, the data subject may state his refusal to allow the processing of his personal data for purposes different from those that are necessary and that create a legal relationship between the data controller and the data subject. In those cases in which personal data is obtained indirectly from the data subject and cause a change in the purposes that were consented to in the transfer, the data controller shall make available to the data subject a privacy notice prior to using the personal data. When the privacy notice is not brought to the notice of the data subject directly or personally, the data subject shall have a period of five day to state, as the case may be, his refusal to allow the processing of his personal data for purposes which are different from those that are necessary and that create a legal relationship between the data controller and the data subject. If the data subject does not state his refusal to the processing of his data in accordance with the foregoing, it shall be understood that he has given his consent to the processing of the same, unless there is evidence to the contrary. When the data controller uses remote or local electronic, optical or other technological means of communication mechanisms that allow personal data to be obtained automatically and simultaneously at the time the data subject has contact with the mechanisms, at the same time the data subject must be informed of the use of such technology, that through these mechanisms personal data will be obtained, and of the manner in which this can be disabled.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_15,15,Express Consent,REG_CH_2,REG_CH_2_S_I,"The data controller must obtain the express consent of the data subject when: It is required by law; In the case of financial or property data; In the case of sensitive data; It is requested by the data controller to prove the same, or It is so agreed by the data subject and the data controller.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_16,16,Request for Express Consent,REG_CH_2,REG_CH_2_S_I,"When express consent is required by law, the data controller shall provide the data subject with a simple and free-of-charge means of stating this, if he so wishes.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_17,17,Exceptions to the Principle of Consent,REG_CH_2,REG_CH_2_S_I,"As provided in Articles 10(IV) and 37(VII) of the Law, tacit or express consent will not be required for the processing of personal data when this arises from a legal relationship between the data subject and the data controller. The previous paragraph shall not apply when the processing of personal data is for purposes different from those that are necessary and create the legal relationship between the data controller and the data subject. In this case, to obtain tacit consent, the data controller shall observe the provisions of Article 8, third paragraph, of the Law and Articles 11, 12, and 13 of these Regulations, and with respect to sensitive, financial, or property data, it shall obtain express consent, or as required by the Law, express and written consent.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_18,18,Verbal Consent,REG_CH_2,REG_CH_2_S_I,It is considered that express consent was given verbally when the data subject gives it orally to the data controller in the latter’s presence of by the use of any technology that permits oral dialogue.,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_19,19,Written Consent,REG_CH_2,REG_CH_2_S_I,"It will be considered that express consent was given in writing when the data subject provides it in a document bearing his hand-written signature, fingerprint, or any other mechanism authorized by law. In a digital environment, an electronic signature may be used or any mechanism or procedure that is established for this purpose and permits the identification of the data subject and the obtaining of his consent.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_20,20,Proof of Obtaining Consent,REG_CH_2,REG_CH_2_S_I,"To show that consent has been obtained, the burden of proof always rests upon the data controller.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_21,21,Withdrawal of Consent,REG_CH_2,REG_CH_2_S_I,"At any time, the data subject may revoke his consent for the processing of his personal data and the data controller shall establish simple and free-of-charge mechanisms to permit the data subject to revoke his consent using at least the same media that he used to provide it, provided that the law does not prevent this. The mechanisms or procedure established by the data controller to deal with consent revocation requests may not exceed the period contemplated in Article 32 of the Law. When the data subject requests confirmation that the processing of his personal data has stopped, the data controller shall expressly respond to such request. If the personal data has been transmitted prior to the date of the revocation of consent and continue to be processed by the data processor, the data controller shall bring the revocation to the attention of the data processor so that he takes the necessary steps to deal with it.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_22,22,Procedure in the Case of a Refusal to Stop Processing,REG_CH_2,REG_CH_2_S_I,"In case of refusal by the data controller to stop the processing of personal data in the event of a withdrawal of consent, the data subject may file with the Institute the complaint to which Chapter IX of these Regulations refers.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_23,23,Principle of Information,REG_CH_2,REG_CH_2_S_I,"The data controller must bring to the attention of the data subject the information related to the existence and main characteristics of the processing to which his personal data will be submitted, through a privacy notice, pursuant to the Law and this Regulations.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_24,24,Characteristics of the Privacy Notice,REG_CH_2,REG_CH_2_S_I,"The privacy notice must be simple, with the necessary information, written in a clear and understandable language, and with a structure and design that facilitates its understanding.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_25,25,Means of Divulging,REG_CH_2,REG_CH_2_S_I,"For the divulging of privacy notices, the data controller may use physical or electronic formats, verbal means or any other technology, provided it complies with the duty to inform the data subject.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_26,26,Contents of the Privacy Notice,REG_CH_2,REG_CH_2_S_I,"A privacy notice must contain the items referred to in Articles 8, 15, 16, 33, and 36 of the Law, as well as those established in the guidelines referred to in Article 43(III) of the Law.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_27,27,Privacy Notice to Obtain Personal Data Directly,REG_CH_2,REG_CH_2_S_I,"As provided in Article 17(II) of the Law, when personal data is obtained directly from the data subject, the data controller must immediately provide at least the following information: The identity and address of the data controller; The purposes of the processing, and The mechanisms offered by the data controller so that the data subject will be aware of the privacy notice in accordance with Article 26 of these Regulations. The immediate divulging of the above information does not exempt the data controller from the obligation to provide mechanisms for the data subject to become aware of the content of the privacy notice, pursuant to Article 26 of these Regulations.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_28,28,Privacy Notice in Formats with Limited Space,REG_CH_2,REG_CH_2_S_I,"The data controller may bring a privacy notice to the attention of the data subject, as provided in the previous Article, when it obtains personal data by printed means, provided the space used to obtain the personal data is minimal and limited so that the personal data obtained is also the minimum.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_29,29,Privacy Notice to Obtain Persona Data Indirectly,REG_CH_2,REG_CH_2_S_I,"When personal data is obtained indirectly from the data subject, the data controller must observe the following in order to bring the privacy notice to the attention of the data subject: When the personal data are processed for the purpose contemplated in the consent to transfer or have been obtained from a public access source, the privacy notice shall be made known in the first contact with the data subject, or When the data controller wishes to use the data for a purpose different from that consented to, in other words, there will be a change of purpose, the privacy notice must be made known prior to the use of the data.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_30,30,"Processing for Marketing, Advertising, or Commercial Exploration",REG_CH_2,REG_CH_2_S_I,"Among the purposes of processing referred to in Article 16(II) of the Law, as applicable, there must be included those concerning processing for marketing, advertising, or commercial exploration. The above is without prejudice to current law which regulates processing for the purposes set out in the previous paragraph when this contemplates higher protection for the data subject than that provided in the Law and these Regulations.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_31,31,Proof of Privacy Notice,REG_CH_2,REG_CH_2_S_I,"To show that a privacy notice has been given in accordance with the principle of information, the burden of proof shall always rest upon the data controller.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_32,32,Compensatory Measures,REG_CH_2,REG_CH_2_S_I,"In accordance with Article 18, third paragraph, of the Law, when it is impossible to communicate the privacy notice to the data subject or this requires disproportionate efforts given the number of data subjects or the age of the data, the data controller may implement compensatory measures using mass communication media in accordance with the guidelines issued by the Institute and published in the Federal Official Gazette under which it is possible to use the measures established in Article 35 of these Regulations. The cases not included in the guidelines issued by the Institute shall require the express authorization of the latter, prior to the implementation of the compensatory measure, in accordance with the procedure established in Articles 33 and 34 of these Regulations.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_33,33,Request for Authorization of Compensatory Measures,REG_CH_2,REG_CH_2_S_I,"The procedure to obtain authorization from the Institute for the use of compensatory measures using mass communication media to which the previous Article refers, shall always be initiated at the request of the data controller. The data controller shall submit the request directly to the Institute or by any other means that the latter has authorized for this purpose. The request shall contain the following information: The name of the data controller making the application, and as applicable, of its representative, as well as a copy of the official identification proving legal status and the original for comparison. In the case of a representative, a copy of the document proving his right to represent the data controller must be submitted, as well as the original for comparison; Address to receive notifications and name of person authorized to receive them; The processing to which it is intended to apply the compensatory measure and its principal features, such as purpose; type of personal data processed; if transfers are to take place; details of the data subjects, among them age, geographic location, educational and socio-economic level, among others; Causes or justification for the impossibility of bringing a privacy notice to the attention of the data subjects or the disproportionate efforts that this would require. The data controller shall state the number of data subjects involved, age of the data, whether or not there is direct contact with the data subjects, and their economic situation; Type of compensatory measure sought to be used and for what period of time it will be published; Proposed text for the compensatory measure, and Documents that the data controller considers necessary to submit to the Institute.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_34,34,Procedure for Authorization of Compensatory Measures,REG_CH_2,REG_CH_2_S_I,"The Institute shall have a period of ten days following receipt of the request for compensatory measures to issue its decision on the matter. If the Institute does not issue a decision within the period established, the compensatory measure request will be considered as authorized. Once the request is submitted by the data controller to the Institute, the latter shall weigh the disproportionate efforts to make known the privacy notice, taking the following into account: The number of data subjects; The age of the data; The economic situation of the data controller; The geographic area and sector in which the data controller operates, and The compensatory measure to be adopted. When weighing the request, if the Institute considers that the compensatory measure proposed does not comply with the principle of information, it may propose to the data controller the adoption of a compensatory measure different from that suggested by the data controller in its request. The proposal of the Institute shall be brought to the attention of the data controller so that it may take such action as it considers appropriate within a period of no more than five days, calculated from the day following that on which it received notification. If the data controller does not respond within the period mentioned in the previous paragraph, the Institute shall resolve the matter based on the file of the matter. When the Institute decides that the data controller does not justify the impossibility of bringing the privacy notice to the attention of the data subject or that this requires disproportionate efforts, the use of compensatory measures shall not be authorized. Any authorization given by the Institute shall be valid unless the circumstances under which the compensatory measure was authorized change.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_35,35,Features of Compensatory Measures,REG_CH_2,REG_CH_2_S_I,"Mass communication compensatory measures must contain the information provided in Article 27 of these Regulations and shall be made known by means of privacy notices published in any of the following media: Newspapers with national circulation; Local newspapers or specialized journals when it is proven that the data subjects reside in a particular federative entity or are part of a particular activity; Web site of the data controller; On a hyperlink on an web site of the Institute, set up for this purposes, when the data controller does not have its own web site; Informational posters; Information spots on the radio, or Other alternative mass communication media.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_36,36,Quality Principle,REG_CH_2,REG_CH_2_S_I,"The personal data processed by the data controller will meet the principle of quality when they are exact, complete, pertinent, correct, and up-to-date as required to comply with the purpose for which they are processed. Personal data are presumed to comply with quality when they are directly provided by the data subject until he declares and proves otherwise, or the data controller has objective evidence contradicting this. When the personal data were not obtained directly from the data subject, the data controller must take reasonable measures for it to meet the principle of quality in accordance with the type of personal data and the processing conditions. The data controller must adopt the mechanisms that it considers necessary to ensure that personal data dealt with are exact, complete, pertinent, correct, and up-to-date so that the truth of the data are not altered and the data subject thereby prejudiced by this.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_37,37,Preservation Periods,REG_CH_2,REG_CH_2_S_I,"The preservation periods for personal data may not exceed those necessary to achieve the purposes that justify the processing and shall comply with the law applicable to the subject matter involved and take into account the administrative, accounting, tax, legal, and historical aspects of the information. After the purpose or purposes of processing have been achieved, the data controller must cancel the data in its collection after blocking them for subsequent suppression.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_38,38,"Procedure for Preserving, Blocking, and Suppression of Personal Data",REG_CH_2,REG_CH_2_S_I,"Data controllers must establish and document procedures for the preservation, and if necessary, blockage and suppression of personal data, including periods of preservation thereof, in accordance with the previous Article.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_39,39,Proof of Compliance with Preservation Periods,REG_CH_2,REG_CH_2_S_I,"The data controller must show that personal data is preserved, or if applicable, blocked, suppressed, or cancelled in accordance with the periods set out in Article 37 of these Regulations or taking into account a request of the right to cancelation.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_40,40,Principle of Purpose,REG_CH_2,REG_CH_2_S_I,"Personal data may be processed only to comply with the purpose or purposes set out in the privacy notice, as provided in Article 12 of the Law. For purposes of the previous paragraph, the purpose or purposes set out in the privacy notice shall be determined, something which will be achieved when with clarity, and without giving rise to confusion and in an objective manner, the purpose for which personal data will be processed is specified.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_41,41,Differentiation of Purposes,REG_CH_2,REG_CH_2_S_I,The data controller shall identify and distinguish in the privacy notice between the purposes that give rise to and are necessary for the legal relationship between the data controller and the data subject from those that are not.,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_42,42,Objection to Processing for Different Purpose,REG_CH_2,REG_CH_2_S_I,"The data subject may refuse or revoke his consent, as well as object to the processing of his personal data for purposes different from those that are necessary or that gave rise to the legal relationship between the data controller and the data subject, without this having as a consequence, the termination of the processing for the latter two purposes.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_43,43,Processing for Different Purpose,REG_CH_2,REG_CH_2_S_I,"The data controller may not carry out processing for different purposes that are not compatible or analogous to those for which the personal data was originally collected and which were mentioned in the privacy notice unless: A law or regulation explicitly permits it, or The data controller has obtained consent for the new processing.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_44,44,Principle of Loyalty,REG_CH_2,REG_CH_2_S_I,"The principle of loyalty establishes the obligation to process personal data giving priority to the protection of the interests of the data subject and the reasonable expectation of privacy, as provided in Article 7 of the Law. Misleading or fraudulent means may not be used to collect and process personal data. It will be considered that the behavior is fraudulent or misleading when: There is fraud, bad faith or negligence in the information provided to the data subject about the processing; The reasonable expectation of privacy of the data subject referred to in Article 7 of the Law is violated, or The purposes were not established in the privacy notice.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_45,45,Principle of Proportionality,REG_CH_2,REG_CH_2_S_I,"Only personal data that are necessary, appropriate, and relevant in connection with the purposes for which they were obtained may be processed.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_46,46,Principle of Minimization,REG_CH_2,REG_CH_2_S_I,The data controller must make reasonable efforts to limit the personal data processed to the minimum necessary in accordance with the purpose of the processing taking place.,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_47,47,Principle of Accountability,REG_CH_2,REG_CH_2_S_I,"Pursuant to Articles 6 and 14 of the Law, the data controller has the obligation to protect and be responsible for the processing of personal data found in its custody or in its possession or for those it communicated to a data processor, whether or not the latter is located in Mexico. To comply with this obligation, the data controller may use standards, best international practices, corporate policies, self-regulation arrangements, or any other mechanism that it determines is adequate for such purpose.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48,48,Measures for the Principle of Accountability,REG_CH_2,REG_CH_2_S_I,"Pursuant to Article 14 of the Law, the data controller must adopt measures to guarantee the proper processing of personal data, giving priority to the interests of the data subject and the reasonable expectation of privacy. The measures that may be adopted by the data controller include at least the following: Prepare privacy policies and programs that are binding and enforceable within the organization of the data controller; Implement a program of training, updating, and raising the awareness of personnel about obligations in matters of protection of personal data; Establish an internal supervision and monitoring system, as well as external inspections or audits to verify compliance with privacy policies; Dedicate resources for the implementation of privacy programs and policies; Implement a procedure to deal with the risk to the protection of personal data by the implementation of new products, services, technologies and business models, as well as to mitigate them; Periodically review the security policies and programs to determine modifications required; Establish procedures to receive and respond the questions and complaints of data subjects; Have mechanisms to comply with privacy policies and programs, as well as sanctions for a breach thereof; Establish measures to protect personal data, in other words, a group of technical and administrative actions that will allow the data controller to ensure compliance with the principles and obligations established by the Law and these Regulations, or Establish measures to trace personal data, in other words, actions, measures, and technical procedures that will allow the tracing of personal data while being processed.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_49,49,Data Processor,REG_CH_2,REG_CH_2_S_I,"The data processor is the individual or corporate body, public or private, not a part of the organization of the data controller, that alone or together with others, processes personal data on behalf of a data controller as a result of a legal relationship linking the same and setting out the scope of service to be provided.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_50,50,Obligations of the Data Processor,REG_CH_2,REG_CH_2_S_I,"The data processor shall have the following obligations with respect to the processing carried out on behalf of the data controller: Process personal data only according to the instructions of the data controller; Not to process personal data for a purpose other than as instructed by the data controller; Implement the security measures required by the Law, these Regulations, and other applicable laws and regulations; Maintain confidentiality regarding the personal data subject to processing; Eliminate personal data that were processed after the legal relationship with the data controller is concluded or upon instructions of the data controller, provided there is no legal requirement for the preservation of the personal data, and Not to transfer personal data unless the data controller so determines, the communication arises from subcontracting, or if so required by a competent authority. The agreements between the data controller and data processor related to the processing of personal data must be in accordance with the corresponding privacy notice.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_51,51,Relationship between the Data Controller and Data Processor,REG_CH_2,REG_CH_2_S_I,"The relationship between the data controller and data processor must be established by contract or other legal instrument decided upon by the data controller and that permits its existence, scope, and contents to be proven.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_52,52,Processing of Personal Data in Cloud Computing,REG_CH_2,REG_CH_2_S_I,"For the processing of personal data in services, applications, and infrastructure in what is called “cloud computing,” in which the data controller adheres to the same by general contractual conditions or clauses, such services may only be used when the provider: Complies at least with the following: Has and uses policies to protect personal data similar to the applicable principles and duties set out in the Law and these Regulations; Makes transparent subcontracting that involves information about the service which is provided; Abstains from including conditions in providing the service that authorize or permits it to assume the ownership of the information about which the service is provided, and Maintains confidentiality with respect to the personal data about which it provides the service, and Has mechanisms at least for: Disclosing changes in its privacy policies or conditions of the service it provides; Permitting the data controller to limit the type of processing of personal data about which it provides the service; Establishing and maintaining adequate security measures to protect the personal data about which it provides the service; Ensuring the suppression of personal data once the service has been provided to the data controller and that the latter may recover it, and Impeding access to personal data by those who do not have proper access or in the event of a request duly made by a competent authority, so inform the data controller. In any case, the data controller may not use services that do not ensure the proper protection of personal data. For purposes of these Regulations, cloud computing shall mean the model for the external provision of computer services on demand that involves the supply of infrastructure, platform, or software distributed in a flexible manner, using virtual procedures, on resources dynamically shared. Regulatory agencies, within the scope of their authority, and assisting the Institute, shall issue guidelines for the proper processing of personal data in what is called “cloud computing.”",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_53,53,Transmission of Personal Data,REG_CH_2,REG_CH_2_S_I,"National and international transmissions of personal data between a data controller and a data processor need not be informed to the data subject or his consent obtained. The data processor shall be considered as a data controller, together with its own obligations, when it: Uses the personal data for a purpose different from that authorized by the data controller, or Makes a transfer without complying with the instructions of the data controller. The data processor will not be held responsible when, at the express indication of the data controller, it transmits the personal data to another data processor designated by the latter, to which it had entrusted the performance of a service, or transfers the personal data to another data controller pursuant to these Regulations.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_54,54,Subcontracting Services,REG_CH_2,REG_CH_2_S_I,"Any subcontracting of services by the data processor implying the processing of personal data must be authorized by the data controller and shall be made in the name and on behalf of the latter. After obtaining authorization, the data processor must formalize the relationship with the subcontractor by contract or other instrument that permits its existence, scope, and contents to be proven. The subcontracted individual or corporate body will assume the same obligations that are established for the data processor under the Law, these Regulations, and other applicable laws and regulations. The data processor shall have the obligation of proving that the subcontracting was done with the authorization of the data controller.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
