section_id,section_number,title,text,part_id,source_document
s42,42,Particulars of determining organisational measures,,PART_IV,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s43,43,Notification and communication of breach,,PART_IV,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s44,44,Processing of sensitive personal data,No category of sensitive personal data shall be processed unless section 25 applies to that processing.,PART_V,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s45,45,Permitted grounds for processing sensitive personal data,"Without prejudice to section 44, sensitive personal data of a data subject may be processed where-",PART_V,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s46,46,Personal data relating to health,,PART_V,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s47,47,Further categories of sensitive personal data,,PART_V,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s48,48,Conditions for transfer out of Kenya,A data controller or data processor may transfer personal data to another country only where-,PART_VI,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s49,49,Safeguards prior to transfer of personal data out of Kenya,,PART_VI,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s50,50,Processing through a data server or data centre in Kenya,"The Cabinet Secretary may prescribe, based on grounds of strategic interests of the state or protection of revenue, certain nature of processing that shall only be effected through a server or a data centre located in Kenya.",PART_VI,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s51,51,General exemptions,,PART_VII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s52,52,"Journalism, literature and art",,PART_VII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s53,53,"Research, history and statistics",,PART_VII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s54,54,Exemptions by the Data Commissioner,The Data Commissioner may prescribe other instances where compliance with certain provisions of this Act may be exempted.,PART_VII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s55,55,Data-sharing code,,PART_VII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s56,56,Complaints to the Data Commissioner,,PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s57,57,Investigation of complaints,,PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s58,58,Enforcement notices,,PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s59,59,Power to seek assistance,"For the purpose of gathering information or for any investigation under this Act, the Data Commissioner may seek the assistance of such person or authority as they deem fit and as is reasonably necessary to assist the Data Commissioner in the discharge of their functions.",PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s60,60,Power of entry and search,"The Data Commissioner, upon obtaining a warrant from a Court, may enter and search any premises for the purpose of discharging any function or exercising any power under this Act.",PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s61,61,Obstruction of Data Commissioner,"A person who, in relation to the exercise of a power conferred by section 9 - [paragraphs (a) to (d)] commits an offence and is liable on conviction to a fine not exceeding five million shillings or to imprisonment for a term not exceeding two years, or to both.",PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s62,62,Penalty notices,,PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s63,63,Administrative fines,"In relation to an infringement of a provision of this Act, the maximum amount of the penalty that may be imposed by the Data Commissioner in a penalty notice is up to five million shillings, or in the case of an undertaking, up to one per centum of its annual turnover of the preceding financial year, whichever is lower.",PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s64,64,Right of appeal,"A person against whom any administrative action is taken by the Data Commissioner, including in enforcement and penalty notices, may appeal to the High Court.",PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s65,65,Compensation to a data subject,,PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s66,66,Preservation Order,"The Data Commissioner may apply to a court for a preservation order for the expeditious preservation of personal data including traffic data, where there is reasonable ground to believe that the data is vulnerable to loss or modification.",PART_VIII,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s67,67,Funds of the Office,The funds and assets of the Office shall consist of-,PART_IX,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s68,68,Annual estimates,,PART_IX,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s69,69,Accounts and Audit,"The annual accounts of the Office shall be prepared, audited and reported in accordance with the provisions of Articles 226 and 229 of the Constitution, the Public Finance Management Act, 2012 (No. 18 of 2012), or any other law relating to audit of public entities.",PART_IX,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s70,70,Annual reports,,PART_IX,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s71,71,Regulations,,PART_X,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s72,72,Offences of unlawful disclosure of personal data,,PART_XI,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s73,73,General penalty,,PART_XI,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s74,74,"Codes, guidelines and certification",,PART_XI,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s75,75,Consequential amendments,The laws specified under the Second Schedule are amended in the manner specified.,PART_XI,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
