source_id,target_id,rel_type,level
s34(1),s34(1)(c),HAS_CLAUSE,paragraph
s34(1),s34(1)(d),HAS_CLAUSE,paragraph
s34,s34(2),HAS_CLAUSE,subsection
s34(2),s34(2)(a),HAS_CLAUSE,paragraph
s34(2),s34(2)(b),HAS_CLAUSE,paragraph
s34,s34(3),HAS_CLAUSE,subsection
s35,s35(1),HAS_CLAUSE,subsection
s35,s35(2),HAS_CLAUSE,subsection
s35(2),s35(2)(a),HAS_CLAUSE,paragraph
s35(2),s35(2)(b),HAS_CLAUSE,paragraph
s35(2),s35(2)(c),HAS_CLAUSE,paragraph
s35,s35(3),HAS_CLAUSE,subsection
s35(3),s35(3)(a),HAS_CLAUSE,paragraph
s35(3),s35(3)(b),HAS_CLAUSE,paragraph
s35(3)(b),s35(3)(b)(i),HAS_CLAUSE,subparagraph
s35(3)(b),s35(3)(b)(ii),HAS_CLAUSE,subparagraph
s35,s35(4),HAS_CLAUSE,subsection
s35(4),s35(4)(a),HAS_CLAUSE,paragraph
s35(4),s35(4)(b),HAS_CLAUSE,paragraph
s35(4),s35(4)(c),HAS_CLAUSE,paragraph
s35(4)(c),s35(4)(c)(i),HAS_CLAUSE,subparagraph
s35(4)(c),s35(4)(c)(ii),HAS_CLAUSE,subparagraph
s35,s35(5),HAS_CLAUSE,subsection
s37,s37(1),HAS_CLAUSE,subsection
s37(1),s37(1)(a),HAS_CLAUSE,paragraph
s37(1),s37(1)(b),HAS_CLAUSE,paragraph
s37,s37(2),HAS_CLAUSE,subsection
s37,s37(3),HAS_CLAUSE,subsection
s38,s38(1),HAS_CLAUSE,subsection
s38,s38(2),HAS_CLAUSE,subsection
s38,s38(3),HAS_CLAUSE,subsection
s38,s38(4),HAS_CLAUSE,subsection
s38,s38(5),HAS_CLAUSE,subsection
s38(5),s38(5)(a),HAS_CLAUSE,paragraph
s38(5),s38(5)(b),HAS_CLAUSE,paragraph
s38,s38(6),HAS_CLAUSE,subsection
s38,s38(7),HAS_CLAUSE,subsection
s39,s39(1),HAS_CLAUSE,subsection
s39(1),s39(1)(a),HAS_CLAUSE,paragraph
s39(1),s39(1)(b),HAS_CLAUSE,paragraph
s39(1),s39(1)(c),HAS_CLAUSE,paragraph
s39(1),s39(1)(d),HAS_CLAUSE,paragraph
s39,s39(2),HAS_CLAUSE,subsection
s40,s40(1),HAS_CLAUSE,subsection
s40(1),s40(1)(a),HAS_CLAUSE,paragraph
s40(1),s40(1)(b),HAS_CLAUSE,paragraph
s40,s40(2),HAS_CLAUSE,subsection
s40(2),s40(2)(a),HAS_CLAUSE,paragraph
s40(2),s40(2)(b),HAS_CLAUSE,paragraph
s40,s40(3),HAS_CLAUSE,subsection
s41,s41(1),HAS_CLAUSE,subsection
s41(1),s41(1)(a),HAS_CLAUSE,paragraph
s41(1),s41(1)(b),HAS_CLAUSE,paragraph
s41,s41(2),HAS_CLAUSE,subsection
s41,s41(3),HAS_CLAUSE,subsection
s41(3),s41(3)(a),HAS_CLAUSE,paragraph
s41(3),s41(3)(b),HAS_CLAUSE,paragraph
s41(3),s41(3)(c),HAS_CLAUSE,paragraph
s41(3),s41(3)(d),HAS_CLAUSE,paragraph
s41(3),s41(3)(e),HAS_CLAUSE,paragraph
s41,s41(4),HAS_CLAUSE,subsection
s41(4),s41(4)(a),HAS_CLAUSE,paragraph
s41(4),s41(4)(b),HAS_CLAUSE,paragraph
s41(4),s41(4)(c),HAS_CLAUSE,paragraph
