paragraph_id,number,section_id,text,closing_text,source_document
PARA-22,22,SEC-IMPL,"Where an APRA-regulated entity’s information assets are managed by a related party or third party, the APRA-regulated entity must evaluate the design of that party’s information security controls that protects the information assets of the APRA-regulated entity.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-23,23,SEC-INC,An APRA-regulated entity must have robust mechanisms in place to detect and respond to information security incidents in a timely manner.,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-24,24,SEC-INC,An APRA-regulated entity must maintain plans to respond to information security incidents that the entity considers could plausibly occur (information security response plans).,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-25,25,SEC-INC,An APRA-regulated entity’s information security response plans must include the mechanisms in place for:,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-26,26,SEC-INC,An APRA-regulated entity must annually review and test its information security response plans to ensure they remain effective and fit-for-purpose.,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-27,27,SEC-TEST,An APRA-regulated entity must test the effectiveness of its information security controls through a systematic testing program. The nature and frequency of the systematic testing must be commensurate with:,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-28,28,SEC-TEST,"Where an APRA-regulated entity’s information assets are managed by a related party or a third party, and the APRA-regulated entity is reliant on that party’s information security control testing, the APRA-regulated entity must assess whether the nature and frequency of testing of controls in respect of those information assets is commensurate with paragraphs 27(a) to 27(e) of this Prudential Standard.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-29,29,SEC-TEST,An APRA-regulated entity must escalate and report to the Board or senior management any testing results that identify information security control deficiencies that cannot be remediated in a timely manner.,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-30,30,SEC-TEST,An APRA-regulated entity must ensure that testing is conducted by appropriately skilled and functionally independent specialists.,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-31,31,SEC-TEST,An APRA-regulated entity must review the sufficiency of the testing program at least annually or when there is a material change to information assets or the business environment.,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-32,32,SEC-AUD,"An APRA-regulated entity’s internal audit activities must include a review of the design and operating effectiveness of information security controls, including those maintained by related parties and third parties (information security control assurance).",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-33,33,SEC-AUD,An APRA-regulated entity must ensure that the information security control assurance is provided by personnel appropriately skilled in providing such assurance.,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-34,34,SEC-AUD,An APRA-regulated entity’s internal audit function must assess the information security control assurance provided by a related party or third party where:,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-35,35,SEC-NOT,"An APRA-regulated entity must notify APRA as soon as possible and, in any case, no later than 72 hours, after becoming aware of an information security incident that:",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-36,36,SEC-NOT,"An APRA-regulated entity must notify APRA as soon as possible and, in any case, no later than 10 business days, after it becomes aware of a material information security control weakness which the entity expects it will not be able to remediate in a timely manner.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
