source_id,target_id,rel_type,parent_type
Art43,Art43-P4,HAS_CLAUSE,Article
Art44,Art44-P2,HAS_CLAUSE,Article
Art44,Art44-P3,HAS_CLAUSE,Article
Art44,Art44-P4,HAS_CLAUSE,Article
Art44,Art44-P5,HAS_CLAUSE,Article
Art45,Art45-P2,HAS_CLAUSE,Article
Art45,Art45-P3,HAS_CLAUSE,Article
Art46,Art46-I,HAS_CLAUSE,Article
Art46,Art46-II,HAS_CLAUSE,Article
Art46,Art46-III,HAS_CLAUSE,Article
Art46,Art46-IV,HAS_CLAUSE,Article
Art46,Art46-V,HAS_CLAUSE,Article
Art46,Art46-VI,HAS_CLAUSE,Article
Art46,Art46-P2,HAS_CLAUSE,Article
Art46,Art46-P3,HAS_CLAUSE,Article
Art46,Art46-P4,HAS_CLAUSE,Article
Art46,Art46-P5,HAS_CLAUSE,Article
Art46,Art46-P6,HAS_CLAUSE,Article
Art46,Art46-P7,HAS_CLAUSE,Article
Art46,Art46-P8,HAS_CLAUSE,Article
Art46,Art46-P9,HAS_CLAUSE,Article
Art46,Art46-P10,HAS_CLAUSE,Article
Art46,Art46-P11,HAS_CLAUSE,Article
Art47,Art47-P2,HAS_CLAUSE,Article
Art47,Art47-P3,HAS_CLAUSE,Article
Art49,Art49-I,HAS_CLAUSE,Article
Art49,Art49-II,HAS_CLAUSE,Article
Art49,Art49-III,HAS_CLAUSE,Article
Art49,Art49-IV,HAS_CLAUSE,Article
Art49,Art49-V,HAS_CLAUSE,Article
Art49,Art49-VI,HAS_CLAUSE,Article
Art49,Art49-VII,HAS_CLAUSE,Article
Art49,Art49-VIII,HAS_CLAUSE,Article
Art49,Art49-IX,HAS_CLAUSE,Article
Art49,Art49-X,HAS_CLAUSE,Article
Art49,Art49-XI,HAS_CLAUSE,Article
Art49,Art49-XII,HAS_CLAUSE,Article
Art49,Art49-P2,HAS_CLAUSE,Article
Art51,Art51-P2,HAS_CLAUSE,Article
Art53,Art53-P2,HAS_CLAUSE,Article
Art53,Art53-I,HAS_CLAUSE,Article
Art53,Art53-II,HAS_CLAUSE,Article
Art53,Art53-III,HAS_CLAUSE,Article
Art53,Art53-IV,HAS_CLAUSE,Article
Art53,Art53-V,HAS_CLAUSE,Article
Art53,Art53-VI,HAS_CLAUSE,Article
Art53,Art53-VII,HAS_CLAUSE,Article
Art53,Art53-P3,HAS_CLAUSE,Article
Art55,Art55-P2,HAS_CLAUSE,Article
Art57,Art57-P2,HAS_CLAUSE,Article
Art58,Art58-I,HAS_CLAUSE,Article
Art58-I,Art58-I-a,HAS_CLAUSE,Clause
Art58-I,Art58-I-b,HAS_CLAUSE,Clause
Art58-I,Art58-I-c,HAS_CLAUSE,Clause
Art58-I,Art58-I-d,HAS_CLAUSE,Clause
Art58,Art58-II,HAS_CLAUSE,Article
Art58-II,Art58-II-a,HAS_CLAUSE,Clause
Art58-II,Art58-II-b,HAS_CLAUSE,Clause
Art58-II,Art58-II-c,HAS_CLAUSE,Clause
Art58-II,Art58-II-d,HAS_CLAUSE,Clause
Art58-II,Art58-II-e,HAS_CLAUSE,Clause
Art58,Art58-P2,HAS_CLAUSE,Article
Art60,Art60-P2,HAS_CLAUSE,Article
Art60,Art60-I,HAS_CLAUSE,Article
Art60,Art60-II,HAS_CLAUSE,Article
Art64,Art64-I,HAS_CLAUSE,Article
Art64,Art64-II,HAS_CLAUSE,Article
Art64,Art64-III,HAS_CLAUSE,Article
Art64,Art64-IV,HAS_CLAUSE,Article
Art64,Art64-V,HAS_CLAUSE,Article
Art64,Art64-VI,HAS_CLAUSE,Article
Art64,Art64-VII,HAS_CLAUSE,Article
Art64,Art64-VIII,HAS_CLAUSE,Article
Art64,Art64-IX,HAS_CLAUSE,Article
Art64,Art64-P2,HAS_CLAUSE,Article
Art66,Art66-I,HAS_CLAUSE,Article
Art66,Art66-II,HAS_CLAUSE,Article
Art66,Art66-III,HAS_CLAUSE,Article
Art66,Art66-IV,HAS_CLAUSE,Article
Art66,Art66-V,HAS_CLAUSE,Article
Art66,Art66-VI,HAS_CLAUSE,Article
Art67,Art67-I,HAS_CLAUSE,Article
Art67,Art67-II,HAS_CLAUSE,Article
Art67,Art67-P2,HAS_CLAUSE,Article
Art68,Art68-P2,HAS_CLAUSE,Article
Art69,Art69-I,HAS_CLAUSE,Article
Art69,Art69-II,HAS_CLAUSE,Article
Art69,Art69-III,HAS_CLAUSE,Article
Art70,Art70-I,HAS_CLAUSE,Article
Art70,Art70-II,HAS_CLAUSE,Article
Art70,Art70-III,HAS_CLAUSE,Article
Art70,Art70-IV,HAS_CLAUSE,Article
Art72,Art72-P2,HAS_CLAUSE,Article
Art74,Art74-P2,HAS_CLAUSE,Article
Art75,Art75-P2,HAS_CLAUSE,Article
Art77,Art77-P2,HAS_CLAUSE,Article
Art78,Art78-I,HAS_CLAUSE,Article
Art78,Art78-II,HAS_CLAUSE,Article
Art78,Art78-III,HAS_CLAUSE,Article
Art78,Art78-IV,HAS_CLAUSE,Article
Art78,Art78-V,HAS_CLAUSE,Article
Art78,Art78-VI,HAS_CLAUSE,Article
Art78,Art78-VII,HAS_CLAUSE,Article
Art78,Art78-VIII,HAS_CLAUSE,Article
Art79,Art79-I,HAS_CLAUSE,Article
Art79,Art79-II,HAS_CLAUSE,Article
Art79,Art79-III,HAS_CLAUSE,Article
Art79,Art79-IV,HAS_CLAUSE,Article
Art79,Art79-V,HAS_CLAUSE,Article
Art79,Art79-VI,HAS_CLAUSE,Article
Art79,Art79-VII,HAS_CLAUSE,Article
Art79,Art79-P2,HAS_CLAUSE,Article
Art79,Art79-P3,HAS_CLAUSE,Article
Art81,Art81-I,HAS_CLAUSE,Article
Art81,Art81-II,HAS_CLAUSE,Article
Art81,Art81-III,HAS_CLAUSE,Article
Art81,Art81-IV,HAS_CLAUSE,Article
Art81,Art81-V,HAS_CLAUSE,Article
Art81,Art81-VI,HAS_CLAUSE,Article
Art81,Art81-VII,HAS_CLAUSE,Article
Art81,Art81-VIII,HAS_CLAUSE,Article
Art81,Art81-IX,HAS_CLAUSE,Article
Art81,Art81-X,HAS_CLAUSE,Article
Art81,Art81-XI,HAS_CLAUSE,Article
Art81,Art81-XII,HAS_CLAUSE,Article
Art81,Art81-XIII,HAS_CLAUSE,Article
Art81,Art81-XIV,HAS_CLAUSE,Article
Art81,Art81-XV,HAS_CLAUSE,Article
Art81,Art81-XVI,HAS_CLAUSE,Article
Art81,Art81-XVII,HAS_CLAUSE,Article
Art81,Art81-XVIII,HAS_CLAUSE,Article
Art81,Art81-XIX,HAS_CLAUSE,Article
Art81,Art81-XX,HAS_CLAUSE,Article
Art81,Art81-XXI,HAS_CLAUSE,Article
Art81,Art81-XXII,HAS_CLAUSE,Article
Art81,Art81-XXIII,HAS_CLAUSE,Article
Art81,Art81-XXIV,HAS_CLAUSE,Article
Art81,Art81-XXV,HAS_CLAUSE,Article
Art81,Art81-XXVI,HAS_CLAUSE,Article
Art81,Art81-XXVII,HAS_CLAUSE,Article
Art81,Art81-XXVIII,HAS_CLAUSE,Article
Art81,Art81-XXIX,HAS_CLAUSE,Article
Art81,Art81-XXX,HAS_CLAUSE,Article
Art81,Art81-XXXI,HAS_CLAUSE,Article
Art81,Art81-XXXII,HAS_CLAUSE,Article
Art83,Art83-I,HAS_CLAUSE,Article
Art83,Art83-II,HAS_CLAUSE,Article
Art83,Art83-III,HAS_CLAUSE,Article
Art83,Art83-IV,HAS_CLAUSE,Article
Art83,Art83-V,HAS_CLAUSE,Article
Art83,Art83-VI,HAS_CLAUSE,Article
Art83,Art83-VII,HAS_CLAUSE,Article
Art83,Art83-VIII,HAS_CLAUSE,Article
Art83,Art83-IX,HAS_CLAUSE,Article
Art83,Art83-X,HAS_CLAUSE,Article
Art83,Art83-XI,HAS_CLAUSE,Article
Art83,Art83-XII,HAS_CLAUSE,Article
Art83,Art83-XIII,HAS_CLAUSE,Article
Art83,Art83-XIV,HAS_CLAUSE,Article
Art83,Art83-XV,HAS_CLAUSE,Article
Art85,Art85-I,HAS_CLAUSE,Article
Art85,Art85-II,HAS_CLAUSE,Article
Art85,Art85-III,HAS_CLAUSE,Article
Art86,Art86-I,HAS_CLAUSE,Article
Art86,Art86-II,HAS_CLAUSE,Article
Art86,Art86-III,HAS_CLAUSE,Article
Art86,Art86-IV,HAS_CLAUSE,Article
Art86,Art86-V,HAS_CLAUSE,Article
Art86,Art86-P2,HAS_CLAUSE,Article
Art87,Art87-I,HAS_CLAUSE,Article
Art87,Art87-II,HAS_CLAUSE,Article
Art87,Art87-III,HAS_CLAUSE,Article
Art87,Art87-P2,HAS_CLAUSE,Article
Art88,Art88-I,HAS_CLAUSE,Article
Art88,Art88-II,HAS_CLAUSE,Article
Art90,Art90-P2,HAS_CLAUSE,Article
Art90,Art90-I,HAS_CLAUSE,Article
Art90-I,Art90-I-a,HAS_CLAUSE,Clause
Art90-I,Art90-I-b,HAS_CLAUSE,Clause
Art90-I,Art90-I-c,HAS_CLAUSE,Clause
Art90-I,Art90-I-d,HAS_CLAUSE,Clause
Art90-I,Art90-I-e,HAS_CLAUSE,Clause
Art90,Art90-II,HAS_CLAUSE,Article
Art90,Art90-III,HAS_CLAUSE,Article
Art90,Art90-IV,HAS_CLAUSE,Article
Art91,Art91-P2,HAS_CLAUSE,Article
Art94,Art94-I,HAS_CLAUSE,Article
Art94,Art94-II,HAS_CLAUSE,Article
Art94,Art94-III,HAS_CLAUSE,Article
Art94,Art94-IV,HAS_CLAUSE,Article
Art94,Art94-V,HAS_CLAUSE,Article
Art94,Art94-VI,HAS_CLAUSE,Article
Art94,Art94-VII,HAS_CLAUSE,Article
Art94,Art94-VIII,HAS_CLAUSE,Article
Art94,Art94-P2,HAS_CLAUSE,Article
Art96,Art96-I,HAS_CLAUSE,Article
Art96,Art96-II,HAS_CLAUSE,Article
Art96,Art96-III,HAS_CLAUSE,Article
Art96,Art96-IV,HAS_CLAUSE,Article
Art96,Art96-V,HAS_CLAUSE,Article
Art96,Art96-VI,HAS_CLAUSE,Article
Art96,Art96-VII,HAS_CLAUSE,Article
Art96,Art96-VIII,HAS_CLAUSE,Article
Art96,Art96-IX,HAS_CLAUSE,Article
Art96,Art96-X,HAS_CLAUSE,Article
Art96,Art96-XI,HAS_CLAUSE,Article
Art96,Art96-XII,HAS_CLAUSE,Article
Art97,Art97-I,HAS_CLAUSE,Article
Art97,Art97-II,HAS_CLAUSE,Article
Art97,Art97-III,HAS_CLAUSE,Article
Art97,Art97-IV,HAS_CLAUSE,Article
Art97,Art97-V,HAS_CLAUSE,Article
Art97,Art97-VI,HAS_CLAUSE,Article
Art97,Art97-P2,HAS_CLAUSE,Article
Art97,Art97-P3,HAS_CLAUSE,Article
Art98,Art98-P2,HAS_CLAUSE,Article
Art99,Art99-I,HAS_CLAUSE,Article
Art99,Art99-II,HAS_CLAUSE,Article
Art99,Art99-III,HAS_CLAUSE,Article
Art99,Art99-IV,HAS_CLAUSE,Article
Art99,Art99-V,HAS_CLAUSE,Article
Art99,Art99-VI,HAS_CLAUSE,Article
Art100,Art100-P2,HAS_CLAUSE,Article
Art102,Art102-P2,HAS_CLAUSE,Article
Art102,Art102-P3,HAS_CLAUSE,Article
Art103,Art103-I,HAS_CLAUSE,Article
Art103,Art103-II,HAS_CLAUSE,Article
Art103,Art103-III,HAS_CLAUSE,Article
Art103,Art103-IV,HAS_CLAUSE,Article
Art103,Art103-P2,HAS_CLAUSE,Article
Art103,Art103-P3,HAS_CLAUSE,Article
Art103,Art103-P4,HAS_CLAUSE,Article
Art104,Art104-I,HAS_CLAUSE,Article
Art104,Art104-II,HAS_CLAUSE,Article
Art104,Art104-III,HAS_CLAUSE,Article
Art104,Art104-IV,HAS_CLAUSE,Article
Art104,Art104-V,HAS_CLAUSE,Article
Art104,Art104-VI,HAS_CLAUSE,Article
Art104,Art104-VII,HAS_CLAUSE,Article
Art104,Art104-P2,HAS_CLAUSE,Article
Art105,Art105-I,HAS_CLAUSE,Article
Art105,Art105-II,HAS_CLAUSE,Article
Art105,Art105-III,HAS_CLAUSE,Article
Art105,Art105-IV,HAS_CLAUSE,Article
Art105,Art105-V,HAS_CLAUSE,Article
Art107,Art107-P2,HAS_CLAUSE,Article
Art108,Art108-P2,HAS_CLAUSE,Article
Art110,Art110-P2,HAS_CLAUSE,Article
Art112,Art112-P2,HAS_CLAUSE,Article
Art113,Art113-P2,HAS_CLAUSE,Article
Art114,Art114-P2,HAS_CLAUSE,Article
Art115,Art115-P2,HAS_CLAUSE,Article
Art115,Art115-P3,HAS_CLAUSE,Article
Art116,Art116-I,HAS_CLAUSE,Article
Art116,Art116-II,HAS_CLAUSE,Article
Art116,Art116-P2,HAS_CLAUSE,Article
Art116,Art116-P3,HAS_CLAUSE,Article
Art116,Art116-P4,HAS_CLAUSE,Article
Art117,Art117-I,HAS_CLAUSE,Article
Art117,Art117-II,HAS_CLAUSE,Article
Art117,Art117-III,HAS_CLAUSE,Article
Art117,Art117-IV,HAS_CLAUSE,Article
Art117,Art117-V,HAS_CLAUSE,Article
Art117,Art117-P2,HAS_CLAUSE,Article
Art117,Art117-P3,HAS_CLAUSE,Article
Art118,Art118-P2,HAS_CLAUSE,Article
Art118,Art118-P3,HAS_CLAUSE,Article
Art118,Art118-P4,HAS_CLAUSE,Article
Art118,Art118-P5,HAS_CLAUSE,Article
Art120,Art120-P2,HAS_CLAUSE,Article
Art122,Art122-I,HAS_CLAUSE,Article
Art122,Art122-II,HAS_CLAUSE,Article
Art122,Art122-P2,HAS_CLAUSE,Article
Art122,Art122-P3,HAS_CLAUSE,Article
Art123,Art123-P2,HAS_CLAUSE,Article
Art126,Art126-I,HAS_CLAUSE,Article
Art126,Art126-II,HAS_CLAUSE,Article
Art126,Art126-III,HAS_CLAUSE,Article
Art126,Art126-P2,HAS_CLAUSE,Article
Art127,Art127-P2,HAS_CLAUSE,Article
Art132,Art132-I,HAS_CLAUSE,Article
Art132,Art132-II,HAS_CLAUSE,Article
Art132,Art132-III,HAS_CLAUSE,Article
Art132,Art132-IV,HAS_CLAUSE,Article
Art132,Art132-V,HAS_CLAUSE,Article
Art132,Art132-VI,HAS_CLAUSE,Article
Art132,Art132-VII,HAS_CLAUSE,Article
Art132,Art132-VIII,HAS_CLAUSE,Article
Art132,Art132-IX,HAS_CLAUSE,Article
Art132,Art132-X,HAS_CLAUSE,Article
Art132,Art132-XI,HAS_CLAUSE,Article
Art132,Art132-XII,HAS_CLAUSE,Article
Art132,Art132-XIII,HAS_CLAUSE,Article
Art132,Art132-XIV,HAS_CLAUSE,Article
Art132,Art132-P2,HAS_CLAUSE,Article
Art132,Art132-P3,HAS_CLAUSE,Article
Art132,Art132-P4,HAS_CLAUSE,Article
Art134,Art134-P2,HAS_CLAUSE,Article
Art134,Art134-P3,HAS_CLAUSE,Article
Art135,Art135-P2,HAS_CLAUSE,Article
Art136,Art136-P2,HAS_CLAUSE,Article
Art136,Art136-P3,HAS_CLAUSE,Article
Art136,Art136-I,HAS_CLAUSE,Article
Art136,Art136-II,HAS_CLAUSE,Article
Art136,Art136-P4,HAS_CLAUSE,Article
Art137,Art137-P2,HAS_CLAUSE,Article
