subparagraph_id,article_id,paragraph_id,subparagraph_number,text,source_document
ART_4_SP3,ART_4,,3,The right to confirm whether or not personal information is being processed and to request access (including the provision of copies; hereinafter the same applies) to such personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_4_SP4,ART_4,,4,"The right to suspend the processing of, and to request correction, deletion, and destruction of such personal information;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_4_SP5,ART_4,,5,The right to appropriate redress for any damage arising out of the processing of such personal information through a prompt and fair procedure.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7_P2_SP1,ART_7,ART_7_P2,1,Affairs specified in subparagraphs 3 and 4 of Article 7-8 (1);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7_P2_SP2,ART_7,ART_7_P2,2,Matters falling under subparagraph 1 among those to be deliberated and resolved on under Article 7-9 (1).,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-2_P2_SP1,ART_7-2,ART_7-2_P2,1,"A person who serves, or served, as a public official of Grade III or higher (including public officials belonging to the Senior Executive Service) who is responsible for personal information protection;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-2_P2_SP2,ART_7-2,ART_7-2_P2,2,"A person who has been serving, or served, as a judge, prosecutor or lawyer for ten years or longer;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-2_P2_SP3,ART_7-2,ART_7-2_P2,3,A person who served as an officer at a public institution or group (including groups comprised of personal information controllers) for three years or longer or a person recommended by the above public institution or group who was in charge of personal information protection for three years or longer;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-2_P2_SP4,ART_7-2,ART_7-2_P2,4,"A person who has expertise in a field relating to personal information and has been serving, or served, as an associate professor or higher at a school set forth in subparagraph 1 of Article2 of the Higher Education Act for five years or longer.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-5_P1_SP1,ART_7-5,ART_7-5_P1,1,Where he or she is unable to perform his/her duties for a long period due to mental or physical disorder;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-5_P1_SP2,ART_7-5,ART_7-5_P1,2,Where he or she falls under any ground for disqualification provided for in Article 7-7;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-5_P1_SP3,ART_7-5,ART_7-5_P1,3,Where he or she violates his/her official duties under this Act or any other Act.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-6_P1_SP1,ART_7-6,ART_7-6_P1,1,Member of the National Assembly or Local Council;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-6_P1_SP2,ART_7-6,ART_7-6_P1,2,State or local public official;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-6_P1_SP3,ART_7-6,ART_7-6_P1,3,Other positions prescribed by Presidential Decree.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-7_P1_SP1,ART_7-7,ART_7-7_P1,1,Non-Korean national;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-7_P1_SP2,ART_7-7,ART_7-7_P1,2,A person falling under any of the subparagraphs under Article 33 of the State Public Officials Act;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-7_P1_SP3,ART_7-7,ART_7-7_P1,3,A Member of political party set forth in Article 22 of the Political Parties Act.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-8_SP1,ART_7-8,,1,Matters concerning the improvement of law relating to personal information protection;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-8_SP2,ART_7-8,,2,"Matters concerning the establishment or execution of policies, systems or plans relating to personal information protection;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-8_SP3,ART_7-8,,3,Matters concerning investigation into infringement upon the right of data subjects and the ensuing dispositions;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-8_SP4,ART_7-8,,4,Handling of complaints or remedial procedures relating to personal information processing and mediation of disputes over personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-8_SP5,ART_7-8,,5,Exchange and cooperation with international organizations and foreign personal information protection agencies to protect personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-8_SP6,ART_7-8,,6,"Matters concerning the investigation and study, education and promotion of law, policies, systems and status relating to personal information protection;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-8_SP7,ART_7-8,,7,Matters concerning the support of technological development and dissemination relating to personal information protection and nurturing of experts;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-8_SP8,ART_7-8,,8,Matters provided for in this Act and other statutes as affairs under the jurisdiction of the Protection Commission.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP1,ART_7-9,ART_7-9_P1,1,Matters concerning the assessment of data breach incident factors under Article 8-2;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP2,ART_7-9,ART_7-9_P1,2,Establishment of the Master Plan referred to in Article 9 and the Implementation Plan referred to in Article 10;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP3,ART_7-9,ART_7-9_P1,3,"Matters concerning the improvement of policies, systems, and law relating to personal information protection;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP4,ART_7-9,ART_7-9_P1,4,Matters concerning the coordination of positions taken by public institutions with respect to the processing of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP5,ART_7-9,ART_7-9_P1,5,Matters concerning the interpretation and operation of law related to the protection of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP6,ART_7-9,ART_7-9_P1,6,Matters concerning the use and provision of personal information under Article 18 (2) 5;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP7,ART_7-9,ART_7-9_P1,7,Matters concerning the results of the privacy impact assessment under Article 33 (3);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP8,ART_7-9,ART_7-9_P1,8,"Matters concerning the imposition of penalty surcharges under Articles 28-6, 34-2 and 39-15;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP9,ART_7-9,ART_7-9_P1,9,Matters concerning the presentation of opinions and recommendation for improvement under Article 61;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP10,ART_7-9,ART_7-9_P1,10,Matters concerning corrective measures under Article 64;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP11,ART_7-9,ART_7-9_P1,11,Matters concerning indictment and recommendation for disciplinary actions under Article 65;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP12,ART_7-9,ART_7-9_P1,12,Matters concerning the publication of processing results under Article 66;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP13,ART_7-9,ART_7-9_P1,13,Matters concerning the imposition of administrative fines under Article 75;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP14,ART_7-9,ART_7-9_P1,14,"Matters concerning the enactment, amendment and abolition of law under its jurisdiction and rules of the Protection Commission;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP15,ART_7-9,ART_7-9_P1,15,Matters referred to a meeting by Chairperson or at least two Commissioners of the Protection Commission with respect to the protection of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P1_SP16,ART_7-9,ART_7-9_P1,16,Other matters which the Protection Commission deliberates or resolves pursuant to this Act or other statutes.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P2_SP1,ART_7-9,ART_7-9_P2,1,"Listening to the opinions of relevant public officials, experts in personal information protection, civic organizations and relevant business operators;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9_P2_SP2,ART_7-9,ART_7-9_P2,2,Requesting submission of relevant materials or facts with respect to relevant agencies.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-11_P1_SP1,ART_7-11,ART_7-11_P1,1,The Commissioner or his or her current or former spouse is a party to the relevant case or is a joint right holder or a joint obligator with respect to the case;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-11_P1_SP2,ART_7-11,ART_7-11_P1,2,The Commissioner is or was a relative of a party to the case;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-11_P1_SP3,ART_7-11,ART_7-11_P1,3,"The Commissioner has given any testimony, expert opinion, or legal advice with respect to the case;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-11_P1_SP4,ART_7-11,ART_7-11_P1,4,The Commissioner is or was involved in the case as an agent or representative of a party to the case;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-11_P1_SP5,ART_7-11,ART_7-11_P1,5,"The Commissioner or a public institution, corporation or group where he or she belongs shares interests with a person who provides advice or other support for the case.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_9_P2_SP1,ART_9,ART_9_P2,1,Basic goals and intended directions of the protection of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_9_P2_SP2,ART_9,ART_9_P2,2,Improvement of systems and statutes related to the protection of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_9_P2_SP3,ART_9,ART_9_P2,3,Measure to prevent personal information breaches;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_9_P2_SP4,ART_9,ART_9_P2,4,Vitalization of self-regulation to protect personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_9_P2_SP5,ART_9,ART_9_P2,5,Promoting education and public relations to protect personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_9_P2_SP6,ART_9,ART_9_P2,6,Training of specialists in the protection of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_9_P2_SP7,ART_9,ART_9_P2,7,Other matters necessary to protect personal information.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_13_SP1,ART_13,,1,Education and public relations concerning the protection of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_13_SP2,ART_13,,2,Promotion and support of agencies and organizations related to the protection of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_13_SP3,ART_13,,3,Introduction and facilitation of privacy mark;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_13_SP4,ART_13,,4,Support for personal information controllers in the establishment and implementation of self- regulatory rules;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_13_SP5,ART_13,,5,Other matters necessary to support the self-regulating data protection activities of personal information controllers.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15_P1_SP1,ART_15,ART_15_P1,1,Where consent is obtained from a data subject;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15_P1_SP2,ART_15,ART_15_P1,2,Where special provisions exist in other laws or it is inevitable to observe legal obligations;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15_P1_SP3,ART_15,ART_15_P1,3,"Where it is inevitable for a public institution’s performance of its duties under its jurisdiction as prescribed by statutes, etc.;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15_P1_SP4,ART_15,ART_15_P1,4,Where it is inevitably necessary to execute and perform a contract with a data subject;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15_P1_SP5,ART_15,ART_15_P1,5,"Where it is deemed manifestly necessary for the protection of life, bodily or property interests of the data subject or third party from imminent danger where the data subject or his or her legal representative is not in a position to express intention, or prior consent cannot be obtained owing to unknown addresses, etc.;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15_P1_SP6,ART_15,ART_15_P1,6,"Where it is necessary to attain the justifiable interest of a personal information controller, which such interest is manifestly superior to the rights of the data subject. In such cases, processing shall be allowed only to the extent the processing is substantially related to the justifiable interest of the personal information controller and does not go beyond a reasonable scope.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15_P2_SP1,ART_15,ART_15_P2,1,The purpose of the collection and use of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15_P2_SP2,ART_15,ART_15_P2,2,Particulars of personal information to be collected;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15_P2_SP3,ART_15,ART_15_P2,3,The period for retaining and using personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15_P2_SP4,ART_15,ART_15_P2,4,"The fact that the data subject is entitled to deny consent, and disadvantages, if any, resulting from the denial of consent.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_17_P1_SP1,ART_17,ART_17_P1,1,Where the consent is obtained from the data subject;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_17_P1_SP2,ART_17,ART_17_P1,2,"Where the personal information is provided within the scope of purposes for which it is collected pursuant to Articles 15 (1) 2, 3 and 5 and 39-3 (2) 2 and 3.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_17_P2_SP1,ART_17,ART_17_P2,1,The recipient of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_17_P2_SP2,ART_17,ART_17_P2,2,The purpose for which the recipient of personal information uses such information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_17_P2_SP3,ART_17,ART_17_P2,3,Particulars of personal information to be provided;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_17_P2_SP4,ART_17,ART_17_P2,4,The period during which the recipient retains and uses personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_17_P2_SP5,ART_17,ART_17_P2,5,"The fact that the data subject is entitled to deny consent, and disadvantages, if any, resulting from the denial of consent.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P2_SP1,ART_18,ART_18_P2,1,Where additional consent is obtained from the data subject;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P2_SP2,ART_18,ART_18_P2,2,Where special provisions exist in other laws;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P2_SP3,ART_18,ART_18_P2,3,"Where it is deemed manifestly necessary for the protection of life, bodily or property interests of the data subject or third party from imminent danger where the data subject or his or her legal representative is not in a position to express intention, or prior consent cannot be obtained owing to unknown addresses;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P2_SP4,ART_18,ART_18_P2,4,"Deleted; <by Act No. 16930, Feb. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P2_SP5,ART_18,ART_18_P2,5,"Where it is impossible to perform the duties under its jurisdiction as provided for in any Act, unless the personal information controller uses personal information for other purpose than the intended one, or provides it to a third party, and it is subject to the deliberation and resolution by the Commission;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P2_SP6,ART_18,ART_18_P2,6,Where it is necessary to provide personal information to a foreign government or international organization to perform a treaty or other international convention;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P2_SP7,ART_18,ART_18_P2,7,"Where it is necessary for the investigation of a crime, indictment and prosecution;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P2_SP8,ART_18,ART_18_P2,8,Where it is necessary for a court to proceed with trial-related duties;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P2_SP9,ART_18,ART_18_P2,9,"Where it is necessary for the enforcement of punishment, probation and custody.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P3_SP1,ART_18,ART_18_P3,1,The recipient of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P3_SP2,ART_18,ART_18_P3,2,"The purpose of use of personal information (in the case of provision of personal information, it means the purpose of use by the recipient);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P3_SP3,ART_18,ART_18_P3,3,Particulars of personal information to be used or provided;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P3_SP4,ART_18,ART_18_P3,4,"The period for retaining and using personal information (where personal information is provided, it means the period for retention and use by the recipient);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18_P3_SP5,ART_18,ART_18_P3,5,"The fact that the data subject is entitled to deny consent, and disadvantages, if any, resulting from the denial of consent.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_19_SP1,ART_19,,1,Where additional consent is obtained from the data subject;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_19_SP2,ART_19,,2,Where special provisions exist in other laws.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_20_P1_SP1,ART_20,ART_20_P1,1,The source of collected personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_20_P1_SP2,ART_20,ART_20_P1,2,The purpose of processing personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_20_P1_SP3,ART_20,ART_20_P1,3,"The fact that the data subject is entitled to demand suspension of processing of personal information, as prescribed in Article 37.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_20_P4_SP1,ART_20,ART_20_P4,1,"Where personal information, which is subject to a notification request, is included in the personal information files referred to in any of the subparagraphs of Article 32 (2);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_20_P4_SP2,ART_20,ART_20_P4,2,"Where such notification is likely to cause harm to the life or body of any other person, or unfairly damages the property and other interests of any other person.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_23_P1_SP1,ART_23,ART_23_P1,1,"Where the personal information controller informs the data subject of the matters provided for in Article 15 (2) or 17 (2), and obtains the consent of the data subject apart from the consent to the processing of other personal information;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_23_P1_SP2,ART_23,ART_23_P1,2,Where other statutes require or permit the processing of sensitive information.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_24_P1_SP1,ART_24,ART_24_P1,1,"Where the personal information controller informs a data subject of the matters provided for in Article 15 (2) or 17 (2), and obtains the consent of the data subject apart from the consent to the processing of other personal information;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_24_P1_SP2,ART_24,ART_24_P1,2,Where other statutes specifically require or permit the processing of personally identifiable information.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_24-2_P1_SP1,ART_24-2,ART_24-2_P1,1,"Where any Act, Presidential Decree, National Assembly Regulations, Supreme Court Regulations, Constitutional Court Regulations, National Election Commission Regulations or Board of Audit and Inspection Regulations specifically requires or permits the processing of resident registration numbers;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_24-2_P1_SP2,ART_24-2,ART_24-2_P1,2,"Where it is deemed manifestly necessary for the protection, from imminent danger, of life, bodily and property interests of a data subject or a third party;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_24-2_P1_SP3,ART_24-2,ART_24-2_P1,3,Where it is inevitable to process resident registration numbers in line with subparagraphs 1 and 2 in circumstances publicly notified by the Protection Commission.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_25_P1_SP1,ART_25,ART_25_P1,1,Where specifically allowed by statutes;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_25_P1_SP2,ART_25,ART_25_P1,2,Where it is necessary for the prevention and investigation of crimes;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_25_P1_SP3,ART_25,ART_25_P1,3,Where it is necessary for the safety of facilities and prevention of fire;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_25_P1_SP4,ART_25,ART_25_P1,4,Where it is necessary for regulatory control of traffic;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_25_P1_SP5,ART_25,ART_25_P1,5,"Where it is necessary for the collection, analysis, and provision of traffic information.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_25_P4_SP1,ART_25,ART_25_P4,1,The purpose and place of installation;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_25_P4_SP2,ART_25,ART_25_P4,2,The scope and hours of photographing;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_25_P4_SP3,ART_25,ART_25_P4,3,The name and contact information of the person in charge of its management;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_25_P4_SP4,ART_25,ART_25_P4,4,Other matters prescribed by Presidential Decree.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_26_P1_SP1,ART_26,ART_26_P1,1,Prevention of personal information processing for other purposes than the outsourced purpose;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_26_P1_SP2,ART_26,ART_26_P1,2,Technical and managerial safeguards of personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_26_P1_SP3,ART_26,ART_26_P1,3,Other matters prescribed by Presidential Decree to ensure safe management of personal information.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_27_P1_SP1,ART_27,ART_27_P1,1,The fact that the personal information will be transferred;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_27_P1_SP2,ART_27,ART_27_P1,2,"The name (referring to the company name in case of a legal person), address, telephone number and other contact information of the recipient of the personal information (hereinafter referred to as “business transferee, etc.”);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_27_P1_SP3,ART_27,ART_27_P1,3,The method and procedure for withdrawing consent if the data subject does not wish his or her personal information to be transferred.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30_P1_SP1,ART_30,ART_30_P1,1,The purposes for which personal information is processed;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30_P1_SP2,ART_30,ART_30_P1,2,The period for processing and retaining personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30_P1_SP3,ART_30,ART_30_P1,3,Provision of personal information to a third party (if applicable);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30_P1_SP3-2,ART_30,ART_30_P1,3-2,"Procedures and methods for destroying personal information (if personal information shall be preserved according to the proviso of Article 21 (1), this shall include the basis of preservation and particulars of personal information to be preserved);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30_P1_SP4,ART_30,ART_30_P1,4,Outsourcing personal information processing (if applicable);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30_P1_SP5,ART_30,ART_30_P1,5,"The rights and obligations of data subjects and legal representatives, and how to exercise such rights;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30_P1_SP6,ART_30,ART_30_P1,6,"Contact information, such as the name of a privacy officer designated under Article 31 or the name, telephone number, etc. of the department which performs the duties related to personal information protection and handles related grievances;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30_P1_SP7,ART_30,ART_30_P1,7,"Installation and operation of an automatic collection tool for personal information, including internet access data files, and the denial thereof (if applicable);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30_P1_SP8,ART_30,ART_30_P1,8,Other matters prescribed by Presidential Decree regarding the processing of personal information.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_31_P2_SP1,ART_31,ART_31_P2,1,To establish and implement a personal information protection plan;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_31_P2_SP2,ART_31,ART_31_P2,2,"To conduct a regular survey of the status and practices of personal information processing, and to improve shortcomings;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_31_P2_SP3,ART_31,ART_31_P2,3,To handle grievances and remedial compensation in relation to personal information processing;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_31_P2_SP4,ART_31,ART_31_P2,4,"To build the internal control system to prevent the divulgence, abuse, and misuse of personal information;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_31_P2_SP5,ART_31,ART_31_P2,5,To prepare and implement an education program about personal information protection;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_31_P2_SP6,ART_31,ART_31_P2,6,"To protect, control, and manage the personal information files;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_31_P2_SP7,ART_31,ART_31_P2,7,Other functions prescribed by Presidential Decree for the appropriate processing of personal information.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P1_SP1,ART_32,ART_32_P1,1,The titles of the personal information files;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P1_SP2,ART_32,ART_32_P1,2,The grounds and purposes for the operation of the personal information files;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P1_SP3,ART_32,ART_32_P1,3,Particulars of personal information that are recorded in the personal information files;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P1_SP4,ART_32,ART_32_P1,4,The method of processing personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P1_SP5,ART_32,ART_32_P1,5,The period for retaining personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P1_SP6,ART_32,ART_32_P1,6,"The recipient of personal information, if it is provided routinely or repetitively;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P1_SP7,ART_32,ART_32_P1,7,Other matters prescribed by Presidential Decree.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32_P2_SP1,ART_32,ART_32_P2,1,"Personal information files that record national security, diplomatic secrets, and other matters relating to grave national interests;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
