point_id,parent_id,label,level,point_kind,text,source_line,source_document
art_3_p0_n8,art_3_p0,(8),1,numbered_point,"‘operator’ means a provider, product manufacturer, deployer, authorised representative, importer or distributor;",3161,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n9,art_3_p0,(9),1,numbered_point,‘placing on the market’ means the first making available of an AI system or a general-purpose AI model on the Union market;,3165,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n10,art_3_p0,(10),1,numbered_point,"‘making available on the market’ means the supply of an AI system or a general-purpose AI model for distribution or use on the Union market in the course of a commercial activity, whether in return for payment or free of charge;",3168,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n11,art_3_p0,(11),1,numbered_point,‘putting into service’ means the supply of an AI system for first use directly to the deployer or for own use in the Union for its intended purpose;,3171,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n12,art_3_p0,(12),1,numbered_point,"‘intended purpose’ means the use for which an AI system is intended by the provider, including the specific context and conditions of use, as specified in the information supplied by the provider in the instructions for use, promotional or sales materials and statements, as well as in the technical documentation;",3174,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n13,art_3_p0,(13),1,numbered_point,"‘reasonably foreseeable misuse’ means the use of an AI system in a way that is not in accordance with its intended purpose, but which may result from reasonably foreseeable human behaviour or interaction with other systems, including other AI systems;",3178,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n14,art_3_p0,(14),1,numbered_point,"‘safety component’ means a component of a product or of an AI system which fulfils a safety function for that product or AI system, or the failure or malfunctioning of which endangers the health and safety of persons or property;",3182,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n15,art_3_p0,(15),1,numbered_point,"‘instructions for use’ means the information provided by the provider to inform the deployer of, in particular, an AI system’s intended purpose and proper use;",3185,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n16,art_3_p0,(16),1,numbered_point,‘recall of an AI system’ means any measure aiming to achieve the return to the provider or taking out of service or disabling the use of an AI system made available to deployers;,3188,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n17,art_3_p0,(17),1,numbered_point,‘withdrawal of an AI system’ means any measure aiming to prevent an AI system in the supply chain being made available on the market;,3191,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n18,art_3_p0,(18),1,numbered_point,‘performance of an AI system’ means the ability of an AI system to achieve its intended purpose;,3194,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n19,art_3_p0,(19),1,numbered_point,"‘notifying authority’ means the national authority responsible for setting up and carrying out the necessary procedures for the assessment, designation and notification of conformity assessment bodies and for their monitoring;",3196,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n20,art_3_p0,(20),1,numbered_point,"‘conformity assessment’ means the process of demonstrating whether the requirements set out in Chapter III, Section 2 relating to a high-risk AI system have been fulfilled;",3199,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n21,art_3_p0,(21),1,numbered_point,"‘conformity assessment body’ means a body that performs third-party conformity assessment activities, including testing, certification and inspection;",3202,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n22,art_3_p0,(22),1,numbered_point,‘notified body’ means a conformity assessment body notified in accordance with this Regulation and other relevant Union harmonisation legislation;,3205,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n23,art_3_p0,(23),1,numbered_point,"‘substantial modification’ means a change to an AI system after its placing on the market or putting into service which is not foreseen or planned in the initial conformity assessment carried out by the provider and as a result of which the compliance of the AI system with the requirements set out in Chapter III, Section 2 is affected or results in a modification to the intended purpose for which the AI system has been assessed;",3208,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n24,art_3_p0,(24),1,numbered_point,"‘CE marking’ means a marking by which a provider indicates that an AI system is in conformity with the requirements set out in Chapter III, Section 2 and other applicable Union harmonisation legislation providing for its affixing;",3213,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n25,art_3_p0,(25),1,numbered_point,‘post-market monitoring system’ means all activities carried out by providers of AI systems to collect and review experience gained from the use of AI systems they place on the market or put into service for the purpose of identifying any need to immediately apply any necessary corrective or preventive actions;,3216,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n26,art_3_p0,(26),1,numbered_point,‘market surveillance authority’ means the national authority carrying out the activities and taking the measures pursuant to Regulation (EU) 2019/1020;,3220,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n27,art_3_p0,(27),1,numbered_point,"‘harmonised standard’ means a harmonised standard as defined in Article 2(1), point (c), of Regulation (EU) No 1025/2012;",3226,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n28,art_3_p0,(28),1,numbered_point,"‘common specification’ means a set of technical specifications as defined in Article 2, point (4) of Regulation (EU) No 1025/2012, providing means to comply with certain requirements established under this Regulation;",3230,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n29,art_3_p0,(29),1,numbered_point,‘training data’ means data used for training an AI system through fitting its learnable parameters;,3234,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n30,art_3_p0,(30),1,numbered_point,"‘validation data’ means data used for providing an evaluation of the trained AI system and for tuning its non-learnable parameters and its learning process in order, inter alia, to prevent underfitting or overfitting;",3237,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n31,art_3_p0,(31),1,numbered_point,"‘validation data set’ means a separate data set or part of the training data set, either as a fixed or variable split;",3241,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n32,art_3_p0,(32),1,numbered_point,‘testing data’ means data used for providing an independent evaluation of the AI system in order to confirm the expected performance of that system before its placing on the market or putting into service;,3244,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n33,art_3_p0,(33),1,numbered_point,‘input data’ means data provided to or directly acquired by an AI system on the basis of which the system produces an output;,3248,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n34,art_3_p0,(34),1,numbered_point,"‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, such as facial images or dactyloscopic data;",3252,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n35,art_3_p0,(35),1,numbered_point,"‘biometric identification’ means the automated recognition of physical, physiological, behavioural, or psychological human features for the purpose of establishing the identity of a natural person by comparing biometric data of that individual to biometric data of individuals stored in a database;",3256,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n36,art_3_p0,(36),1,numbered_point,"‘biometric verification’ means the automated, one-to-one verification, including authentication, of the identity of natural persons by comparing their biometric data to previously provided biometric data;",3261,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n37,art_3_p0,(37),1,numbered_point,"‘special categories of personal data’ means the categories of personal data referred to in Article 9(1) of Regulation (EU) 2016/679, Article 10 of Directive (EU) 2016/680 and Article 10(1) of Regulation (EU) 2018/1725;",3265,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n38,art_3_p0,(38),1,numbered_point,"‘sensitive operational data’ means operational data related to activities of prevention, detection, investigation or prosecution of criminal offences, the disclosure of which could jeopardise the integrity of criminal proceedings;",3269,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n39,art_3_p0,(39),1,numbered_point,‘emotion recognition system’ means an AI system for the purpose of identifying or inferring emotions or intentions of natural persons on the basis of their biometric data;,3273,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n40,art_3_p0,(40),1,numbered_point,"‘biometric categorisation system’ means an AI system for the purpose of assigning natural persons to specific categories on the basis of their biometric data, unless it is ancillary to another commercial service and strictly necessary for objective technical reasons;",3277,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n41,art_3_p0,(41),1,numbered_point,"‘remote biometric identification system’ means an AI system for the purpose of identifying natural persons, without their active involvement, typically at a distance through the comparison of a person’s biometric data with the biometric data contained in a reference database;",3282,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n42,art_3_p0,(42),1,numbered_point,"‘real-time remote biometric identification system’ means a remote biometric identification system, whereby the capturing of biometric data, the comparison and the identification all occur without a significant delay, comprising not only instant identification, but also limited short delays in order to avoid circumvention;",3287,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n43,art_3_p0,(43),1,numbered_point,‘post-remote biometric identification system’ means a remote biometric identification system other than a real-time remote biometric identification system;,3292,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n44,art_3_p0,(44),1,numbered_point,"‘publicly accessible space’ means any publicly or privately owned physical place accessible to an undetermined number of natural persons, regardless of whether certain conditions for access may apply, and regardless of the potential capacity restrictions;",3296,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n45,art_3_p0,(45),1,numbered_point,‘law enforcement authority’ means:,3302,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n45_a,art_3_p0_n45,a,2,point,"any public authority competent for the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security; or",3305,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n45_b,art_3_p0_n45,b,2,point,"any other body or entity entrusted by Member State law to exercise public authority and public powers for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security;",3310,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n46,art_3_p0,(46),1,numbered_point,"‘law enforcement’ means activities carried out by law enforcement authorities or on their behalf for the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including safeguarding against and preventing threats to public security;",3315,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n47,art_3_p0,(47),1,numbered_point,"‘AI Office’ means the Commission’s function of contributing to the implementation, monitoring and supervision of AI systems and general-purpose AI models, and AI governance, provided for in Commission Decision of 24 January 2024; references in this Regulation to the AI Office shall be construed as references to the Commission;",3320,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n48,art_3_p0,(48),1,numbered_point,"‘national competent authority’ means a notifying authority or a market surveillance authority; as regards AI systems put into service or used by Union institutions, agencies, offices and bodies, references to national competent authorities or market surveillance authorities in this Regulation shall be construed as references to the European Data Protection Supervisor;",3325,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n49,art_3_p0,(49),1,numbered_point,‘serious incident’ means an incident or malfunctioning of an AI system that directly or indirectly leads to any of the following:,3331,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n49_a,art_3_p0_n49,a,2,point,"the death of a person, or serious harm to a person’s health;",3335,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n49_b,art_3_p0_n49,b,2,point,a serious and irreversible disruption of the management or operation of critical infrastructure;,3338,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n49_c,art_3_p0_n49,c,2,point,the infringement of obligations under Union law intended to protect fundamental rights;,3341,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n49_d,art_3_p0_n49,d,2,point,serious harm to property or the environment;,3344,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n50,art_3_p0,(50),1,numbered_point,"‘personal data’ means personal data as defined in Article 4, point (1), of Regulation (EU) 2016/679;",3347,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n51,art_3_p0,(51),1,numbered_point,"‘non-personal data’ means data other than personal data as defined in Article 4, point (1), of Regulation (EU) 2016/679;",3350,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n52,art_3_p0,(52),1,numbered_point,"‘profiling’ means profiling as defined in Article 4, point (4), of Regulation (EU) 2016/679;",3354,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n53,art_3_p0,(53),1,numbered_point,"‘real-world testing plan’ means a document that describes the objectives, methodology, geographical, population and temporal scope, monitoring, organisation and conduct of testing in real-world conditions;",3357,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n54,art_3_p0,(54),1,numbered_point,"‘sandbox plan’ means a document agreed between the participating provider and the competent authority describing the objectives, conditions, timeframe, methodology and requirements for the activities carried out within the sandbox;",3361,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n55,art_3_p0,(55),1,numbered_point,"‘AI regulatory sandbox’ means a controlled framework set up by a competent authority which offers providers or prospective providers of AI systems the possibility to develop, train, validate and test, where appropriate in real-world conditions, an innovative AI system, pursuant to a sandbox plan for a limited time under regulatory supervision;",3365,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n56,art_3_p0,(56),1,numbered_point,"‘AI literacy’ means skills, knowledge and understanding that allow providers, deployers and affected persons, taking into account their respective rights and obligations in the context of this Regulation, to make an informed deployment of AI systems, as well as to gain awareness about the opportunities and risks of AI and possible harm it can cause;",3370,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n57,art_3_p0,(57),1,numbered_point,"‘testing in real-world conditions’ means the temporary testing of an AI system for its intended purpose in real-world conditions outside a laboratory or otherwise simulated environment, with a view to gathering reliable and robust data and to assessing and verifying the conformity of the AI system with the requirements of this Regulation and it does not qualify as placing the AI system on the market or putting it into service within the meaning of this Regulation, provided that all the conditions laid down in Article 57 or 60 are fulfilled;",3377,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n58,art_3_p0,(58),1,numbered_point,"‘subject’, for the purpose of real-world testing, means a natural person who participates in testing in real-world conditions;",3383,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n59,art_3_p0,(59),1,numbered_point,"‘informed consent’ means a subject’s freely given, specific, unambiguous and voluntary expression of his or her willingness to participate in a particular testing in real-world conditions, after having been informed of all aspects of the testing that are relevant to the subject’s decision to participate;",3386,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n60,art_3_p0,(60),1,numbered_point,"‘deep fake’ means AI-generated or manipulated image, audio or video content that resembles existing persons, objects, places, entities or events and would falsely appear to a person to be authentic or truthful;",3390,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n61,art_3_p0,(61),1,numbered_point,"‘widespread infringement’ means any act or omission contrary to Union law protecting the interest of individuals, which:",3393,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n61_a,art_3_p0_n61,a,2,point,has harmed or is likely to harm the collective interests of individuals residing in at least two Member States other than the Member State in which:,3396,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n61_a_i,art_3_p0_n61_a,i,3,point,the act or omission originated or took place;,3399,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n61_a_ii,art_3_p0_n61_a,ii,3,point,"the provider concerned, or, where applicable, its authorised representative is located or established; or",3401,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n61_a_iii,art_3_p0_n61_a,iii,3,point,"the deployer is established, when the infringement is committed by the deployer;",3403,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n61_b,art_3_p0_n61,b,2,point,"has caused, causes or is likely to cause harm to the collective interests of individuals and has common features, including the same unlawful practice or the same interest being infringed, and is occurring concurrently, committed by the same operator, in at least three Member States;",3405,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n62,art_3_p0,(62),1,numbered_point,"‘critical infrastructure’ means critical infrastructure as defined in Article 2, point (4), of Directive (EU) 2022/2557;",3409,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n63,art_3_p0,(63),1,numbered_point,"‘general-purpose AI model’ means an AI model, including where such an AI model is trained with a large amount of data using self-supervision at scale, that displays significant generality and is capable of competently performing a wide range of distinct tasks regardless of the way the model is placed on the market and that can be integrated into a variety of downstream systems or applications, except AI models that are used for research, development or prototyping activities before they are placed on the market;",3411,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n64,art_3_p0,(64),1,numbered_point,‘high-impact capabilities’ means capabilities that match or exceed the capabilities recorded in the most advanced general-purpose AI models;,3417,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n65,art_3_p0,(65),1,numbered_point,"‘systemic risk’ means a risk that is specific to the high-impact capabilities of general-purpose AI models, having a significant impact on the Union market due to their reach, or due to actual or reasonably foreseeable negative effects on public health, safety, public security, fundamental rights, or the society as a whole, that can be propagated at scale across the value chain;",3420,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n66,art_3_p0,(66),1,numbered_point,"‘general-purpose AI system’ means an AI system which is based on a general-purpose AI model and which has the capability to serve a variety of purposes, both for direct use as well as for integration in other AI systems;",3425,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n67,art_3_p0,(67),1,numbered_point,"‘floating-point operation’ means any mathematical operation or assignment involving floating-point numbers, which are a subset of the real numbers typically represented on computers by an integer of fixed precision scaled by an integer exponent of a fixed base;",3428,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n68,art_3_p0,(68),1,numbered_point,"‘downstream provider’ means a provider of an AI system, including a general-purpose AI system, which integrates an AI model, regardless of whether the AI model is provided by themselves and vertically integrated or provided by another entity based on contractual relations.",3432,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_a,art_5_p1,a,1,point,"the placing on the market, the putting into service or the use of an AI system that deploys subliminal techniques beyond a person’s consciousness or purposefully manipulative or deceptive techniques, with the objective, or the effect of materially distorting the behaviour of a person or a group of persons by appreciably impairing their ability to make an informed decision, thereby causing them to take a decision that they would not have otherwise taken in a manner that causes or is reasonably likely to cause that person, another person or group of persons significant harm;",3463,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_b,art_5_p1,b,1,point,"the placing on the market, the putting into service or the use of an AI system that exploits any of the vulnerabilities of a natural person or a specific group of persons due to their age, disability or a specific social or economic situation, with the objective, or the effect, of materially distorting the behaviour of that person or a person belonging to that group in a manner that causes or is reasonably likely to cause that person or another person significant harm;",3470,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_c,art_5_p1,c,1,point,"the placing on the market, the putting into service or the use of AI systems for the evaluation or classification of natural persons or groups of persons over a certain period of time based on their social behaviour or known, inferred or predicted personal or personality characteristics, with the social score leading to either or both of the following:",3476,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_c_i,art_5_p1_c,i,2,point,detrimental or unfavourable treatment of certain natural persons or groups of persons in social contexts that are unrelated to the contexts in which the data was originally generated or collected;,3481,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_c_ii,art_5_p1_c,ii,2,point,detrimental or unfavourable treatment of certain natural persons or groups of persons that is unjustified or disproportionate to their social behaviour or its gravity;,3485,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_d,art_5_p1,d,1,point,"the placing on the market, the putting into service for this specific purpose, or the use of an AI system for making risk assessments of natural persons in order to assess or predict the risk of a natural person committing a criminal offence, based solely on the profiling of a natural person or on assessing their personality traits and characteristics; this prohibition shall not apply to AI systems used to support the human assessment of the involvement of a person in a criminal activity, which is already based on objective and verifiable facts directly linked to a criminal activity;",3489,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_e,art_5_p1,e,1,point,"the placing on the market, the putting into service for this specific purpose, or the use of AI systems that create or expand facial recognition databases through the untargeted scraping of facial images from the internet or CCTV footage;",3496,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_f,art_5_p1,f,1,point,"the placing on the market, the putting into service for this specific purpose, or the use of AI systems to infer emotions of a natural person in the areas of workplace and education institutions, except where the use of the AI system is intended to be put in place or into the market for medical or safety reasons;",3500,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_g,art_5_p1,g,1,point,"the placing on the market, the putting into service for this specific purpose, or the use of biometric categorisation systems that categorise individually natural persons based on their biometric data to deduce or infer their race, political opinions, trade union membership, religious or philosophical beliefs, sex life or sexual orientation; this prohibition does not cover any labelling or filtering of lawfully acquired biometric datasets, such as images, based on biometric data or categorizing of biometric data in the area of law enforcement;",3507,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_h,art_5_p1,h,1,point,"the use of ‘real-time’ remote biometric identification systems in publicly accessible spaces for the purposes of law enforcement, unless and in so far as such use is strictly necessary for one of the following objectives:",3514,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_h_i,art_5_p1_h,i,2,point,"the targeted search for specific victims of abduction, trafficking in human beings or sexual exploitation of human beings, as well as the search for missing persons;",3518,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_h_ii,art_5_p1_h,ii,2,point,"the prevention of a specific, substantial and imminent threat to the life or physical safety of natural persons or a genuine and present or genuine and foreseeable threat of a terrorist attack;",3522,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p1_h_iii,art_5_p1_h,iii,2,point,"the localisation or identification of a person suspected of having committed a criminal offence, for the purpose of conducting a criminal investigation or prosecution or executing a criminal penalty for offences referred to in Annex II and punishable in the Member State concerned by a custodial sentence or a detention order for a maximum period of at least four years.",3526,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p2_a,art_5_p2,a,1,point,"the nature of the situation giving rise to the possible use, in particular the seriousness, probability and scale of the harm that would be caused if the system were not used;",3542,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5_p2_b,art_5_p2,b,1,point,"the consequences of the use of the system for the rights and freedoms of all persons concerned, in particular the seriousness, probability and scale of those consequences.",3546,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_6_p1_a,art_6_p1,a,1,point,"the AI system is intended to be used as a safety component of a product, or the AI system is itself a product, covered by the Union harmonisation legislation listed in Annex I;",3632,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_6_p1_b,art_6_p1,b,1,point,"the product whose safety component pursuant to point (a) is the AI system, or the AI system itself as a product, is required to undergo a third-party conformity assessment, with a view to the placing on the market or the putting into service of that product pursuant to the Union harmonisation legislation listed in Annex I.",3635,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_6_p3_sub1_a,art_6_p3_sub1,a,1,point,the AI system is intended to perform a narrow procedural task;,3653,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_6_p3_sub1_b,art_6_p3_sub1,b,1,point,the AI system is intended to improve the result of a previously completed human activity;,3656,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_6_p3_sub1_c,art_6_p3_sub1,c,1,point,"the AI system is intended to detect decision-making patterns or deviations from prior decision-making patterns and is not meant to replace or influence the previously completed human assessment, without proper human review; or",3659,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_6_p3_sub1_d,art_6_p3_sub1,d,1,point,the AI system is intended to perform a preparatory task to an assessment relevant for the purposes of the use cases listed in Annex III.,3663,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_7_p1_a,art_7_p1,a,1,point,the AI systems are intended to be used in any of the areas listed in Annex III;,3710,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_7_p1_b,art_7_p1,b,1,point,"the AI systems pose a risk of harm to health and safety, or an adverse impact on fundamental rights, and that risk is equivalent to, or greater than, the risk of harm or of adverse impact posed by the high-risk AI systems already referred to in Annex III.",3713,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_7_p2_a,art_7_p2,a,1,point,the intended purpose of the AI system;,3722,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_7_p2_b,art_7_p2,b,1,point,the extent to which an AI system has been used or is likely to be used;,3724,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_7_p2_c,art_7_p2,c,1,point,"the nature and amount of the data processed and used by the AI system, in particular whether special categories of personal data are processed;",3726,KB 2/Europe/EU Artificial Intelligence Act.pdf
