article_id,number,title,chapter_id,section_id,source_line,source_document
art_61,61,Informed consent to participate in testing in real world conditions outside AI regulatory sandboxes,ch_VI,,6368,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_62,62,"Measures for providers and deployers, in particular SMEs, including start-ups",ch_VI,,6397,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_63,63,Derogations for specific operators,ch_VI,,6435,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_64,64,AI Office,ch_VII,ch_VII_s1,6461,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_65,65,Establishment and structure of the European Artificial Intelligence Board,ch_VII,ch_VII_s1,6470,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_66,66,Tasks of the Board,ch_VII,ch_VII_s1,6520,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_67,67,Advisory forum,ch_VII,ch_VII_s1,6599,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_68,68,Scientific panel of independent experts,ch_VII,ch_VII_s1,6639,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_69,69,Access to the pool of experts by the Member States,ch_VII,ch_VII_s1,6698,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_70,70,Designation of national competent authorities and single points of contact,ch_VII,ch_VII_s2,6720,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_71,71,EU database for high-risk AI systems listed in Annex III,ch_VIII,,6776,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_72,72,Post-market monitoring by providers and post-market monitoring plan for high-risk AI systems,ch_IX,ch_IX_s1,6823,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_73,73,Reporting of serious incidents,ch_IX,ch_IX_s2,6866,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_74,74,Market surveillance and control of AI systems in the Union market,ch_IX,ch_IX_s3,6931,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_75,75,"Mutual assistance, market surveillance and control of general-purpose AI systems",ch_IX,ch_IX_s3,7048,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_76,76,Supervision of testing in real world conditions by market surveillance authorities,ch_IX,ch_IX_s3,7076,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_77,77,Powers of authorities protecting fundamental rights,ch_IX,ch_IX_s3,7116,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_78,78,Confidentiality,ch_IX,ch_IX_s3,7146,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_79,79,Procedure at national level for dealing with AI systems presenting a risk,ch_IX,ch_IX_s3,7210,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_80,80,Procedure for dealing with AI systems classified by the provider as non-high-risk in application of Annex III,ch_IX,ch_IX_s3,7287,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_81,81,Union safeguard procedure,ch_IX,ch_IX_s3,7328,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_82,82,Compliant AI systems which present a risk,ch_IX,ch_IX_s3,7354,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_83,83,Formal non-compliance,ch_IX,ch_IX_s3,7388,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_84,84,Union AI testing support structures,ch_IX,ch_IX_s3,7424,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_85,85,Right to lodge a complaint with a market surveillance authority,ch_IX,ch_IX_s4,7443,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_86,86,Right to explanation of individual decision-making,ch_IX,ch_IX_s4,7456,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_87,87,Reporting of infringements and protection of reporting persons,ch_IX,ch_IX_s4,7473,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_88,88,Enforcement of the obligations of providers of general-purpose AI models,ch_IX,ch_IX_s5,7486,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_89,89,Monitoring actions,ch_IX,ch_IX_s5,7500,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_90,90,Alerts of systemic risks by the scientific panel,ch_IX,ch_IX_s5,7520,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_91,91,Power to request documentation and information,ch_IX,ch_IX_s5,7544,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_92,92,Power to conduct evaluations,ch_IX,ch_IX_s5,7575,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_93,93,Power to request measures,ch_IX,ch_IX_s5,7623,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_94,94,Procedural rights of economic operators of the general-purpose AI model,ch_IX,ch_IX_s5,7648,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_95,95,Codes of conduct for voluntary application of specific requirements,ch_X,,7662,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_96,96,Guidelines from the Commission on the implementation of this Regulation,ch_X,,7698,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_97,97,Exercise of the delegation,ch_XI,,7745,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_98,98,Committee procedure,ch_XI,,7784,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_99,99,Penalties,ch_XII,,7799,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_100,100,"Administrative fines on Union institutions, bodies, offices and agencies",ch_XII,,7892,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_101,101,Fines for providers of general-purpose AI models,ch_XII,,7947,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_102,102,Amendment to Regulation (EC) No 300/2008,ch_XIII,,7993,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_103,103,Amendment to Regulation (EU) No 167/2013,ch_XIII,,8012,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_104,104,Amendment to Regulation (EU) No 168/2013,ch_XIII,,8030,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_105,105,Amendment to Directive 2014/90/EU,ch_XIII,,8050,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_106,106,Amendment to Directive (EU) 2016/797,ch_XIII,,8071,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_107,107,Amendment to Regulation (EU) 2018/858,ch_XIII,,8093,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_108,108,Amendments to Regulation (EU) 2018/1139,ch_XIII,,8111,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_109,109,Amendment to Regulation (EU) 2019/2144,ch_XIII,,8164,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_110,110,Amendment to Directive (EU) 2020/1828,ch_XIII,,8182,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_111,111,AI systems already placed on the market or put into service and general-purpose AI models already placed on the marked,ch_XIII,,8195,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_112,112,Evaluation and review,ch_XIII,,8223,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_113,113,Entry into force and application,ch_XIII,,8303,KB 2/Europe/EU Artificial Intelligence Act.pdf
