definition_id,number,term,definition,definition_body,point_id,source_line,source_document
def_22,22,notified body,‘notified body’ means a conformity assessment body notified in accordance with this Regulation and other relevant Union harmonisation legislation;,a conformity assessment body notified in accordance with this Regulation and other relevant Union harmonisation legislation;,art_3_p0_n22,3205,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_23,23,substantial modification,"‘substantial modification’ means a change to an AI system after its placing on the market or putting into service which is not foreseen or planned in the initial conformity assessment carried out by the provider and as a result of which the compliance of the AI system with the requirements set out in Chapter III, Section 2 is affected or results in a modification to the intended purpose for which the AI system has been assessed;","a change to an AI system after its placing on the market or putting into service which is not foreseen or planned in the initial conformity assessment carried out by the provider and as a result of which the compliance of the AI system with the requirements set out in Chapter III, Section 2 is affected or results in a modification to the intended purpose for which the AI system has been assessed;",art_3_p0_n23,3208,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_24,24,CE marking,"‘CE marking’ means a marking by which a provider indicates that an AI system is in conformity with the requirements set out in Chapter III, Section 2 and other applicable Union harmonisation legislation providing for its affixing;","a marking by which a provider indicates that an AI system is in conformity with the requirements set out in Chapter III, Section 2 and other applicable Union harmonisation legislation providing for its affixing;",art_3_p0_n24,3213,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_25,25,post-market monitoring system,‘post-market monitoring system’ means all activities carried out by providers of AI systems to collect and review experience gained from the use of AI systems they place on the market or put into service for the purpose of identifying any need to immediately apply any necessary corrective or preventive actions;,all activities carried out by providers of AI systems to collect and review experience gained from the use of AI systems they place on the market or put into service for the purpose of identifying any need to immediately apply any necessary corrective or preventive actions;,art_3_p0_n25,3216,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_26,26,market surveillance authority,‘market surveillance authority’ means the national authority carrying out the activities and taking the measures pursuant to Regulation (EU) 2019/1020;,the national authority carrying out the activities and taking the measures pursuant to Regulation (EU) 2019/1020;,art_3_p0_n26,3220,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_27,27,harmonised standard,"‘harmonised standard’ means a harmonised standard as defined in Article 2(1), point (c), of Regulation (EU) No 1025/2012;","a harmonised standard as defined in Article 2(1), point (c), of Regulation (EU) No 1025/2012;",art_3_p0_n27,3226,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_28,28,common specification,"‘common specification’ means a set of technical specifications as defined in Article 2, point (4) of Regulation (EU) No 1025/2012, providing means to comply with certain requirements established under this Regulation;","a set of technical specifications as defined in Article 2, point (4) of Regulation (EU) No 1025/2012, providing means to comply with certain requirements established under this Regulation;",art_3_p0_n28,3230,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_29,29,training data,‘training data’ means data used for training an AI system through fitting its learnable parameters;,data used for training an AI system through fitting its learnable parameters;,art_3_p0_n29,3234,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_30,30,validation data,"‘validation data’ means data used for providing an evaluation of the trained AI system and for tuning its non-learnable parameters and its learning process in order, inter alia, to prevent underfitting or overfitting;","data used for providing an evaluation of the trained AI system and for tuning its non-learnable parameters and its learning process in order, inter alia, to prevent underfitting or overfitting;",art_3_p0_n30,3237,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_31,31,validation data set,"‘validation data set’ means a separate data set or part of the training data set, either as a fixed or variable split;","a separate data set or part of the training data set, either as a fixed or variable split;",art_3_p0_n31,3241,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_32,32,testing data,‘testing data’ means data used for providing an independent evaluation of the AI system in order to confirm the expected performance of that system before its placing on the market or putting into service;,data used for providing an independent evaluation of the AI system in order to confirm the expected performance of that system before its placing on the market or putting into service;,art_3_p0_n32,3244,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_33,33,input data,‘input data’ means data provided to or directly acquired by an AI system on the basis of which the system produces an output;,data provided to or directly acquired by an AI system on the basis of which the system produces an output;,art_3_p0_n33,3248,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_34,34,biometric data,"‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, such as facial images or dactyloscopic data;","personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, such as facial images or dactyloscopic data;",art_3_p0_n34,3252,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_35,35,biometric identification,"‘biometric identification’ means the automated recognition of physical, physiological, behavioural, or psychological human features for the purpose of establishing the identity of a natural person by comparing biometric data of that individual to biometric data of individuals stored in a database;","the automated recognition of physical, physiological, behavioural, or psychological human features for the purpose of establishing the identity of a natural person by comparing biometric data of that individual to biometric data of individuals stored in a database;",art_3_p0_n35,3256,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_36,36,biometric verification,"‘biometric verification’ means the automated, one-to-one verification, including authentication, of the identity of natural persons by comparing their biometric data to previously provided biometric data;","the automated, one-to-one verification, including authentication, of the identity of natural persons by comparing their biometric data to previously provided biometric data;",art_3_p0_n36,3261,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_37,37,special categories of personal data,"‘special categories of personal data’ means the categories of personal data referred to in Article 9(1) of Regulation (EU) 2016/679, Article 10 of Directive (EU) 2016/680 and Article 10(1) of Regulation (EU) 2018/1725;","the categories of personal data referred to in Article 9(1) of Regulation (EU) 2016/679, Article 10 of Directive (EU) 2016/680 and Article 10(1) of Regulation (EU) 2018/1725;",art_3_p0_n37,3265,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_38,38,sensitive operational data,"‘sensitive operational data’ means operational data related to activities of prevention, detection, investigation or prosecution of criminal offences, the disclosure of which could jeopardise the integrity of criminal proceedings;","operational data related to activities of prevention, detection, investigation or prosecution of criminal offences, the disclosure of which could jeopardise the integrity of criminal proceedings;",art_3_p0_n38,3269,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_39,39,emotion recognition system,‘emotion recognition system’ means an AI system for the purpose of identifying or inferring emotions or intentions of natural persons on the basis of their biometric data;,an AI system for the purpose of identifying or inferring emotions or intentions of natural persons on the basis of their biometric data;,art_3_p0_n39,3273,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_40,40,biometric categorisation system,"‘biometric categorisation system’ means an AI system for the purpose of assigning natural persons to specific categories on the basis of their biometric data, unless it is ancillary to another commercial service and strictly necessary for objective technical reasons;","an AI system for the purpose of assigning natural persons to specific categories on the basis of their biometric data, unless it is ancillary to another commercial service and strictly necessary for objective technical reasons;",art_3_p0_n40,3277,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_41,41,remote biometric identification system,"‘remote biometric identification system’ means an AI system for the purpose of identifying natural persons, without their active involvement, typically at a distance through the comparison of a person’s biometric data with the biometric data contained in a reference database;","an AI system for the purpose of identifying natural persons, without their active involvement, typically at a distance through the comparison of a person’s biometric data with the biometric data contained in a reference database;",art_3_p0_n41,3282,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_42,42,real-time remote biometric identification system,"‘real-time remote biometric identification system’ means a remote biometric identification system, whereby the capturing of biometric data, the comparison and the identification all occur without a significant delay, comprising not only instant identification, but also limited short delays in order to avoid circumvention;","a remote biometric identification system, whereby the capturing of biometric data, the comparison and the identification all occur without a significant delay, comprising not only instant identification, but also limited short delays in order to avoid circumvention;",art_3_p0_n42,3287,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_43,43,post-remote biometric identification system,‘post-remote biometric identification system’ means a remote biometric identification system other than a real-time remote biometric identification system;,a remote biometric identification system other than a real-time remote biometric identification system;,art_3_p0_n43,3292,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_44,44,publicly accessible space,"‘publicly accessible space’ means any publicly or privately owned physical place accessible to an undetermined number of natural persons, regardless of whether certain conditions for access may apply, and regardless of the potential capacity restrictions;","any publicly or privately owned physical place accessible to an undetermined number of natural persons, regardless of whether certain conditions for access may apply, and regardless of the potential capacity restrictions;",art_3_p0_n44,3296,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_45,45,law enforcement authority,‘law enforcement authority’ means:,,art_3_p0_n45,3302,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_46,46,law enforcement,"‘law enforcement’ means activities carried out by law enforcement authorities or on their behalf for the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including safeguarding against and preventing threats to public security;","activities carried out by law enforcement authorities or on their behalf for the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including safeguarding against and preventing threats to public security;",art_3_p0_n46,3315,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_47,47,AI Office,"‘AI Office’ means the Commission’s function of contributing to the implementation, monitoring and supervision of AI systems and general-purpose AI models, and AI governance, provided for in Commission Decision of 24 January 2024; references in this Regulation to the AI Office shall be construed as references to the Commission;","the Commission’s function of contributing to the implementation, monitoring and supervision of AI systems and general-purpose AI models, and AI governance, provided for in Commission Decision of 24 January 2024; references in this Regulation to the AI Office shall be construed as references to the Commission;",art_3_p0_n47,3320,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_48,48,national competent authority,"‘national competent authority’ means a notifying authority or a market surveillance authority; as regards AI systems put into service or used by Union institutions, agencies, offices and bodies, references to national competent authorities or market surveillance authorities in this Regulation shall be construed as references to the European Data Protection Supervisor;","a notifying authority or a market surveillance authority; as regards AI systems put into service or used by Union institutions, agencies, offices and bodies, references to national competent authorities or market surveillance authorities in this Regulation shall be construed as references to the European Data Protection Supervisor;",art_3_p0_n48,3325,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_49,49,serious incident,‘serious incident’ means an incident or malfunctioning of an AI system that directly or indirectly leads to any of the following:,an incident or malfunctioning of an AI system that directly or indirectly leads to any of the following:,art_3_p0_n49,3331,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_50,50,personal data,"‘personal data’ means personal data as defined in Article 4, point (1), of Regulation (EU) 2016/679;","personal data as defined in Article 4, point (1), of Regulation (EU) 2016/679;",art_3_p0_n50,3347,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_51,51,non-personal data,"‘non-personal data’ means data other than personal data as defined in Article 4, point (1), of Regulation (EU) 2016/679;","data other than personal data as defined in Article 4, point (1), of Regulation (EU) 2016/679;",art_3_p0_n51,3350,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_52,52,profiling,"‘profiling’ means profiling as defined in Article 4, point (4), of Regulation (EU) 2016/679;","profiling as defined in Article 4, point (4), of Regulation (EU) 2016/679;",art_3_p0_n52,3354,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_53,53,real-world testing plan,"‘real-world testing plan’ means a document that describes the objectives, methodology, geographical, population and temporal scope, monitoring, organisation and conduct of testing in real-world conditions;","a document that describes the objectives, methodology, geographical, population and temporal scope, monitoring, organisation and conduct of testing in real-world conditions;",art_3_p0_n53,3357,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_54,54,sandbox plan,"‘sandbox plan’ means a document agreed between the participating provider and the competent authority describing the objectives, conditions, timeframe, methodology and requirements for the activities carried out within the sandbox;","a document agreed between the participating provider and the competent authority describing the objectives, conditions, timeframe, methodology and requirements for the activities carried out within the sandbox;",art_3_p0_n54,3361,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_55,55,AI regulatory sandbox,"‘AI regulatory sandbox’ means a controlled framework set up by a competent authority which offers providers or prospective providers of AI systems the possibility to develop, train, validate and test, where appropriate in real-world conditions, an innovative AI system, pursuant to a sandbox plan for a limited time under regulatory supervision;","a controlled framework set up by a competent authority which offers providers or prospective providers of AI systems the possibility to develop, train, validate and test, where appropriate in real-world conditions, an innovative AI system, pursuant to a sandbox plan for a limited time under regulatory supervision;",art_3_p0_n55,3365,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_56,56,AI literacy,"‘AI literacy’ means skills, knowledge and understanding that allow providers, deployers and affected persons, taking into account their respective rights and obligations in the context of this Regulation, to make an informed deployment of AI systems, as well as to gain awareness about the opportunities and risks of AI and possible harm it can cause;","skills, knowledge and understanding that allow providers, deployers and affected persons, taking into account their respective rights and obligations in the context of this Regulation, to make an informed deployment of AI systems, as well as to gain awareness about the opportunities and risks of AI and possible harm it can cause;",art_3_p0_n56,3370,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_57,57,testing in real-world conditions,"‘testing in real-world conditions’ means the temporary testing of an AI system for its intended purpose in real-world conditions outside a laboratory or otherwise simulated environment, with a view to gathering reliable and robust data and to assessing and verifying the conformity of the AI system with the requirements of this Regulation and it does not qualify as placing the AI system on the market or putting it into service within the meaning of this Regulation, provided that all the conditions laid down in Article 57 or 60 are fulfilled;","the temporary testing of an AI system for its intended purpose in real-world conditions outside a laboratory or otherwise simulated environment, with a view to gathering reliable and robust data and to assessing and verifying the conformity of the AI system with the requirements of this Regulation and it does not qualify as placing the AI system on the market or putting it into service within the meaning of this Regulation, provided that all the conditions laid down in Article 57 or 60 are fulfilled;",art_3_p0_n57,3377,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_58,58,subject,"‘subject’, for the purpose of real-world testing, means a natural person who participates in testing in real-world conditions;",a natural person who participates in testing in real-world conditions;,art_3_p0_n58,3383,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_59,59,informed consent,"‘informed consent’ means a subject’s freely given, specific, unambiguous and voluntary expression of his or her willingness to participate in a particular testing in real-world conditions, after having been informed of all aspects of the testing that are relevant to the subject’s decision to participate;","a subject’s freely given, specific, unambiguous and voluntary expression of his or her willingness to participate in a particular testing in real-world conditions, after having been informed of all aspects of the testing that are relevant to the subject’s decision to participate;",art_3_p0_n59,3386,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_60,60,deep fake,"‘deep fake’ means AI-generated or manipulated image, audio or video content that resembles existing persons, objects, places, entities or events and would falsely appear to a person to be authentic or truthful;","AI-generated or manipulated image, audio or video content that resembles existing persons, objects, places, entities or events and would falsely appear to a person to be authentic or truthful;",art_3_p0_n60,3390,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_61,61,widespread infringement,"‘widespread infringement’ means any act or omission contrary to Union law protecting the interest of individuals, which:","any act or omission contrary to Union law protecting the interest of individuals, which:",art_3_p0_n61,3393,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_62,62,critical infrastructure,"‘critical infrastructure’ means critical infrastructure as defined in Article 2, point (4), of Directive (EU) 2022/2557;","critical infrastructure as defined in Article 2, point (4), of Directive (EU) 2022/2557;",art_3_p0_n62,3409,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_63,63,general-purpose AI model,"‘general-purpose AI model’ means an AI model, including where such an AI model is trained with a large amount of data using self-supervision at scale, that displays significant generality and is capable of competently performing a wide range of distinct tasks regardless of the way the model is placed on the market and that can be integrated into a variety of downstream systems or applications, except AI models that are used for research, development or prototyping activities before they are placed on the market;","an AI model, including where such an AI model is trained with a large amount of data using self-supervision at scale, that displays significant generality and is capable of competently performing a wide range of distinct tasks regardless of the way the model is placed on the market and that can be integrated into a variety of downstream systems or applications, except AI models that are used for research, development or prototyping activities before they are placed on the market;",art_3_p0_n63,3411,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_64,64,high-impact capabilities,‘high-impact capabilities’ means capabilities that match or exceed the capabilities recorded in the most advanced general-purpose AI models;,capabilities that match or exceed the capabilities recorded in the most advanced general-purpose AI models;,art_3_p0_n64,3417,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_65,65,systemic risk,"‘systemic risk’ means a risk that is specific to the high-impact capabilities of general-purpose AI models, having a significant impact on the Union market due to their reach, or due to actual or reasonably foreseeable negative effects on public health, safety, public security, fundamental rights, or the society as a whole, that can be propagated at scale across the value chain;","a risk that is specific to the high-impact capabilities of general-purpose AI models, having a significant impact on the Union market due to their reach, or due to actual or reasonably foreseeable negative effects on public health, safety, public security, fundamental rights, or the society as a whole, that can be propagated at scale across the value chain;",art_3_p0_n65,3420,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_66,66,general-purpose AI system,"‘general-purpose AI system’ means an AI system which is based on a general-purpose AI model and which has the capability to serve a variety of purposes, both for direct use as well as for integration in other AI systems;","an AI system which is based on a general-purpose AI model and which has the capability to serve a variety of purposes, both for direct use as well as for integration in other AI systems;",art_3_p0_n66,3425,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_67,67,floating-point operation,"‘floating-point operation’ means any mathematical operation or assignment involving floating-point numbers, which are a subset of the real numbers typically represented on computers by an integer of fixed precision scaled by an integer exponent of a fixed base;","any mathematical operation or assignment involving floating-point numbers, which are a subset of the real numbers typically represented on computers by an integer of fixed precision scaled by an integer exponent of a fixed base;",art_3_p0_n67,3428,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_68,68,downstream provider,"‘downstream provider’ means a provider of an AI system, including a general-purpose AI system, which integrates an AI model, regardless of whether the AI model is provided by themselves and vertically integrated or provided by another entity based on contractual relations.","a provider of an AI system, including a general-purpose AI system, which integrates an AI model, regardless of whether the AI model is provided by themselves and vertically integrated or provided by another entity based on contractual relations.",art_3_p0_n68,3432,KB 2/Europe/EU Artificial Intelligence Act.pdf
