clause_id,section_id,clause_path,label,level,text,reserved,parent_id,part_id,source_document
SEC-120.5(c)(2),SEC-120.5,(c)(2),2,2,"The transfer of materials, including special nuclear materials, nuclear parts of nuclear weapons, or other, non-nuclear parts of nuclear weapons systems involving Restricted Data or of assistance involving any person directly or indirectly engaging in the production or use thereof is prohibited except as authorized by the AEA. The transfer of Restricted Data or such assistance is prohibited except as authorized by the AEA. The technical data or defense services relating to nuclear weapons, nuclear weapons systems or related defense purposes (and such data or services relating to applications of atomic energy for peaceful purposes, or related research and development) may constitute Restricted Data or such assistance, subject to the foregoing prohibition.",,SEC-120.5(c),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5(c)(3),SEC-120.5,(c)(3),3,2,"A license for the export of a defense article, technical data, or the furnishing of a defense service relating to defense articles referred to in Category VI(e) or Category XX(b)(1) of",,SEC-120.5(c),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5(c)(3)(i),SEC-120.5,(c)(3)(i),i,3,If the proposed export involves an article which is identical to that in use in an unclassified civilian nuclear power plant;,,SEC-120.5(c)(3),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5(c)(3)(ii),SEC-120.5,(c)(3)(ii),ii,3,If the proposed export has no relationship to naval nuclear propulsion; and,,SEC-120.5(c)(3),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5(c)(3)(iii),SEC-120.5,(c)(3)(iii),iii,3,If it is not for use in a naval propulsion plant.,,SEC-120.5(c)(3),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(a),SEC-120.6,(a),a,1,Section 38 of the Arms Export Control Act (22 U.S.C. 2778);,,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(b),SEC-120.6,(b),b,1,Section 1760 of the Export Control Reform Act of 2018 (50 U.S.C. 4819) or section 11 of the Export Administration Act of 1979 (50 U.S.C. 4610);,,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(c),SEC-120.6,(c),c,1,"Section 793, 794, or 798 of title 18, United States Code (relating to espionage involving defense or classified information) or section 2332d, 2339A, 2339B, 2339C, or 2339D of such title (relating to financial transactions with the government of a country designated as a country supporting international terrorism, providing material support to terrorists or terrorist organizations, financing of terrorism, or receiving military-type training from a foreign terrorist organization);",,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(d),SEC-120.6,(d),d,1,Section 16 of the Trading with the Enemy Act (50 U.S.C. 4315);,,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(e),SEC-120.6,(e),e,1,Section 206 of the International Emergency Economic Powers Act (relating to foreign assets controls; 50 U.S.C. 1705);,,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(f),SEC-120.6,(f),f,1,Section 30A of the Securities Exchange Act of 1934 (15 U.S.C. 78dd-1) or section 104 of the Foreign Corrupt Practices Act (15 U.S.C. 78dd-2 or 78dd-3);,,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(g),SEC-120.6,(g),g,1,"Chapter 105 of title 18, United States Code (relating to sabotage);",,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(h),SEC-120.6,(h),h,1,Section 4(b) of the Internal Security Act of 1950 (relating to communication of classified information; 50 U.S.C. 783(a));,,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(i),SEC-120.6,(i),i,1,"Sections 57, 92, 101, 222, 224, 225, or 226 of the Atomic Energy Act of 1954 (42 U.S.C. 2077, 2122, 2131, 2134, 2272, 2274, 2275, and 2276);",,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(j),SEC-120.6,(j),j,1,Section 601 of the National Security Act of 1947 (relating to intelligence identities protection; 50 U.S.C. 421);,,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(k),SEC-120.6,(k),k,1,"Section 371 of title 18, United States Code (when it involves conspiracy to violate any of the statutes listed in this section);",,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(l),SEC-120.6,(l),l,1,"Section 3, 4, 5, and 6 of the Intelligence Reform and Terrorism Prevention Act of 2004, Public Law 108-458 sections 6903-6906, relating to missile systems designed to destroy aircraft (18 U.S.C. 2332g), prohibitions governing atomic weapons (42 U.S.C. 2122), radiological dispersal services (18 U.S.C. 2332h), and variola virus (18 U.S.C. 175c);",,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(m),SEC-120.6,(m),m,1,"Sections 2779 and 2780 of title 22, United States Code (relating to fees of military sales agents and other payments, and transactions with countries supporting acts of international terrorism);",,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(n),SEC-120.6,(n),n,1,"Section 542 of title 18, United States Code (relating to the entry of goods by means of false statements), where the underlying offense involves a defense article, including technical data, or violations related to the Arms Export Control Act (AECA) or International Traffic in Arms Regulations (ITAR) in this subchapter;",,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(o),SEC-120.6,(o),o,1,"Section 545 of title 18, United States Code (relating to smuggling goods into the United States), where the underlying offense involves a defense article, including technical data, or violations related to the AECA or ITAR;",,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(p),SEC-120.6,(p),p,1,"Section 554 of title 18, United States Code (relating to smuggling goods from the United States), where the underlying offense involves a defense article, including technical data, or violations related to the AECA or ITAR; and",,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6(q),SEC-120.6,(q),q,1,"Section 1001 of title 18, United States Code (relating to false statements or entries generally), Section 1831 of title 18, United States Code (relating to economic espionage), and Section 1832 of title 18, United States Code (relating to theft of trade secrets) where the underlying offense involves a defense article, including technical data, or violations relating to the AECA or ITAR.",,SEC-120.6,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.7(a),SEC-120.7,(a),a,1,"The provisions in this subchapter are in addition to, and are not in lieu of, any other provisions of law or regulations. The sale of firearms in the United States, for example, remains subject to the provisions of the Gun Control Act of 1968 and regulations administered by the Department of Justice. The performance of defense services on behalf of foreign governments by retired military personnel continues to require consent pursuant to part 3a of this title. Persons who intend to export defense articles or furnish defense services should not assume that satisfying the requirements of this subchapter relieves one of other requirements of law.",,SEC-120.7,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.7(b),SEC-120.7,(b),b,1,"All determinations, authorizations, licenses, approvals of contracts and agreements, and other action issues, authorized, undertaken, or entered into by the Department of State pursuant to section 414 of the Mutual Security Act of 1954, as amended, or under the previous provisions of this subchapter, continue in full force and effect until or unless modified, revoked, or superseded by the Department of State.",,SEC-120.7,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.10(a),SEC-120.10,(a),a,1,"The U.S. Munitions List. The articles, services, and related technical data designated as defense articles or defense services pursuant to section 38 and 47(7) of the Arms Export Control Act appear in part 121 of this subchapter and constitute the U.S. Munitions List",,SEC-120.10,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.10(a)(USML),SEC-120.10,(a)(USML),USML,2,. Changes in designations are published in the Federal Register. Paragraphs (b) through (d) of this section describe or explain the elements of a USML category.,,SEC-120.10(a),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.10(b),SEC-120.10,(b),b,1,"Composition of U.S. Munitions List categories. USML categories are organized by paragraphs and subparagraphs identified alphanumerically. They usually start by enumerating or otherwise describing end-items, followed by major systems and equipment; parts, components, accessories, and attachments; and technical data and defense services directly related to the defense articles of that USML category.",,SEC-120.10,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.10(c),SEC-120.10,(c),c,1,Significant Military Equipment paragraphs in the USML. All items described within a USML paragraph or subordinate paragraph that is preceded by an asterisk (*) are designated Significant Military Equipment (SME). Note that technical data directly related to the manufacture or production of a defense article designated as SME is also designated as SME.,,SEC-120.10,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.10(d),SEC-120.10,(d),d,1,Missile Technology Control Regime (MTCR) designation. Annotation with the parenthetical,,SEC-120.10,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.10(d)(MT),SEC-120.10,(d)(MT),MT,2,at the end of a USML entry indicates those defense articles that are on the MTCR Annex.,,SEC-120.10(d),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.11(a),SEC-120.11,(a),a,1,Control. Articles are controlled on the U.S. Munitions List (USML) because they are either:,,SEC-120.11,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.11(a)(1),SEC-120.11,(a)(1),1,2,Enumerated in a category; or,,SEC-120.11(a),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.11(a)(2),SEC-120.11,(a)(2),2,2,"Described in a catch-all paragraph that incorporates specially designed as a control parameter. In order to classify an item on the USML, begin with a review of the general characteristics of the item. This should guide you to the appropriate category, whereupon you should attempt to match the particular characteristics and functions of the article to a specific entry within that category.",,SEC-120.11(a),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.11(b),SEC-120.11,(b),b,1,Specially designed.,,SEC-120.11,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.11(b)(1),SEC-120.11,(b)(1),1,2,"If the entry includes the term specially designed, refer to § 120.41 to determine if the article qualifies for one or more of the exclusions articulated in § 120.41(b).",,SEC-120.11(b),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.11(b)(2),SEC-120.11,(b)(2),2,2,An item described in multiple entries should be categorized according to an enumerated entry rather than a specially designed catch-all paragraph.,,SEC-120.11(b),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.11(c),SEC-120.11,(c),c,1,"Integration of controlled items. Defense articles described on the USML are controlled and remain subject to this subchapter following incorporation or integration into any item not described on the USML, unless specifically provided otherwise in this subchapter.",,SEC-120.11,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.11(d),SEC-120.11,(d),d,1,"Other controls. In all cases, articles not controlled on the USML may be subject to another U.S. Government regulatory agency (see § 120.5, and Supplement No. 4 to part 774 of the Export Administration Regulations (EAR) in title 15 of the CFR for guidance on classifying an item subject to the EAR).",,SEC-120.11,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(a),SEC-120.12,(a),a,1,"Upon electronic submission of a Commodity Jurisdiction Determination Form (Form DS- 4076), the Directorate of Defense Trade Controls (DDTC) shall provide a determination of whether a particular article or service is covered by the U.S. Munitions List in part 121 of this subchapter. The determination, consistent with §§ 120.2, 120.3, and 120.4, entails consultation among the Department of State, Defense, Commerce, and other U.S. Government agencies and industry in appropriate cases. State, Defense, and Commerce will resolve commodity jurisdiction determination disputes in accordance with established procedures. State shall notify Defense and Commerce, and other U.S. Government agencies as appropriate, of the initiation and conclusion of each case.",,SEC-120.12,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(b),SEC-120.12,(b),b,1,"A determination that an article or service meets the criteria of a defense article or defense service, or provides the equivalent performance capabilities of a defense article on the U.S. Munitions List, is made on a case-by-case basis, taking into account:",,SEC-120.12,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(b)(1),SEC-120.12,(b)(1),1,2,The form and fit of the article;,,SEC-120.12(b),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(b)(2),SEC-120.12,(b)(2),2,2,The function and performance capability of the article; and,,SEC-120.12(b),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(b)(3),SEC-120.12,(b)(3),3,2,"Other applicant-provided information, to include a history of the product’s design, development, and use, as well as specifications and any other relevant data as described in brochures and other related documents.",,SEC-120.12(b),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(c),SEC-120.12,(c),c,1,"A determination that an article or service has a critical military or intelligence advantage such that it warrants control under Category XXI of § 121.1 of this subchapter is made, on a case- by-case base, taking into account:",,SEC-120.12,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(c)(1),SEC-120.12,(c)(1),1,2,The function and performance capability of the article; and,,SEC-120.12(c),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(c)(2),SEC-120.12,(c)(2),2,2,The nature of controls imposed by other nations on such items (including the Wassenaar Arrangement and other multilateral controls).,,SEC-120.12(c),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(d),SEC-120.12,(d),d,1,"DDTC will provide a preliminary response within 10 working days of receipt of a complete request for commodity jurisdiction determination. If after 45 days DDTC has not provided a final commodity jurisdiction determination, the applicant may request in writing to the Director, Office of Defense Trade Controls Policy that this determination be given expedited processing.",,SEC-120.12,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(e),SEC-120.12,(e),e,1,"A person may appeal a commodity jurisdiction determination by submitting a written request for reconsideration to the Deputy Assistant Secretary of State for Defense Trade Controls. The Deputy Assistant Secretary’s determination of the appeal will be provided, in writing, within 30 days of receipt of the appeal. If desired, an appeal of the Deputy Assistant Secretary’s decision can then be made to the Assistant Secretary of State for Political-Military Affairs.",,SEC-120.12,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12(f),SEC-120.12,(f),f,1,Registration with DDTC as described in part 122 of this subchapter is not required prior to submission of a commodity jurisdiction determination request.,,SEC-120.12,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
