definition_id,term,definition_text,section_number,part_id,source_document
DEF-120.41,Specially designed,"(a) Except for commodities or software described in paragraph (b) of this section, a commodity or software is specially designed if it: (1) As a result of development, has properties peculiarly responsible for achieving or exceeding the controlled performance levels, characteristics, or functions described in the relevant U.S. Munitions List (USML) paragraph in § 121.1 of this subchapter; or (2) Is a part, component, accessory, attachment, or software for use in or with a defense article. (b) For purposes of this subchapter, a part, component, accessory, attachment, or software is not specially designed if it: (1) Is subject to the EAR pursuant to a commodity jurisdiction determination; (2) Is, regardless of form or fit, a fastener (e.g., screws, bolts, nuts, nut plates, studs, inserts, clips, rivets, pins), washer, spacer, insulator, grommet, bushing, spring, wire, or solder; (3) Has the same function, performance capabilities, and the same or equivalent form and fit as a commodity or software used in or with a commodity that: (i) Is or was in production (i.e., not in development); and (ii) Is not enumerated on the USML; (4) Was or is being developed with knowledge that it is or would be for use in or with both defense articles enumerated on the USML and also commodities not on the USML; or (5) Was or is being developed as a general purpose commodity or software, i.e., with no knowledge for use in or with a particular commodity (e.g., a F/A-18 or HMMWV) or type of commodity (e.g., an aircraft or machine tool).",120.41,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.42,"Form, fit, function, performance capability, equivalent, enumerated, and catch-all control","(a) Form. The form of a commodity is defined by its configuration (including the geometrically measured configuration), material, and material properties that uniquely characterize it. For software, the form means the design, logic flow, and algorithms. (b) Fit. The fit of a commodity defined by its ability to physically interface or connect with or become an integral part of another commodity. For software, the fit is defined by its ability to interface or connect with a defense article. (c) Function. The function of a commodity is the action or actions it is designed to perform. For software, the function means the action or actions the software performs directly related to a defense article or as a standalone application. (d) Performance capability. Performance capability is the measure of a commodity’s effectiveness to perform a designated function in a given environment (e.g., measured in terms of speed, durability, reliability, pressure, accuracy, efficiency). For software, performance capability means the measure of the software’s effectiveness to perform a designated function. (e) Equivalent. With respect to a commodity, equivalent means its form has been modified solely for fit purposes. (f) Enumerated. Enumerated refers to any items designated on the U.S. Munitions List or item on the Commerce Control List and not in a catch-all control. (g) Catch-all control. A catch-all control is one that does not refer to specific types of parts, components, accessories, or attachments, but rather controls unspecified parts, components, accessories, or attachments only if they were specially designed for an enumerated item.",120.42,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.43,"Development, production, and related terms; Basic and applied research","(a) Development is related to all stages prior to serial production, such as design, design research, design analyses, design concepts, assembly and testing of prototypes, pilot production schemes, design data, process of transforming design data into a product, configuration design, integration design, and layouts. Developments include modification of an existing design. (b) (1) Production means all production stages, such as product engineering, manufacture, integration, assembly (mounting), inspection, testing, and quality assurance. This includes serial production where commodities have passed production readiness testing (i.e., an approved, standardized design ready for large scale production) and have been or are being produced on an assembly line for multiple commodities using the approved, standardized design. (2) Commodities in production that are subsequently subject to development activities, such as those that would result in enhancements or improvements only in the reliability or maintainability of the commodity (e.g., an increased mean time between failure), including those pertaining to quality improvements, cost reductions, or feature enhancements, remain in production. However, any new models or versions of such (c) Design methodology includes the underlying engineering methods and design philosophy utilized (i.e., information that explains the rationale for a particular design decision, engineering feature, or performance requirement); engineering experience (e.g., lessons learned); and the rationale and associated databases (e.g., design allowables, factors of safety, component life predictions, failure analysis criteria) that establish the operational requirements (e.g., performance, mechanical, electrical, electronic, reliability and maintainability) of a defense article. (Final analytical results and the initial conditions and parameters may be provided.) (d) Engineering analysis includes the analytical methods and tools used to design or evaluate a defense article’s performance against the operational requirements. Analytical methods and tools include the development and/or use of mockups, computer models and simulations, and test facilities. (Final analytical results and the initial conditions and parameters may be provided.) (e) Manufacturing know-how includes information that provides detailed manufacturing processes and techniques needed to translate a detailed design into a qualified, finished defense article. (Information may be provided in a build-to-print package that is necessary in order to produce an acceptable defense article.) (f) Build-to-print means that a foreign consignee can produce a defense article from engineering drawings without any technical assistance from a U.S. exporter. This transaction is based strictly on a hands-off approach since the foreign consignee is understood to have the inherent capability to produce the defense article and only lacks the necessary drawings. Supporting documentation (e.g., acceptance criteria, object code software for numerically controlled machines) may be released on an as-required basis (i.e., must have) such that the foreign consignee would not be able to produce an acceptable defense article without this additional supporting documentation. Build-to-print does not include the release of any information which discloses design methodology, engineering analysis, detailed process information or manufacturing know-how. Documentation which is not absolutely necessary to permit manufacture of an acceptable defense article (i.e. nice to have) is not considered within the boundaries of a build-to-print data package. (g) Build/design-to-specification means that a foreign consignee can design and produce a defense article from requirement specifications without any technical assistance from the U.S. exporter. This transaction is based strictly on a hands-off approach since the foreign consignee is understood to have the inherent capability to both design and produce the defense article and only lacks the necessary requirement information. (h) Basic research means a systemic study directed toward greater knowledge or understanding of the fundamental aspects of phenomena and observable facts without specific applications towards processes or products in mind. It does not include applied research. (i) Applied research means a systemic study to gain knowledge or understanding necessary to determine the means by which a recognized and specific need may be met. It is a systematic application of knowledge toward the production of useful materials, devices, and systems or methods, including design, development, and improvement of prototypes and new processes to meet specific requirements.",120.43,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.45,Maintenance levels,"(a) Organizational-level maintenance (or basic-level maintenance) is the first level of maintenance that can be performed on-equipment (directly on the defense article or support equipment) without specialized training. It consists of repairing, inspecting, servicing, calibrating, lubricating, or adjusting equipment, as well as replacing minor parts, components, assemblies, and line- replaceable spares or units. This includes modifications, enhancements, or upgrades that would result in improving only the reliability of maintainability of the commodity (e.g., an increased mean time between failure) and does not enhance the basic performance or capability of the defense article. (b) Intermediate-level maintenance is second-level maintenance performed off-equipment (on removed parts, components, or equipment) at or by designated maintenance shops or centers, tenders, or field teams. It may consist of calibrating, repairing, testing, or replacing damaged or unserviceable parts, components, or assemblies. This includes modifications, enhancements, or upgrades that would result in improving only the reliability or maintainability of the commodity (e.g., an increased mean time between failure) and does not enhance the basic performance or capability of the defense article. (c) Depot-level maintenance is third-level maintenance performed on- or off-equipment at or by a major repair facility, shipyard, or field team, each with necessary equipment and personnel of requisite technical skill. It consists of providing evaluation or repair beyond unit or organization capability. This maintenance consists of inspecting, testing, calibrating, repairing, overhauling, refurbishing, reconditioning, and one-to-one replacing of any defective parts, components, or assemblies. This includes modifications, enhancements, or upgrades that would result in improving only the reliability or maintainability of the commodity (e.g., an increased mean time between failure) and does not enhance the basic performance or capability of the defense article.",120.45,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.50,Export,"(a) Export, except a set forth in § 120.54 or § 126.16 or § 126.17 of this subchapter, means: (1) An actual shipment or transmission out of the United States, including the sending or taking of a defense article out of the United States in any manner; (2) Releasing or otherwise transferring technical data to a foreign person in the United States (a deemed export); (3) Transferring registration, control, or ownership of any aircraft, vessel, or satellite subject to this subchapter by a U.S. person to a foreign person; (4) Releasing or otherwise transferring a defense article to an embassy or to any of its agencies or subdivisions, such as a diplomatic mission or consulate, in the United States; (5) Performing a defense service on behalf of, or for the benefit of, a foreign person, whether in the United States or abroad; or (6) The release of previously encrypted technical data as described in § 120.56(a)(3) and (4). (b) Any release in the United States of technical data to a foreign person is deemed to be an export to all countries in which the foreign person has held or holds citizenship or holds permanent residency.",120.50,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.51,Reexport,"(a) Reexport, except as set forth in § 120.54 or § 126.16 or § 126.17 of this subchapter, means: (1) An actual shipment or transmission of a defense article from one foreign country to another foreign country, including the sending or taking of a defense article to or from such countries in any manner; (2) Releasing or otherwise transferring technical data to a foreign person who is a citizen or permanent resident of a country other than the foreign country where the release or transfer takes place (a deemed reexport); or (3) Transferring registration, control, or ownership of any aircraft, vessel, or satellite subject to this subchapter between foreign persons. (b) Any release outside the United States of technical data to a foreign person is deemed to be a reexport to all countries in which the foreign person has held or holds citizenship or holds permanent residency.",120.51,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.52,Retransfer,"(a) Retransfer, except as set forth in § 120.54 or § 126.16 or § 126.17 of this subchapter, means: (1) A change in end-use or end-user, or a temporary transfer to a third party, of a defense article within the same foreign country; or (2) A release of technical data to a foreign person who is a citizen or permanent resident of the country where the release or transfer takes place. (b) [Reserved]",120.52,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.53,Temporary import,"(a) Temporary import, except as set forth in § 120.54, means bringing into the United States from a foreign country any defense article that is: (1) To be returned to the country from which it was shipped or taken; or (2) Any defense article that is in transit to another foreign destination. (b) Temporary import includes withdrawal of a defense article from a customs bonded warehouse or foreign trade zone for the purpose of returning it to the country of origin or country from which it was shipped or for shipment to another foreign destination. (c) Permanent imports are regulated by the Attorney General under the direction of the Department of Justice's Bureau of Alcohol, Tobacco, Firearms, and Explosives (see 27 CFR parts 447, 478, 479, and 555).",120.53,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.54,"Activities that are not exports, reexports, retransfers, or temporary imports","(a) The following activities are not export, reexports, retransfers, or temporary imports: (1) Launching a spacecraft, launch vehicle, payload, or other item into space; (2) Transmitting or otherwise transferring technical data to a U.S. person in the United States from a person in the United States; (3) Transmitting or otherwise transferring within the same foreign country technical data between or among only U.S. persons, so long as the transmission or transfer does not result in a release to a foreign person or transfer to a person prohibited from receiving the technical data; (4) Shipping, moving, or transferring defense articles between or among the United States as defined in § 120.60; (5) Sending, taking, or storing technical data that is: (i) Unclassified; (ii) Secured using end-to-end encryption; (iii) Secured using cryptographic modules (hardware or software) compliant with the Federal Information Processing Standards Publication 140-2 (FIPS 140-2) or its successors, supplemented by software implementation, cryptographic key management and other procedures and controls that are in accordance with guidance provided in current U.S. National Institute for Standards and Technology (NIST) publications, or by other cryptographic means that provide security strength that is at least comparable to the minimum 128 bits of security strength achieved by the Advanced Encryption Standard (AES-128); and (iv) Not intentionally sent to a person in or stored in a country proscribed in § 126.1 of this subchapter; and (v) Not sent from a country proscribed in § 126.1 of this subchapter; (6) The taking of a defense article subject to the reexport or retransfer requirements of this subchapter on a deployment or training exercise outside a previously approved country, provided: (i) There is no change in end-use or end-user with respect to the defense article; (ii) The defense article is transported by and remains in the possession of the previously authorized armed forces of a foreign government or United Nations military personnel; and (iii) The defense article is not being exported from or temporarily imported into the United States; and (7) The transfer of a foreign defense article previously imported into the United States that has since been exported from the United States pursuant to a license or other approval under this subchapter, provided: (i) The foreign defense article was not modified, enhanced, upgraded, or otherwise altered or improved in a manner that changed the basic performance of the item prior to its return to the country from which it was imported or a third country; (ii) A U.S.-origin defense article was not incorporated into the foreign defense article; and (iii) The defense article is not being exported from or temporarily imported into the United States. (b) (1) For purposes of this section, end-to-end encryption is defined as: (i) The provision of cryptographic protection of data, such that the data is not in an unencrypted form, between an originator (or the originator's in-country security boundary) and an intended recipient (or the recipient’s in-country security boundary); and (ii) The means of decryption are not provided to any third party. (2) The originator and the intended recipient may be the same person. The intended recipient must be the originator, a U.S. person in the United States, or a person otherwise authorized to receive the technical data, such as by a license or other approval pursuant to this subchapter. (c) The ability to access technical data in encrypted form that satisfies the criteria set forth in paragraph (a)(5) of this section does not constitute the release or export of such technical data.",120.54,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.55,Access information,"Access Information is information that allows access to encrypted technical data subject to this subchapter in an unencrypted form. Examples include decryption keys, network access code, and passwords.",120.55,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.56,Release,"(a) Release. Technical data is released through: (1) Visual or other inspection by foreign persons of a defense article that reveals technical data to a foreign person; (2) Oral or written exchanges with foreign persons of technical data in the United States or abroad; (3) The use of access information to cause or enable a foreign person, including yourself, to access, view, or possess unencrypted technical data; or (4) The use of access information to cause technical data outside of the United States to be in unencrypted form. (b) Provision of access information. Authorization for a release of technical data to a foreign person is required to provide access information to that foreign person, if that access information can cause or enable access, viewing, or possession of the unencrypted technical data.",120.56,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.57,Authorization types,"(a) License means a document bearing the word “license” issued by the Deputy Assistant Secretary of State for Defense Trade Controls, or authorized designee, that permits the export, reexport, retransfer, temporary import, or brokering of a specific defense article or defense service controlled by this subchapter. (b) Other approval means a document, other than a license, issued by the Deputy Assistant Secretary of State for Defense Trade Controls, or authorized designee, that approves an activity regulated by this subchapter (e.g., approvals for brokering activities or retransfer authorizations), or the use of an exemption to the license requirements as described in this subchapter. (c) Exemption means a provision of this subchapter that authorizes the export, reexport, retransfer, temporary import, or brokering of a specific defense article or defense service without a license or other written authorization. (d) Manufacturing license agreement means an agreement (e.g., contract), approved by the Directorate of Defense Trade Controls (DDTC), whereby a U.S. person grants a foreign person an authorization to manufacture defense articles abroad and which involves or contemplates: (1) The export of technical data or defense articles or the performance of a defense service; or (2) The use by the foreign person of technical data or defense articles previously exported by the U.S. person. (e) Technical assistance agreement means an agreement (e.g., contract), approved by DDTC, for the performance of a defense service(s) or the disclosure of technical data, as opposed to an agreement granting a right or license to manufacture defense articles. Assembly of defense articles is included under this section, provided production rights or manufacturing know-how are not conveyed. Should such rights be transferred, paragraph (d) of this section is applicable. (f) Distribution agreement means an agreement (e.g., a contract), approved by DDTC, to establish a warehouse or distribution point abroad for defense articles exported from the United States for subsequent distribution to entities in an approved sales territory.",120.57,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.58,Subject to the Export Administration Regulations (EAR),Items subject to the EAR are those items listed on the Commerce Control List in part 774 of the Export Administration Regulations (EAR) and all other items that meet the definition of that term in accordance with § 734.3 of the EAR. The EAR is found at 15 CFR parts 730 through 774.,120.58,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.60,United States,"United States, when used in the geographical sense, includes the several states, the Commonwealth of Puerto Rico, the insular possessions of the United States, the District of Columbia, the Commonwealth of the Northern Mariana Islands, any territory or possession of the United States, and any territory or possession over which the United States exercises any powers of administration, legislation, and jurisdiction.",120.60,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.61,Person,"Person means a natural person as well as a corporation, business association, partnership, society, trust, or any other entity, organization or group, including governmental entities. If a provision in this subchapter does not refer exclusively to a foreign person or U.S. person, then it refers to both.",120.61,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.62,U.S. person,"U.S. person means a person who is a lawful permanent resident as defined by 8 U.S.C. 1101(a)(20) or who is a protected individual as defined by 8 U.S.C. 1324b(a)(3). It also means any corporation, business association, partnership, society, trust, or any other entity, organization, or group that is incorporated to do business in the United States. It also includes any governmental (Federal, state, or local) entity. It does not include any foreign person as defined in § 120.63.",120.62,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.63,Foreign person,"Foreign person means any natural person who is not a lawful permanent resident as defined 8 U.S.C. 1101(a)(20) or who is not a protected individual as defined by 8 U.S.C. 1324b(a)(3). It also means any foreign corporation, business association, partnership, trust, society, or any other entity or group that is not incorporated or organized to do business in the United States, as well as international organization, foreign governments, and any agency or subdivision of foreign governments (e.g., diplomatic missions).",120.63,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.64,Regular employee,"(a) Regular employee means: (1) An individual permanently and directly employed by the company; or (2) An individual in a long term contractual relationship with the company where the individual works at the company’s facilities, works under the company’s direction and control, works full time and exclusively for the company, and executes nondisclosure certifications for the company, and where the staffing agency that has seconded the individual has no role in the work the individual performs (other than providing that individual for that work) and the staffing agency would not have access to any controlled technology (other than where specifically authorized by a license). (b) [Reserved]",120.64,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.65,Foreign ownership and foreign control,(a) Foreign ownership means more than 50 percent of the outstanding voting securities of the firm are owned by one or more foreign persons. (b) Foreign control means one or more foreign persons have the authority or ability to establish or direct the general policies or day-to-day operations of the firm. Foreign control is presumed to exist where foreign persons own 25 percent or more of the outstanding voting securities unless one U.S. person controls an equal or larger percentage.,120.65,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.66,Affiliate,"(a) Affiliate (of a registrant) means a person that directly, or indirectly through one or more intermediaries, controls, or is controlled by, or is under common control with, such registrant. (b) For purposes of this section, “control” means having the authority or ability to establish or direct the general policies or day-to-day operations of the firm. Control is rebuttably presumed to exist where there is ownership of 25 percent or more of the outstanding voting securities if no other person controls an equal or larger percentage.",120.66,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.67,Empowered official,"(a) Empowered official means a U.S. person who: (1) Is directly employed by the applicant or a subsidiary in a position having authority for policy or management within the applicant organization; and (2) Is legally empowered in writing by the applicant to sign license applications or other requests for approval on behalf of the applicant; and (3) Understands the provisions and requirements of the various export control statutes and regulations, and the criminal liability, civil liability, and administrative penalties for violating the Arms Export Control Act and the International Traffic in Arms Regulations in this subchapter; and (4) Has the independent authority to: (i) Inquire into any aspect of a proposed export, temporary import, or brokering activity by the applicant; (ii) Verify the legality of the transaction and the accuracy of the information to be submitted; and (iii) Refuse to sign any license application or other request for approval without prejudice or other adverse recourse. (b) For the purposes of a broker who is a foreign person, the empowered official may be a foreign person who otherwise meets the criteria for an empowered official in paragraph (a) of this section.",120.67,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.68,Party to the export,"(a) Party to the export means: (1) The chief executive officer, president, vice-presidents, other senior officers and officials (e.g., comptroller, treasurer, general counsel), and any member of the board of directors of the applicant; (2) The freight forwarders or designated exporting agent of the applicant; and (3) Any consignee or end-user of any item to be exported. (b) [Reserved]",120.68,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.69,Port Directors,"Port Directors means the U.S. Customs and Border Protection Port Directors at the U.S. Customers and Border Protection Ports of Entry (other than the port of New York, New York where their title is the Area Directors).",120.69,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-130.2,Applicant,"Applicant means any person who applies to the Directorate of Defense Trade Controls for any license or approval required under this subchapter for the export, reexport, or retransfer of defense articles or defense services valued in an amount of $500,000 or more which are being sold commercially to or for the use of the armed forces of a foreign country or international organization. This term also includes a person to whom the required license or approval has been given.",130.2,PART-130,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-130.3,Armed forces,"Armed forces means the army, navy, marine, air force, or coast guard, as well as the national guard and national police, of a foreign country. This term also includes any military unit or military personnel organized under or assigned to an international organization.",130.3,PART-130,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-130.4,Defense articles and defense services,"Defense articles and defense services have the meaning given those terms in paragraphs (3), (4) and (7) of section 47 of the Arms Export Control Act (22 U.S.C. 2794 (3), (4), and (7)). When used with reference to commercial sales, the definitions in §§ 120.31 and 120.32 of this subchapter apply.",130.4,PART-130,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
