supplemententry_id,supplement,usml_entry,exclusion_text,excluded_canada_126_5,excluded_australia_126_16,excluded_uk_126_17,part_id,source_document
SUPP1-076,Supplement No. 1 to Part 126,XV(c),Defense articles and services specific to GPS/PPS security X modules,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-077,Supplement No. 1 to Part 126,XV(c),Defense articles controlled in USML Category XV(c) X except end-items for end-use by the Federal Government of Canada exported directly or indirectly through a Canadian- registered person,X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-078,Supplement No. 1 to Part 126,XV(e),Anti-jam systems with the ability to respond to incoming X interference by adaptively reducing antenna gain (nulling) in the direction of the interference,X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-079,Supplement No. 1 to Part 126,XV(e)(1),"Antennas having any of the following: X a. Aperture (overall dimension of the radiating portions of the antenna) greater than 30 feet; b. All sidelobes less than or equal to −35 dB relative to the peak of the main beam; or c. Designed, modified, or configured to provide coverage area on the surface of the earth less than 200 nautical miles in diameter, where “coverage area” is defined as that area on the surface of the earth that is illuminated by the main beam width of the antenna (which is the angular distance between half power points of the beam)",X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-080,Supplement No. 1 to Part 126,XV(e)(12),"Propulsion systems which permit acceleration of the X satellite on-orbit (i.e., after mission orbit injection) at rates greater than 0.1 g",X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-081,Supplement No. 1 to Part 126,XV(e)(10),Attitude determination and control systems designed to X provide spacecraft pointing determination and control or payload pointing system control better than 0.02 degrees per axis,X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-082,Supplement No. 1 to Part 126,XV(e),"All parts, components, accessories, attachments, X equipment, or systems for USML Category XV(a) items, except when specially designed for use in commercial communications satellites",X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-083,Supplement No. 1 to Part 126,XV(e),"Defense articles and services specific to spacecraft, ground X control station systems (only for spacecraft control as controlled in USML Category XV(b)), subsystems, components, parts, accessories, attachments, and associated equipment controlled in Category XV",,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-084,Supplement No. 1 to Part 126,XV(f),Technical data and defense services directly related to the X other defense articles excluded from the exemptions for,X,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-085,Supplement No. 1 to Part 126,XVI,Defense articles and services specific to design and testing X of nuclear weapons,X,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-086,Supplement No. 1 to Part 126,XVII,"Classified articles, and technical data and defense services X relating thereto, not elsewhere enumerated. See Note 1",X,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-087,Supplement No. 1 to Part 126,XVIII,"Defense articles and services specific to directed energy X weapon systems XIX(e), Defense articles and services specific to gas turbine engine X XIX(f)(1), hot section components and to Full Authority Digital XIX(f)(2), Engine Control Systems (FADEC) or Digital Electronic",,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-088,Supplement No. 1 to Part 126,XIX(g),Engine Controls (DEEC). See Note 8,,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-089,Supplement No. 1 to Part 126,XIX(g),Technical data and defense services for gas turbine engine X hot sections. (This does not include hardware). See Note 8,X,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-090,Supplement No. 1 to Part 126,XX,"Defense articles and services related to submersible vessels, X oceanographic, and associated equipment",X,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-091,Supplement No. 1 to Part 126,XX,Defense articles and services specific to naval technology X and systems relating to acoustic spectrum control and awareness. See Note 10,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-092,Supplement No. 1 to Part 126,XX,"Defense articles specific to cryogenic equipment, and X specially designed components or accessories therefor, specially designed or configured to be installed in a vehicle for military ground, marine, airborne or space applications, capable of operating while in motion and of producing or maintaining temperatures below 103 K (−170 °C)",,,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-093,Supplement No. 1 to Part 126,XX,"Defense articles specific to superconductive electrical X equipment (rotating machinery and transformers) specially designed or configured to be installed in a vehicle for military ground, marine, airborne, or space applications and capable of operating while in motion. This, however, does not include direct current hybrid homopolar generators that have single-pole normal metal armatures which rotate in a magnetic field produced by superconducting windings, provided those windings are the only superconducting component in the generator",,,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-094,Supplement No. 1 to Part 126,XX(a),Nuclear powered vessels.,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-095,Supplement No. 1 to Part 126,XX(b),Defense articles and services specific to naval nuclear X propulsion equipment. See Note 7,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-096,Supplement No. 1 to Part 126,XX(c),Defense articles and services specific to submarine combat X control systems,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-097,Supplement No. 1 to Part 126,XX(d),Software source code related to USML Category XX(a). X See Note 4,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-098,Supplement No. 1 to Part 126,XXI,"Articles, and technical data and defense services relating X thereto, not otherwise enumerated on the USML, but placed in this category by the Director, Office of Defense Trade Controls Policy",,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
