source_id,target_id,rel_type,citation,source_document
sra_s1_q2_o3,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q2_o3,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q3_o1,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q3_o1,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q3_o1,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q3_o1,fw_hicp,CITES,TV1 - Practice #10,DTOP-OLD
sra_s1_q3_o2,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q3_o2,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q3_o2,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q3_o2,fw_hicp,CITES,TV1 - Practice #10,DTOP-OLD
sra_s1_q3_o3,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q3_o3,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q3_o3,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q3_o3,fw_hicp,CITES,TV1 - Practice #10,DTOP-OLD
sra_s1_q3_o4,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q3_o4,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q3_o4,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q3_o4,fw_hicp,CITES,TV1 - Practice #10,DTOP-OLD
sra_s1_q3_o5,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q3_o5,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q3_o5,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q3_o5,fw_hicp,CITES,TV1 - Practice #10,DTOP-OLD
sra_s1_q4_o1,fw_hipaa,CITES,N/A,DTOP-OLD
sra_s1_q4_o1,fw_nist_csf,CITES,"ID.RA, PR.DS, ID.AM",DTOP-OLD
sra_s1_q4_o1,fw_hph_cpg,CITES,"1, 11",DTOP-OLD
sra_s1_q4_o1,fw_hicp,CITES,"TV1 - Practice #4, 5",DTOP-OLD
sra_s1_q4_o2,fw_hipaa,CITES,N/A,DTOP-OLD
sra_s1_q4_o2,fw_nist_csf,CITES,"ID.RA, PR.DS, ID.AM",DTOP-OLD
sra_s1_q4_o2,fw_hph_cpg,CITES,"1, 11",DTOP-OLD
sra_s1_q4_o2,fw_hicp,CITES,"TV1 - Practice #4, 5",DTOP-OLD
sra_s1_q4_o3,fw_hipaa,CITES,N/A,DTOP-OLD
sra_s1_q4_o3,fw_nist_csf,CITES,"ID.RA, PR.DS, ID.AM",DTOP-OLD
sra_s1_q4_o3,fw_hph_cpg,CITES,"1, 11",DTOP-OLD
sra_s1_q4_o3,fw_hicp,CITES,"TV1 - Practice #4, 5",DTOP-OLD
sra_s1_q4_o4,fw_hipaa,CITES,N/A,DTOP-OLD
sra_s1_q4_o4,fw_nist_csf,CITES,"ID.RA, PR.DS, ID.AM",DTOP-OLD
sra_s1_q4_o4,fw_hph_cpg,CITES,"1, 11",DTOP-OLD
sra_s1_q4_o4,fw_hicp,CITES,"TV1 - Practice #4, 5",DTOP-OLD
sra_s1_q5_o1,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q5_o1,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, GV.RM",DTOP-OLD
sra_s1_q5_o1,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q5_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q5_o2,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q5_o2,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, GV.RM",DTOP-OLD
sra_s1_q5_o2,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q5_o2,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q5_o3,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q5_o3,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, GV.RM",DTOP-OLD
sra_s1_q5_o3,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q5_o3,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q5_o4,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q5_o4,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, GV.RM",DTOP-OLD
sra_s1_q5_o4,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q5_o4,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q5_o5,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q5_o5,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, GV.RM",DTOP-OLD
sra_s1_q5_o5,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q5_o5,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q6_o1,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q6_o1,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q6_o1,fw_hph_cpg,CITES,"1, 11",DTOP-OLD
sra_s1_q6_o1,fw_hicp,CITES,"TV1 - Practice # 4, 5, 9",DTOP-OLD
sra_s1_q6_o2,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q6_o2,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q6_o2,fw_hph_cpg,CITES,"1, 11",DTOP-OLD
sra_s1_q6_o2,fw_hicp,CITES,"TV1 - Practice # 4, 5, 9",DTOP-OLD
sra_s1_q6_o3,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q6_o3,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q6_o3,fw_hph_cpg,CITES,"1, 11",DTOP-OLD
sra_s1_q6_o3,fw_hicp,CITES,"TV1 - Practice # 4, 5, 9",DTOP-OLD
sra_s1_q6_o4,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q6_o4,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q6_o4,fw_hph_cpg,CITES,"1, 11",DTOP-OLD
sra_s1_q6_o4,fw_hicp,CITES,"TV1 - Practice # 4, 5, 9",DTOP-OLD
sra_s1_q6_o5,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q6_o5,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q6_o5,fw_hph_cpg,CITES,"1, 11",DTOP-OLD
sra_s1_q6_o5,fw_hicp,CITES,"TV1 - Practice # 4, 5, 9",DTOP-OLD
sra_s1_q7_o1,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q7_o1,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI",DTOP-OLD
sra_s1_q7_o1,fw_hph_cpg,CITES,"1, 16",DTOP-OLD
sra_s1_q7_o1,fw_hicp,CITES,TV1 - Practice # 7,DTOP-OLD
sra_s1_q7_o2,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q7_o2,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI",DTOP-OLD
sra_s1_q7_o2,fw_hph_cpg,CITES,"1, 16",DTOP-OLD
sra_s1_q7_o2,fw_hicp,CITES,TV1 - Practice # 7,DTOP-OLD
sra_s1_q7_o3,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q7_o3,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI",DTOP-OLD
sra_s1_q7_o3,fw_hph_cpg,CITES,"1, 16",DTOP-OLD
sra_s1_q7_o3,fw_hicp,CITES,TV1 - Practice # 7,DTOP-OLD
sra_s1_q7_o4,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q7_o4,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI",DTOP-OLD
sra_s1_q7_o4,fw_hph_cpg,CITES,"1, 16",DTOP-OLD
sra_s1_q7_o4,fw_hicp,CITES,TV1 - Practice # 7,DTOP-OLD
sra_s1_q8_o1,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q8_o1,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI, GV.RR, GV.PO, GV.OV, PR.PS",DTOP-OLD
sra_s1_q8_o1,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q8_o1,fw_hicp,CITES,TV1 - Practice # 7,DTOP-OLD
sra_s1_q8_o2,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q8_o2,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI, GV.RR, GV.PO, GV.OV, PR.PS",DTOP-OLD
sra_s1_q8_o2,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q8_o2,fw_hicp,CITES,TV1 - Practice # 7,DTOP-OLD
sra_s1_q8_o3,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q8_o3,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI, GV.RR, GV.PO, GV.OV, PR.PS",DTOP-OLD
sra_s1_q8_o3,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q8_o3,fw_hicp,CITES,TV1 - Practice # 7,DTOP-OLD
sra_s1_q9_o1,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q9_o1,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI, PR.PS",DTOP-OLD
sra_s1_q9_o1,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q9_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q9_o2,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q9_o2,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI, PR.PS",DTOP-OLD
sra_s1_q9_o2,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q9_o2,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q9_o3,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q9_o3,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI, PR.PS",DTOP-OLD
sra_s1_q9_o3,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q9_o3,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q10_o1,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q10_o1,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI",DTOP-OLD
sra_s1_q10_o1,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q10_o1,fw_hicp,CITES,"TV1, Practice # 10",DTOP-OLD
sra_s1_q10_o2,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q10_o2,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI",DTOP-OLD
sra_s1_q10_o2,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q10_o2,fw_hicp,CITES,"TV1, Practice # 10",DTOP-OLD
sra_s1_q10_o3,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q10_o3,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI",DTOP-OLD
sra_s1_q10_o3,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q10_o3,fw_hicp,CITES,"TV1, Practice # 10",DTOP-OLD
sra_s1_q10_o4,fw_hipaa,CITES,§164.308(a)(1)(ii)(B),DTOP-OLD
sra_s1_q10_o4,fw_nist_csf,CITES,"ID.RA, GV.RM, RS.MI",DTOP-OLD
sra_s1_q10_o4,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q10_o4,fw_hicp,CITES,"TV1, Practice # 10",DTOP-OLD
sra_s2_q1_o1,fw_hipaa,CITES,§164.316(a),DTOP-OLD
sra_s2_q1_o1,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS",DTOP-OLD
sra_s2_q1_o1,fw_hph_cpg,CITES,"1, 14, 15",DTOP-OLD
sra_s2_q1_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q1_o2,fw_hipaa,CITES,§164.316(a),DTOP-OLD
sra_s2_q1_o2,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS",DTOP-OLD
sra_s2_q1_o2,fw_hph_cpg,CITES,"1, 14, 15",DTOP-OLD
sra_s2_q1_o2,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q1_o3,fw_hipaa,CITES,§164.316(a),DTOP-OLD
sra_s2_q1_o3,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS",DTOP-OLD
sra_s2_q1_o3,fw_hph_cpg,CITES,"1, 14, 15",DTOP-OLD
sra_s2_q1_o3,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q2_o1,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q2_o1,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q2_o1,fw_hph_cpg,CITES,"7, 14, 15, 19",DTOP-OLD
sra_s2_q2_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q2_o2,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q2_o2,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q2_o2,fw_hph_cpg,CITES,"7, 14, 15, 19",DTOP-OLD
sra_s2_q2_o2,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q2_o3,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q2_o3,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q2_o3,fw_hph_cpg,CITES,"7, 14, 15, 19",DTOP-OLD
sra_s2_q2_o3,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q2_o4,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q2_o4,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q2_o4,fw_hph_cpg,CITES,"7, 14, 15, 19",DTOP-OLD
sra_s2_q2_o4,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q2_o5,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q2_o5,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q2_o5,fw_hph_cpg,CITES,"7, 14, 15, 19",DTOP-OLD
sra_s2_q2_o5,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q3_o1,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q3_o1,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q3_o1,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q3_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q3_o2,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q3_o2,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q3_o2,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q3_o2,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q3_o3,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q3_o3,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q3_o3,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q3_o3,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q4_o1,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q4_o1,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q4_o1,fw_hph_cpg,CITES,"7, 15, 19",DTOP-OLD
sra_s2_q4_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q4_o2,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q4_o2,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q4_o2,fw_hph_cpg,CITES,"7, 15, 19",DTOP-OLD
sra_s2_q4_o2,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q4_o3,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q4_o3,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q4_o3,fw_hph_cpg,CITES,"7, 15, 19",DTOP-OLD
sra_s2_q4_o3,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q4_o4,fw_hipaa,CITES,§164.316(b)(2)(iii),DTOP-OLD
sra_s2_q4_o4,fw_nist_csf,CITES,"GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM",DTOP-OLD
sra_s2_q4_o4,fw_hph_cpg,CITES,"7, 15, 19",DTOP-OLD
sra_s2_q4_o4,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q5_o1,fw_hipaa,CITES,§164.316(b)(1)(i) & (ii),DTOP-OLD
sra_s2_q5_o1,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q5_o1,fw_hph_cpg,CITES,"1, 15, 19",DTOP-OLD
sra_s2_q5_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q5_o2,fw_hipaa,CITES,§164.316(b)(1)(i) & (ii),DTOP-OLD
sra_s2_q5_o2,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q5_o2,fw_hph_cpg,CITES,"1, 15, 19",DTOP-OLD
sra_s2_q5_o2,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q5_o3,fw_hipaa,CITES,§164.316(b)(1)(i) & (ii),DTOP-OLD
sra_s2_q5_o3,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q5_o3,fw_hph_cpg,CITES,"1, 15, 19",DTOP-OLD
sra_s2_q5_o3,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q5_o4,fw_hipaa,CITES,§164.316(b)(1)(i) & (ii),DTOP-OLD
sra_s2_q5_o4,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q5_o4,fw_hph_cpg,CITES,"1, 15, 19",DTOP-OLD
sra_s2_q5_o4,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q6_o1,fw_hipaa,CITES,§164.316(b)(2)(i),DTOP-OLD
sra_s2_q6_o1,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q6_o1,fw_hph_cpg,CITES,"7, 18",DTOP-OLD
sra_s2_q6_o1,fw_hicp,CITES,N/A,DTOP-OLD
sra_s2_q6_o2,fw_hipaa,CITES,§164.316(b)(2)(i),DTOP-OLD
sra_s2_q6_o2,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q6_o2,fw_hph_cpg,CITES,"7, 18",DTOP-OLD
sra_s2_q6_o2,fw_hicp,CITES,N/A,DTOP-OLD
sra_s2_q6_o3,fw_hipaa,CITES,§164.316(b)(2)(i),DTOP-OLD
sra_s2_q6_o3,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q6_o3,fw_hph_cpg,CITES,"7, 18",DTOP-OLD
sra_s2_q6_o3,fw_hicp,CITES,N/A,DTOP-OLD
sra_s2_q6_o4,fw_hipaa,CITES,§164.316(b)(2)(i),DTOP-OLD
sra_s2_q6_o4,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q6_o4,fw_hph_cpg,CITES,"7, 18",DTOP-OLD
sra_s2_q6_o4,fw_hicp,CITES,N/A,DTOP-OLD
sra_s2_q7_o1,fw_hipaa,CITES,§164.316(b)(2)(ii),DTOP-OLD
sra_s2_q7_o1,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q7_o1,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q7_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q7_o2,fw_hipaa,CITES,§164.316(b)(2)(ii),DTOP-OLD
sra_s2_q7_o2,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q7_o2,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q7_o2,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q7_o3,fw_hipaa,CITES,§164.316(b)(2)(ii),DTOP-OLD
sra_s2_q7_o3,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q7_o3,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q7_o3,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q7_o4,fw_hipaa,CITES,§164.316(b)(2)(ii),DTOP-OLD
sra_s2_q7_o4,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS",DTOP-OLD
sra_s2_q7_o4,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q7_o4,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q8_o1,fw_hipaa,CITES,§164.316(b)(2)(ii),DTOP-OLD
sra_s2_q8_o1,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS, ID.RA",DTOP-OLD
sra_s2_q8_o1,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q8_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q8_o2,fw_hipaa,CITES,§164.316(b)(2)(ii),DTOP-OLD
sra_s2_q8_o2,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS, ID.RA",DTOP-OLD
sra_s2_q8_o2,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q8_o2,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q8_o3,fw_hipaa,CITES,§164.316(b)(2)(ii),DTOP-OLD
sra_s2_q8_o3,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS, ID.RA",DTOP-OLD
sra_s2_q8_o3,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q8_o3,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s2_q8_o4,fw_hipaa,CITES,§164.316(b)(2)(ii),DTOP-OLD
sra_s2_q8_o4,fw_nist_csf,CITES,"GV.OC, GV.RM, PR.PS, ID.RA",DTOP-OLD
sra_s2_q8_o4,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s2_q8_o4,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s3_q1_o1,fw_hipaa,CITES,§164.308(a)(2),DTOP-OLD
sra_s3_q1_o1,fw_nist_csf,CITES,"PR.AT, DE.AE, GV.RR, RS.CO, PR.PS, ID.AM",DTOP-OLD
sra_s3_q1_o1,fw_hph_cpg,CITES,4,DTOP-OLD
sra_s3_q1_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s3_q1_o2,fw_hipaa,CITES,§164.308(a)(2),DTOP-OLD
sra_s3_q1_o2,fw_nist_csf,CITES,"PR.AT, DE.AE, GV.RR, RS.CO, PR.PS, ID.AM",DTOP-OLD
