answeroption_id,question_id,ordinal,text,education,reference,next,source_document
sra_s1_q3_o5,sra_s1_q3,5,I don't know.,"Consider looking into whether your organization reviews and/or updates your SRA periodically, or in response to environmental or operational changes, or security incidents.","HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1  
HICP: TV1 - Practice #10",Q4,DTOP-OLD
sra_s1_q4_o1,sra_s1_q4,1,"Yes. Our SRA covers all information systems that contain, process, or transmit ePHI.","This is the most effective option to protect the confidentiality, integrity, and availability of ePHI. A comprehensive security risk assessment should include all information systems that contain, process, or transmit ePHI. Maintain a complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization to facilitate the implementation of optimal security controls.","HIPAA: N/A 
NIST CSF: ID.RA, PR.DS, ID.AM 
HPH CPG: 1, 11 
HICP: TV1 - Practice #4, 5",Q6,DTOP-OLD
sra_s1_q4_o2,sra_s1_q4,2,No.,"Include all information systems that contain, process, or transmit ePHI in your security risk assessment. In addition, document your systems in a complete inventory. Maintain a complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization to facilitate the implementation of optimal security controls.","HIPAA: N/A 
NIST CSF: ID.RA, PR.DS, ID.AM 
HPH CPG: 1, 11 
HICP: TV1 - Practice #4, 5",Q6,DTOP-OLD
sra_s1_q4_o3,sra_s1_q4,3,I don't know.,"Include all information systems that contain, process, or transmit ePHI in your security risk assessment. In addition, document your systems in a complete inventory. Maintain a complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization to facilitate the implementation of optimal security controls.","HIPAA: N/A 
NIST CSF: ID.RA, PR.DS, ID.AM 
HPH CPG: 1, 11 
HICP: TV1 - Practice #4, 5",Q6,DTOP-OLD
sra_s1_q4_o4,sra_s1_q4,4,Other.,"Include all information systems that contain, process, or transmit ePHI in your security risk assessment. In addition, document your systems in a complete inventory. Maintain a complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization to facilitate the implementation of optimal security controls.","HIPAA: N/A 
NIST CSF: ID.RA, PR.DS, ID.AM 
HPH CPG: 1, 11 
HICP: TV1 - Practice #4, 5",Q6,DTOP-OLD
sra_s1_q5_o1,sra_s1_q5,1,We review our practice's Security Policies and Procedures and keep up to date on relevant guidance regarding protection of ePHI through listservs or other security publications.,"Security risk analysis is a foundational component of identifying and assessing ePHI risks and vulnerabilities in your practice. An accurate and thorough security risk assessment should be performed, reviewed, and updated periodically or in response to operational changes, security incidents, or the occurrence of a significant event. Additionally, consistently monitoring changes or updates to cybersecurity guidance related to ePHI protection will ensure you are aware of current requirements.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",END,DTOP-OLD
sra_s1_q5_o2,sra_s1_q5,2,We review the current regulations and do our best to meet them.,"Security risk analysis is a foundational component of identifying and assessing ePHI risks and vulnerabilities in your practice. An accurate and thorough security risk assessment should be performed, reviewed, and updated periodically or in response to operational changes, security incidents, or the occurrence of a significant event. Additionally, consistently monitoring changes or updates to cybersecurity guidance related to ePHI protection will ensure you are aware of current requirements.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",END,DTOP-OLD
sra_s1_q5_o3,sra_s1_q5,3,We try to follow the best practices for securing our ePHI but we are not sure we're meeting all the HIPAA security regulations.,"Security risk analysis is a foundational component of identifying and assessing ePHI risks and vulnerabilities in your practice. An accurate and thorough security risk assessment should be performed, reviewed, and updated periodically or in response to operational changes, security incidents, or the occurrence of a significant event. Additionally, consistently monitoring changes or updates to cybersecurity guidance related to ePHI protection will ensure you are aware of current requirements.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",END,DTOP-OLD
sra_s1_q5_o4,sra_s1_q5,4,I don't know.,"Security risk analysis is a foundational component of identifying and assessing ePHI risks and vulnerabilities in your practice. An accurate and thorough security risk assessment should be performed, reviewed, and updated periodically or in response to operational changes, security incidents, or the occurrence of a significant event. Additionally, consistently monitoring changes or updates to cybersecurity guidance related to ePHI protection will ensure you are aware of current requirements.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",END,DTOP-OLD
sra_s1_q5_o5,sra_s1_q5,5,Other.,"Security risk analysis is a foundational component of identifying and assessing ePHI risks and vulnerabilities in your practice. An accurate and thorough security risk assessment should be performed, reviewed, and updated periodically or in response to operational changes, security incidents, or the occurrence of a significant event. Additionally, consistently monitoring changes or updates to cybersecurity guidance related to ePHI protection will ensure you are aware of current requirements.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",END,DTOP-OLD
sra_s1_q6_o1,sra_s1_q6,1,"Our SRA documentation identifies and assesses potential threats and vulnerabilities (both technical and non-technical) to the confidentiality, integrity, and availability of all ePHI we create, receive, maintain, or transmit. Impact and likelihood ratings are assigned and risks determined. This allows us to understand severity. We develop corrective action plans as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe.","This is the most effective option to protect the confidentiality, integrity, and availability of ePHI. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data. IT/OT asset management is critical to ensuring that the appropriate cyber hygiene controls are maintained across all assets in your organization, including medical device management.","HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",Q7,DTOP-OLD
sra_s1_q6_o2,sra_s1_q6,2,"Our SRA documentation identifies and assesses potential threats and vulnerabilities (both technical and non-technical) to the confidentiality, integrity, and availability of all ePHI we create, receive, maintain, or transmit. Impact and likelihood ratings are assigned and risk ratings determined. This allows us to understand severity. We do not include corrective action plans.","Corrective action plans should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data. IT/OT asset management is critical to ensuring that the appropriate cyber hygiene controls are maintained across all assets in your organization, including medical device management.","HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",Q7,DTOP-OLD
sra_s1_q6_o3,sra_s1_q6,3,"Our SRA documentation identifies and assesses potential threats and vulnerabilities but does not include impact and likelihood ratings, severity ratings, or corrective action plans.","Threats and vulnerabilities should be documented and given impact and likelihood ratings. This will help determine severity and is the best way to safeguard and protect ePHI from potential threats and vulnerabilities. Corrective action plans should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data. IT/OT asset management is critical to ensuring that the appropriate cyber hygiene controls are maintained across all assets in your organization, including medical device management.","HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",Q7,DTOP-OLD
sra_s1_q6_o4,sra_s1_q6,4,I don't know.,"Threats and vulnerabilities should be documented and given impact and likelihood ratings. This will help determine severity and is the best way to safeguard and protect ePHI from potential threats and vulnerabilities. Corrective action plans should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data. IT/OT asset management is critical to ensuring that the appropriate cyber hygiene controls are maintained across all assets in your organization, including medical device management.","HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",Q7,DTOP-OLD
sra_s1_q6_o5,sra_s1_q6,5,Other.,"Threats and vulnerabilities should be documented and given impact and likelihood ratings. This will help determine severity and is the best way to safeguard and protect ePHI from potential threats and vulnerabilities. Corrective action plans should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data. IT/OT asset management is critical to ensuring that the appropriate cyber hygiene controls are maintained across all assets in your organization, including medical device management.","HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",Q7,DTOP-OLD
sra_s1_q7_o1,sra_s1_q7,1,"Yes, we respond. We also maintain supporting documentation of our response.","This is the most effective option. Threats and vulnerabilities should be documented within your SRA and given impact and likelihood ratings to determine severity. Safeguards protecting ePHI from these threats and vulnerabilities should be evaluated for effectiveness. Corrective action plans with plan of action milestones should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Risks should be formally deemed ""accepted"" only when appropriate. Conduct routine patching of security flaws in servers, applications (including web applications), and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1, 16 
HICP: TV1 - Practice # 7",Q8,DTOP-OLD
sra_s1_q7_o2,sra_s1_q7,2,"Yes, we respond, but we do not maintain documentation of our response.","Threats and vulnerabilities should be documented within your SRA and given impact and likelihood ratings to determine severity. Safeguards protecting ePHI from these threats and vulnerabilities should be evaluated for effectiveness. Corrective action plans with plan of action milestones should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Risks should be formally deemed ""accepted"" only when appropriate. Conduct routine patching of security flaws in servers, applications (including web applications), and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1, 16 
HICP: TV1 - Practice # 7",Q8,DTOP-OLD
sra_s1_q7_o3,sra_s1_q7,3,"No, we don't have a process to respond to identified threats and vulnerabilities.","Threats and vulnerabilities should be documented within your SRA and given impact and likelihood ratings to determine severity. Safeguards protecting ePHI from these threats and vulnerabilities should be evaluated for effectiveness. Corrective action plans with plan of action milestones should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Risks should be formally deemed ""accepted"" only when appropriate. Conduct routine patching of security flaws in servers, applications (including web applications), and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1, 16 
HICP: TV1 - Practice # 7",Q8,DTOP-OLD
sra_s1_q7_o4,sra_s1_q7,4,I don't know.,"Threats and vulnerabilities should be documented within your SRA and given impact and likelihood ratings to determine severity. Safeguards protecting ePHI from these threats and vulnerabilities should be evaluated for effectiveness. Corrective action plans with plan of action milestones should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Risks should be formally deemed ""accepted"" only when appropriate. Conduct routine patching of security flaws in servers, applications (including web applications), and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1, 16 
HICP: TV1 - Practice # 7",Q8,DTOP-OLD
sra_s1_q8_o1,sra_s1_q8,1,Yes.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Use internal or external experts to deploy security controls.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, GV.RR, GV.PO, GV.OV, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 7",Q9,DTOP-OLD
sra_s1_q8_o2,sra_s1_q8,2,No.,Consider identifying specific workforce members to respond to and mitigate all threats and vulnerabilities identified in your SRA. Use internal or external experts to deploy security controls.,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, GV.RR, GV.PO, GV.OV, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 7",END,DTOP-OLD
sra_s1_q8_o3,sra_s1_q8,3,I don't know.,Consider identifying specific workforce members to respond to and mitigate all threats and vulnerabilities identified in your SRA. Use internal or external experts to deploy security controls.,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, GV.RR, GV.PO, GV.OV, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 7",END,DTOP-OLD
sra_s1_q9_o1,sra_s1_q9,1,Yes. We have established policies and procedures for communicating SRA findings to staff to educate them about threats and vulnerabilities.,"This is the most effective option. You may not be able to implement effective safeguards to protect ePHI if you do not document and share the results of your SRA with the staff responsible for making risk management decisions, developing risk-related policies, and implementing risk mitigation safeguards for ePHI. Communicate to workforce members who review and sign off after reading policies over a specified timeframe. The goal is to establish a standard practice for workforce members to review applicable policies and attest to the review, and for the organization to monitor compliance with this standard.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 10",Q10,DTOP-OLD
sra_s1_q9_o2,sra_s1_q9,2,No. We do not regularly communicate SRA results to staff.,"You may not be able to implement effective safeguards to protect ePHI if you do not document and share the results of your SRA with the staff responsible for making risk management decisions, developing risk-related policies, and implementing risk mitigation safeguards for ePHI. Communicate to workforce members who review and sign off after reading policies over a specified timeframe. The goal is to establish a standard practice for workforce members to review applicable policies and attest to the review, and for the organization to monitor compliance with this standard.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 10",END,DTOP-OLD
sra_s1_q9_o3,sra_s1_q9,3,I don't know.,"You may not be able to implement effective safeguards to protect ePHI if you do not document and share the results of your SRA with the staff responsible for making risk management decisions, developing risk-related policies, and implementing risk mitigation safeguards for ePHI. Communicate to workforce members who review and sign off after reading policies over a specified timeframe. The goal is to establish a standard practice for workforce members to review applicable policies and attest to the review, and for the organization to monitor compliance with this standard.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 10",END,DTOP-OLD
sra_s1_q10_o1,sra_s1_q10,1,Written and verbal communication as well as coordinated corrective action planning.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Written results of the risk assessment should be communicated to the personnel responsible for responding to identified threats and vulnerabilities. The responsible persons should be involved in the creation of corrective action plans to mitigate threats and vulnerabilities for which they are responsible.","HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1 
HICP: TV1, Practice # 10",END,DTOP-OLD
sra_s1_q10_o2,sra_s1_q10,2,Written communication only.,Written results of your SRA should be communicated to the personnel responsible for responding to identified threats and vulnerabilities but also consider involving the personnel responsible for responding to identified threats and vulnerabilities in the creation of corrective action plans.,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1 
HICP: TV1, Practice # 10",END,DTOP-OLD
sra_s1_q10_o3,sra_s1_q10,3,Verbal communication only.,Written results of the risk assessment should be communicated to workforce members who will be responsible for responding to identified threats and vulnerabilities after the completion of the risk assessment. The responsible team members responsible for responding to identified threats and vulnerabilities should be involved in the creation of corrective action plans to mitigate threats and vulnerabilities for which they are responsible.,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1 
HICP: TV1, Practice # 10",END,DTOP-OLD
sra_s1_q10_o4,sra_s1_q10,4,We do not communicate risk assessment results to workforce members.,Written results of the risk assessment should be communicated to workforce members who will be responsible for responding to identified threats and vulnerabilities after the completion of the risk assessment. The responsible team members responsible for responding to identified threats and vulnerabilities should be involved in the creation of corrective action plans to mitigate threats and vulnerabilities for which they are responsible.,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1 
HICP: TV1, Practice # 10",END,DTOP-OLD
sra_s2_q1_o1,sra_s2_q1,1,"Yes, we have a process by which assigned personnel develop, implement, review, and update security policies and procedures.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Establishing and implementing cybersecurity policies, procedures, and processes is one of the most effective means of preventing cyberattacks.","HIPAA: §164.316(a) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS 
HPH CPG: 1, 14, 15 
HICP: TV1 - Practice # 10",Q2,DTOP-OLD
sra_s2_q1_o2,sra_s2_q1,2,"Yes, we have some documentation for our information security and risk management activities, but not all of our policies and procedures are documented.","You should document policies and procedures to ensure you consistently make informed decisions on the effective monitoring, identification, and mitigation of risks to ePHI. Establishing and implementing cybersecurity policies, procedures, and processes is one of the most effective means of preventing cyberattacks.","HIPAA: §164.316(a) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS 
HPH CPG: 1, 14, 15 
HICP: TV1 - Practice # 10",Q2,DTOP-OLD
sra_s2_q1_o3,sra_s2_q1,3,"No, we do not maintain documentation on our information security activities or risk management.","You should document policies and procedures to ensure you consistently make informed decisions on the effective monitoring, identification, and mitigation of risks to ePHI. Establishing and implementing cybersecurity policies, procedures, and processes is one of the most effective means of preventing cyberattacks.","HIPAA: §164.316(a) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS 
HPH CPG: 1, 14, 15 
HICP: TV1 - Practice # 10",END,DTOP-OLD
sra_s2_q2_o1,sra_s2_q2,1,"Yes, we review and update our security documentation periodically and as necessary.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Review an appropriate number of policies over a specified timeframe. The goal is to establish a standard practice to review policies and to monitor compliance with this standard.","HIPAA: §164.316(b)(2)(iii) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM 
HPH CPG: 7, 14, 15, 19 
HICP: TV1 - Practice # 10",Q3,DTOP-OLD
sra_s2_q2_o2,sra_s2_q2,2,"Yes, we review and update our documentation periodically or as needed, but not both.","You should implement a process to periodically review and update your security policies and procedures. This will help you safeguard your facilities, information systems, and ePHI. Review an appropriate number of policies over a specified timeframe. The goal is to establish a standard practice to review policies and to monitor compliance with this standard.","HIPAA: §164.316(b)(2)(iii) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM 
HPH CPG: 7, 14, 15, 19 
HICP: TV1 - Practice # 10",Q3,DTOP-OLD
sra_s2_q2_o3,sra_s2_q2,3,"Yes, we review our security documentation but we have not updated our documentation.","You should implement a process to periodically review and update your security policies and procedures. This will help you safeguard your facilities, information systems, and ePHI. Review an appropriate number of policies over a specified timeframe. The goal is to establish a standard practice to review policies and to monitor compliance with this standard.","HIPAA: §164.316(b)(2)(iii) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM 
HPH CPG: 7, 14, 15, 19 
HICP: TV1 - Practice # 10",Q5,DTOP-OLD
sra_s2_q2_o4,sra_s2_q2,4,"No, we have never updated our documentation","You should implement a process to periodically review and update your security policies and procedures. This will help you safeguard your facilities, information systems, and ePHI. Review an appropriate number of policies over a specified timeframe. The goal is to establish a standard practice to review policies and to monitor compliance with this standard.","HIPAA: §164.316(b)(2)(iii) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM 
HPH CPG: 7, 14, 15, 19 
HICP: TV1 - Practice # 10",Q5,DTOP-OLD
sra_s2_q2_o5,sra_s2_q2,5,I don't know.,"You should implement a process to periodically review and update your security policies and procedures. This will help you safeguard your facilities, information systems, and ePHI. Review an appropriate number of policies over a specified timeframe. The goal is to establish a standard practice to review policies and to monitor compliance with this standard.","HIPAA: §164.316(b)(2)(iii) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM 
HPH CPG: 7, 14, 15, 19 
HICP: TV1 - Practice # 10",Q5,DTOP-OLD
sra_s2_q3_o1,sra_s2_q3,1,We have a periodic review of information security policies that formally evaluates their effectiveness. Policies and procedures are updated as needed.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. With clearly articulated cybersecurity policies, your employees, contractors, and third-party vendors know which data, applications, systems, and devices they are authorized to access and the consequences of unauthorized access attempts.","HIPAA: §164.316(b)(2)(iii) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM 
HPH CPG: 4 
HICP: TV1 - Practice # 10",Q4,DTOP-OLD
sra_s2_q3_o2,sra_s2_q3,2,"We update policies and procedures ad hoc, for example when an immediate need prompts the change.","You should conduct periodic reviews of information security policies and update them as needed. With clearly articulated cybersecurity policies, your employees, contractors, and third-party vendors know which data, applications, systems, and devices they are authorized to access and the consequences of unauthorized access attempts.","HIPAA: §164.316(b)(2)(iii) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM 
HPH CPG: 4 
HICP: TV1 - Practice # 10",Q4,DTOP-OLD
sra_s2_q3_o3,sra_s2_q3,3,We do not have a process for updating our security documentation.,"You should conduct periodic reviews of information security policies and update them as needed. With clearly articulated cybersecurity policies, your employees, contractors, and third-party vendors know which data, applications, systems, and devices they are authorized to access and the consequences of unauthorized access attempts.","HIPAA: §164.316(b)(2)(iii) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM 
HPH CPG: 4 
HICP: TV1 - Practice # 10",Q5,DTOP-OLD
sra_s2_q4_o1,sra_s2_q4,1,Yes.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.","HIPAA: §164.316(b)(2)(iii) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM 
HPH CPG: 7, 15, 19 
HICP: TV1 - Practice # 10",Q5,DTOP-OLD
sra_s2_q4_o2,sra_s2_q4,2,No.,"You should have a designated security officer and any/all policy or procedure updates should be reported to the security officer. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.","HIPAA: §164.316(b)(2)(iii) 
NIST CSF: GV.RR, GV.PO, GV.OV, ID.RA, PR.PS, ID.IM 
HPH CPG: 7, 15, 19 
HICP: TV1 - Practice # 10",Q5,DTOP-OLD
