subjecttag_id,tag,source_document
tag_hotswap,#hotswap,DTOP-OLD
tag_incident_management,#incident_management,DTOP-OLD
tag_technology_availability,#technology_availability,DTOP-OLD
tag_facilities_management,#facilities_management,DTOP-OLD
tag_physical_access,#physical_access,DTOP-OLD
tag_physical_infrastructure,#physical_infrastructure,DTOP-OLD
tag_data_integrity,#data_integrity,DTOP-OLD
tag_risk_management,#risk_management,DTOP-OLD
tag_least_privileged_access,#least_privileged_access,DTOP-OLD
tag_fraud,#fraud,DTOP-OLD
tag_program_maturity,#program_maturity,DTOP-OLD
tag_data_classification,#data_classification,DTOP-OLD
tag_obfuscation,#obfuscation,DTOP-OLD
tag_data_loss_prevention,#data_loss_prevention,DTOP-OLD
tag_insider_threat,#insider_threat,DTOP-OLD
tag_physical_security,#physical_security,DTOP-OLD
tag_remote_access,#remote_access,DTOP-OLD
tag_training_and_awareness,#training_and_awareness,DTOP-OLD
tag_business_impact_analysis,#business_impact_analysis,DTOP-OLD
tag_compliance,#compliance,DTOP-OLD
tag_review_assessment_and_testing,#review_assessment_and_testing,DTOP-OLD
tag_threat_landscape,#threat_landscape,DTOP-OLD
tag_threat_management,#threat_management,DTOP-OLD
tag_industry_standards,#industry_standards,DTOP-OLD
tag_malware_protection,#malware_protection,DTOP-OLD
tag_data_retention,#data_retention,DTOP-OLD
tag_staffing_and_resource_management,#staffing_and_resource_management,DTOP-OLD
tag_emerging_technologies,#emerging_technologies,DTOP-OLD
tag_end_user_security,#end_user_security,DTOP-OLD
tag_forensics,#forensics,DTOP-OLD
tag_issue_management,#issue_management,DTOP-OLD
tag_lessons_learned,#lessons_learned,DTOP-OLD
tag_metrics_and_reporting,#metrics_and_reporting,DTOP-OLD
tag_root_cause_analysis,#root_cause_analysis,DTOP-OLD
tag_organizational_structure,#organizational_structure,DTOP-OLD
tag_risk_oversight,#risk_oversight,DTOP-OLD
tag_enterprise_risk_management,#enterprise_risk_management,DTOP-OLD
tag_change_management,#change_management,DTOP-OLD
tag_asset_classification_and_criticality,#asset_classification_and_criticality,DTOP-OLD
tag_asset_inventory,#asset_inventory,DTOP-OLD
tag_asset_ownership,#asset_ownership,DTOP-OLD
tag_data_lifecycle,#data_lifecycle,DTOP-OLD
tag_dependency_management,#dependency_management,DTOP-OLD
tag_data_flow,#data_flow,DTOP-OLD
tag_board_or_committee_oversight,#board_or_committee_oversight,DTOP-OLD
tag_program_transformation,#program_transformation,DTOP-OLD
tag_risk_appetite,#risk_appetite_,DTOP-OLD
tag_scenario_risk_assessment,#scenario_risk_assessment,DTOP-OLD
tag_risk_assessment,#risk_assessment,DTOP-OLD
tag_tabletop_exercises,#tabletop_exercises,DTOP-OLD
tag_information_sharing,#information_sharing,DTOP-OLD
tag_improvements,#improvements,DTOP-OLD
tag_risk_response,#risk_response,DTOP-OLD
tag_vendor_management,#vendor_management,DTOP-OLD
tag_siem,#siem,DTOP-OLD
tag_social_media,#social_media,DTOP-OLD
tag_roles_and_responsibilities,#roles_and_responsibilities,DTOP-OLD
tag_business_process,#business_process,DTOP-OLD
tag_audit_planning_and_testing,#audit_planning_and_testing,DTOP-OLD
tag_background_checks,#background_checks,DTOP-OLD
tag_human_resources,#human_resources,DTOP-OLD
tag_ciso,#ciso,DTOP-OLD
tag_due_diligence,#due_diligence,DTOP-OLD
tag_fourth_party,#fourth_party,DTOP-OLD
tag_contract_management,#contract_management,DTOP-OLD
tag_technology_officer,#technology_officer,DTOP-OLD
