clause_id,section_id,clause_label,clause_type,parent_clause_id,text,source_document
s4_3,s4,(3),item,s4_p1,"a Person or a juristic person who uses or discloses Personal Data that is collected only for the activities of mass media, fine arts, or literature, which are only in accordance with professional ethics or for public interest;",KB 2/Thailand/Personal Data Protection Act.pdf
s4_4,s4,(4),item,s4_p1,"The House of Representatives, the Senate, and the Parliament, including the committee appointed by the House of Representatives, the Senate, or the Parliament, which collect, use or disclose Personal Data in their consideration under the duties and power of the House of Representatives, the Senate, the Parliament or their committee, as the case may be;",KB 2/Thailand/Personal Data Protection Act.pdf
s4_5,s4,(5),item,s4_p1,"trial and adjudication of courts and work operations of officers in legal proceedings, legal execution, and deposit of property, including work operations in accordance with the criminal justice procedure;",KB 2/Thailand/Personal Data Protection Act.pdf
s4_6,s4,(6),item,s4_p1,"operations of data undertaken by a credit bureau company and its members, according to the law governing the operations of a credit bureau business.",KB 2/Thailand/Personal Data Protection Act.pdf
s4_p2,s4,paragraph two,paragraph,,"The exceptions to apply all or parts of the provisions of this Act to any Data Controller in any manner, business or entity, in a similar manner to the Data Controller in paragraph one, or for any other public interest purpose, shall be promulgated in the form of the Royal Decree.",KB 2/Thailand/Personal Data Protection Act.pdf
s4_p3,s4,paragraph three,paragraph,,The Data Controller under paragraph one (2) (3) (4) (5) and (6) and the Data Controller of the entities that are exempted under the Royal Decree in accordance with paragraph two shall also put in place a security protection of Personal Data in accordance with the standard.,KB 2/Thailand/Personal Data Protection Act.pdf
s5_p1,s5,paragraph one,paragraph,,"This Act applies to the collection, use or disclosure of Personal Data by a Data Controller or a Data Processor that is in the Kingdom of Thailand, regardless of whether such collection, use or disclosure takes place in the Kingdom of Thailand or not.",KB 2/Thailand/Personal Data Protection Act.pdf
s5_p2,s5,paragraph two,paragraph,,"In the event that a Data Controller or a Data Processor is outside the Kingdom of Thailand, this Act shall apply to the collection, use or disclosure of Personal Data of data subjects who are in the Kingdom of Thailand, where the activities of such Data Controller or Data Processor are the following activities:",KB 2/Thailand/Personal Data Protection Act.pdf
s5_1,s5,(1),item,s5_p1,"the offering of goods or services to the data subjects who are in the Kingdom of Thailand, irrespective of whether the payment is made by the data subject; or",KB 2/Thailand/Personal Data Protection Act.pdf
s5_2,s5,(2),item,s5_p1,"the monitoring of the data subject’s behavior, where the behavior takes place in the Kingdom of Thailand.",KB 2/Thailand/Personal Data Protection Act.pdf
s6_p1,s6,paragraph one,paragraph,,"In this Act,",KB 2/Thailand/Personal Data Protection Act.pdf
s7_p1,s7,paragraph one,paragraph,,"The Minister of Digital Economy and Society shall be in charge under this Act, and shall have the power to appoint the Competent Official to perform acts under this Act.",KB 2/Thailand/Personal Data Protection Act.pdf
s8_p1,s8,paragraph one,paragraph,,"There shall be a Personal Data Protection Committee, consisting of:",KB 2/Thailand/Personal Data Protection Act.pdf
s8_1,s8,(1),item,s8_p1,"a Chairperson who is selected and appointed from the persons having distinguished knowledge, skills, and experience in the field of Personal Data protection, consumer protection, information technology and communication, social science, law, health, finance, or any other field that must be relevant to, and useful for, the protection of Personal Data;",KB 2/Thailand/Personal Data Protection Act.pdf
s8_2,s8,(2),item,s8_p1,"the Permanent Secretary of the Ministry of Digital Economy and Society, shall be a Vice-Chairperson;",KB 2/Thailand/Personal Data Protection Act.pdf
s8_3,s8,(3),item,s8_p1,"directors by position as five members consisting of the Permanent Secretary of the Prime Minister Office, the Secretary-General of the Council of State, the Secretary-General of the Consumer Protection Board, the Director-General of the Rights and Liberties Protection Department, and the Attorney General;",KB 2/Thailand/Personal Data Protection Act.pdf
s8_4,s8,(4),item,s8_p1,"honorary directors as nine members, selected and appointed from the persons having distinguished knowledge, skills, and experience in the field of Personal Data protection, consumer protection, information technology and communication, social science, law, health, finance, or any other field that must be relevant to, and useful for, the protection of Personal Data.",KB 2/Thailand/Personal Data Protection Act.pdf
s8_p2,s8,paragraph two,paragraph,,"The Secretary-General shall be a director and secretary, and the Secretary-General shall appoint assistant secretaries from the officials of the Office not exceeding two persons.",KB 2/Thailand/Personal Data Protection Act.pdf
s8_p3,s8,paragraph three,paragraph,,"The rules and procedures on the selection of persons to be appointed as Chairperson and honorary directors, including the selection of the Chairperson and honorary director to replace the Chairperson and the honorary director who vacates office before the expiration of the term under Section 13, shall be as prescribed by the notification issued by the Cabinet by taking into account the transparency and fairness in the selection.",KB 2/Thailand/Personal Data Protection Act.pdf
s9_p1,s9,paragraph one,paragraph,,"There shall be a selection committee of eight members having the duty to select the appropriate persons who should be appointed as the Chairperson in Section 8(1) or the honorary director in Section 8(4), consisting of:",KB 2/Thailand/Personal Data Protection Act.pdf
s9_1,s9,(1),item,s9_p1,two persons appointed by the Prime Minister;,KB 2/Thailand/Personal Data Protection Act.pdf
s9_2,s9,(2),item,s9_p1,two persons appointed by the President of the Parliament;,KB 2/Thailand/Personal Data Protection Act.pdf
s9_3,s9,(3),item,s9_p1,two persons appointed by the Ombudsman; and,KB 2/Thailand/Personal Data Protection Act.pdf
s9_4,s9,(4),item,s9_p1,two persons appointed by the National Human Rights Commission.,KB 2/Thailand/Personal Data Protection Act.pdf
s9_p2,s9,paragraph two,paragraph,,"In the event that the person having the appointment power in (2), (3), or (4) is unable to appoint members of the selection committee in his part within forty-five days from the date of notice from the Office, the Office shall nominate the persons to the Prime Minister to consider and appoint the appropriate persons to be the selection committee on behalf of such person having the appointment power.",KB 2/Thailand/Personal Data Protection Act.pdf
s9_p3,s9,paragraph three,paragraph,,The selection committee shall select one member to act as the Chairperson of the selection committee and another one member to act as the Secretary of the selection committee and the Office shall perform the duty as the administrative unit of the selection committee.,KB 2/Thailand/Personal Data Protection Act.pdf
s9_p4,s9,paragraph four,paragraph,,"In the event that any member of the selection committee is vacant, a new member must be selected to replace such vacancy without delay. During the time that no new member has been selected, the selection committee shall consist of the existing members.",KB 2/Thailand/Personal Data Protection Act.pdf
s9_p5,s9,paragraph five,paragraph,,No member of the section committee shall be entitled to be nominated as the Chairperson in Section 8(1) or the honorary director in Section 8(4).,KB 2/Thailand/Personal Data Protection Act.pdf
s10_p1,s10,paragraph one,paragraph,,"In selecting the Chairperson in Section 8(1) or the honorary director in Section 8(4), the selection committee shall select the persons who have qualifications in Section 8(1) or Section 8(4) as the case may be, including having the qualifications and no prohibited characteristics under Section 11 and agree to be nominated for the selection in the same number as the number of Chairperson to be appointed in Section 8(1) or the number of the honorary director in to be appointed in Section 8(4).",KB 2/Thailand/Personal Data Protection Act.pdf
s10_p2,s10,paragraph two,paragraph,,"After the total number of Chairperson in Section 8(1) or the honorary director in Section 8(4) have been selected, the selection committee shall submit the name of Chairperson in Section 8(1) or the honorary director in Section 8(4) together with the evidence of qualifications and no prohibited characteristics as well as the consent of such persons to the Cabinet for the appointment as the Chairperson in Section 8(1) or the honorary director in Section 8(4).",KB 2/Thailand/Personal Data Protection Act.pdf
s10_p3,s10,paragraph three,paragraph,,The Prime Minister shall publish names of the Chairperson in Section 8(1) or honorary directors in Section 8(4) who are appointed by the Cabinet in the Government Gazette.,KB 2/Thailand/Personal Data Protection Act.pdf
s11_p1,s11,paragraph one,paragraph,,"The Chairperson and the honorary director shall have the qualifications, and shall not be under the following prohibited characteristics:",KB 2/Thailand/Personal Data Protection Act.pdf
s11_1,s11,(1),item,s11_p1,being of Thai nationality;,KB 2/Thailand/Personal Data Protection Act.pdf
s11_2,s11,(2),item,s11_p1,"not being bankrupt, or having been dishonestly bankrupt;",KB 2/Thailand/Personal Data Protection Act.pdf
s11_3,s11,(3),item,s11_p1,not being an incompetent or quasi-incompetent person;,KB 2/Thailand/Personal Data Protection Act.pdf
s11_4,s11,(4),item,s11_p1,"not having been subjected to a final judgment to imprisonment regardless of whether he or she has actually been imprisoned or not, except for an offence committed by negligence or a misdemeanor;",KB 2/Thailand/Personal Data Protection Act.pdf
s11_5,s11,(5),item,s11_p1,"not having been fired, dismissed or discharged from official service, a government agency or a state enterprise or private agency on the grounds of dishonest performance of duties or having committed severe wrongful conducts;",KB 2/Thailand/Personal Data Protection Act.pdf
s11_6,s11,(6),item,s11_p1,not having been removed from office according to the law;,KB 2/Thailand/Personal Data Protection Act.pdf
s11_7,s11,(7),item,s11_p1,"not being a person holding political position, a member of local assembly or in a management position of local administration, a director or person holding position responsible for the management of political party, an adviser or officer of political party.",KB 2/Thailand/Personal Data Protection Act.pdf
s12_p1,s12,paragraph one,paragraph,,The Chairperson and the honorary director shall hold office for a term of four years.,KB 2/Thailand/Personal Data Protection Act.pdf
s12_p2,s12,paragraph two,paragraph,,"Upon the expiration of the term of office under paragraph one, if a new Chairperson or the honorary director has not yet been appointed, the Chairperson or the honorary director whose term of office has expired, shall be in office to continue to perform his or her duties until a new Chairperson or honorary director assumes his or her duties.",KB 2/Thailand/Personal Data Protection Act.pdf
s12_p3,s12,paragraph three,paragraph,,"The Chairperson, or the honorary director, who vacates office upon the expiration of the term, may be reappointed, but shall not seat in his or her office for more than two terms.",KB 2/Thailand/Personal Data Protection Act.pdf
s13_p1,s13,paragraph one,paragraph,,"In addition to vacating office upon the expiration of the term under Section 12, the Chairperson and the honorary director vacates office upon:",KB 2/Thailand/Personal Data Protection Act.pdf
s13_1,s13,(1),item,s13_p1,death;,KB 2/Thailand/Personal Data Protection Act.pdf
s13_2,s13,(2),item,s13_p1,resignation;,KB 2/Thailand/Personal Data Protection Act.pdf
s13_3,s13,(3),item,s13_p1,"being dismissed by the Cabinet due to negligence in the performance of duty, disgraceful behavior, or incapability; or",KB 2/Thailand/Personal Data Protection Act.pdf
s13_4,s13,(4),item,s13_p1,"being disqualified, or under any of the prohibited characteristics under section 11.",KB 2/Thailand/Personal Data Protection Act.pdf
s13_p2,s13,paragraph two,paragraph,,"In the case where the Chairperson or the honorary director vacates office before the expiration of the term, the person appointed to replace the vacant office shall be in office for the remaining term of office of the such vacated Chairperson or honorary director, except where the remaining term of office is less than ninety days, in which case the appointment of a new Chairperson or a new honorary director may not have to be made.",KB 2/Thailand/Personal Data Protection Act.pdf
s13_p3,s13,paragraph three,paragraph,,"In the case where the Chairperson or the honorary director vacates office before the expiration of the term, the Committee shall consist of all existing members until a new Chairperson or a new honorary director is appointed, according to paragraph two, and in the case where the Chairperson vacates office before the expiration of the term, the Vice-Chairperson shall temporarily perform duties of the Chairperson.",KB 2/Thailand/Personal Data Protection Act.pdf
s14_p1,s14,paragraph one,paragraph,,"At a meeting of the Committee, the presence of not less than one-half of all the members is required to constitute a quorum.",KB 2/Thailand/Personal Data Protection Act.pdf
s14_p2,s14,paragraph two,paragraph,,"The Chairperson shall preside over the meeting. In the case where the Chairperson does not attend the meeting, or is unable to perform the duties, the Vice-Chairperson shall act as a chairperson of the meeting. In the case where the Chairperson and the Vice-Chairperson do no attend the meeting, or are unable to perform the duties, the attending members shall elect one member among themselves to be the chairperson of the meeting.",KB 2/Thailand/Personal Data Protection Act.pdf
s14_p3,s14,paragraph three,paragraph,,"A decision of the meeting shall be made by a majority of votes. Each member shall have one vote. In case of equal votes, the chairperson of the meeting shall have an additional vote as the decisive vote.",KB 2/Thailand/Personal Data Protection Act.pdf
s14_p4,s14,paragraph four,paragraph,,"The meetings of the Committee may be may be undertaken by electronic means, or any other means, as prescribed by the Committee.",KB 2/Thailand/Personal Data Protection Act.pdf
s15_p1,s15,paragraph one,paragraph,,"Any member who has a direct or indirect interest in the matter being considered in the meeting, shall inform the Committee of such interest prior to the meeting, and such member shall be prohibited from attending the meeting that is considering such matter.",KB 2/Thailand/Personal Data Protection Act.pdf
s16_p1,s16,paragraph one,paragraph,,The Committee shall have the following duties and power:,KB 2/Thailand/Personal Data Protection Act.pdf
s16_1,s16,(1),item,s16_p1,"to make the master plan on the operation for the promotion and protection of Personal Data, which are coherent with national policies, national strategies and relevant national plans, in order to propose to the committee of the national digital economy and society, in accordance with the law governing development of the digital economy and society;",KB 2/Thailand/Personal Data Protection Act.pdf
s16_2,s16,(2),item,s16_p1,"to promote and support government agencies and the private sector in carrying out of activities in accordance with the master plan under (1), as well as to conduct the evaluation of the operation result of such master plan;",KB 2/Thailand/Personal Data Protection Act.pdf
s16_3,s16,(3),item,s16_p1,to determine measures or guidelines of the operation in relation to Personal Data protection in order to comply with this Act;,KB 2/Thailand/Personal Data Protection Act.pdf
s16_4,s16,(4),item,s16_p1,to issue notifications or rules for the execution of this Act;,KB 2/Thailand/Personal Data Protection Act.pdf
s16_5,s16,(5),item,s16_p1,to announce and establish criteria for providing protection of Personal Data which is sent or transferred to a foreign country;,KB 2/Thailand/Personal Data Protection Act.pdf
s16_6,s16,(6),item,s16_p1,to announce and establish guidance for the protection of Personal Data as guidelines with which the Data Controller and the Data Processor shall comply;,KB 2/Thailand/Personal Data Protection Act.pdf
s16_7,s16,(7),item,s16_p1,"to recommend the Cabinet on the enactment, or revision, of the existing laws or rules applicable to the protection of Personal Data;",KB 2/Thailand/Personal Data Protection Act.pdf
s16_8,s16,(8),item,s16_p1,to recommend the Cabinet on the enactment of the Royal Decree or reconsideration the suitability of this Act at least every five years;,KB 2/Thailand/Personal Data Protection Act.pdf
s16_9,s16,(9),item,s16_p1,"to provide advice or consultancy on any operation for the protection of Personal Data of the government agency and private agency, in acting in compliance with this Act;",KB 2/Thailand/Personal Data Protection Act.pdf
s16_10,s16,(10),item,s16_p1,to interpret and render rulings with respect to the issues arising from the enforcement of this Act;,KB 2/Thailand/Personal Data Protection Act.pdf
s16_11,s16,(11),item,s16_p1,to promote and support learning skills and understanding on the protection of Personal Data among the public;,KB 2/Thailand/Personal Data Protection Act.pdf
s16_12,s16,(12),item,s16_p1,to promote and support research for the development of technology relating to the protection of Personal Data;,KB 2/Thailand/Personal Data Protection Act.pdf
s16_13,s16,(13),item,s16_p1,"to perform any other acts as prescribed by this Act, or other laws, which state the duties and power of the Committee.",KB 2/Thailand/Personal Data Protection Act.pdf
s17_p1,s17,paragraph one,paragraph,,"The Chairperson, the Vice-Chairperson, and Committee shall receive a meeting allowance and other benefits in accordance with the rules prescribed by the Cabinet.",KB 2/Thailand/Personal Data Protection Act.pdf
s17_p2,s17,paragraph two,paragraph,,"The Chairperson of the sub-committees, the sub-committees, the Chairperson of the expert committee and expert committee appointed by the Committee shall receive a meeting allowance and other benefits in accordance with the rules prescribed by the Committee with approval of the Ministry of Finance.",KB 2/Thailand/Personal Data Protection Act.pdf
s18_p1,s18,paragraph one,paragraph,,The Committee shall have the power to appoint sub-committees for considering or performing any act as prescribed by the Committee;,KB 2/Thailand/Personal Data Protection Act.pdf
s18_p2,s18,paragraph two,paragraph,,"In the meeting of the sub-committee, the substances of Sections 14 and 15 shall apply mutatis mutandis.",KB 2/Thailand/Personal Data Protection Act.pdf
s19_p1,s19,paragraph one,paragraph,,"The Data Controller shall not collect, use, or disclose Personal Data, unless the data subject has given consent prior to or at the time of such collection, use, or disclosure, except the case where it is permitted to do so by the provisions of this Act or any other laws.",KB 2/Thailand/Personal Data Protection Act.pdf
s19_p2,s19,paragraph two,paragraph,,"A request for consent shall be explicitly made in a written statement, or via electronic means, unless it cannot be done by its nature.",KB 2/Thailand/Personal Data Protection Act.pdf
s19_p3,s19,paragraph three,paragraph,,"In requesting consent from the data subject, the Personal Data Controller shall also inform the purpose of the collection, use, or disclosure of the Personal Data. Such request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an easily accessible and intelligible form and statements, using clear and plain language, and does not deceptive or misleading to the data subject in respect to such purpose. In this regard, the Committee may require the Data Controller to request for data subject's consent in accordance with the form and statements as prescribed by the Committee.",KB 2/Thailand/Personal Data Protection Act.pdf
s19_p4,s19,paragraph four,paragraph,,"In requesting consent from the data subject, the Data Controller shall utmost take into account that the data subject's consent is freely given. Also, the entering into the contract, including any provisions of the service shall not be a condition to obtaining consent for the collection, use, or disclosure of Personal Data that is not necessary or not related to such contract entering, including the provisions of the service.",KB 2/Thailand/Personal Data Protection Act.pdf
s19_p5,s19,paragraph five,paragraph,,"The data subject may withdraw his or her consent at any time. The withdrawal of consent shall be as easy as to giving consent, unless there is a restriction of the withdrawal of consent by law, or the contract which gives benefits to the data subject. However, the withdrawal of consent shall not affect the collection, use, or disclosure of personal data that the data subject has already given consent legally under this Chapter.",KB 2/Thailand/Personal Data Protection Act.pdf
s19_p6,s19,paragraph six,paragraph,,"In the event that the withdrawal of consent will affect the data subject in any manner, the Data Controller shall inform the data subject of such consequences of consent's withdrawal.",KB 2/Thailand/Personal Data Protection Act.pdf
s19_p7,s19,paragraph seven,paragraph,,"The request for the data subject’s consent which is not in accordance with those prescribed in this Chapter shall have no binding effect on the data subject and shall no longer enable the Data Controller to collect, use, or disclose the Personal Data.",KB 2/Thailand/Personal Data Protection Act.pdf
s20_p1,s20,paragraph one,paragraph,,"In the event that the data subject is a minor who is not sui juris by marriage or has no capacity as a sui juris person under Section 27 of the Civil and Commercial Code, the request for the consent from such data subject shall be made as follows:",KB 2/Thailand/Personal Data Protection Act.pdf
s20_1,s20,(1),item,s20_p1,"In the event that the minor’s giving of consent is not any act which the minor may be entitled to act alone as prescribed under Section 22, Section 23, or Section 24 of the Civil and Commercial Code, such act also requires consent of the holder of parental responsibility over the child.",KB 2/Thailand/Personal Data Protection Act.pdf
s20_2,s20,(2),item,s20_p1,"Where the minor is below the age of ten years, the consent shall be obtained from the holder of parental responsibility over the child.",KB 2/Thailand/Personal Data Protection Act.pdf
s20_p2,s20,paragraph two,paragraph,,"In the event that the data subject is incompetent, the consent must be obtained from the custodian who has the power to act on behalf of the incompetent person.",KB 2/Thailand/Personal Data Protection Act.pdf
s20_p3,s20,paragraph three,paragraph,,"In the event that the data subject is quasi-incompetent, the consent must be obtained from the curator who has the power to act on behalf of the quasi-incompetent person.",KB 2/Thailand/Personal Data Protection Act.pdf
s20_p4,s20,paragraph four,paragraph,,"The provisions of paragraphs one, two and three shall apply mutatis mutandis to the withdrawal of consent of the data subject, the notice given to the data subject, the exercise of rights of the data subject, the complaint of the data subject, and any other acts under this Act for the data subject who is a minor, an incompetent or quasi-incompetent person.",KB 2/Thailand/Personal Data Protection Act.pdf
s21_p1,s21,paragraph one,paragraph,,"The Data Controller shall collect, use, or disclose Personal Data according to the purpose notified to the data subject prior to or at the time of such collection.",KB 2/Thailand/Personal Data Protection Act.pdf
s21_p2,s21,paragraph two,paragraph,,"The collection, use, or disclosure of Personal Data shall not be conducted in a manner that is different from the purpose previously notified to the data subject in accordance with paragraph one, unless:",KB 2/Thailand/Personal Data Protection Act.pdf
s21_1,s21,(1),item,s21_p1,"the data subject has been informed of such new purpose, and the consent is obtained prior to the time of collection, use, or disclosure; or",KB 2/Thailand/Personal Data Protection Act.pdf
s21_2,s21,(2),item,s21_p1,it can be done by the provisions of this Act or in other laws.,KB 2/Thailand/Personal Data Protection Act.pdf
s22_p1,s22,paragraph one,paragraph,,The collection of Personal Data shall be limited to the extent necessary in relation to the lawful purpose of the Data Controller.,KB 2/Thailand/Personal Data Protection Act.pdf
s23_p1,s23,paragraph one,paragraph,,"In collecting the Personal Data, the Data Controller shall inform the data subject, prior to or at the time of such collection, of the following details, except the case where the data subject already knows of such details:",KB 2/Thailand/Personal Data Protection Act.pdf
s23_1,s23,(1),item,s23_p1,"the purpose of the collection for use or disclosure of the Personal Data, including the purpose which is permitted under Section 24 for the collection of Personal Data without the data subject's consent;",KB 2/Thailand/Personal Data Protection Act.pdf
s23_2,s23,(2),item,s23_p1,"notification of the case where the data subject must provide his or her Personal Data for compliance with a legal obligation, or for the performance of the contract, or where it is necessary to provide the Personal Data for the purpose of entering into the contract, including notification of the possible effect where the data subject does not provide such Personal Data.",KB 2/Thailand/Personal Data Protection Act.pdf
s23_3,s23,(3),item,s23_p1,"the Personal Data to be collected and the period for which the Personal Data will be retained. If it is not possible to specify the retention period, the expected data retention period according the data retention standard shall be specified;",KB 2/Thailand/Personal Data Protection Act.pdf
s23_4,s23,(4),item,s23_p1,the categories of Persons or entities to whom the collected Personal Data may be disclosed;,KB 2/Thailand/Personal Data Protection Act.pdf
s23_5,s23,(5),item,s23_p1,"information, address and the contact channel details of the Data Controller, where applicable, of the Data Controller's representative or data protection officer; and",KB 2/Thailand/Personal Data Protection Act.pdf
s23_6,s23,(6),item,s23_p1,"the rights of the data subject under Section 19 paragraph five, Section 30 paragraph one, Section 31 paragraph one, Section 32 paragraph one, Section 33 paragraph one, Section 34 paragraph one, Section 36 paragraph one, and Section 73 paragraph one.",KB 2/Thailand/Personal Data Protection Act.pdf
s24_p1,s24,paragraph one,paragraph,,"The Data Controller shall not collect Personal Data without the consent of the data subject, unless:",KB 2/Thailand/Personal Data Protection Act.pdf
s24_1,s24,(1),item,s24_p1,"it is for the achievement of the purpose relating to the preparation of the historical documents or the archives for public interest, or for the purpose relating to research or statistics, in which the suitable measures to safeguard the data subject's rights and freedoms are put in place and in accordance with the notification as prescribed by the Committee;",KB 2/Thailand/Personal Data Protection Act.pdf
s24_2,s24,(2),item,s24_p1,"it is for preventing or suppressing a danger to a Person’s life, body or health;",KB 2/Thailand/Personal Data Protection Act.pdf
s24_3,s24,(3),item,s24_p1,"it is necessary for the performance of a contract to which the data subject is a party, or in order to take steps at the request of the data subject prior to entering into a contract;",KB 2/Thailand/Personal Data Protection Act.pdf
s24_4,s24,(4),item,s24_p1,"it is necessary for the performance of a task carried out in the public interest by the Data Controller, or it is necessary for the exercising of official authority vested in the Data Controller;",KB 2/Thailand/Personal Data Protection Act.pdf
s24_5,s24,(5),item,s24_p1,"it is necessary for legitimate interests of the Data Controller or any other Persons or juristic persons other than the Data Controller, except where such interests are overridden by the fundamental rights of the data subject of his or her Personal Data; or",KB 2/Thailand/Personal Data Protection Act.pdf
s24_6,s24,(6),item,s24_p1,it is necessary for compliance with a law to which the Data Controller is subjected.,KB 2/Thailand/Personal Data Protection Act.pdf
s25_p1,s25,paragraph one,paragraph,,"The Data Controller shall not collect Personal Data from any other source, apart from the data subject directly, except where:",KB 2/Thailand/Personal Data Protection Act.pdf
s25_1,s25,(1),item,s25_p1,"the Data Controller has informed the data subject of the collection of Personal Data from other source without delay, but shall not exceed thirty days upon the date of such collection, and has obtained the consent from the data subject; or",KB 2/Thailand/Personal Data Protection Act.pdf
s25_2,s25,(2),item,s25_p1,it is a collection of Personal Data which falls within the exceptions to request consent under section 24 or Section 26.,KB 2/Thailand/Personal Data Protection Act.pdf
s25_p2,s25,paragraph two,paragraph,,"The provisions with respect to notice of the new purpose in Section 21, and the notice of information details in Section 23 shall apply mutatis mutandis to the collection of the Personal Data which requires consent in paragraph one, except for the following circumstances:",KB 2/Thailand/Personal Data Protection Act.pdf
s25_p2_1,s25,paragraph two (1),item,s25_p2,the data subject has been aware of such new purposes or details;,KB 2/Thailand/Personal Data Protection Act.pdf
s25_p2_2,s25,paragraph two (2),item,s25_p2,"the Data Controller can prove that the notice of such new purposes or information details is impossible or will obstruct the use or disclosure of the Personal Data, in particular for achieving the purposes in relation to scientific, historical, or statistical research purposes. In such cases, the Data Controller shall take suitable measures to protect the data subject's rights, freedoms and interests;",KB 2/Thailand/Personal Data Protection Act.pdf
s25_p2_3,s25,paragraph two (3),item,s25_p2,"the use or disclosure of the Personal Data shall be carried out on an urgent basis as required by law, and suitable measures have been implemented to protect the data subject's interest; or",KB 2/Thailand/Personal Data Protection Act.pdf
s25_p2_4,s25,paragraph two (4),item,s25_p2,"the Data Controller is aware of or acquires such Personal Data from his or her duty or occupation or profession, and shall maintain the confidentiality of any of the new purposes or information details as prescribed in Section 23 as required by law.",KB 2/Thailand/Personal Data Protection Act.pdf
s25_p3,s25,paragraph three,paragraph,,"To notify the information details in paragraph two, the Data Controller shall provide such information to the data subject within thirty days after the date of collection such of Personal Data, unless the Personal Data are to be used for communication with the data subject, the notice of information details shall be provided at the time of the first communication to that data subject. If a disclosure to another Person is envisaged, the notice of information details shall be provided prior to the time of the first disclosure.",KB 2/Thailand/Personal Data Protection Act.pdf
s26_p1,s26,paragraph one,paragraph,,"Any collection of Personal Data pertaining to racial, ethnic origin, political opinions, cult, religious or philosophical beliefs, sexual behavior, criminal records, health data, disability, trade union information, genetic data, biometric data, or of any data which may affect the data subject in the same manner, as prescribed by the Committee, is prohibited, without the explicit consent from the data subject, except where:",KB 2/Thailand/Personal Data Protection Act.pdf
s26_1,s26,(1),item,s26_p1,"it is to prevent or suppress a danger to life, body or health of the Person, where the data subject is incapable of giving consent by whatever reason;",KB 2/Thailand/Personal Data Protection Act.pdf
s26_2,s26,(2),item,s26_p1,"it is carried out in the course of legitimate activities with appropriate safeguards by the foundations, associations or any other not-for-profit bodies with a political, religious, philosophical, or trade union purposes for their members, former members of the bodies, or persons having regular contact with such foundations, associations or not-for-profit bodies in connection with their purposes, without disclosing the Personal Data outside of such foundations, associations or not-for-profit bodies;",KB 2/Thailand/Personal Data Protection Act.pdf
s26_3,s26,(3),item,s26_p1,it is information that is disclosed to the public with the explicit consent of the data subject;,KB 2/Thailand/Personal Data Protection Act.pdf
s26_4,s26,(4),item,s26_p1,"it is necessary for the establishment, compliance, exercise or defense of legal claims;",KB 2/Thailand/Personal Data Protection Act.pdf
s26_5,s26,(5),item,s26_p1,it is necessary for compliance with a legal obligation to achieve the purposes with respect to:,KB 2/Thailand/Personal Data Protection Act.pdf
