section_id,section_number,chapter_id,part_id,clause_count,source_document
s43,43,CH_IV,,4,KB 2/Thailand/Personal Data Protection Act.pdf
s44,44,CH_IV,,12,KB 2/Thailand/Personal Data Protection Act.pdf
s45,45,CH_IV,,6,KB 2/Thailand/Personal Data Protection Act.pdf
s46,46,CH_IV,,7,KB 2/Thailand/Personal Data Protection Act.pdf
s47,47,CH_IV,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s48,48,CH_IV,,3,KB 2/Thailand/Personal Data Protection Act.pdf
s49,49,CH_IV,,5,KB 2/Thailand/Personal Data Protection Act.pdf
s50,50,CH_IV,,3,KB 2/Thailand/Personal Data Protection Act.pdf
s51,51,CH_IV,,3,KB 2/Thailand/Personal Data Protection Act.pdf
s52,52,CH_IV,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s53,53,CH_IV,,5,KB 2/Thailand/Personal Data Protection Act.pdf
s54,54,CH_IV,,10,KB 2/Thailand/Personal Data Protection Act.pdf
s55,55,CH_IV,,4,KB 2/Thailand/Personal Data Protection Act.pdf
s56,56,CH_IV,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s57,57,CH_IV,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s58,58,CH_IV,,4,KB 2/Thailand/Personal Data Protection Act.pdf
s59,59,CH_IV,,10,KB 2/Thailand/Personal Data Protection Act.pdf
s60,60,CH_IV,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s61,61,CH_IV,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s62,62,CH_IV,,5,KB 2/Thailand/Personal Data Protection Act.pdf
s63,63,CH_IV,,8,KB 2/Thailand/Personal Data Protection Act.pdf
s64,64,CH_IV,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s65,65,CH_IV,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s66,66,CH_IV,,3,KB 2/Thailand/Personal Data Protection Act.pdf
s67,67,CH_IV,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s68,68,CH_IV,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s69,69,CH_IV,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s70,70,CH_IV,,3,KB 2/Thailand/Personal Data Protection Act.pdf
s71,71,CH_V,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s72,72,CH_V,,5,KB 2/Thailand/Personal Data Protection Act.pdf
s73,73,CH_V,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s74,74,CH_V,,10,KB 2/Thailand/Personal Data Protection Act.pdf
s75,75,CH_V,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s76,76,CH_V,,7,KB 2/Thailand/Personal Data Protection Act.pdf
s77,77,CH_VI,,4,KB 2/Thailand/Personal Data Protection Act.pdf
s78,78,CH_VI,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s79,79,CH_VII,PT_VII_1,3,KB 2/Thailand/Personal Data Protection Act.pdf
s80,80,CH_VII,PT_VII_1,7,KB 2/Thailand/Personal Data Protection Act.pdf
s81,81,CH_VII,PT_VII_1,1,KB 2/Thailand/Personal Data Protection Act.pdf
s82,82,CH_VII,PT_VII_2,1,KB 2/Thailand/Personal Data Protection Act.pdf
s83,83,CH_VII,PT_VII_2,1,KB 2/Thailand/Personal Data Protection Act.pdf
s84,84,CH_VII,PT_VII_2,1,KB 2/Thailand/Personal Data Protection Act.pdf
s85,85,CH_VII,PT_VII_2,1,KB 2/Thailand/Personal Data Protection Act.pdf
s86,86,CH_VII,PT_VII_2,1,KB 2/Thailand/Personal Data Protection Act.pdf
s87,87,CH_VII,PT_VII_2,1,KB 2/Thailand/Personal Data Protection Act.pdf
s88,88,CH_VII,PT_VII_2,1,KB 2/Thailand/Personal Data Protection Act.pdf
s89,89,CH_VII,PT_VII_2,1,KB 2/Thailand/Personal Data Protection Act.pdf
s90,90,CH_VII,PT_VII_2,4,KB 2/Thailand/Personal Data Protection Act.pdf
s91,91,CH_TRANS,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s92,92,CH_TRANS,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s93,93,CH_TRANS,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s94,94,CH_TRANS,,5,KB 2/Thailand/Personal Data Protection Act.pdf
s95,95,CH_TRANS,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s96,96,CH_TRANS,,1,KB 2/Thailand/Personal Data Protection Act.pdf
