formclause_id,form_id,clause_number,heading,text,source_document
fc_cs_2,form_compliance_statement,,Individual obligation,"As a member of _______________________________________________ [Name of Practice], I am obligated to support its compliance policies. I further agree to comply with all practice policies and procedures to the best of my understanding and demonstrate a commitment to honest and responsible corporate conduct.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fc_cs_3,form_compliance_statement,,Acknowledgement of receipt and training,"In keeping with these tenets of ethical practice and conduct, I acknowledge receipt of the Fraud and Abuse Compliance Program, that I have received training in my responsibilities under the Fraud and Abuse Compliance Program, and recognize an obligation to report any erroneous or potentially improper procedures that I am of aware of or suspect to the Practice's Compliance Officer.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fc_hb_importance,form_handbook,,The Importance of the Medicare and Medicaid System to Physicians,"Much of the gross revenue of every physician practice is derived from the federal Medicare and state Medicaid programs. Participation in these programs requires strict adherence to their various rules and regulations. Failure to follow Medicare/Medicaid rules can result in criminal prosecution, civil fines, and even exclusion from the Medicare and Medicaid programs. Example: Civil monetary penalties can be assessed by the government at $10,000 per item or service. Thus, even where an inappropriately billed claim is for a nominal amount (under $100), the $10,000 penalty is applied. Ten bad claims, therefore, can result in a $100,000 civil penalty. The seriousness of complying with these rules is most evident when considering the fact that violations can result in exclusion from participation in the Medicare and Medicaid programs.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fc_hb_fca,form_handbook,1,False Claims Act,"The phrase “false claim” is defined as Knowingly and willfully making or causing to be made any false statement or representation of material fact in any application (claim) for benefits or payments under a federal health care program (including Medicare or Medicaid). Examples for physicians: Billing for services never provided to patients. “Upcoding”: billing for more extensive services than were actually rendered. Falsely certifying that services were medically necessary. Note: On every HCFA 1500 claim form, a physician must certify that the services rendered were medically necessary for the health of the beneficiary. Flagrant and persistent over utilization of medical services with little or no regard for results and/or the patient's ailments, condition, or medical needs.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fc_hb_aks,form_handbook,2,Anti-Kickback Statute,"This statute prohibits The knowing and willful solicitation or receipt of any remuneration (this includes payments and anything else of value) or the knowing and willful offer to pay, or payment of any remuneration, whether direct or indirect, overt or covert, in cash or in kind, in return for Referring an individual for any item or service or Purchasing, leasing, ordering, or arranging for or recommending or arranging for the purchase, lease, or ordering of any item of service paid for (in whole or in part) under a federal health care program. The general purpose of this statute is to prohibit anyone from paying or accepting a payment in exchange for the referral of a patient for services that might be covered by the Medicare and Medicaid programs. What this means is that you cannot give gifts or anything of value in order to induce referrals to the Practice. Furthermore, the opposite is also true: You cannot accept gifts or things of value from a vendor in order to do business with him. Examples: cash, vacations, gift certificates, etc. Other examples: Waiving co-payments or deductibles for patients unless the patient meets financial hardship guidelines. Financial arrangements with third parties, such as a home health agency, to whom the Practice may refer patients.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fc_hb_civil,form_handbook,3,Civil Sanctions Fines and Exclusions,"Apart from potential criminal prosecution, there are additional, noncriminal sanctions that may be separately imposed for nonconforming conduct. Generally, civil (noncriminal) sanctions include fines and/or exclusion from participation in the Medicare and Medicaid programs. Exclusions from participation in the Medicare and Medicaid programs can result from a conviction for health care fraud or other impermissible conduct. If a provider is excluded from the Medicare or Medicaid programs, it means that no Medicare or Medicaid payments will be made for any services rendered by the excluded party. Civil money penalties can also be imposed for violations of the fraud and abuse laws. These may be in addition to criminal penalties. Civil money penalties of up to $10,000 per item or service, plus an assessment of up to three times the amount claimed for each such item or service, may be imposed upon any provider who knowingly presents or causes to be presented a claim for Medicare or Medicaid reimbursement that Is for an item or service that the person knows or should know was not provided as claimed or Is for an item or service and the person knows or should know the claim is false or fraudulent.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fc_hb_overview,form_handbook,,Overview of the Fraud and Abuse Compliance Program,"The Practice has developed a Fraud and Abuse Compliance Program that is applicable to each and every physician and employee of the Practice. Basically, it is a written expression of the Practice's policy to comply with both the letter and spirit of the law. The Practice encourages the highest level of ethical behavior by its physicians and staff, and the Practice encourages and requires compliance with the law. It is important that each and every employee understand that compliance is mandatory.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fc_coc_1,form_code_of_conduct,,Records and billing policy,"It is the Practice's policy to make and maintain accurate and honest records relating to all services, to submit accurate billings to all payers (including Medicare and Medicaid), and to comply with all laws and regulations relating to Medicare and Medicaid coding and billing practices. In furtherance of this policy, the Practice bills only for services that are actually rendered, codes accurately, documents medical necessity and appropriateness, and complies with all payer contracts.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fc_coc_2,form_code_of_conduct,,Employee conduct,"The Practice expects all employees to conduct business in an ethical, legal, and competent manner. Employees shall maintain a high level of integrity and honesty in their dealings with the practice and third parties. It is also expected that employees avoid any conduct that could reflect adversely on the integrity of the practice.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fc_coc_3,form_code_of_conduct,,Fraud and abuse laws,"The Practice expects its employees to refrain from conduct that may violate the fraud and abuse laws. These laws prohibit, among other matters, (1) direct, indirect, or disguised payments in exchange for the referral of patients; (2) the submission of false, fraudulent, or misleading claims to any governmental entity or third-party payer; and (3) making false representations to any person or entity in order to obtain payment for a service.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fc_coc_4,form_code_of_conduct,,Documentation and coding,"All physicians and employees shall honestly and accurately document any services provided, describing the service actually rendered and the person rendering the service in an appropriate manner. All physicians shall take steps to ensure that only services that are medically necessary are billed to third-party payers. All coding of charges shall fairly reflect only the services documented to have been actually rendered, and all charges will be coded according to applicable billing regulations.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
