riskarea_id,name,listing,text,source_document
ra_abn,Advance Beneficiary Notices (ABN),Additional risk areas identified by the OIG (Chapter 3),"Physicians are required to provide ABNs before they provide services that they know or believe Medicare does not consider reasonable and necessary. A properly executed ABN acknowledges that coverage is uncertain, or yet to be determined, and stipulates that the patient promises to pay the bill if Medicare does not. Patients who are not notified before they receive such services are not responsible for payment. A common risk area associated with ABNs is in regard to diagnostic tests or services. The ABN must be sufficient to put the patient on notice of the reasons why the physician believes that payment may be denied. The objective is to give the patient sufficient information to allow an informed choice as to whether to pay for the service. An ABN will not be acceptable if (1) The patient is asked to sign a blank ABN form or (2) the ABN is used routinely without regard to a particularized need. The routine use of ABNs is generally prohibited because the ABN must state the specific reason the physician anticipates that the specific service will not be covered.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_incentives,Physician Incentive Arrangements,Additional risk areas identified by the OIG (Chapter 3),"The OIG has identified potentially illegal practices involving the offering of incentives by hospitals and other entities in an effort to recruit and retain physicians. The OIG is concerned that the intent behind offering incentives to physicians may not be to recruit physicians, but instead the offer is intended as a kickback to obtain and increase patient referrals from physicians. These recruitment incentive arrangements are implicated by the Anti-Kickback Statute because they can constitute remuneration offered to induce, or in return for, the referral of business paid for by Medicare or Medicaid.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_third_party_billing,Third-Party Billing Services,Additional risk areas identified by the OIG (Chapter 3),"Physicians should remember that they remain responsible to the Medicare program for bills sent in the physician's name or containing the physician's signature, even if the physician had no actual knowledge of a billing impropriety. The attestation on the HCFA 1500 form (i.e., the physician's signature line) states that the physician's services were billed properly. In other words, it is no defense for the physician if the physician's billing service improperly bills Medicare. One of the most common risk areas involving billing services deals with physician practices contracting with billing services on a percentage basis. Although percentage-based billing arrangements are not illegal per se, the OIG has a longstanding concern that such arrangements may increase the risk of intentional upcoding and similar abusive billing practices.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_professional_courtesy,Professional Courtesy,Additional risk areas identified by the OIG (Chapter 3),"The term “professional courtesy” is used to describe a number of different practices. The traditional definition is the practice by a physician of waiving all or a part of the fee for services provided to the physician's office staff, other physicians, and/or their families. In recent times, “professional courtesy” has also come to mean the waiver of coinsurance obligations or other out-of-pocket expenses for physicians or their families (i.e., “insurance only” billing) and similar payment arrangements by hospitals or other institutions for services provided to their medical staffs or employees.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_hb_not_rendered,Billing for services not actually rendered,Risk Areas Identified by the Office of Inspector General (Chapter 4 handbook),Billing for services not actually rendered;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_hb_unnecessary,Billing for medically unnecessary services,Risk Areas Identified by the Office of Inspector General (Chapter 4 handbook),Billing for medically unnecessary services;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_hb_upcoding,“Upcoding” the level of service provided,Risk Areas Identified by the Office of Inspector General (Chapter 4 handbook),“Upcoding” the level of service provided;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_hb_duplicate,Duplicate billing resulting in duplicate payment,Risk Areas Identified by the Office of Inspector General (Chapter 4 handbook),Duplicate billing resulting in duplicate payment;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_hb_noncovered,Billing for non-covered services as if covered,Risk Areas Identified by the Office of Inspector General (Chapter 4 handbook),Billing for non-covered services as if covered;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_hb_unbundling,Unbundling,Risk Areas Identified by the Office of Inspector General (Chapter 4 handbook),Unbundling (billing for each component of a service instead of billing an all-inclusive code);,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_hb_provider_numbers,Knowing misuse of provider numbers,Risk Areas Identified by the Office of Inspector General (Chapter 4 handbook),Knowing misuse of provider numbers;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_hb_credit_balances,Failure to refund credit balances,Risk Areas Identified by the Office of Inspector General (Chapter 4 handbook),Failure to refund credit balances; and/or,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ra_hb_stark,Physician self-referral law (the Stark Law),Risk Areas Identified by the Office of Inspector General (Chapter 4 handbook),Physician self-referral law (the Stark Law).,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
