source_id,target_id,rel_type,reference
sub_10-6,sec_12,CROSS_REFERENCES,12
sub_10-6,sec_13,CROSS_REFERENCES,13
sub_10-6,sec_20,CROSS_REFERENCES,20
sub_10-6,sec_14,CROSS_REFERENCES,14
sub_10-6,sec_15,CROSS_REFERENCES,15
sub_10-6,sec_16,CROSS_REFERENCES,16
sub_10-6,sec_17,CROSS_REFERENCES,17
sub_10-6,sec_18,CROSS_REFERENCES,18
sub_10-6,sec_19,CROSS_REFERENCES,19
sub_10-6,sec_33,CROSS_REFERENCES,33
sub_10-7,sec_8,CROSS_REFERENCES,8
sub_10-7,sec_13,CROSS_REFERENCES,13
sub_10-7,sec_19,CROSS_REFERENCES,19
sub_10-7,sec_14,CROSS_REFERENCES,14
sub_10-7,sec_15,CROSS_REFERENCES,15
sub_10-7,sec_16,CROSS_REFERENCES,16
sub_10-7,sec_17,CROSS_REFERENCES,17
sub_10-7,sec_18,CROSS_REFERENCES,18
sub_10-8,sec_11,CROSS_REFERENCES,11
sub_10-8,sec_12,CROSS_REFERENCES,12
sub_10-8,sec_13,CROSS_REFERENCES,13
sub_10-8,sec_17,CROSS_REFERENCES,17
sub_10-8,sec_28,CROSS_REFERENCES,28
sub_10-8,sec_50,CROSS_REFERENCES,50
sub_11-2,sub_11-1,CROSS_REFERENCES,11(1)
sub_11-3,sub_11-2,CROSS_REFERENCES,11(2)
sub_12-2,sub_12-1,CROSS_REFERENCES,12(1)
sub_12-3,sub_12-1,CROSS_REFERENCES,12(1)
sub_12-3,sub_12-2,CROSS_REFERENCES,12(2)
sub_12-4,sub_12-2,CROSS_REFERENCES,12(2)
sub_13-2,sec_41,CROSS_REFERENCES,41
sub_13-4,sub_13-3,CROSS_REFERENCES,13(3)
sub_14-2,sub_14-1,CROSS_REFERENCES,14(1)
sub_15-2,sub_15-1,CROSS_REFERENCES,15(1)
sub_15-4,sub_15-1,CROSS_REFERENCES,15(1)
sub_16-2,sub_16-1,CROSS_REFERENCES,16(1)
sub_16-3,sub_16-1,CROSS_REFERENCES,16(1)
sub_17-1,sec_14,CROSS_REFERENCES,14
sub_17-1,sub_15-1,CROSS_REFERENCES,15(1)
sub_17-1,sec_16,CROSS_REFERENCES,16
sub_17-2,sub_17-1,CROSS_REFERENCES,17(1)
sub_18-3,para_5-1-e,CROSS_REFERENCES,5(1)(e)
sub_18-4,sub_18-1,CROSS_REFERENCES,18(1)
sub_19-1,para_5-1-e,CROSS_REFERENCES,5(1)(e)
sub_19-1,para_5-1-f,CROSS_REFERENCES,5(1)(f)
sub_19-6,sub_19-1,CROSS_REFERENCES,19(1)
sub_19-6,sub_19-3,CROSS_REFERENCES,19(3)
sub_20-3,para_20-2-a,CROSS_REFERENCES,20(2)(a)
sub_20-3,para_20-2-b,CROSS_REFERENCES,20(2)(b)
sub_20-4,sub_20-2,CROSS_REFERENCES,20(2)
sub_20-4,para_7-2-a,CROSS_REFERENCES,7(2)(a)
sub_20-4,para_7-2-k,CROSS_REFERENCES,7(2)(k)
sub_21-1,sec_10,CROSS_REFERENCES,10
sub_21-1,sec_20,CROSS_REFERENCES,20
sub_21-1,sec_33,CROSS_REFERENCES,33
sub_21-1,sec_11,CROSS_REFERENCES,11
sub_21-1,sec_12,CROSS_REFERENCES,12
sub_21-1,sec_13,CROSS_REFERENCES,13
sub_21-1,sec_14,CROSS_REFERENCES,14
sub_21-1,sec_15,CROSS_REFERENCES,15
sub_21-1,sec_16,CROSS_REFERENCES,16
sub_21-1,sec_17,CROSS_REFERENCES,17
sub_21-1,sec_18,CROSS_REFERENCES,18
sub_21-1,sec_19,CROSS_REFERENCES,19
sub_21-1,sec_4,CROSS_REFERENCES,4
sub_21-2,sub_13-1,CROSS_REFERENCES,13(1)
sub_21-2,sub_13-3,CROSS_REFERENCES,13(3)
sub_21-2,sec_4,CROSS_REFERENCES,4
sub_21-3,sub_11-1,CROSS_REFERENCES,11(1)
sub_21-3,sub_11-3,CROSS_REFERENCES,11(3)
sub_21-3,sub_12-1,CROSS_REFERENCES,12(1)
sub_21-3,sub_12-4,CROSS_REFERENCES,12(4)
sub_21-3,sub_13-1,CROSS_REFERENCES,13(1)
sub_21-3,sub_13-3,CROSS_REFERENCES,13(3)
sub_21-3,sec_4,CROSS_REFERENCES,4
sub_21-4,sub_13-1,CROSS_REFERENCES,13(1)
sub_21-4,sub_13-3,CROSS_REFERENCES,13(3)
sub_21-4,sec_14,CROSS_REFERENCES,14
sub_21-4,sub_16-1,CROSS_REFERENCES,16(1)
sub_21-4,sec_17,CROSS_REFERENCES,17
sub_21-4,sub_18-1,CROSS_REFERENCES,18(1)
sub_21-4,sub_19-1,CROSS_REFERENCES,19(1)
sub_22-2,sub_22-1,CROSS_REFERENCES,22(1)
sub_25-1,sec_11,CROSS_REFERENCES,11
sub_25-1,sec_12,CROSS_REFERENCES,12
sub_25-2,sub_25-1,CROSS_REFERENCES,25(1)
sub_25-3,sub_25-1,CROSS_REFERENCES,25(1)
sub_26-4,para_26-3-a,CROSS_REFERENCES,26(3)(a)
sub_26-5,sub_26-3,CROSS_REFERENCES,26(3)
sub_26-6,sub_26-3,CROSS_REFERENCES,26(3)
sub_26-6,sub_26-5,CROSS_REFERENCES,26(5)
sub_26-7,sub_26-3,CROSS_REFERENCES,26(3)
sub_26-7,sub_26-5,CROSS_REFERENCES,26(5)
sub_26-7,sub_26-6,CROSS_REFERENCES,26(6)
sub_26-7,sec_38,CROSS_REFERENCES,38
sub_26-8,sub_26-3,CROSS_REFERENCES,26(3)
sub_26-8,sub_26-5,CROSS_REFERENCES,26(5)
sub_26-9,sec_55,CROSS_REFERENCES,55
sub_26-9,sec_56,CROSS_REFERENCES,56
sub_26-9,sec_60,CROSS_REFERENCES,60
sub_28-3,sub_28-1,CROSS_REFERENCES,28(1)
sub_28-3,sub_28-2,CROSS_REFERENCES,28(2)
sub_31-1,sec_15,CROSS_REFERENCES,15
sub_31-3,sub_31-2,CROSS_REFERENCES,31(2)
sub_31-4,sub_31-1,CROSS_REFERENCES,31(1)
sub_31-5,para_31-4-b,CROSS_REFERENCES,31(4)(b)
sub_31-5,para_31-4-c,CROSS_REFERENCES,31(4)(c)
sub_31-5,sec_34,CROSS_REFERENCES,34
sub_31-5,sub_31-4,CROSS_REFERENCES,31(4)
sub_31-6,sub_31-4,CROSS_REFERENCES,31(4)
sub_32-3,sub_32-1,CROSS_REFERENCES,32(1)
sub_32-3,sub_32-2,CROSS_REFERENCES,32(2)
sub_32-4,sub_32-3,CROSS_REFERENCES,32(3)
sub_33-2,sub_33-1,CROSS_REFERENCES,33(1)
sub_33-2,para_32-3-b,CROSS_REFERENCES,32(3)(b)
sub_33-2,para_32-3-c,CROSS_REFERENCES,32(3)(c)
sub_33-2,para_32-3-d,CROSS_REFERENCES,32(3)(d)
sub_33-3,sub_33-1,CROSS_REFERENCES,33(1)
sub_33-4,sub_33-3,CROSS_REFERENCES,33(3)
sub_34-4,sub_34-1,CROSS_REFERENCES,34(1)
sub_34-7,sub_34-5,CROSS_REFERENCES,34(5)
sub_35-1,sec_37,CROSS_REFERENCES,37
sub_35-3,sec_37,CROSS_REFERENCES,37
sub_38-2,sub_38-1,CROSS_REFERENCES,38(1)
sub_39-2,sub_39-1,CROSS_REFERENCES,39(1)
sub_41-4,sub_41-3,CROSS_REFERENCES,41(3)
sub_41-5,sub_41-3,CROSS_REFERENCES,41(3)
sub_41-5,sub_41-2,CROSS_REFERENCES,41(2)
sub_41-7,sec_4,CROSS_REFERENCES,4
sub_42-1,sub_41-3,CROSS_REFERENCES,41(3)
sub_42-1,sub_41-7,CROSS_REFERENCES,41(7)
sub_42-3,sub_42-1,CROSS_REFERENCES,42(1)
sub_42-4,sub_42-1,CROSS_REFERENCES,42(1)
sub_42-5,para_5-1-a,CROSS_REFERENCES,5(1)(a)
sub_43-2,sub_43-1,CROSS_REFERENCES,43(1)
sub_44-1,sub_41-3,CROSS_REFERENCES,41(3)
sub_44-1,sub_41-7,CROSS_REFERENCES,41(7)
sub_44-1,sec_42,CROSS_REFERENCES,42
sub_44-3,para_44-1-d,CROSS_REFERENCES,44(1)(d)
sub_45-2,sec_45,CROSS_REFERENCES,45
sub_48-5,sec_51,CROSS_REFERENCES,51
sub_48-5,sec_53,CROSS_REFERENCES,53
sub_48-5,sec_52,CROSS_REFERENCES,52
sub_50-2,para_50-1-c,CROSS_REFERENCES,50(1)(c)
sub_50-3,para_50-1-h,CROSS_REFERENCES,50(1)(h)
sub_50-3,para_50-1-c,CROSS_REFERENCES,50(1)(c)
sub_50-4,para_50-1-h,CROSS_REFERENCES,50(1)(h)
sub_50-4,sec_38,CROSS_REFERENCES,38
sub_52-8,sub_52-2,CROSS_REFERENCES,52(2)
sub_54-1,para_50-5-a,CROSS_REFERENCES,50(5)(a)
sub_54-1,para_50-5-h,CROSS_REFERENCES,50(5)(h)
sub_54-1,para_50-5-j,CROSS_REFERENCES,50(5)(j)
sub_54-2,sub_54-1,CROSS_REFERENCES,54(1)
sub_54-3,sub_54-1,CROSS_REFERENCES,54(1)
sub_54-5,sub_54-4,CROSS_REFERENCES,54(4)
sub_55-2,sub_55-1,CROSS_REFERENCES,55(1)
sub_55-2,para_50-5-a,CROSS_REFERENCES,50(5)(a)
sub_55-2,para_50-5-h,CROSS_REFERENCES,50(5)(h)
sub_55-2,para_50-5-j,CROSS_REFERENCES,50(5)(j)
sub_56-1,sec_24,CROSS_REFERENCES,24
sub_56-2,sec_24,CROSS_REFERENCES,24
sub_56-3,sub_56-1,CROSS_REFERENCES,56(1)
sub_59-1,sec_55,CROSS_REFERENCES,55
sub_59-4,sub_59-2,CROSS_REFERENCES,59(2)
sub_59-4,sub_59-3,CROSS_REFERENCES,59(3)
sub_59-5,sub_59-2,CROSS_REFERENCES,59(2)
sub_59-7,sub_59-6,CROSS_REFERENCES,59(6)
sub_59-7,sub_59-2,CROSS_REFERENCES,59(2)
sub_59-7,sub_59-3,CROSS_REFERENCES,59(3)
sub_60-1,sec_1,CROSS_REFERENCES,1
sub_60-1,sec_3,CROSS_REFERENCES,3
sub_60-1,sec_2,CROSS_REFERENCES,2
sub_60-2,sub_60-1,CROSS_REFERENCES,60(1)
sub_63-2,sub_63-1,CROSS_REFERENCES,63(1)
sub_64-4,sub_64-3,CROSS_REFERENCES,64(3)
para_4-3-a,para_4-1-b,CROSS_REFERENCES,4(1)(b)
para_4-3-b,para_4-1-e,CROSS_REFERENCES,4(1)(e)
para_5-3-c,sec_7,CROSS_REFERENCES,7
para_7-2-b,sub_7-3,CROSS_REFERENCES,7(3)
para_7-2-k,sub_7-3,CROSS_REFERENCES,7(3)
para_7-3-b,para_7-3-a,CROSS_REFERENCES,7(3)(a)
para_9-1-a,para_4-1-c,CROSS_REFERENCES,4(1)(c)
para_11-1-d,para_5-1-f,CROSS_REFERENCES,5(1)(f)
para_11-2-b,sec_13,CROSS_REFERENCES,13
para_11-2-b,sec_16,CROSS_REFERENCES,16
para_11-2-b,sec_18,CROSS_REFERENCES,18
para_11-2-b,sec_19,CROSS_REFERENCES,19
para_11-2-b,sec_14,CROSS_REFERENCES,14
para_11-2-b,sec_15,CROSS_REFERENCES,15
para_11-2-c,para_5-1-a,CROSS_REFERENCES,5(1)(a)
para_11-2-c,para_7-2-a,CROSS_REFERENCES,7(2)(a)
para_11-2-g,sub_20-1,CROSS_REFERENCES,20(1)
para_11-2-g,sub_20-4,CROSS_REFERENCES,20(4)
para_11-2-h,sub_14-1,CROSS_REFERENCES,14(1)
para_11-2-h,sub_15-1,CROSS_REFERENCES,15(1)
para_11-2-h,sec_19,CROSS_REFERENCES,19
para_12-2-b,para_5-1-f,CROSS_REFERENCES,5(1)(f)
para_12-2-c,sec_13,CROSS_REFERENCES,13
para_12-2-c,sec_16,CROSS_REFERENCES,16
para_12-2-c,sec_18,CROSS_REFERENCES,18
para_12-2-c,sec_19,CROSS_REFERENCES,19
para_12-2-c,sec_14,CROSS_REFERENCES,14
para_12-2-c,sec_15,CROSS_REFERENCES,15
para_12-2-d,para_5-1-a,CROSS_REFERENCES,5(1)(a)
para_12-2-d,para_7-2-a,CROSS_REFERENCES,7(2)(a)
para_12-2-g,sub_20-1,CROSS_REFERENCES,20(1)
para_12-2-g,sub_20-4,CROSS_REFERENCES,20(4)
para_12-5-b,sub_12-1,CROSS_REFERENCES,12(1)
para_13-1-h,sub_20-1,CROSS_REFERENCES,20(1)
para_13-1-h,sub_20-4,CROSS_REFERENCES,20(4)
para_14-2-b,para_11-2-h,CROSS_REFERENCES,11(2)(h)
para_15-1-b,para_5-1-a,CROSS_REFERENCES,5(1)(a)
para_15-1-b,para_7-2-a,CROSS_REFERENCES,7(2)(a)
para_15-1-c,sub_19-1,CROSS_REFERENCES,19(1)
para_15-1-c,sub_19-3,CROSS_REFERENCES,19(3)
para_15-3-b,para_7-2-d,CROSS_REFERENCES,7(2)(d)
para_15-3-b,para_7-2-e,CROSS_REFERENCES,7(2)(e)
para_15-3-c,sub_15-1,CROSS_REFERENCES,15(1)
para_15-4-b,para_11-2-h,CROSS_REFERENCES,11(2)(h)
para_16-1-d,sub_19-1,CROSS_REFERENCES,19(1)
para_18-1-a,para_5-1-a,CROSS_REFERENCES,5(1)(a)
para_18-1-a,para_7-2-a,CROSS_REFERENCES,7(2)(a)
para_18-1-a,para_5-1-b,CROSS_REFERENCES,5(1)(b)
para_20-2-c,para_20-2-a,CROSS_REFERENCES,20(2)(a)
para_20-2-c,para_20-2-b,CROSS_REFERENCES,20(2)(b)
para_21-4-b,sub_13-1,CROSS_REFERENCES,13(1)
para_21-4-b,sub_13-3,CROSS_REFERENCES,13(3)
para_26-3-c,sec_30,CROSS_REFERENCES,30
para_26-3-d,sub_26-2,CROSS_REFERENCES,26(2)
para_26-3-d,sub_26-5,CROSS_REFERENCES,26(5)
para_26-3-f,sec_30,CROSS_REFERENCES,30
para_26-3-f,sec_34,CROSS_REFERENCES,34
para_26-3-f,sec_31,CROSS_REFERENCES,31
para_26-3-f,sec_32,CROSS_REFERENCES,32
para_26-3-f,sec_33,CROSS_REFERENCES,33
para_28-1-e,para_44-1-b,CROSS_REFERENCES,44(1)(b)
para_28-1-g,sub_30-1,CROSS_REFERENCES,30(1)
para_28-2-c,para_44-1-b,CROSS_REFERENCES,44(1)(b)
para_28-2-d,sub_30-1,CROSS_REFERENCES,30(1)
para_33-3-b,sub_33-1,CROSS_REFERENCES,33(1)
para_36-1-c,sec_36,CROSS_REFERENCES,36
para_37-1-c,sec_34,CROSS_REFERENCES,34
para_38-3-a,sec_22,CROSS_REFERENCES,22
para_38-3-b,sub_26-1,CROSS_REFERENCES,26(1)
para_38-3-b,sub_26-5,CROSS_REFERENCES,26(5)
para_38-3-c,sub_30-1,CROSS_REFERENCES,30(1)
para_38-3-d,sec_34,CROSS_REFERENCES,34
para_39-5-a,sec_22,CROSS_REFERENCES,22
para_39-5-b,sec_23,CROSS_REFERENCES,23
para_39-5-c,sub_26-1,CROSS_REFERENCES,26(1)
para_39-5-c,sub_26-5,CROSS_REFERENCES,26(5)
para_39-5-d,sub_30-1,CROSS_REFERENCES,30(1)
para_41-2-b,para_41-2-a,CROSS_REFERENCES,41(2)(a)
para_41-3-a,sub_41-2,CROSS_REFERENCES,41(2)
para_42-3-b,sec_43,CROSS_REFERENCES,43
para_42-3-c,sub_42-2,CROSS_REFERENCES,42(2)
para_42-3-d,sec_37,CROSS_REFERENCES,37
para_42-3-e,sec_39,CROSS_REFERENCES,39
para_43-2-f,para_43-2-d,CROSS_REFERENCES,43(2)(d)
para_43-2-f,para_43-2-e,CROSS_REFERENCES,43(2)(e)
para_43-2-f,sec_11,CROSS_REFERENCES,11
para_43-2-f,sec_12,CROSS_REFERENCES,12
para_43-2-g,sec_35,CROSS_REFERENCES,35
para_47-1-b,sub_47-2,CROSS_REFERENCES,47(2)
para_49-2-j,sub_26-6,CROSS_REFERENCES,26(6)
para_49-2-j,sub_42-2,CROSS_REFERENCES,42(2)
para_49-2-k,sub_34-4,CROSS_REFERENCES,34(4)
para_49-2-m,sub_38-1,CROSS_REFERENCES,38(1)
para_49-2-n,sub_39-1,CROSS_REFERENCES,39(1)
para_49-2-o,sec_40,CROSS_REFERENCES,40(4)
para_49-2-p,sec_43,CROSS_REFERENCES,43
para_49-2-q,sub_50-5,CROSS_REFERENCES,50(5)
para_49-2-r,sec_24,CROSS_REFERENCES,24
para_50-1-c,sec_49,CROSS_REFERENCES,49(1)(c)
para_50-1-e,sec_39,CROSS_REFERENCES,39
para_50-1-h,sub_50-3,CROSS_REFERENCES,50(3)
para_50-5-g,sec_14,CROSS_REFERENCES,14
para_50-5-g,sec_15,CROSS_REFERENCES,15
para_50-5-g,sec_16,CROSS_REFERENCES,16
para_50-5-g,sub_15-2,CROSS_REFERENCES,15(2)
para_50-5-g,sec_17,CROSS_REFERENCES,17
para_50-5-i,sec_55,CROSS_REFERENCES,55
para_50-6-d,sec_38,CROSS_REFERENCES,38
para_50-6-e,sec_39,CROSS_REFERENCES,39
para_50-6-f,sub_26-6,CROSS_REFERENCES,26(6)
para_50-6-f,sub_42-2,CROSS_REFERENCES,42(2)
para_50-6-g,sub_42-4,CROSS_REFERENCES,42(4)
para_50-6-i,sec_34,CROSS_REFERENCES,34
para_50-6-j,sec_43,CROSS_REFERENCES,43
para_55-1-a,sec_54,CROSS_REFERENCES,54
para_55-1-c,sub_55-3,CROSS_REFERENCES,55(3)
para_55-3-d,sec_23,CROSS_REFERENCES,23
para_55-3-d,sec_30,CROSS_REFERENCES,30
para_55-3-i,sub_50-5,CROSS_REFERENCES,50(5)
para_55-3-j,sec_38,CROSS_REFERENCES,38
para_55-3-j,sec_39,CROSS_REFERENCES,39
para_55-7-c,sec_58,CROSS_REFERENCES,58
para_57-4-b,sec_54,CROSS_REFERENCES,54
para_57-4-b,sec_55,CROSS_REFERENCES,55
para_58-1-b,sec_57,CROSS_REFERENCES,57
subp_7-2-k-vi,sub_7-3,CROSS_REFERENCES,7(3)
subp_7-3-a-i,sec_4,CROSS_REFERENCES,4
subp_11-1-f-ii,sec_42,CROSS_REFERENCES,42
subp_11-1-f-ii,sec_43,CROSS_REFERENCES,43
subp_11-1-f-ii,para_44-1-b,CROSS_REFERENCES,44(1)(b)
subp_12-1-f-ii,sec_42,CROSS_REFERENCES,42
subp_12-1-f-ii,sec_43,CROSS_REFERENCES,43
subp_12-1-f-ii,para_44-1-b,CROSS_REFERENCES,44(1)(b)
subp_43-1-a-iii,sub_43-2,CROSS_REFERENCES,43(2)
