subitem_id,clause_id,label,ordinal,text,source_document
3.1.8-2,3.1.8,,2,managing technology risks based on the established framework and strategy;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.8-3,3.1.8,,3,"ensuring sound and prudent policies, standards and procedures for managing technology risks are established and maintained, and that standards and procedures are implemented effectively;","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.8-4,3.1.8,,4,ensuring the roles and responsibilities2 of staff in managing technology risks are delineated clearly; and,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.1.8-5,3.1.8,,5,apprising the board of directors of salient and adverse technology risk developments and incidents that are likely to have a major impact on the FI in a timely manner.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.3.1-1,3.3.1,,1,identification of information assets that support the FI’s business and delivery of financial services;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.3.1-2,3.3.1,,2,classification of an information asset based on its security classification or criticality;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.3.1-3,3.3.1,,3,"ownership of information assets, and the roles and responsibilities of the staff managing the information assets; and","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.3.1-4,3.3.1,,4,"establishment of policies, standards and procedures to manage information assets according to their security classification or criticality.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
4.1.4-1,4.1.4,,1,risk identification – identify threats and vulnerabilities to the FI and information assets;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
4.1.4-2,4.1.4,,2,risk assessment – assess the potential impact and likelihood of threats and vulnerabilities to the FI and information assets;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
4.1.4-3,4.1.4,,3,"risk treatment – implement processes and controls to manage technology risks posed to the FI and protect the confidentiality, integrity and availability of information assets; and","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
4.1.4-4,4.1.4,,4,"risk monitoring, review and reporting – monitor and review technology risks, which include risks that customers are exposed to, changes in business strategy, IT systems, environmental or operating conditions; and report key risks to the board of directors and senior management.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.7.3-1,7.7.3,,1,"the process and procedure for handling IT incidents, including cyber related incidents;12","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.7.3-2,7.7.3,,2,maintenance and protection of supporting evidence for the investigation and diagnosis of incidents; and,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.7.3-3,7.7.3,,3,"the roles and responsibilities of staff and external parties involved in recording, analysis, escalation, decision-making, resolution and monitoring of incidents.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.3.3-1,8.3.3,,1,"various plausible disruption scenarios, including full and partial incapacitation of the primary or production site and major system failures; and","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.3.3-2,8.3.3,,2,"recovery dependencies between information assets, including those managed by third parties.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.5.2-1,8.5.2,,1,diversification of data communications and network paths;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.5.2-2,8.5.2,,2,"deployment of power equipment, such as uninterruptable power sources, backup diesel generators with fuel tanks; and","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.5.2-3,8.5.2,,3,"implementation of redundant cooling equipment (e.g. cooling towers, chilled water supply and computer room air conditioning units) to control the temperature and humidity levels in the DC and prevent fluctuations potentially harmful to systems.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.5.6-1,8.5.6,,1,"access granted to staff should be on a need-to-have basis, and revoked promptly if access is no longer required;","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.5.6-2,8.5.6,,2,proper notification and approval for visitors to the DC. All visitors should be escorted by authorised staff at all times while in the DC;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.5.6-3,8.5.6,,3,physical access points in the DC should be secured and monitored at all times;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.5.6-4,8.5.6,,4,access to equipment racks should be restricted to authorised staff and monitored;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.5.6-5,8.5.6,,5,"access to keys and other physical access devices should be restricted to authorised staff, and replaced or changed promptly if they have been misplaced, lost or stolen; and","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.5.6-6,8.5.6,,6,segregation of delivery and common areas from security sensitive areas should be enforced.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
11.1.1-1,11.1.1,,1,data in motion - data that traverses a network or that is transported between sites;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
11.1.1-2,11.1.1,,2,"data at rest - data in endpoint devices such as notebooks, personal computers, portable storage devices and mobile devices, as well as data in systems such as files stored on servers, databases, backup media and storage platforms (e.g. cloud); and","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
11.1.1-3,11.1.1,,3,data in use - data that is being used or processed by a system.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
11.4.1(VMs),11.4.1,(VMs),1,that support different business applications to be hosted on a physical system. A,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
13.6.1(a),13.6.1,(a),1,severity assessment and classification of an issue;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
13.6.1(b),13.6.1,(b),2,timeframe to remediate issues of different severity; and,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
13.6.1(c),13.6.1,(c),3,risk assessment and mitigation strategies to manage deviations from the framework.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
A.2-1,A.2,,1,"Static Application Security Testing Static Application Security Testing (SAST) involves a set of tools or technologies designed to scan and analyse static source codes, byte codes and binaries for coding and design flaws indicative of security vulnerabilities. The tester will have full internal knowledge of the IT system including architecture and design specifications, source codes or configuration files to guide the testing.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
A.2-2,A.2,,2,Dynamic Application Security Testing Dynamic Application Security Testing (DAST) involves a set of tools or technologies designed to detect conditions indicative of exploitable vulnerabilities in an IT system in its run-time state. The tester has limited or no prior knowledge of the system when the test is performed.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
A.2-3,A.2,,3,"Interactive Application Security Testing Interactive Application Security Testing (IAST) involves a combination of SAST and DAST techniques to analyse application codes, run-time controls libraries, requests and responses, as well as data and control flows and identify vulnerabilities in an IT system.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
A.2-4,A.2,,4,"Fuzzing or Fuzz Testing Fuzzing is an automated software testing technique used to discover coding errors and bugs by inputting random data, known as fuzz, to the IT system. This could be included as part of DAST or IAST.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
B.1-1,B.1,,1,"Mobile Device or Application Management Mobile Device Management (MDM) solutions are used to manage and control mobile devices used to access the FI’s resources while Mobile Application Management (MAM) are used to manage and control the access at the application. Before a personal device or application is permitted to access the FI’s network, the device is verified to ensure it has not been “jailbroken”, “rooted” or compromised. MDM and MAM solutions usually come with storage encryption, “lock and wipe” capabilities, enforced authentication policies and can be used in conjunction with other security measures.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
B.1-2,B.1,,2,"Virtualisation Virtualisation allows staff to have on-demand access to enterprise computing resources and data from their personal devices. Strict security policies should be enabled within the virtual environment to restrict copying and use of peripheral devices, such as printers and removable attached storage, to prevent data leakage.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
C.1-1,C.1,,1,avoid storing or caching data in the mobile application to mitigate the risk of data compromise on the device. Data should be stored in a protected and trusted area of the mobile device;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
C.1-2,C.1,,2,protect private cryptographic keys;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
C.1-3,C.1,,3,implement anti-hooking or anti-tampering mechanisms to prevent injection of malicious code that could alter or monitor the behaviour of the application at runtime;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
C.1-4,C.1,,4,implement appropriate application integrity check (e.g. using checksum and digital signature) to verify the authenticity and integrity of the application and code obfuscation techniques to prevent reverse engineering of the mobile application;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
C.1-5,C.1,,5,implement certificate or public key pinning to protect against MITMA;,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
C.1-6,C.1,,6,implement a secure in-app keypad to mitigate against malware that captures keystrokes; and,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
C.1-7,C.1,,7,implement device binding to protect the software token from being cloned.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
