footnote_id,number,page,text,source_document
FN22,22,40,"The types of DoS attacks to be considered should include distributed, volumetric and application layer attacks.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN23,23,41,"BYOD enables staff to access corporate email, calendars, applications and data from their personal mobile devices.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN24,24,41,"Virtualisation is the simulation of the software or hardware upon which other software runs. This simulated environment is called a virtual machine. Adapted from NIST SP800 125, Guide to Security for Full Virtualisation Technologies, January 2011.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN25,25,41,"Components of a virtualisation solution typically include the hypervisor, the host operating system and the guest operating system.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN26,26,43,"Cyber events include exploits on system vulnerabilities, system intrusions, privileged escalation, unauthorised system access, data exfiltration and attempts to establish connections via the Internet to Command and Control (C2) servers.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN27,27,43,"These include security, application, database, network and operating system logs.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN28,28,45,"The 2 common types of penetration testing are: a) blackbox testing, which refers to testing without any prior knowledge of the environment except for the IP address ranges and known URLs; and b) greybox testing, which refers to testing with credentials. The security assessor is authenticated using the same rights as a normal customer Adapted from ABS Penetration Testing Guidelines for the Financial Industry in Singapore, 31 July 2015.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN29,29,46,"Social engineering is a process in which cyber criminals manipulate an unsuspecting person into divulging sensitive details such as passwords through the use of techniques such as phishing, identity theft and spam.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN30,30,46,"Table-top exercise is a discussion-based exercise where personnel with roles and responsibilities in a particular IT plan meet in a classroom setting or in breakout groups to validate the content of the plan by discussing their roles during an emergency and their responses to a particular emergency situation. A facilitator initiates the discussion by presenting a scenario and asking questions based on the scenario. Adapted from NIST SP 800-84, Guide to Test, Training, and Exercise Programs for IT Plans and Capabilities, September 2006.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN31,31,46,"Cyber ranges are interactive, simulated representations of an organisation’s local network, IT system, tools, and applications that are connected to a simulated Internet level environment. They provide a safe, legal environment to gain hands-on cyber skills and secure environment for product development and security posture testing. Adapted from NIST, Cyber Ranges, https://www.nist.gov/sites/default/files/documents/2018/02/13/cyber_ranges.pdf","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN32,32,47,"Adversarial attack simulation exercise provides a more realistic picture of an FI’s capability to prevent, detect and respond to real adversaries by simulating the tactics, techniques and procedures of real-world attackers to target people, processes and technology underpinning the FI’s critical business functions or services. Adapted from ABS Guidelines for the Financial Industry in Singapore, Red Team: Adversarial Attack Simulation Exercises, version 1, November 2018.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN33,33,47,"An individual or team designated to simulate the attack techniques, tactics and procedures of a real adversary to reach an objective set in the scope of the adversary simulation exercise. ABS Guidelines for the Financial Industry in Singapore, Red Team: Adversarial Attack Simulation Exercises, version 1, November 2018.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN34,34,49,"Examples of online financial services include online banking, mobile banking, phone banking, online trading, mobile/digital wallets and payments, and financial and payment services offered using account and transaction APIs, etc.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN35,35,49,"In a MITMA attack, an interloper is able to read, insert and modify messages between two communicating parties without either one knowing that the communication between them has been compromised. Possible attack points for MITMA could be within customer computers, internal networks, information service providers, web servers or anywhere in the Internet along the path between the customer and the FI’s server.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN36,36,49,"A cyber attack technique where an attacker uses malware to change the IP address of a resource linked to a specific domain name (e.g. a particular website), and redirect victims to a rogue domain name (e.g. phishing or fake website).","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN37,37,51,"Biometric recognition technologies could be based on face, iris or palm images, voice patterns, etc.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN38,38,51,FAR represents the instance a biometric identification solution positively verifies an unauthorised person.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN39,39,51,FRR represents the instance a biometric identification solution fails to verify an authorised person correctly.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN40,40,51,"Examples: a desktop computer, laptop, or mobile device like a smartphone or tablet.","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN41,41,51,Device binding is a technique to link an authorised user to his registered device and ensure accountability.,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
FN42,42,52,"For example, transactions or payments exhibiting behaviour which deviates significantly from a customer’s usual usage behaviours, or abnormal system activities (e.g. multiple sessions using an identical customer account originating from different geographical locations within a short time span).","MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
