supplementary_information_id,criterion_id,kind,applicable_to,text,source_document
OIS-05-SI-04,OIS-05,Complementary Customer Criteria,,"– Basic Criteria, Additional Criteria, Supplementary Information","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-06-SI-01,OIS-06,About the Criteria,OIS-06.01B,"Public sector organisations in Germany are e.g. ministries and authorities. If the cloud service provider does not have customers in the public sector, this criterion is not applicable. As appropriate means that contacts are established when there is an actual need to do so. For instance, establishing contact with CERT typically involves the reporting of security incidents to CERT and following CERT’s communication channels to stay informed about current threats, vulnerabilities and security guidance. Maintaining contact in the sense of OIS-06.01B does in this instance not require the cloud service provider to proactively communicate with CERT unprompted. For KRITIS (critical infrastructure), as defined in section 2(10) of the BSI Act (BSIG), similar requirements to maintain contact with government agencies and stakeholders may apply under German national law.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-07-SI-01,OIS-07,About the Criteria,OIS-07.01B,"The risk level can be determined by qualitative, semiquantitative and quantitative methods (cf. ISO 31010) based on the likelihood and impact of the risks. For identifying, evaluating, and prioritising potential threats and vulnerabilities associated with processes, systems, and data flows, threat modelling can provide a structured methodology: The cloud service provider can systematically analyse attack vectors and possible impacts to support auditors and stakeholders in validating the suitability of the design of implemented controls, highlight gaps in existing security measures, and ensure alignment with best practices for proactive risk mitigation.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-08-SI-01,OIS-08,About the Criteria,"OIS-08.01B, OIS-08.02B, OIS-08.03B, OIS-08.04B, OIS-08.05B, OIS-08.06B, OIS-08.01AS, OIS-08.01AC, OIS-08.02AC","This criterion applies only to risks that reside within the area of responsibility of the cloud service provider. Risks that arise for the cloud service customer when using the cloud service are not covered by this criterion. When outsourcing activities for the provision of cloud services to service organisations, the responsibility for these risks remains with the cloud service provider. Requirements for measures to manage Basic Criteria, Additional Criteria, Supplementary Information these risks can be found in the criteria area ‘Control and Monitoring of Service Providers and Suppliers (SSO)’. Cloud service providers may leverage established risk management standards, such as ISO 27005 or the ISO 31000 family of standards to address risks related to the cloud service. Risk management procedures already implemented at the cloud service provider may be leveraged for OIS-08 where possible to reduce redundancies. Documentation of risks, treatment plans and risk acceptance in the sense of this criterion does not require specific formal frameworks; lean forms of documentation can be leveraged wherever appropriate to address the OIS-08 subcriteria.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-08-SI-02,OIS-08,About the Criteria,OIS-08.01B,"Examples of scenarios in which the risk management process may be executed ‘as needed’ include, but are not limited to, the following: 1. Changes to the threat landscape (cf. OIS-05); 2. Security incidents or business disruptions; 3. Changes to the cloud service provider’s legal, regulatory, self-imposed and contractual requirements relevant to the information security of the cloud service (cf. COM-01); 4. Changes to the cloud service provider’s organisational structure with impact on roles, responsibilties or procedures for provisioning the cloud service; 5. Changes to the achitecture of the cloud service (cf. OPS-31); 6. Events related to the cloud service provider’s service organisations (cf. SSO-05); 7. Exceptions to policies or procedures (cf. SP-03); and 8. Identification of critical vulnerabilities (cf. OPS-22) or compliance deviations (cf. COM-03).","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-08-SI-03,OIS-08,About the Criteria,OIS-08.02B,"Shared resources are e.g. networks, RAM or storage. When determining protection needs of customer data, regulatory requirements applicable to customer data should be considered such as PCI-DSS, HIPAA, DORA (regulation on digital operational resilience for the financial sector and amending regulations), NIS 2 Directive and KRITIS.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-08-SI-04,OIS-08,About the Criteria,OIS-08.04B,Relevant internal parties can include the cloud service provider’s management and security teams.,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-08-SI-05,OIS-08,About the Criteria,OIS-08.05B,"Relevant external parties can include cloud service customers, subservice organisations and regulatory agencies. Information that can be relevant in this context includes information about identified vulnerabilities, security incidents and threat intelligence. The cloud service provider can choose to make this information accessible through its SSRM (cf. OIS-03), its documentation and guidelines (cf. PSS-01) or its processes for informing cloud service customers about known vulnerabilities (cf. PSS-03).","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-08-SI-06,OIS-08,Complementary Customer Criteria,,"– Basic Criteria, Additional Criteria, Supplementary Information","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-09-SI-01,OIS-09,About the Criteria,"OIS-09.01B, OIS-09.02B, OIS-09.03B, OIS-09.04B, OIS-09.05B, OIS-09.06B, OIS-09.07B","This criterion applies only to risks that reside within the area of responsibility of the cloud service provider. Risks that arise for the cloud service customer when using the cloud service are not covered by this criterion. When outsourcing activities for the provision of cloud services to subservice organisations, the responsibility for these risks remains with the cloud service provider. Requirements for measures to manage these risks can be found in the criteria area ‘Control and Monitoring of Service Providers and Suppliers (SSO)’. Cloud service providers may leverage established risk management standards, such as ISO 27005 or the ISO 31000 family of standards to address risks related to the cloud service. Risk management procedures already Basic Criteria, Additional Criteria, Supplementary Information implemented at the cloud service provider may be leveraged for OIS-09 where possible to reduce redundancies. Documentation of risks, treatment plans and risk acceptance in the sense of this criterion does not require specific formal frameworks; lean forms of documentation can be leveraged wherever appropriate to address the OIS-09 subcriteria.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-09-SI-02,OIS-09,About the Criteria,OIS-09.01B,"The priorisation can, for example, be performed by setting appropriate time limits for the treatment of the risks.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-09-SI-03,OIS-09,About the Criteria,OIS-09.06B,"Options for risk treatment may involve one or more of the following: 1. Avoiding the risk by deciding not to start or continue with the activity that gives rise to the risk; 2. Taking or increasing the risk in order to pursue an opportunity; 3. Removing the risk source; 4. Changing the likelihood; 5. Changing the consequences; 6. Sharing the risk (e.g. through contracts, buying insurance); and 7. Retaining the risk by informed decision.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-09-SI-04,OIS-09,About the Criteria,OIS-09.07B,Risks that the cloud service provider shares with the cloud service customer are described as part of the SSRM (cf. OIS-03).,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-10-SI-01,OIS-10,About the Criteria,OIS-10.01B,"Risks with a significant impact are those that, if they were to occur, would cause a damage of such a scale as to materially affect the information security of the cloud service, control effectiveness or service commitments of the cloud service provider. Basic Criteria, Additional Criteria, Supplementary Information","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-10-SI-02,OIS-10,Complementary Customer Criteria,,– 5.2 Security Policies and Procedures (SP) Objective: Provide policies and procedures regarding security requirements and to support business requirements.,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SP-01-SI-01,SP-01,About the Criteria,SP-01.01B,"Policies and procedures are required for the following basic criteria in which the content is specified in more detail: 1. Information Security Policy (OIS-02) 2. Risk Management Policy (OIS-07); 3. Remote Working - Policy (HR-07); 4. Asset Management Framework (AM-01); 5. Policy for the Proper and Secure Use of Assets (AM-05); 6. Physical Security and Environmental Control Requirements (PS-01); 7. Physical Site Access Control (PS-04); 8. Workplace Security Requirements (PS-08); 9. Protection Against Malware - Policies and Procedures (OPS-04); 10. Data Backup and Recovery - Policies and Procedures (OPS-06); 11. Logging and Monitoring - Policies and Procedures (OPS-10); 12. Logging and Monitoring - Policies and Procedures for Handling Cloud Service Derived Data and Account Data (OPS-11); 13. Managing Vulnerabilities - Policies and Procedures (OPS-18); 14. Managing Incidents and Crashes - Policies and Procedures (OPS-19); 15. Managing Vulnerabilities - Patch Management Policies and Procedures (OPS-27); 16. Separation of Datasets - Policies and Procedures (OPS-30); 17. Confidential Computing - Policies and Procedures (OPS-32); 18. Container Management - Policies and Procedures (OPS-34); 19. Policy for Identities and Access Rights (IAM-01); 20. Authentication Mechanisms (authentication policy) (IAM-08); 21. Policy for the Use of Cryptographic Mechanisms (CRY-01); 22. Technical Safeguards (COS-01); 23. Policies for Data Transmission (COS-08); 24. Policies for the Development/Procurement of System Components (DEV-01); 25. Policies for Changes to System Components (DEV-03); 26. Secure Use of Third Party Hardware and Software (policies and procedures for the use of third party and open source software) (DEV-14); 27. Policies and Procedures for Controlling and Monitoring Service Organisations (SSO-01); 28. Controlling Exchanges with Suppliers of Functional Components (SSO-08); 29. Policy for Security Incident Management (SIM-01); 30. Business Continuity and Emergency Management System (BCM-01); Basic Criteria, Additional Criteria, Supplementary Information 31. Policy for Planning and Conducting Audits (COM-02); and 32. Communication of Technical Procedures for Data Disclosure in Investigation Requests (INQ-04).","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SP-01-SI-02,SP-01,About the Criteria,SP-01.02B,The appropriateness of the demand-oriented communication and provision should be assessed against the size and complexity of the cloud service provider’s organisation and the type of cloud service offered. Possible criteria are: 1. Integration of guidelines and procedures in the onboarding of new personnel; 2. Training and information campaigns when adopting new or revising existing policies and procedures; and 3. Form of provision.,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SP-02-SI-01,SP-02,About the Criteria,SP-02.01B,"During an ISO 27001 certification audit, the controls to this criteria are most likely also tested. If it is a joint audit (C5 and ISO), efficiency of audit-once-certify-many may be gained here. If it is a separate audit, the auditor of the C5 attestation engagement can choose to inspect the ISO report instead of testing the control again, if the provided evidence is conclusive enough.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SP-02-SI-02,SP-02,About the Criteria,SP-02.02B,"Significant changes include, but are not limited to, any circumstances or events that materially affect the scope, effectiveness, or objectives of the information security policy. Specifically, significant changes are e.g.: Basic Criteria, Additional Criteria, Supplementary Information 1. Major technical or architectural changes to the cloud platform (e.g., adoption of new infrastructure services, cloud migration, introduction of a new service offering); 2. Substantial updates to national or international laws, regulations, or sector-specific standards (e.g., NIS2, DORA, GDPR) that impact information security obligations; 3. Reorganisation or merger/acquisition of organisational units that affect leadership, decision-making, or key responsibilities related to security; 4. Significant changes in contractual requirements, risk assessments, operational processes, or threat landscape (e.g., new threat intelligence indicating emerging risks, supply chain incidents); 5. Major security incidents or breaches requiring incident response revision; 6. Launch or decommissioning of service components impacting customer data or trust boundaries; and 7. Changes in the composition or responsibilities of top management or the information security steering committee. For an efficient review the cloud service provider can document the nature of each significant change, the rationale for review, and the result of policy adjustments. Automated tracking of policy changes and manual verification of content can also be integrated into the review workflow. The top level management is an appropriate level of management for approving the information security policy.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SP-03-SI-01,SP-03,About the Criteria,SP-03.01B,"During an ISO 27001 certification audit, the controls to this criteria are most likely also tested. If it is a joint audit (C5 and ISO), efficiency of audit-once-certify-many may be gained here. If it is a separate audit, the auditor of the C5 attestation engagement can choose to inspect the ISO report instead of testing the control again, if the provided evidence is conclusive enough.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SP-03-SI-02,SP-03,About the Criteria,SP-03.05B,"This criterion addresses policies and procedures and demands that on this level, no codified deviations from applicable C5 criteria are permitted.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SP-03-SI-03,SP-03,About the Criteria,"SP-03.01B, SP-03.02B, SP-03.03B, SP-03.04B, SP-03.05B, SP-03.01AC, SP-03.02AC, SP-03.03AC","Exceptions in the sense of the criterion can have organisational or technical causes, such as: 1. An organisational unit should deviate from the intended processes and procedures in order to meet the requirements of a cloud service customer; and 2. A system component lacks technical properties to configure it according to the applicable requirements.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SP-03-SI-04,SP-03,About the Criteria,SP-03.01AC,Appropriate level of management for approval are in most cases either the level of management that approved the policies or procedures or the level of management to whom this task is delegated.,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
SP-03-SI-05,SP-03,Complementary Customer Criteria,,"Cloud service customers ensure with suitable controls that they obtain information from the cloud service provider about exceptions to information security policies and procedures in order to assess and appropriately manage the associated risks to their own information security. 5.3 Personnel (HR) Objective: Ensure that personnel understands its responsibilities, is aware of its responsibilities regarding information security, and that the organisation’s assets are protected in the event of changes in responsibilities or termination. Basic Criteria, Additional Criteria, Supplementary Information","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-01-SI-01,HR-01,About the Criteria,HR-01.01B,"This criterion applies to both existing and newly hired personnel. Roles with access to these data types or system components can, depending on their access rights, include, but are not limited to: 1. Cloud software engineers and developers; 2. Cloud architects and cloud infrastructure engineers; 3. Cloud platform engineers and DevOps engineers; 4. System operations engineers and managers; 5. Cloud operations engineers and managers; 6. Cloud network engineers and architecture leads; 7. Cloud security engineers, administrators and security architects; 8. Cloud security operations specialists and analysts; 9. Storage and database engineers; 10. Technical account managers and customer account managers; 11. Customer support engineers; 12. IAM administrators and access management specialists; 13. Cloud compliance managers and risk and compliance analysts; and 14. Information security officers and data protection officers. Personnel refers to both internal and external personnel.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-01-SI-02,HR-01,About the Criteria,HR-01.02B,"This criterion applies to both existing and newly hired personnel. External personnel in the sense of the criterion is that which performs activities in accordance with the processes and procedures of the cloud service provider and that has potential access to cloud service customer data or cloud service derived data. Personnel of service organisations that performs activities according to the service organisation’s own processes and procedures is not covered by this criterion. Permissible verifications of competency and integrity are governed by applicable local laws and the roles of the personnel. In some jurisdictions, the collection, processing, or disclosure of such information is fundamentally restricted or even prohibited, meaning they may be unable to be obtained at all or only in a very limited form. Where permitted, explicit consent by the personnel may be required depending on the nature and scope of the checks. These legal constraints also apply to any analyses concerning blackmailing. The verification of qualification and trustworthiness can be supported by specialised service providers or be based on voluntary self-disclosure of the personnel. Depending on national legislation, national equivalents of the German certificate of good conduct (‘Führungszeugnis’) may also be permitted. Assessing the vulnerability of potential personnel to blackmail can involve evaluating their creditworthiness. However, this assessment may only be legally permissible for positions with significant financial responsibility, depending on local regulations. Risks related to inappropriate access to cloud service customer data may be mitigated by the use of encryption or monitoring system access for suspicious events. Although such measures are not supposed to completely substitute the above-mentioned verification measures, the extent of such measures may be reduced. Basic Criteria, Additional Criteria, Supplementary Information","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-01-SI-03,HR-01,About the Criteria,HR-01.01AC,"Cloud service providers can implement various methods to assess competence and integrity of personnel in high risk positions, such as: 1. Self-disclosure of significant financial interests to determine conflicts of interest and susceptibility to blackmail; 2. Regular checking of certificates of good conduct, police clearance or other national equivalents; 3. Regular self-declaration of commitment with applicable policies and obligations; 4. Enforcing regular ethics and compliance trainings, including certification and testing of the personnel’s understanding of applicable requirements and policies; 5. Enforcing regular participation in assessment centers to evaluate personnel’s competence and integrity; and 6. Regular checks of personnel against national and international sanctions lists.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-02-SI-01,HR-02,About the Criteria,HR-02.03B,These agreements are prescribed in more detail in HR-06.,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-03-SI-01,HR-03,About the Criteria,HR-03.01B,"The target groups may be defined considering job function, job position and the associated risk classification. Target groups serve to simplify and systematise the security training and awareness programme.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-03-SI-02,HR-03,About the Criteria,HR-03.03AC,"The measurement and evaluation of learning outcomes in a target group-oriented manner, as specified by the additional criterion, do not require assessing each member of the personnel individually. Instead, evaluations can be performed at an aggregated level, focusing on the overall effectiveness of the training program for specific target groups. This approach allows for the identification of trends and areas for improvement within the program while respecting the personnel’s privacy requirements.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-04-SI-01,HR-04,About the Criteria,HR-04.04B,"With regards to the use of disciplinary measures, the submission of anonymised evidence is acceptable and does not imply that the basic criterion is not fully fulfilled.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-05-SI-01,HR-05,Complementary Customer Criteria,,"– Basic Criteria, Additional Criteria, Supplementary Information","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-06-SI-01,HR-06,About the Criteria,HR-06.01B,"A non-disclosure agreement (NDA) is a legal document and has content required by both parties to protect confidential information. Processes and procedures around media handling can be managed separately outside of the NDA. An NDA should cover: 1. Which information or data types must be kept confidential; 2. The period for which this confidentiality agreement applies; 3. What actions must be taken upon termination of this agreement, e.g. destruction or return of data medium; 4. How the ownership of information is regulated; 5. What rules apply to the use and disclosure of confidential information to other partners, if necessary; and Basic Criteria, Additional Criteria, Supplementary Information 6. The consequences of a breach of the agreement. These agreements are described in general in HR-02.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-06-SI-02,HR-06,About the Criteria,"HR-06.02B, HR-06.03B, HR-06.05B","Confidentiality or non-disclosure agreements should be signed by means of an electronic signature, insofar as this is legally binding.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-07-SI-01,HR-07,About the Criteria,HR-07.01B,Please note that this criterion refers to off-site working places whereas PS-08.01B addresses security requirements for on-site office workplaces. The guidelines for the personnel for safe handling and storage of sensitive information and data types refer to organisational measures the personnel is obligated to follow. Remote access security requirements refer to technical measures like e.g. MFA and VPN and also rules for the particular work place that follow from general considerations about working e.g. in public places where the screen can be spied on.,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
HR-07-SI-02,HR-07,Complementary Customer Criteria,,"– Basic Criteria, Additional Criteria, Supplementary Information","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
