definition_id,term,definition,category,defined_in_section,source_document
DEF-CONFIDENTIALITY,Confidentiality,"The property that information is not made available or disclosed to unauthorised individuals, entities, or processes.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CYBERSECURITY-RISK,Cybersecurity risk,"Cybersecurity risks are effects of uncertainty associated with information and technology. Cybersecurity risks relate to the loss of confidentiality, authenticity, integrity (cf. below), or availability of information, data, or information systems. They reflect potential adverse impacts to organisational operations (i.e., mission, functions, image, or reputation) and assets, in particular with regards to the security of network and information systems.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-FRAMEWORK,Framework,"A framework is a structured set of policies, procedures, guidelines and accompanying documents that provide an organised approach for archieving specific objectives.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-FUNCTIONAL-COMPONENT,Functional component,"Functional building block needed to engage in an activity, backed by an implementation.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-GUIDELINE,Guideline,"A guideline provides recommendations, orientation and good practice about a specific topic. They are less formal than policies or procedures (both cf. below) and do in general not exhibit requirements. They often serve as explanations for policies and help to set procedures.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-HARDWARE-COMPONENTS,Hardware components,System components (cf. below) that are classified as hardware.,Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-HARDWARE-OBJECTS,Hardware objects,"Physical and virtual infrastructure resources (e.g. servers, storage systems, network components), as well as end point devices if the cloud service provider has determined in a risk assessment that these could endanger the information security of the cloud service in the event of loss or unauthorised access (e.g. mobile devices used as security tokens for authentication).",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-ICT-SERVICE,ICT service,"A service consisting fully or mainly in the transmission, storing, retrieving or processing of information by means of network and information systems.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-INCIDENT,Incident,"Unplanned interruption to the cloud service, a reduction in the quality of the cloud service or an event that has not yet impacted the cloud service to the cloud service customer.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-INFORMATION-SECURITY,Information Security,"Information security refers to the practices and principles designed to protect information from unauthorized access, use, disclosure, disruption, modification or destruction. In the context of this catalogue, it ensures confidentiality, integrity, authenticity and availability of cloud service customer data, cloud service provider data, cloud service derived data and account data.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-INTEGRITY,Integrity,"The property that information is complete, accurate (correct, undamaged) and protected from manipulation and unintentional or erroneous alteration.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-LOCATION,Location,"A location is a single premises containing one or more data halls, each with separate power supply, network connectivity, and fire protection. Each location is physically separated from all other locations and is exclusive to a single zone.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-LOG,Log,A document used to record and describe or denote selected items identified during execution of a process or activity. Log data includes both cloud service derived data and cloud service provider data.,Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-MAXIMAL-TOLERABLE-PERIOD-OF-DISRUPTION-MTPD,Maximal tolerable period of disruption (MTPD),Time limit until which a business process may be unavailable before intolerable consequences arise for an organisation. The time limit is determined based on a damage assessment of the affected business process.,Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-MINIMUM-BUSINESS-CONTINUITY-OBJECTIVE-MBCO,Minimum business continuity objective (MBCO),Capacity required in an emergency to ensure adequate business operations. The MBCO is determined individually for each business process or resource.,Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-PARTITION,Partition,"A partition is an overarching grouping of regions (cf. below) that share a unified identity and access management (IAM) system for both cloud service provider personnel and customers. Each region is exclusively part of one partition, and there is strict separation without shared infrastructure between partitions.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-PENETRATION-TEST,Penetration test,"Authorised, simulated real-world attack of system components for identifying ways to exploit vulnerabilities to circumvent or defeat the security features of the cloud service.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-POLICY,Policy,Intentions and directions of an organisation that are formally expressed by its top management.,Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-PROCEDURE,Procedure,"A procedure is often connected to a policy and describes how a policy, process or task is put into concrete action; i.e. it operationalises the expectations that policies lay out.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-PROTECTION-NEED,Protection need,"Sufficient and adequate level of information security for the cloud service provider’s customers with respect to the information processed, stored or transmitted in the cloud service. The protection need of system components and data is inherited from the protection need of the cloud service. The cloud service customer has to decide for themselves whether or not the level of information security for the cloud service customer data, cloud service derived data and account data suffices according to their own protection need.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-RECOVERY-POINT-OBJECTIVE-RPO,Recovery point objective (RPO),"Maximum age that available data may have in order to enable the adequate operation of time-critical business processes after a disruption. The RPO is usually specified as the required frequency of data backups per application, IT system or business process.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-RECOVERY-TIME-OBJECTIVE-RTO,Recovery time objective (RTO),"The period of time following an incident within which a product, service or activity must be resumed, or resources must be recovered, to a predefined level, in order to limit the impact of the interruption to an acceptable level.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-REDUNDANCY,Redundancy,"Availability of alternate components, systems, or processes to assume the intended function following the failure of one or more components, in order to maintain the required level of service.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-REGION,Region,"A region comprises one or more zones (cf. below), all situated within a single metropolitan area (metropole). Cloud service providers may use any name for a region, such as ‘EU-south-west’, but the region’s infrastructure must be confined to one metropolitan area and never dispersed as broadly as an entire Introduction",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-RESILIENCE,Resilience,"Ability to resist, adapt to, or quickly recover from potentially disruptive events or conditions, whether natural or anthropogenic, in order to maintain or restore the intended service.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-RISK-OWNER,Risk Owner,Person or entity with the accountability and authority to manage a risk.,Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-SECURITY-INCIDENT,Security incident,"Event compromising the availability, authenticity, integrity or confidentiality of stored, transmitted or processed data or of the services offered by, or accessible via, system components of the cloud service. An incident is a materialised cybersecurity risk. A security incident is a strict subset of incidents.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-SIGNIFICANT-CHANGE,Significant change,"Addition, modification, or removal of system components (cf. below) that could reasonably be expected to materially impact information security risks, control effectiveness or contractual obligations of the cloud service provider. Exemplary events that could represent a significant change are listed in the supplementary information for criterion OPS-22.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-SOFTWARE-COMPONENTS,Software components,System components (cf. below) that are classified as software.,Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-SYSTEM-COMPONENTS,System components,"Elements of information and communication technology systems required for the information security of the cloud service during the creation, processing, storage, transmission, deletion or destruction of information in the cloud service provider’s area of responsibility, which may be classified into the following five categories: infrastructure, software, people, procedures, and data.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-TIMELY,Timely,"Done or occurring sufficiently early, without unreasonable delay, considering the nature of the matter and the potential harm it could cause, including the cloud service provider’s ability to meet the C5 criteria.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-VULNERABILITY-SCAN,Vulnerability scan,"Use of a variety of automated tools combined with manual verification of identified issues to identify, assess, and report vulnerabilities that, if exploited, may result in intentional or unintentional compromise of the cloud service and its data.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-ZONE,Zone,"A zone is a logical group consisting of at least two locations in close proximity to each other. Zones are physically segregated with separate power supply, cooling, networking and environmental risk profiles, such as separate fire compartments, to minimise the risk that disruptions at one zone impact the availability of other zones within a region.",Terms related to Cloud Security,1.2.1,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-ATTESTATION-ENGAGEMENT,Attestation engagement,"An assurance engagement in which a party other than the practitioner (cf. below) measures or evaluates the underlying subject matter against the criteria. A party other than the practitioner also often presents the resulting subject matter information in a report or statement and concludes whether or not the subject matter information is free from material misstatement (cf. below). Please note: In general usage, assurance engagements are called audits, whereas public accountants use the term audit for financial statement audit engagements, only. To ease understanding also for general readers, we use the term audit in the description to refer to general usage although it is not an audit engagement of a financial statement but an attestation engagement.",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-C5-CRITERIA,C5 criteria,The criteria applied to assess the information security of the cloud service and defined in this catalogue.,Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CARVE-OUT-METHOD,Carve-out method,"Method of addressing the services provided by a subservice organisation (cf. below) in which the components of the subservice organisation’s system of internal control (cf. below) used to provide the services to the cloud service provider are excluded from the description of the cloud service provider’s system of internal control relevant to the development and operation of the cloud service, and from the scope of the audit. Consequently, no information provided about the subservice organisation beyond the information obtained by the cloud service provider for the operation of its controls to meet the criteria of the SSO domain is considered in the audit. However, the description of the system of internal control identifies (a) the nature of the services performed by the subservice organisation; (b) the types of controls expected to be performed at the subservice organisation that are necessary, in combination with controls at the cloud service provider, to provide reasonable assurance that the applicable C5 criteria were achieved; and (c) the controls at the cloud service provider used to monitor the effectiveness of the subservice organisation’s controls.",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CLAIM,Claim,Information declared by the cloud service provider.,Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-COMPLEMENTARY-USER-ENTITY-CONTROLS-CUEC,Complementary user entity controls (CUEC),"Controls (cf. below) that a cloud service provider assumed, in the design of its system of internal control (cf. below) relevant to the development and operation of the cloud service, would be implemented by cloud service customers (user entities). The implemented complementary user entity controls together with the cloud service provider internal controls are necessary to provide reasonable assurance that the applicable C5 criteria are met.",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-COMPLEMENTARY-SUBSERVICE-ORGANISATION-CONTROLS-CSOC,Complementary subservice organisation controls (CSOC),"Controls (cf. below) that cloud service provider assumed, in the design of its system of internal control (cf. below) relevant to the development and operation of the cloud service, would be implemented by the subservice organisation (cf. below). The complementary subservice organisation controls together with the Introduction",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CONTROL,Control,"Policy or procedure to reduce the likelihood of events occurring or to detect events that have occurred in order to maintain the information security of the cloud service. Controls exist within each of the five components of the cloud service provider’s system of internal control (control environment, risk assessment, control activities, information and communication and monitoring activities). A control is either preventive (designed to avoid an unintended event or result at the time of initial occurrence) or detective (designed to discover an unintended event or result after the initial processing has occurred, but before the ultimate objective has concluded, and with action taken to correct or avoid an unintended event our result).",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CONTROL-ACTIVITIES,Control activities,Actions established by policies and procedures to help ensure that management directives to mitigate risks to the achievement of objectives are carried out.,Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-CONTROL-ENVIRONMENT,Control environment,"Set of standards, processes and structures that provide the basis for carrying out internal control across the organisation.",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-DEFICIENCY,Deficiency,Term used to identify misstatements resulting from controls that were not suitably designed or did not operate effectively.,Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-DEVIATION,Deviation,"Term used to identify misstatements resulting from the failure of a control to operate in a specific instance. A deviation may, individually or in combination with other deviations, result in a deficiency.",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-DIRECT-ENGAGEMENT,Direct engagement,An audit engagement in which the practitioner (auditor) audits the cloud service as the underlying subject matter against the C5 criteria and presents the resulting subject matter information as part of its reporting.,Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-INCLUSIVE-METHOD,Inclusive method,"Method of addressing the services provided by a subservice organisation (cf. below) in which the description of the cloud service provider’s system of internal control (cf. below) relevant to the development and operation of the cloud service includes a description of (a) the nature of the services provided by the subservice organisation; (b) the components of the subservice organisation’s system of internal control used to provide services to the cloud service provider, including the subservice organisation’s controls that are necessary, in combination with controls at the cloud service provider, to provide reasonable assurance that the applicable C5 criteria were met; and (c) the controls at the cloud service provider used to monitor the effectiveness of the subservice organisation’s controls. (When using the inclusive method, controls at the subservice organisation are subject to the auditor’s test procedures. Because the subservice organisation’s system components are included in the description, those components are included in the scope of the audit.)",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-INFORMATION-AND-COMMUNICATION,Information and communication,Information is necessary for the entity to carry out internal control responsibilities in support achievement of its objectives. Communication occurs both internally and externally and provides the organisation with the information needed to carry out day-to-day controls Introduction,Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-MATERIAL-MISSTATEMENT,Material misstatement,"Deficiencies in the statement, e.g.: 1. Information does indicate that controls are not suitably designed, not implemented or not operating effectively to meet the C5 criteria with reasonable assurance; 2. Information is false or missing that may be individually or collectively relevant to the cloud service provider’s customers in order to assess the information security of the cloud service; or 3. Information includes inappropriate generalisations or unbalanced and distorting representations that may mislead the cloud service provider’s customers.",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-MONITORING-ACTIVITIES,Monitoring activities,"Ongoing evaluations, separate evaluations, or some combination thereof to ascertain whether each of the five components of internal controls is present and functioning.",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-PRACTITIONER,Practitioner,"The individual(s) conducting the audit, also referred to as the ‘auditor’. Risk assessment Process for identifying and analysing risks to achieving the entity’s objectives.",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-SERVICE-ORGANISATION,Service Organisation,"Partners, vendors, or other third parties that provide services to the cloud service provider associated with the development or operation of the cloud service.",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
DEF-SUBSERVICE-ORGANISATION,Subservice organisation,"Service organisations for which the following characteristics apply in combination: 1. The services provided by the service organisation are likely to be relevant to the cloud service customers’ understanding of the applicable C5 criteria. A service is likely relevant, if the service organisation has access to system components of the cloud service and may access confidential information or transmit information between themselves and the cloud service. 2. Complementary subservice organisation controls (CSOC) at the service organisation are required in combination with the controls of the cloud service provider, to meet the applicable C5 criteria with reasonable assurance.",Terms related to Audits,1.2.2,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
