article_id,label,number,chapter_id,chapter_title,text,subject_actor,source_document
ART-12,Article (12),12,CH-3,Liabilities of Controller and Processor,"The Controller shall, at the time of disclosing Personal Data or transferring it to the Processor, take into consideration that it is in line with Lawful Purposes and is processed according to provisions hereof.",Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-13,Article (13),13,CH-3,Liabilities of Controller and Processor,"Each of the Controller and the Processor shall take the precautions necessary to protect Personal Data against loss, damage, change, disclosure, access thereto, or the inadvertent or illegal use thereof. Such precautions shall be commensurate with the nature and the importance of the Personal Data intended to be protected. The Processor shall forthwith notify the Controller of the existence of any breach of the precautions referred to, or where any risk arises threatening Personal Data in any way.",Controller; Processor,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-14,Article (14),14,CH-3,Liabilities of Controller and Processor,"The Controller shall inform the Individual and Competent Department of the occurrence of any breach of the precautions provided for in the preceding Article, and if such breach may cause serious damage to Personal Data or individual privacy.",Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-15,Article (15),15,CH-3,Liabilities of Controller and Processor,"Taking into account the liabilities provided for hereto, the Controller shall be forbidden from taking any decision or measure that may limit the Cross-Border Data Flow, unless the processing of such data is in breach of this Law, or where such processing may cause serious damage to the Personal Data or to the Individual's privacy.",Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-16,Article (16),16,CH-4,Personal Data with Special Nature,"The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature. The Minister may add other types of Personal Data of a special nature, where the misuse or disclosure of the same may cause serious damage to Individual. Personal Data of a special nature may only be processed after obtaining the permission from the Competent Department, as per the measures and controls determined by a decision issued by the Minister. The Minister may, upon a decision therefrom, imposing additional precautions with the intent of protecting Personal Data of a special nature.",Minister; Competent Department,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-17,Article (17),17,CH-4,Personal Data with Special Nature,"Taking into consideration the liabilities provided for hereto, an owner or operator of any website addressing children shall take into account the following:",owner or operator of any website addressing children,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-18,Article (18),18,CH-5,Exemptions,"The Competent Authority may decide to process some Personal Data, without abiding by the provisions of Articles (4), (9), (15) and (17) hereof, for achieving any of the following purposes:",Competent Authority,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-19,Article (19),19,CH-5,Exemptions,"The Controller shall be exempted from the provisions of Articles (4), (5\ Items 1, 2, and 3) and (6) hereof, in any of the following cases:",Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-20,Article (20),20,CH-5,Exemptions,"The Controller shall be exempted from disclosing the reasons for the refusal thereof of abiding by the rights of the Individual, as provided for in Article (6) hereof, if such disclosure would prevent achieving the purposes stipulated in Article (18) hereof.",Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-21,Article (21),21,CH-5,Exemptions,"Taking into consideration the provisions of the preceding two Article, the Controller shall be exempted from abiding by provisions of Article (6) hereof, in either of the following two cases:",Controller,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-22,Article (22),22,CH-6,Electronic Communication for the Purpose of Direct Marketing,"The transmission of any Electronic Communication to an Individual, for the purpose of Direct Marketing, shall be forbidden, except after obtaining the prior consent thereof. The Electronic Communication shall include the identity of the originator thereof, and highlight that it is sent for the purpose of Direct Marketing. In addition, it shall include a valid address for easy access thereto and through which an Individual can send a request to the originator to stop such communications or revoke the consent on the sending thereof.",,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-23,Article (23),23,CH-7,Penalties,"Without prejudice to any more severe penalty stipulated in any other law, a penalty that shall not exceed (1, 000,000) one million QR shall be applicable to anyone violating any of the provisions of the Articles (4, 8, 9, 10, 11, 12, 14, 15, and 22) hereof.",,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-24,Article (24),24,CH-7,Penalties,"Without prejudice to any more severe penalty stipulated in any other law, a penalty that shall not exceed (5, 000, 000) five million QR shall be applicable to anyone violating any of the provisions of the Articles (13), (16\ paragraph 3), and (17) hereof.",,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-25,Article (25),25,CH-7,Penalties,"A penalty that shall not exceed (1,000,000) One million QR shall be applicable to violating legal person, in the event of committing any of those crimes stipulated herein on the name or for the interest thereof, without prejudice to criminal liability taken by affiliated natural person.",legal person,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-26,Article (26),26,CH-8,Final Provisions,"An Individual may file a complaint to the Competent Department in case of violating provisions hereof and the issued decisions in the implementation thereof. The Competent Department may, after investigating received complaints and proving the seriousness thereof, issue a reasoned decision binding the Controller or Processor, as the case may be, to rectify such breach within a period it specifies. The Controller or Processor may raise a grievance against such decision to the Minister, within sixty days from the notification date thereof. The Minister shall decide on the grievance within sixty days from the date of the submission thereof, and the lapse of such period without a response shall be considered as an implicit rejection of the grievance, and the decision of the Minister thereon shall be final.",Individual; Competent Department; Minister,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-27,Article (27),27,CH-8,Final Provisions,"The Competent Department may, for the purpose of applying and implementing provisions hereof, take all necessary measures thereto, and in particular the following:",Competent Department,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-28,Article (28),28,CH-8,Final Provisions,Any contract or agreement made in violation of the provisions hereof shall be regarded as null and void.,,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-29,Article (29),29,CH-8,Final Provisions,"The Ministry employees, authorized as law enforcement officers as per a decision by the Public Prosecutor, in agreement with the Minister, may detect and prove crimes committed in violation of provisions hereof.",Ministry employees,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-30,Article (30),30,CH-8,Final Provisions,"Parties falling under provisions hereof shall, within six months from the date of the effectiveness thereof, adjust their conditions in line with provisions hereof. Such period may be extended for other similar period or periods by virtue of a decision of the Council of Ministers, upon the proposal of the Minister.",Parties falling under provisions hereof,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-31,Article (31),31,CH-8,Final Provisions,The Minister shall issue the necessary decisions for the implementation of the provisions hereof.,Minister,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-32,Article 32,32,CH-8,Final Provisions,"All the competent authorities, each within the competences thereof, shall implement this Law, and it shall be published in the official gazette.",competent authorities,KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
