clause_id,article_id,article_number,clause_number,clause_type,text,modal,citation,source_document
ART-21-1,ART-21,21,1,item,When disclosure would cause harm to commercial interests of another individual.,,Article (21)(1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-21-2,ART-21,21,2,item,"When implementation of such liability would cause disclosing Personal Data related to another Individual who does not consent thereto, and disclosure may lead to physical or moral damage either to this Individual or to any other Individual.",may,Article (21)(2),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-22-P1,ART-22,22,paragraph 1,paragraph,"The transmission of any Electronic Communication to an Individual, for the purpose of Direct Marketing, shall be forbidden, except after obtaining the prior consent thereof.",shall,Article (22)(paragraph 1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-22-P2,ART-22,22,paragraph 2,paragraph,"The Electronic Communication shall include the identity of the originator thereof, and highlight that it is sent for the purpose of Direct Marketing.",shall,Article (22)(paragraph 2),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-22-P3,ART-22,22,paragraph 3,paragraph,"In addition, it shall include a valid address for easy access thereto and through which an Individual can send a request to the originator to stop such communications or revoke the consent on the sending thereof.",shall,Article (22)(paragraph 3),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-26-P1,ART-26,26,paragraph 1,paragraph,An Individual may file a complaint to the Competent Department in case of violating provisions hereof and the issued decisions in the implementation thereof.,may,Article (26)(paragraph 1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-26-P2,ART-26,26,paragraph 2,paragraph,"The Competent Department may, after investigating received complaints and proving the seriousness thereof, issue a reasoned decision binding the Controller or Processor, as the case may be, to rectify such breach within a period it specifies.",may,Article (26)(paragraph 2),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-26-P3,ART-26,26,paragraph 3,paragraph,"The Controller or Processor may raise a grievance against such decision to the Minister, within sixty days from the notification date thereof.",may,Article (26)(paragraph 3),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-26-P4,ART-26,26,paragraph 4,paragraph,"The Minister shall decide on the grievance within sixty days from the date of the submission thereof, and the lapse of such period without a response shall be considered as an implicit rejection of the grievance, and the decision of the Minister thereon shall be final.",shall,Article (26)(paragraph 4),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-27-1,ART-27,27,1,item,"Coordinating with any professional group or association, and any other association representing Controllers or Website Operators for the purpose of self-organization encouragement and development, and raising awareness of this Law and developing training and learning programs.",,Article (27)(1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-27-2,ART-27,27,2,item,Working with organizations and societies interested in family affairs to enhance the safety of children on the internet.,,Article (27)(2),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-27-3,ART-27,27,3,item,"Conducting researches and monitor developments in technology's fields related to issues covered by this Law, and preparing reports or recommendations on the same.",,Article (27)(3),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-30-P1,ART-30,30,paragraph 1,paragraph,"Parties falling under provisions hereof shall, within six months from the date of the effectiveness thereof, adjust their conditions in line with provisions hereof.",shall,Article (30)(paragraph 1),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
ART-30-P2,ART-30,30,paragraph 2,paragraph,"Such period may be extended for other similar period or periods by virtue of a decision of the Council of Ministers, upon the proposal of the Minister.",may,Article (30)(paragraph 2),KB 2/Qatar/Qatar Personal Data Privacy Protection Law.pdf
