letter_id,parent_paragraph_id,article_id,article_number,paragraph_number,letter,citation,text,source_document
art_5_p0_g,art_5_p0,art_5,5,,g,Art. 5 let. g,high-risk profiling means profiling that poses a high risk to the data subject's personality or fundamental rights by matching data that allow an assessment to be made of essential aspects of the personality of a natural person;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_h,art_5_p0,art_5,5,,h,Art. 5 let. h,"breach of data security means a breach of security that leads to the accidental or unlawful loss, deletion, destruction or modification or unauthorised disclosure or access to personal data;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_i,art_5_p0,art_5,5,,i,Art. 5 let. i,federal body means an authority or service of the Confederation or a person entrusted to carry out public tasks on behalf of the Confederation;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_j,art_5_p0,art_5,5,,j,Art. 5 let. j,"controller means a private person who or federal body which, alone or jointly with others, determines the purpose and the means of processing personal data;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0_k,art_5_p0,art_5,5,,k,Art. 5 let. k,processor means a private person or federal body that processes personal data on behalf of the controller.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_6_p7_a,art_6_p7,art_6,6,7,a,Art. 6 para. 7 let. a,processing sensitive personal data;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_6_p7_b,art_6_p7,art_6,6,7,b,Art. 6 para. 7 let. b,high-risk profiling by a private person; or,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_6_p7_c,art_6_p7,art_6,6,7,c,Art. 6 para. 7 let. c,profiling by a federal body.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_9_p1_a,art_9_p1,art_9,9,1,a,Art. 9 para. 1 let. a,the data is processed only in the manner in which the controller itself is permitted to do it; and,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_9_p1_b,art_9_p1,art_9,9,1,b,Art. 9 para. 1 let. b,no statutory or contractual duty of confidentiality prohibits assignment.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10_p2_a,art_10_p2,art_10,10,2,a,Art. 10 para. 2 let. a,training and advising the private controller in matters of data protection;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10_p2_b,art_10_p2,art_10,10,2,b,Art. 10 para. 2 let. b,providing support on applying the data protection regulations.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10_p3_a,art_10_p3,art_10,10,3,a,Art. 10 para. 3 let. a,The data protection officer exercises his or her function towards the controller in a professionally independent manner and is not bound by any instructions.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10_p3_b,art_10_p3,art_10,10,3,b,Art. 10 para. 3 let. b,He or she does not carry out any activities that are incompatible with his or her tasks as a data protection officer.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10_p3_c,art_10_p3,art_10,10,3,c,Art. 10 para. 3 let. c,He or she has the required expertise.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10_p3_d,art_10_p3,art_10,10,3,d,Art. 10 para. 3 let. d,The controller publishes the contact details of the data protection officer and notifies the FDPIC thereof.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p2_a,art_12_p2,art_12,12,2,a,Art. 12 para. 2 let. a,the identity of the controller;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p2_b,art_12_p2,art_12,12,2,b,Art. 12 para. 2 let. b,the purpose of processing;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p2_c,art_12_p2,art_12,12,2,c,Art. 12 para. 2 let. c,a description of the categories of data subjects and the categories of processed personal data;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p2_d,art_12_p2,art_12,12,2,d,Art. 12 para. 2 let. d,the categories of recipients;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p2_e,art_12_p2,art_12,12,2,e,Art. 12 para. 2 let. e,"if possible, the retention period for the personal data or the criteria for determining this period;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p2_f,art_12_p2,art_12,12,2,f,Art. 12 para. 2 let. f,"if possible, a general description of the measures taken to guarantee data security under Article 8;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12_p2_g,art_12_p2,art_12,12,2,g,Art. 12 para. 2 let. g,"if the data are disclosed abroad, details of the State concerned and the guarantees under Article 16 paragraph 2.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_14_p1_a,art_14_p1,art_14,14,1,a,Art. 14 para. 1 let. a,The processing is connected with the offer of goods or services or the monitoring of the behaviour of persons in Switzerland.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_14_p1_b,art_14_p1,art_14,14,1,b,Art. 14 para. 1 let. b,The processing is on a large scale.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_14_p1_c,art_14_p1,art_14,14,1,c,Art. 14 para. 1 let. c,The processing is carried out regularly.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_14_p1_d,art_14_p1,art_14,14,1,d,Art. 14 para. 1 let. d,The processing poses a high risk to the personality of the data subjects.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_16_p2_a,art_16_p2,art_16,16,2,a,Art. 16 para. 2 let. a,a treaty under international law;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_16_p2_b,art_16_p2,art_16,16,2,b,Art. 16 para. 2 let. b,"data protection clauses in an agreement between the controller or the processor and its contractual partner, notice of which has been given to the FDPIC beforehand;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_16_p2_c,art_16_p2,art_16,16,2,c,Art. 16 para. 2 let. c,"specific guarantees drawn up by the competent federal body, notice of which has been given to the FDPIC beforehand;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_16_p2_d,art_16_p2,art_16,16,2,d,Art. 16 para. 2 let. d,"standard data protection clauses that the FDPIC has approved, issued or recognised beforehand; or",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_16_p2_e,art_16_p2,art_16,16,2,e,Art. 16 para. 2 let. e,binding corporate rules that have been approved in advance by the FDPIC or by the authority responsible for data protection in a State that guarantees an adequate level of protection.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1_a,art_17_p1,art_17,17,1,a,Art. 17 para. 1 let. a,The data subject has explicitly consented to disclosure.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1_b,art_17_p1,art_17,17,1,b,Art. 17 para. 1 let. b,Disclosure is directly connected with the conclusion or performance of a contract:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1_c,art_17_p1,art_17,17,1,c,Art. 17 para. 1 let. c,Disclosure is necessary in order to:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1_d,art_17_p1,art_17,17,1,d,Art. 17 para. 1 let. d,"Disclosure is necessary to protect the life or the physical integrity of the data subject or a third party, and it is not possible to obtain the consent of the data subject within a reasonable time.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1_e,art_17_p1,art_17,17,1,e,Art. 17 para. 1 let. e,The data subject has made the data generally accessible and has not explicitly prohibited processing.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17_p1_f,art_17_p1,art_17,17,1,f,Art. 17 para. 1 let. f,"The data originate from a statutory register that is public or accessible to persons with a legitimate interest, provided the statutory requirements for access are met in the case concerned.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_19_p2_a,art_19_p2,art_19,19,2,a,Art. 19 para. 2 let. a,the controller's identity and contact details;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_19_p2_b,art_19_p2,art_19,19,2,b,Art. 19 para. 2 let. b,the purpose of processing;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_19_p2_c,art_19_p2,art_19,19,2,c,Art. 19 para. 2 let. c,"if applicable, the recipients or the categories of recipients to which personal data is disclosed.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p1_a,art_20_p1,art_20,20,1,a,Art. 20 para. 1 let. a,The data subject already has the information concerned.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p1_b,art_20_p1,art_20,20,1,b,Art. 20 para. 1 let. b,The processing is required by law.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p1_c,art_20_p1,art_20,20,1,c,Art. 20 para. 1 let. c,The controller is a private person who is required by law to preserve confidentiality.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p1_d,art_20_p1,art_20,20,1,d,Art. 20 para. 1 let. d,The requirements of Article 27 are satisfied.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p2_a,art_20_p2,art_20,20,2,a,Art. 20 para. 2 let. a,It is not possible to provide the information.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p2_b,art_20_p2,art_20,20,2,b,Art. 20 para. 2 let. b,Providing the information requires disproportionate effort.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p3_a,art_20_p3,art_20,20,3,a,Art. 20 para. 3 let. a,It is required to do so because of overriding third party interests.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p3_b,art_20_p3,art_20,20,3,b,Art. 20 para. 3 let. b,Providing the information defeats the purpose of the processing.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p3_c,art_20_p3,art_20,20,3,c,Art. 20 para. 3 let. c,The controller is a private person and the following requirements are satisfied:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20_p3_d,art_20_p3,art_20,20,3,d,Art. 20 para. 3 let. d,The controller is a federal body and any one of the following requirements is satisfied:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_21_p3_a,art_21_p3,art_21,21,3,a,Art. 21 para. 3 let. a,the automated individual decision is directly connected with the conclusion or the processing of a contract between the controller and the data subject and the data subject's request is granted; or,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_21_p3_b,art_21_p3,art_21,21,3,b,Art. 21 para. 3 let. b,the data subject has explicitly consented to the decision being automated.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22_p2_a,art_22_p2,art_22,22,2,a,Art. 22 para. 2 let. a,in the case of the large-scale processing of sensitive personal data;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22_p2_b,art_22_p2,art_22,22,2,b,Art. 22 para. 2 let. b,if public areas are systematically monitored on a large scale.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22_p5_a,art_22_p5,art_22,22,5,a,Art. 22 para. 5 let. a,The code of conduct is based on a data protection impact assessment.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22_p5_b,art_22_p5,art_22,22,5,b,Art. 22 para. 5 let. b,It provides for measures to protect the personality and the data subject's fundamental rights.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22_p5_c,art_22_p5,art_22,22,5,c,Art. 22 para. 5 let. c,It has been submitted to the FDPIC.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24_p5_a,art_24_p5,art_24,24,5,a,Art. 24 para. 5 let. a,there is a reason for doing so pursuant to Article 26 paragraph 1 letter b or paragraph 2 letter b or the provision of information is prohibited by a statutory duty of confidentiality;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24_p5_b,art_24_p5,art_24,24,5,b,Art. 24 para. 5 let. b,the provision of information is impossible or requires disproportionate effort; or,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24_p5_c,art_24_p5,art_24,24,5,c,Art. 24 para. 5 let. c,the provision of information to the data subject is equally guaranteed by making a public announcement.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p2_a,art_25_p2,art_25,25,2,a,Art. 25 para. 2 let. a,the identity and the contact details of the controller;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p2_b,art_25_p2,art_25,25,2,b,Art. 25 para. 2 let. b,the processed personal data as such;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p2_c,art_25_p2,art_25,25,2,c,Art. 25 para. 2 let. c,the purpose of processing;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p2_d,art_25_p2,art_25,25,2,d,Art. 25 para. 2 let. d,"the retention period for the personal data or, if this is not possible, the criteria for determining this period;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p2_e,art_25_p2,art_25,25,2,e,Art. 25 para. 2 let. e,"the available information about the source of the personal data, if it has not been collected from the data subject;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p2_f,art_25_p2,art_25,25,2,f,Art. 25 para. 2 let. f,"if applicable, whether an automated individual decision has been taken and the logic behind the decision;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25_p2_g,art_25_p2,art_25,25,2,g,Art. 25 para. 2 let. g,"if applicable, the recipients or the categories of recipients to which personal data is disclosed, as well as the information specified in Article 19 paragraph 4.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p1_a,art_26_p1,art_26,26,1,a,Art. 26 para. 1 let. a,"a formal law so provides, in particular in order to preserve professional secrecy;",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p1_b,art_26_p1,art_26,26,1,b,Art. 26 para. 1 let. b,this is required to safeguard overriding third-party interests; or,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p1_c,art_26_p1,art_26,26,1,c,Art. 26 para. 1 let. c,"the request for information is obviously unjustified, in particular if does not serve the purpose of data protection or is clearly frivolous.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p2_a,art_26_p2,art_26,26,2,a,Art. 26 para. 2 let. a,The controller is a private person and the following requirements are satisfied:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26_p2_b,art_26_p2,art_26,26,2,b,Art. 26 para. 2 let. b,"The controller is a federal body, and one of the following requirements is satisfied:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_27_p1_a,art_27_p1,art_27,27,1,a,Art. 27 para. 1 let. a,The data reveals the sources of the information.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_27_p1_b,art_27_p1,art_27,27,1,b,Art. 27 para. 1 let. b,The provision of information would allow access to drafts of publications.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_27_p1_c,art_27_p1,art_27,27,1,c,Art. 27 para. 1 let. c,The provision of information would compromise the freedom of the public to shape their own opinions.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_28_p1_a,art_28_p1,art_28,28,1,a,Art. 28 para. 1 let. a,the controller is carrying out the automated processing of the data; and,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_28_p1_b,art_28_p1,art_28,28,1,b,Art. 28 para. 1 let. b,the data are being processed with the consent of the data subject or in direct connection with the conclusion or the performance of a contract between the controller and the data subject.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_30_p2_a,art_30_p2,art_30,30,2,a,Art. 30 para. 2 let. a,personal data are processed contrary to the principles of Articles 6 and 8;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_30_p2_b,art_30_p2,art_30,30,2,b,Art. 30 para. 2 let. b,personal data are processed contrary to the express wishes of the data subject;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_30_p2_c,art_30_p2,art_30,30,2,c,Art. 30 para. 2 let. c,sensitive personal data are disclosed to third parties.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_a,art_31_p2,art_31,31,2,a,Art. 31 para. 2 let. a,The controller processes personal data relating to a contracting party in direct connection with the conclusion or the performance of a contract.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_b,art_31_p2,art_31,31,2,b,Art. 31 para. 2 let. b,The controller is or intends to be in commercial competition with another person and for this purpose processes personal data that are not disclosed to third parties; legal entities that belong to the same group of companies as the controller are not regarded as third parties for the purposes of this provision.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_c,art_31_p2,art_31,31,2,c,Art. 31 para. 2 let. c,"The controller processes personal data to verify the creditworthiness of the data subject, provided the following requirements are satisfied:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_d,art_31_p2,art_31,31,2,d,Art. 31 para. 2 let. d,"The controller processes the personal data professionally and exclusively for publication in the editorial section of a periodically published medium or the controller uses the data, if they are not published, as an aid to their own personal work.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_e,art_31_p2,art_31,31,2,e,Art. 31 para. 2 let. e,"The controller processes the personal data for purposes not related to specific persons, in particular for research, planning or statistics, provided the following requirements are satisfied:",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31_p2_f,art_31_p2,art_31,31,2,f,Art. 31 para. 2 let. f,The controller collects personal data relating to a public figure that relate to that person's public activities.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_32_p1_a,art_32_p1,art_32,32,1,a,Art. 32 para. 1 let. a,a statutory provision prohibits the correction;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_32_p1_b,art_32_p1,art_32,32,1,b,Art. 32 para. 1 let. b,the personal data are processed for archiving purposes that are in the public interest.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_32_p2_a,art_32_p2,art_32,32,2,a,Art. 32 para. 2 let. a,a specific data processing activity be prohibited;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_32_p2_b,art_32_p2,art_32,32,2,b,Art. 32 para. 2 let. b,a specific disclosure of personal data to third parties be prohibited;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_32_p2_c,art_32_p2,art_32,32,2,c,Art. 32 para. 2 let. c,personal data be deleted or destroyed.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p2_a,art_34_p2,art_34,34,2,a,Art. 34 para. 2 let. a,The matter involves the processing of sensitive personal data.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p2_b,art_34_p2,art_34,34,2,b,Art. 34 para. 2 let. b,The matter involves profiling.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p2_c,art_34_p2,art_34,34,2,c,Art. 34 para. 2 let. c,The purpose or manner of the data processing may lead to a serious violation of the data subject's fundamental rights.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p3_a,art_34_p3,art_34,34,3,a,Art. 34 para. 3 let. a,Processing is essential for a task required by a formal law.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p3_b,art_34_p3,art_34,34,3,b,Art. 34 para. 3 let. b,The purpose of processing poses no particular risks to the data subject's fundamental rights.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p4_a,art_34_p4,art_34,34,4,a,Art. 34 para. 4 let. a,The Federal Council has authorised the processing because it considers that the data subject's rights are not at risk.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p4_b,art_34_p4,art_34,34,4,b,Art. 34 para. 4 let. b,The data subject has consented to the processing in the specific case or has made their personal data generally accessible and has not explicitly prohibited any processing.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34_p4_c,art_34_p4,art_34,34,4,c,Art. 34 para. 4 let. c,"The processing is necessary in order to protect the life or physical integrity of the data subject or of a third party, and it is not possible to obtain the consent of the data subject within a reasonable time.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_35_p1_a,art_35_p1,art_35,35,1,a,Art. 35 para. 1 let. a,the tasks for which the processing is required are regulated in a formal law that is already in force;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_35_p1_b,art_35_p1,art_35,35,1,b,Art. 35 para. 1 let. b,adequate measures have been taken to limit any violation of the data subjects' fundamental rights to a minimum; and,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_35_p1_c,art_35_p1,art_35,35,1,c,Art. 35 para. 1 let. c,"a test phase before the enactment comes into force is essential for the practical implementation of the data processing, in particular for technical reasons.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p2_a,art_36_p2,art_36,36,2,a,Art. 36 para. 2 let. a,The data must be disclosed in order for the controller or the recipient to fulfil a statutory duty.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p2_b,art_36_p2,art_36,36,2,b,Art. 36 para. 2 let. b,The data subject has consented to disclosure.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p2_c,art_36_p2,art_36,36,2,c,Art. 36 para. 2 let. c,The data must be disclosed in order to protect the life or physical integrity of the data subject or of a third party and it is not possible to obtain the consent of the data subject within a reasonable time.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p2_d,art_36_p2,art_36,36,2,d,Art. 36 para. 2 let. d,The data subject has made their personal data generally accessible and has not explicitly prohibited any processing.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p2_e,art_36_p2,art_36,36,2,e,Art. 36 para. 2 let. e,"The recipient has credibly shown that the data subject has refused consent or objected to the disclosure in order to prevent the recipient from enforcing legal rights or exercising other legitimate interests; the data subject must be given the opportunity beforehand to comment, unless this is impossible or requires disproportionate effort.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p3_a,art_36_p3,art_36,36,3,a,Art. 36 para. 3 let. a,the data is connected with the fulfilment of public duties; and,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p3_b,art_36_p3,art_36,36,3,b,Art. 36 para. 3 let. b,there is an overriding public interest in the disclosure.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p6_a,art_36_p6,art_36,36,6,a,Art. 36 para. 6 let. a,essential public interests or the manifestly legitimate interests of the data subject so require; or,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36_p6_b,art_36_p6,art_36,36,6,b,Art. 36 para. 6 let. b,statutory duties of confidentiality or special data protection regulations so require.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_37_p2_a,art_37_p2,art_37,37,2,a,Art. 37 para. 2 let. a,There is a legal duty to disclose the data.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_37_p2_b,art_37_p2,art_37,37,2,b,Art. 37 para. 2 let. b,The fulfilment of the body's tasks would otherwise be jeopardised.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_38_p2_a,art_38_p2,art_38,38,2,a,Art. 38 para. 2 let. a,the data are anonymised;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_38_p2_b,art_38_p2,art_38,38,2,b,Art. 38 para. 2 let. b,they must be preserved for evidentiary or security purposes or to safeguard the data subject's legitimate interests.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_39_p1_a,art_39_p1,art_39,39,1,a,Art. 39 para. 1 let. a,the data are anonymised as soon as the purpose of processing permits;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_39_p1_b,art_39_p1,art_39,39,1,b,Art. 39 para. 1 let. b,the federal body only discloses sensitive personal data to private persons in such a manner that the data subjects are not identifiable;,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
