clause_id,parent_id,label,text,source_document
clause_0011,sub_003,,"As for the principles, some have been consolidated. Specifically, two principles within the Governance and Culture component were combined into one to focus on core values. As well, within the Strategy and Objective-Setting component, the principles Considers Risk while Establishing Business Objectives and Defines Acceptable Variation in Performance were merged into one, Formulates Business Objectives, which focuses on establishing objectives and using tolerance to understand how risk impacts the achievement of those objectives. Lastly, within the Information, Communication, and Reporting component, the principles Use Relevant Information and Leverages Information Systems were merged into one to focus on information and technology supporting enterprise risk management practices. Some respondents also expressed concern about the length of the document and complexity of the language. Specifically, they requested greater use of plain language to make certain technical terms accessible to a wider audience. These concerns were addressed by consolidating principles as discussed above. Additionally, the Framework was revised to reduce sentence length to improve readability. Specifically, the Flesch–Kincaid readability tool was used to identify areas for improvement as well as to confirm the readability for similar standards and frameworks. Given the complexity of certain topics, the overall Framework remains a comprehensive document in length to sufficiently develop and clarify concepts.",COSO Enterprise Risk Management Framework.pdf
clause_0012,sub_004,,"Respondents provided various suggestions to amend the definitions of risk and enterprise risk management, including aligning the definitions with other frameworks and standards. Suggestions for defining risk varied from including impact only, separating risk into adverse events (threats) and opportunities, and focusing on uncertainty. Some respondents expressed preference for the 2004 definition of enterprise risk management, in particular the use of risk appetite, roles and responsibilities, and a focus on processes, as opposed to practices. Others preferred the exposure draft definition and requested incorporating decision-making into it. There were also requests to condense the definition by removing “creating, preserving, realizing value” and providing a clear separation between risk management and enterprise risk management. After careful review and analysis of definitions from other standards and frameworks, it was decided the exposure draft’s definitions would be kept. The COSO Board believes those definitions best reflect COSO’s present view of risk and enterprise risk management and align with other COSO frameworks and thought leadership.",COSO Enterprise Risk Management Framework.pdf
clause_0013,sub_005,,"A number of respondents expressed support for integrating enterprise risk management with core business activities, as opposed to having a more process-based approach. Some viewed enterprise risk management as more of a function (e.g., second line of defense), as opposed to a capability. As part of integrating enterprise risk management, respondents requested an expanded discussion on decision-making throughout the Framework, including the role of bias and risk appetite, and a stron-ger connection to culture. Given the focus on capabilities and practices as opposed to a specific function, the Framework contains limited discussion on the lines-of-defense model. Further discussion on roles and responsi-bilities is included in Appendix C.",COSO Enterprise Risk Management Framework.pdf
clause_0014,sub_005,,"The Framework now includes a new chapter, “Integrating Enterprise Risk Management,” which focuses on how enterprise risk management is integrated with strategy-setting through performance, and the value of integration for the entity, such as improved decision-making. The new chapter and each principle in the Framework enhance the discussion of decision-making and the impact of management bias.",COSO Enterprise Risk Management Framework.pdf
clause_0015,sub_006,,"There was diverse feedback on the relationship between enterprise risk management and internal control. Some respondents requested clarification of the structural aspects of the two frameworks (e.g., where there is overlap) and the conceptual linkages of these two topics. Some suggested COSO merge the two frameworks into one, while others preferred two separate and distinct frameworks. Still others suggested including the entirety of the internal control conversation in the Framework rather than referencing Internal Control–Integrated Framework. The new Framework now clarifies the relationship between enterprise risk management and internal control and identifies those instances where it relies on concepts established in Internal Control–Integrated Framework. Since Internal Control–Integrated Framework is used as a regulatory standard, and to avoid inadvertently expanding the scope of that framework for regulatory application, the COSO Board decided to maintain two separate and distinct frameworks. Therefore, the COSO Board did not include components in this update that are common to both frameworks (e.g., control activities) to avoid redundancy and to encourage users to become familiar with both. However, some concepts introduced in Internal Control–Integrated Framework, such as governance of enterprise risk management, are further developed in this Framework. These additions limited the ability to shorten the document.",COSO Enterprise Risk Management Framework.pdf
clause_0016,sub_007,,"Respondents expressed overall support for the emphasis on strategy throughout the Framework. Some requested clarity on the transition from strategy planning to implementation and when to revisit strategy. A few held the view that objectives precede strategy, and others requested replacing strategy with strategic objectives. There were varying opinions about including the setting of mission, vision, and core values within the scope of enterprise risk management. The Framework retains the current focus on the “possibility of strategy not aligning, implications from the strategy chosen, and risks to performing the strategy” as these provide a more detailed analysis of the importance of integrating enterprise risk management with strategy-setting. The Framework now clarifies how enterprise risk management is applied across strategy and performance. It retains the link to mission, vision, and core values as that provides the foundation of the acceptable type and amount of risk. Additionally, the Framework retains the hierarchy relationship between strategy and business objectives, and the terminology of strategy versus strategic objectives, as both are consistent with commonly used strategy and business frameworks.",COSO Enterprise Risk Management Framework.pdf
clause_0017,sub_008,,"Overall, there was positive support for the inclusion and prominence of culture in the exposure draft. Some respondents suggested further expanding the discussion on the culture spectrum and emphasizing links to performance management, conduct, and incentives. A few suggested that culture is not part of the definition of enterprise risk management, while others suggested that entities do have a culture and risk is a part of it. Some wanted a discussion on fraud risk as it relates to culture. The Framework has been revised to consolidate Principles 4, 5, and 6 into the new Principle 4, Demonstrates Commitment to Core Values. This principle emphasizes the relationship between enterprise risk management and the core values established by the board and management for the entity. Additionally, the revised Framework is enhanced with examples of how culture influences enterprise risk management practices and decision-making, including the influence of management bias. It does not include discussions of fraud risk, as this is addressed in Internal Control–Integrated Framework.",COSO Enterprise Risk Management Framework.pdf
clause_0018,sub_009,,"Several respondents took a risk-centric view to risk appetite, as opposed to an objective-centric view. Related comments focused on setting boundaries for specific risks or groups of common risks (e.g., credit risk) and reinforced a view of managing risk through discrete groups. Further, several respondents requested that the discussion on risk appetite be revised to make it measurable for specific risks instead of focused on decision-making. Others requested a visual diagram, demonstrating the hierarchy of risk appetite and tolerance. The Framework retains the use of risk appetite in the development of strategy and business objectives, and the emphasis on how it is used in decision-making. A diagram has been added to clarify the relationship between risk appetite, tolerance, and limits and triggers, and how those elements apply to strategy, objectives, and specific risks. Respondents also questioned the use of acceptable variation in performance in lieu of risk tolerance. In particular, some strongly expressed a desire to revert to using risk tolerance from the 2004 Framework, while others noted the use of acceptable variation in performance as an improvement. The final Framework has revised the use of acceptable variation in performance to tolerance and enhanced the discussion on how tolerance is tied to an entity’s objectives, taking an objective-centric view.",COSO Enterprise Risk Management Framework.pdf
clause_0019,sub_010,,"Some feedback targeted the technical risk assessment practices, including the use of risk profiles. Specifically, several respondents requested a more detailed discussion of quantitative risk assessment methods (e.g., modeling, simulations, decision trees) and other practical tools. Some expressed concern about the value of heat maps, arguing that they are typically risk-centric and do not accurately reflect the relationship of risk with performance. Several noted the absence of discussion on the distribution of outcomes, while many questioned the inclusion of inherent risk assessments.",COSO Enterprise Risk Management Framework.pdf
clause_0020,sub_010,,"The final Framework has revised Principle 11, Assess Severity of Risk, to focus more explicitly on the impact to the achievement of business objectives and strategy. It also clarifies how heat maps can be used to depict risk in the context of objectives. Additionally, a discussion on quantitative approaches to risk assessments was added. Some respondents questioned the practical application of risk profiles, whereas others noted limiting the risk profile to one graphic may be too prescriptive. Those supportive of the risk profiles noted that they provide an effective explanation of the relationship between risk, performance targets, risk capacity, and risk appetite. The final Framework retains the use of risk profiles as they provide management with a view of how risk impacts performance and how risk appetite can be used for decisions. Enhancements have been made to clarify the risk profile graphics across different types of business objectives, and how risk profiles can be used with both qualitative and quantitative data.",COSO Enterprise Risk Management Framework.pdf
clause_0021,sub_011,,"Some respondents requested a detailed discussion on information and technology; others questioned whether data management and technology were within the scope of enterprise risk management. Several focused on reporting information from a risk-centric perspective as opposed to a business viewpoint. The Framework now has a revised Information, Communication, and Reporting component to reduce the focus on information systems and put more emphasis on the greater role of data and evolving technology as part of enterprise risk management. Specifically, information has been added on how an entity manages and analyzes data, and the use of evolving technology to manage data more efficiently and effectively. The Framework also now highlights objective-based reporting to support management in decision-making.",COSO Enterprise Risk Management Framework.pdf
clause_0022,sub_012,,"Some respondents requested guidance on how a company could apply the concepts discussed in the Framework. Specifically, they asked for more examples, including mini or full case studies, tools to assist in evaluating enterprise risk management (e.g., maturity models), and general implementation guidance (e.g., risk reports). In response, the COSO Board and the PwC Project Team agreed to develop a separate document containing examples on applying the Framework, Enterprise Risk Management–Integrating with Strategy and Performance: Compendium of Examples. This document illustrates the application of all the principles in the Framework across different industries, entity sizes, and types, and actual and expected company practices.",COSO Enterprise Risk Management Framework.pdf
clause_0023,apxC,,"In any entity, everyone shares responsibility for enterprise risk management. The leader of the entity (i.e., chief executive officer or president) is ultimately responsible and should assume ownership for the achievement of the entity’s strategy and business objectives. That person should also have a deep understanding of those factors that may impede the achievement of strategy. It is up to other managers to “live and breathe” the behaviors that align with the culture, oversee enterprise risk management, leverage information systems tools, and monitor performance. Other personnel are responsible for understanding and aligning to the cultural norms and behaviors, business objectives in their area, and related enterprise risk management practices. The board of directors provides risk oversight to the achievement of strategy. This appendix looks at approaches an organization can take for assigning roles and responsibilities for enterprise risk management, and provides guidance on the roles and responsibilities of the board of directors, chief executive officer, chief risk officer, management, and internal auditor. The information is presented in a “lines of accountability model.” The lines of accountability model offers an organization a balanced approach to managing risk and seizing opportunities, all while enabling risk-based decision-making that is free of bias. However, there is no one-size-fits-all approach to using this model and no prescriptive details on the number of lines of accountability necessary. Some industries offer specific guidance for implementing an accountability model, but organizations must consider factors such as their size, strategy and business objectives, organizational culture, and external stakeholders. Individual organizations may establish roles across any number of different lines of accountability with specific regulatory guidance and oversight. Regardless of the number of lines of accountability, the roles, responsibilities, and accountabilities are defined to allow for clear “ownership” of strategy and risk that fits within the governance structure, and culture of the entity.",COSO Enterprise Risk Management Framework.pdf
clause_0024,sub_013,,"Different entities will establish different governance structures, such as a board of directors, a supervisory board, trustees and/or general partners, and dedicated committees. In the Framework (Chapters 5 through 9), these governance structures are commonly referred to generally as “the board of directors.” The board of directors is responsible for providing risk oversight of enterprise risk management culture, capabilities, and practices. Therefore, board members must be objective, capable, and inquisitive. They should have technical knowledge and expertise that is relevant to the entity’s operations and environment, and they must commit to the time necessary to fulfill their day-to-day risk oversight responsibilities and accountabilities. In some jurisdictions, the board has legal responsibility for carrying out its oversight role. Figure C.1 lists typical board oversight practices of enterprise risk management.",COSO Enterprise Risk Management Framework.pdf
clause_0025,sub_013,,"Assesses the appropriateness of the entity’s strategy, alignment to the mission, vision, and core values, and the risk inherent in that strategy.",COSO Enterprise Risk Management Framework.pdf
clause_0026,sub_013,•,Defines the board risk governance role and structure including subcommittees for the entity.,COSO Enterprise Risk Management Framework.pdf
clause_0027,sub_013,•,Engages with management to define the suitability of enterprise risk management.,COSO Enterprise Risk Management Framework.pdf
clause_0028,sub_013,•,Oversees evaluations of the entity’s culture and that management remediates any noted gaps.,COSO Enterprise Risk Management Framework.pdf
clause_0029,sub_013,•,Promotes a risk-aware mindset that aligns the maturity of the entity with its culture.,COSO Enterprise Risk Management Framework.pdf
clause_0030,sub_013,•,"Oversees the alignment of business performance, risk taking, and incentives/compensation to balance short-term and long-term strategy achievement.",COSO Enterprise Risk Management Framework.pdf
clause_0031,sub_013,•,Challenges the potential biases and organizational tendencies of management and fulfills its independent and unbiased oversight role.,COSO Enterprise Risk Management Framework.pdf
clause_0032,sub_013,•,"Understands the entity’s strategy, operating model, industry, and issues and challenges affecting the entity.",COSO Enterprise Risk Management Framework.pdf
clause_0033,sub_013,,Understands how risk is monitored by management.,COSO Enterprise Risk Management Framework.pdf
clause_0034,sub_013,,"Sets expectations for integrating enterprise risk management into the strategic management processes, including strategy planning, capital allocation, etc.",COSO Enterprise Risk Management Framework.pdf
clause_0035,sub_013,•,Discusses and understands the risk appetite and considers whether it aligns with its expectations.,COSO Enterprise Risk Management Framework.pdf
clause_0036,sub_013,•,"Engages in discussion with management to understand the changes to business context that may impact the strategy and its linkage to new, emerging, or manifesting risks.",COSO Enterprise Risk Management Framework.pdf
clause_0037,sub_013,•,Encourages management to think about the risks inherent in the strategy and underlying business assumptions.,COSO Enterprise Risk Management Framework.pdf
clause_0038,sub_013,•,"Requires management to demonstrate an understanding of the risk capacity of the entity to withstand large, unexpected events.",COSO Enterprise Risk Management Framework.pdf
clause_0039,sub_013,,Reviews the entity’s strategy and underlying assumptions against the portfolio view of risk.,COSO Enterprise Risk Management Framework.pdf
clause_0040,sub_013,•,"Sets expectations for risk reporting, including the risk metrics reported to the board relative to the risk appetite of the entity and external enterprise risk reporting disclosures.",COSO Enterprise Risk Management Framework.pdf
clause_0041,sub_013,•,Understands how management identifies and communicates the most severe risks as depicted by the entity’s portfolio view.,COSO Enterprise Risk Management Framework.pdf
clause_0042,sub_013,•,"Reviews and understands the most significant risks, including emerging risks, and significant changes in the portfolio view of risk and specifically what responses and actions management is taking.",COSO Enterprise Risk Management Framework.pdf
clause_0043,sub_013,,Understands the plausible scenarios that could change the portfolio view.,COSO Enterprise Risk Management Framework.pdf
clause_0044,sub_013,,Asks management about any risk manifesting in actual performance (both positive and negative).,COSO Enterprise Risk Management Framework.pdf
clause_0045,sub_013,,Asks management about the enterprise risk management processes and challenges management to demonstrate the suitability and functioning of those processes.,COSO Enterprise Risk Management Framework.pdf
clause_0046,sub_013,,"Identifies information, underlying data, and formats (graphs, charts, risk curves, and other visuals) required to execute board oversight.",COSO Enterprise Risk Management Framework.pdf
clause_0047,sub_013,•,Accesses internal and external information and insights conducive to effective risk oversight.,COSO Enterprise Risk Management Framework.pdf
clause_0048,sub_013,•,"Obtains input from internal audit, external auditors, and other independent parties regarding management perceptions and assumptions.",COSO Enterprise Risk Management Framework.pdf
clause_0049,sub_013,,"The board of directors may choose to manage its risk oversight responsibilities at the full board level or may assign specific tasks to dedicated committees with a risk focus. Where a particular committee has not been established for risk oversight, the responsibilities are carried out by the board itself. Board-level committees can include the following:",COSO Enterprise Risk Management Framework.pdf
clause_0050,sub_013,•,"Audit committee: Establishes the importance of risk oversight. Regulatory and professional standard-setting bodies often require the use of an audit committee, sometimes named the audit and risk committee. The role and scope of authority of an audit committee can vary depending on the entity’s regulatory jurisdiction, industry norm, or other variables. While management is responsible for ensuring financial statements are reliable, an effective audit committee plays a critical risk oversight role. The board of directors, often through its audit committee, has the authority and responsibility to question senior management on how it is carrying out its enterprise risk management responsibilities.",COSO Enterprise Risk Management Framework.pdf
clause_0051,sub_013,•,"Risk committee: Establishes the direct oversight of enterprise risk management. The focus of the risk committee is entity-wide risk in non-financial areas that go beyond the authority of the audit committee and its available resources (e.g., operational, obligations, credit, market, technology).",COSO Enterprise Risk Management Framework.pdf
clause_0052,sub_013,•,"Compensation committee: Establishes and oversees the compensation arrangements for the chief executive officer and other executives, as appropriate, to motivate without providing incentives for undue risk taking. It also oversees that management balances performance measures, incentives, and rewards with the pressures created by the entity’s strategy and business objectives, and helps structure compensation models without unduly emphasizing short-term results over long-term performance.",COSO Enterprise Risk Management Framework.pdf
clause_0053,sub_013,•,"Nomination/governance committee: Provides input to and oversight of the selection of candidates for directors and management. It regularly assesses and nominates members of the board of directors; makes recommendations regarding the board’s composition, operations, and performance; oversees the succession-planning process for the chief executive officer and other key executives; and develops oversight processes and structures. It also promotes director orientation and training, and evaluates oversight processes and structures (e.g., board/committee evaluations).",COSO Enterprise Risk Management Framework.pdf
clause_0054,sub_014,,"Management is responsible for all aspects of an entity, including enterprise risk management. Responsibilities assigned to the various levels of management are outlined here.",COSO Enterprise Risk Management Framework.pdf
clause_0055,sub_015,,"The chief executive officer (CEO) is accountable to the board of directors and is responsible for overall enterprise risk management culture, capabilities, and practices required to achieve the entity’s strategy and business objectives. (In privately owned and not-for-profit entities, this position may have a different title, but generally the responsibilities are the same.) More than any other individual, the CEO sets the tone at the top along with the explicit and implicit values, behaviors, and norms that define the culture of the entity. The CEO’s responsibilities relating to enterprise risk management include:",COSO Enterprise Risk Management Framework.pdf
clause_0056,sub_015,•,"Providing leadership and direction to senior members of management, and shaping the entity’s core values, standards, expectations of competence, organizational structure, and accountability.",COSO Enterprise Risk Management Framework.pdf
clause_0057,sub_015,•,"Evaluating alternative strategies, choosing a strategy, and setting business objectives that consider supporting assumptions relating to business context, resources, and capabilities within the risk appetite of the entity.",COSO Enterprise Risk Management Framework.pdf
clause_0058,sub_015,•,"Maintaining oversight of the risks facing the entity (e.g., directing all management and other personnel to proactively identify, assess, prioritize, respond to, and report risks that may impede the ability to achieve the strategy and business objectives).",COSO Enterprise Risk Management Framework.pdf
clause_0059,sub_015,•,"Guiding the development and performance of the enterprise risk management process across the entity, and delegating to various levels of management at different levels of the entity.",COSO Enterprise Risk Management Framework.pdf
clause_0060,sub_015,•,"Communicating expectations (e.g., integrity, competence, key policies) and information requirements (e.g., the type of planning and reporting systems the entity will use).",COSO Enterprise Risk Management Framework.pdf
clause_0061,sub_016,,"One of the more prominent roles in enterprise risk management is that of chief risk officer (CRO). This position is tasked with overseeing enterprise risk management as a second line of accountability. This role should normally have reasonably direct access to the CEO, or the authority to have access for specific issues or types of risk. An alternative to having a chief risk officer is to assign the underlying responsibilities to another member of management, typically in the second line of accountability.",COSO Enterprise Risk Management Framework.pdf
clause_0062,sub_016,,"Organizations develop the CRO role and responsibilities in a way that best meets their needs for effective enterprise risk management. Some entities choose to align the role of chief risk officer with the chief strategy officer so that strategy and risk are managed together under the CEO. Other entities delegate responsibility for enterprise risk management to first-line functions, including operating unit and functional unit leaders, leaving second-line responsibility to the CRO. These entities often align staff within divisions, operating units, and functions with the CRO to support enterprise risk management efforts across the entity. The CRO is typically responsible for:",COSO Enterprise Risk Management Framework.pdf
clause_0063,sub_016,•,Assisting the board of directors and management in fulfilling their respective risk oversight responsibilities.,COSO Enterprise Risk Management Framework.pdf
clause_0064,sub_016,•,Establishing ongoing enterprise risk management practices suitable for the entity’s needs.,COSO Enterprise Risk Management Framework.pdf
clause_0065,sub_016,•,Building and maintaining relationships with those responsible for managing risks throughout the entity.,COSO Enterprise Risk Management Framework.pdf
clause_0066,sub_016,•,Overseeing enterprise risk management ownership within the respective lines of accountability.,COSO Enterprise Risk Management Framework.pdf
clause_0067,sub_016,•,Reviewing the operation of enterprise risk management in each operating unit.,COSO Enterprise Risk Management Framework.pdf
clause_0068,sub_016,•,"Communicating with management through a forum, such as the enterprise risk management committee, about the status of enterprise risk management, which includes discussing severe risks and emerging risks.",COSO Enterprise Risk Management Framework.pdf
clause_0069,sub_016,•,Promoting enterprise risk management to the CEO and operating unit leaders and assist-ing in integrating practices into their business plans and reporting.,COSO Enterprise Risk Management Framework.pdf
clause_0070,sub_016,•,Evolving organizational capabilities in line with the maturity and suitability of enterprise risk management.,COSO Enterprise Risk Management Framework.pdf
clause_0071,sub_016,•,Escalating identified or emerging risk exposures to executive management and the board.,COSO Enterprise Risk Management Framework.pdf
clause_0072,sub_017,,"Management comprises the CEO and senior members leading the key operating units and business-enabling functions. Each of these management roles may have different responsibilities and accountabilities within the lines of accountability model, depending on the entity. For example, a chief technology officer may play a second-line role in a financial services company, but in a technology company that same position would play a first-line role. Some smaller entities may combine roles, with one person having responsibilities for one or more. Examples of management for a larger public or private entity, a smaller business entity, and a government entity are noted in Figure C.2.",COSO Enterprise Risk Management Framework.pdf
clause_0073,sub_017,,"In some entities, the CEO establishes an enterprise risk management committee of senior members of management including functional managers, such as the chief financial officer, chief audit executive, chief information officer, and others. Examples of the functions and responsibilities of such a committee include:",COSO Enterprise Risk Management Framework.pdf
clause_0074,sub_017,•,"Assuming overall responsibility for enterprise risk management, including the processes used to identify, assess, prioritize, respond to, and report on risk.",COSO Enterprise Risk Management Framework.pdf
clause_0075,sub_017,•,Communicating the enterprise risk management process to the CEO and the board.,COSO Enterprise Risk Management Framework.pdf
clause_0076,sub_017,•,Considering and discussing emerging risks.,COSO Enterprise Risk Management Framework.pdf
clause_0077,sub_017,•,"Defining roles, responsibilities, and accountabilities at the different levels of management.",COSO Enterprise Risk Management Framework.pdf
clause_0078,sub_017,•,"Providing policies, methodologies, and tools to operating units to identify, assess, and manage risks.",COSO Enterprise Risk Management Framework.pdf
clause_0079,sub_017,•,Reviewing the entity’s risk profile.,COSO Enterprise Risk Management Framework.pdf
clause_0080,sub_017,•,Reviewing acceptable variation in performance and taking action where appropriate.,COSO Enterprise Risk Management Framework.pdf
clause_0081,sub_017,,"Management also guides the development and implementation of enterprise risk management practices within their respective functional or operating unit and verifies that these practices are applied consistently. Depending on how many layers of management exist within an entity, subunit managers or lower-level supervisory personnel are directly involved in executing policies and procedures at a detailed level. It is their responsibility to carry out the enterprise risk management process that senior management has designed and implemented. Each manager is accountable to the next higher level for his or her portion of enterprise risk management, with the CEO being ultimately accountable to the board of directors, and the board being accountable to external stakeholders such as shareholders or other owners of the entity.",COSO Enterprise Risk Management Framework.pdf
clause_0082,sub_018,,"Management is responsible for identifying and managing the performance and risks resulting from practices and systems for which it is accountable. The first line is also responsible for the risks inherent to the strategy and business objectives. As the principal owners of risk, management sets business objectives, establishes acceptable variation in performance, trains personnel, and reinforces risk responses. In short, the first line implements and carries out the day-to-day tasks to manage performance and risks taken to achieve strategy and business objectives.",COSO Enterprise Risk Management Framework.pdf
clause_0083,sub_019,,"Support functions (also referred to as business-enabling functions) include management and personnel responsible for overseeing performance and enterprise risk management. They provide guidance on performance and enterprise risk management requirements, and evaluate adherence to defined standards. Each of these functions has some degree of independence from the first line of accountability, and they challenge the first line to manage performance and take prudent risks to achieve strategy and business objectives. In some entities, independent teams without separate and distinct reporting lines may provide some degree of challenge. These organizational functions or operating units support the entity through specialized skills, such as technical risk management expertise, finance, product/service quality management, technology, compliance, legal, human resources, and others. As management functions they may intervene directly in modifying and supporting the first line in appropriate risk response. Second-line responsibilities often include:",COSO Enterprise Risk Management Framework.pdf
clause_0084,sub_019,•,"Supporting management policies, defining roles and responsibilities, and setting targets for implementation.",COSO Enterprise Risk Management Framework.pdf
clause_0085,sub_019,•,Providing enterprise risk management guidance.,COSO Enterprise Risk Management Framework.pdf
clause_0086,sub_019,•,Supporting management to identify trends and emerging risks.,COSO Enterprise Risk Management Framework.pdf
clause_0087,sub_019,•,Assisting management in developing processes and risk responses to manage risks and issues.,COSO Enterprise Risk Management Framework.pdf
clause_0088,sub_019,•,Providing guidance and training on enterprise risk management processes.,COSO Enterprise Risk Management Framework.pdf
clause_0089,sub_019,•,"Monitoring the adequacy and effectiveness of risk responses, accuracy, and completeness of reporting, and timely remediation of deficiencies.",COSO Enterprise Risk Management Framework.pdf
clause_0090,sub_019,•,"Escalating identified or emerging risk exposures to management and the board for awareness and potential action. There are various methods of achieving objectivity across these two lines of accountability. For example, one company may have enterprise risk management teams embedded in the first line but with a separate second-line risk function. Another company may spread its risk management teams across the two lines depending on the complexity and nature of the business. These and other approaches can work as long as unbiased oversight is not constrained.",COSO Enterprise Risk Management Framework.pdf
clause_0091,sub_020,,"Assurance functions, most commonly internal audit, often provide the last line of accountability by performing audits or reviews of enterprise risk management practices, identifying issues and improvement opportunities, making recommendations, and keeping the board and executive management up-to-date on matters requiring resolution. Two factors distinguish the last line of accountability from the others: the high level of independence and objectivity (enabled by direct reporting to the board), and the authority to evaluate and make recommendations to management on the design and operating effectiveness of the entity overall.",COSO Enterprise Risk Management Framework.pdf
