scf_control_id,iso_clause_id
AAT-07.2,6.1.2
AAT-07.2,6.1.2(a)
AAT-07.2,6.1.2(b)
AAT-07.2,6.1.2(c)
AAT-07.2,6.1.2(d)
AAT-07.2,6.1.2(d)(1)
AAT-07.2,6.1.2(d)(2)
AAT-07.2,6.1.2(d)(3)
AAT-07.2,6.1.2(e)
AAT-07.2,6.1.2(e)(1)
AAT-07.2,6.1.2(e)(2)
AAT-07.2,8.2
AAT-07.3,10.1
AAT-07.3,5.2(d)
AAT-07.3,9.3.2(e)
AAT-07.3,A.3.3
AAT-08,5.3
AAT-08,5.3(a)
AAT-08,5.3(b)
AAT-08,A.3.2
AAT-09,6.1.1
AAT-09,6.1.2
AAT-09,6.1.4
AAT-10,9.1
AAT-10,A.6.1.3
AAT-10,A.6.2.3
AAT-10,A.6.2.4
AAT-10,A.6.2.5
AAT-10.1,9.2.1
AAT-10.1,9.2.1(a)
AAT-10.1,9.2.1(a)(1)
AAT-10.1,9.2.1(a)(2)
AAT-10.1,9.2.1(b)
AAT-10.1,A.6.2.4
AAT-10.9,A.6.2.4
AAT-10.13,A.6.2.6
AAT-10.13,A.9.4
AAT-10.14,5.2(d)
AAT-10.14,6.1.1
AAT-10.14,7.1
AAT-10.14,9.3.2(e)
AAT-11,5.1
AAT-11,7.4
AAT-11,9.3.1
AAT-11,9.3.2
AAT-11,9.3.2(a)
AAT-11,9.3.2(b)
AAT-11,9.3.2(c)
AAT-11,9.3.2(d)
AAT-11,9.3.2(d)(1)
AAT-11,9.3.2(d)(2)
AAT-11,9.3.2(d)(3)
AAT-11,9.3.2(e)
AAT-11,A.3.3
AAT-11,A.8
AAT-11,A.8.2
AAT-11,A.8.3
AAT-11,A.8.4
AAT-11,A.8.5
AAT-11.1,9.3.2(c)
AAT-11.1,A.3.3
AAT-11.2,5.1
AAT-11.2,9.2.1
AAT-11.2,9.2.1(a)
AAT-11.2,9.2.1(a)(1)
AAT-11.2,9.2.1(a)(2)
AAT-11.2,9.2.1(b)
AAT-11.2,A.3.3
AAT-11.3,A.3.3
AAT-11.4,A.8.3
AAT-11.4,A.8.4
AAT-12,A.6.1.3
AAT-12,A.6.2.3
AAT-12.1,A.4.3
AAT-12.1,A.6.1.3
AAT-12.1,A.6.2.3
AAT-12.1,A.7
AAT-12.1,A.7.2
AAT-12.1,A.7.3
AAT-12.1,A.7.4
AAT-12.1,A.7.5
AAT-12.1,A.7.6
AAT-13,A.4.6
AAT-13.1,5.1
AAT-13.1,7.2
AAT-13.1,A.4.6
AAT-14,4.1
AAT-14,5.1
AAT-14,A.5.4
AAT-14,A.5.5
AAT-14,A.6.2.2
AAT-14,A.6.2.3
AAT-14.1,A.6.1.3
AAT-14.1,A.6.2.3
AAT-14.1,A.6.2.5
AAT-14.2,A.6.1.3
AAT-14.2,A.6.2.3
AAT-15,5.1
AAT-15.1,6.1.2(c)
AAT-15.2,5.3
AAT-16,A.6.2.6
AAT-16.3,6.1.2(c)
AAT-17.2,4.1
AAT-17.3,10.2
AAT-17.3,10.2(a)
AAT-17.3,10.2(a)(1)
AAT-17.3,10.2(a)(2)
AAT-17.3,10.2(b)
AAT-17.3,10.2(b)(1)
AAT-17.3,10.2(b)(2)
AAT-17.3,10.2(b)(3)
AAT-17.3,10.2(c)
AAT-17.3,10.2(d)
AAT-17.3,10.2(e)
AAT-17.3,6.1.2(c)
AAT-18.1,10.2
AAT-18.1,10.2(a)
AAT-18.1,10.2(a)(1)
AAT-18.1,10.2(a)(2)
AAT-18.1,10.2(b)
AAT-18.1,10.2(b)(1)
AAT-18.1,10.2(b)(2)
AAT-18.1,10.2(b)(3)
AAT-18.1,10.2(c)
AAT-18.1,10.2(d)
AAT-18.1,10.2(e)
AST-01.2,9.3.2(c)
AST-01.2,A.4.6
AST-01.2,A.8
AST-01.2,A.8.2
AST-01.2,A.8.3
AST-01.2,A.8.4
AST-01.2,A.8.5
AST-03.2,A.7.5
AST-04.1,4.3
CHG-01,6.3
CHG-02,6.3
CHG-02.1,6.3
CHG-03,A.5.2
CHG-03,A.5.3
CHG-05,A.5.2
CHG-05,A.5.3
CPL-01,4.1
CPL-01.2,4.3
CPL-02.1,9.2.1
CPL-02.1,9.2.1(a)
CPL-02.1,9.2.1(a)(1)
CPL-02.1,9.2.1(a)(2)
CPL-02.1,9.2.1(b)
CPL-02.1,9.2.2
CPL-02.1,9.2.2(a)
CPL-02.1,9.2.2(b)
CPL-02.1,9.2.2(c)
CPL-03.1,9.2.2(b)
DCH-01,7.5.3
DCH-01,7.5.3(a)
DCH-01,7.5.3(b)
DCH-01.2,7.5.3
DCH-01.2,7.5.3(a)
DCH-01.2,7.5.3(b)
DCH-01.4,7.5.3
DCH-01.4,7.5.3(a)
DCH-01.4,7.5.3(b)
DCH-03.1,7.5.3
DCH-03.1,7.5.3(a)
DCH-03.1,7.5.3(b)
DCH-22,A.7
DCH-22,A.7.2
DCH-22,A.7.3
DCH-22,A.7.4
DCH-22,A.7.5
DCH-22,A.7.6
HRS-01,7.2
HRS-02,7.2
HRS-03,5.3
HRS-03,7.2
HRS-03,A.3.2
HRS-03.1,7.3
HRS-03.2,7.2
HRS-04,7.2
HRS-04.1,7.2
HRS-04.1,A.3.2
HRS-04.2,7.3
HRS-05,7.3
HRS-05.1,7.3
HRS-05.2,7.3
HRS-05.3,7.3
HRS-05.4,7.3
HRS-05.5,7.3
HRS-05.7,7.3
HRS-06,7.3
HRS-06.1,7.3
HRS-07,7.3
IRO-02,A.3.3
IRO-10,A.8.3
IRO-10,A.8.4
IAO-01,A.6.2.5
IAO-02,A.6.2.5
IAO-02.2,A.6.2.5
IAO-04,10.2
IAO-04,10.2(a)
IAO-04,10.2(a)(1)
IAO-04,10.2(a)(2)
IAO-04,10.2(b)
IAO-04,10.2(b)(1)
IAO-04,10.2(b)(2)
IAO-04,10.2(b)(3)
IAO-04,10.2(c)
IAO-04,10.2(d)
IAO-04,10.2(e)
IAO-05,10.2
IAO-05,10.2(a)
IAO-05,10.2(a)(1)
IAO-05,10.2(a)(2)
IAO-05,10.2(b)
IAO-05,10.2(b)(1)
IAO-05,10.2(b)(2)
IAO-05,10.2(b)(3)
IAO-05,10.2(c)
IAO-05,10.2(d)
IAO-05,10.2(e)
IAO-05,9.3.2(a)
IAO-05,9.3.2(b)
IAO-06,A.6.2.5
IAO-07,A.6.2.5
PRM-01,7.1
PRM-01,A.4.2
PRM-01,A.6.1
PRM-01.1,4.1
PRM-01.1,4.2
PRM-02,5.1
PRM-02,7.1
PRM-02,A.6.2.2
PRM-03,5.1
PRM-03,7.1
PRM-03,A.4.2
PRM-04,7.4
PRM-04,A.4.2
PRM-04,A.6.2.2
PRM-05,4.1
PRM-05,4.2
PRM-05,A.4.2
PRM-05,A.6.2.2
PRM-06,4.1
PRM-06,4.2
PRM-06,7.4
PRM-07,A.3.3
PRM-07,A.4.2
PRM-07,A.6.2.2
PRM-07,A.6.2.7
PRM-07,A.6.2.8
RSK-01,6.1.1
RSK-01,6.1.2
RSK-01,6.1.2(a)
RSK-01,6.1.2(b)
RSK-01,6.1.2(c)
RSK-01,6.1.2(d)
RSK-01,6.1.2(e)
RSK-01,6.1.3
RSK-01,6.1.3(a)
RSK-01,6.1.3(b)
RSK-01,6.1.3(c)
RSK-01,6.1.3(d)
RSK-01,6.1.3(e)
RSK-01,6.1.3(f)
RSK-01,6.1.3(g)
RSK-01,8.2
RSK-01,A.5
RSK-01.1,6.1.2(d)
RSK-01.1,6.1.2(d)(1)
RSK-01.1,6.1.2(d)(2)
RSK-01.1,6.1.2(d)(3)
RSK-01.1,6.1.2(e)
RSK-01.1,6.1.2(e)(1)
RSK-01.1,6.1.2(e)(2)
RSK-01.1,6.1.4
RSK-01.1,8.4
RSK-01.2,5.1
RSK-02.1,6.1.2(e)(2)
RSK-03,6.1.2(c)
RSK-04,6.1.2
RSK-04,6.1.2(a)
RSK-04,6.1.2(b)
RSK-04,6.1.2(c)
RSK-04,6.1.2(d)
RSK-04,6.1.2(d)(1)
RSK-04,6.1.2(d)(2)
RSK-04,6.1.2(d)(3)
RSK-04,6.1.2(e)
RSK-04,6.1.2(e)(1)
RSK-04,6.1.2(e)(2)
RSK-04,8.2
RSK-04,A.5.3
RSK-04,A.5.4
RSK-04,A.5.5
RSK-04.1,6.1.2
RSK-04.1,9.3.2(a)
RSK-04.1,9.3.2(b)
RSK-05,6.1.2(e)(2)
RSK-06,10.2
RSK-06,10.2(a)
RSK-06,10.2(a)(1)
RSK-06,10.2(a)(2)
RSK-06,10.2(b)
RSK-06,10.2(b)(1)
RSK-06,10.2(b)(2)
RSK-06,10.2(b)(3)
RSK-06,10.2(c)
RSK-06,10.2(d)
RSK-06,10.2(e)
RSK-06,6.1.3
RSK-06,6.1.3(a)
RSK-06,6.1.3(b)
RSK-06,6.1.3(c)
RSK-06,6.1.3(d)
RSK-06,6.1.3(e)
RSK-06,6.1.3(f)
RSK-06,6.1.3(g)
RSK-06,8.3
RSK-06.1,6.1.3
RSK-06.1,6.1.3(a)
RSK-06.1,6.1.3(b)
RSK-06.1,6.1.3(c)
RSK-06.1,6.1.3(d)
RSK-06.1,6.1.3(e)
RSK-06.1,6.1.3(f)
RSK-06.1,6.1.3(g)
RSK-06.1,8.3
RSK-06.2,6.1.3(b)
RSK-06.2,6.1.3(c)
RSK-06.2,6.1.3(d)
RSK-06.2,8.3
RSK-08,6.1.4
RSK-08,8.4
RSK-08,A.5.3
RSK-08,A.5.4
RSK-08,A.5.5
RSK-09,A.10
RSK-09,A.10.2
RSK-09,A.10.3
RSK-10,6.1.4
RSK-10,8.4
RSK-10,A.5.3
RSK-10,A.5.4
RSK-10,A.5.5
SEA-02.1,3.0
OPS-01,7.5.3
OPS-01,7.5.3(a)
OPS-01,7.5.3(b)
OPS-01.1,7.5.1
OPS-01.1,7.5.1(a)
OPS-01.1,7.5.1(b)
OPS-01.1,7.5.2
OPS-01.1,7.5.3
OPS-01.1,7.5.3(a)
OPS-01.1,7.5.3(b)
OPS-01.1,A.6.2.7
OPS-01.1,A.6.2.8
OPS-03,A.6.2.7
OPS-03,A.6.2.8
OPS-03,A.9
OPS-03,A.9.2
OPS-03,A.9.3
OPS-03,A.9.4
OPS-05,A.6.2.7
OPS-05,A.6.2.8
TDA-01,A.6.1
TDA-01,A.6.1
TDA-01,A.6.1.3
TDA-01,A.6.2.3
TDA-01.1,A.6.2
TDA-01.1,A.6.2.2
TDA-01.1,A.6.2.7
TDA-01.1,A.6.2.8
TDA-02,A.6.2.2
TDA-02.3,A.6.1.3
TDA-02.3,A.6.2.3
TDA-04,A.6.2.7
TDA-04,A.6.2.8
TDA-06,A.6.1.3
TDA-06,A.6.2.3
TDA-15,10.2
TDA-15,10.2(a)
TDA-15,10.2(a)(1)
TDA-15,10.2(a)(2)
TDA-15,10.2(b)
TDA-15,10.2(b)(1)
TDA-15,10.2(b)(2)
TDA-15,10.2(b)(3)
TDA-15,10.2(c)
TDA-15,10.2(d)
TDA-15,10.2(e)
TPM-01,A.10
TPM-01,A.10.2
TPM-01,A.10.3
TPM-03,A.10
TPM-03,A.10.2
TPM-03,A.10.3
TPM-04,A.10
TPM-04,A.10.2
TPM-04,A.10.3
TPM-05,A.10.2
TPM-05,A.10.3
TPM-05.4,5.3
TPM-05.4,A.10
TPM-05.4,A.10.2
TPM-05.4,A.10.3
TPM-05.4,A.10.4
TPM-05.5,4.3
VPM-01.1,4.3
VPM-02,10.2
VPM-02,10.2(a)
VPM-02,10.2(a)(1)
VPM-02,10.2(a)(2)
VPM-02,10.2(b)
VPM-02,10.2(b)(1)
VPM-02,10.2(b)(2)
VPM-02,10.2(b)(3)
VPM-02,10.2(c)
VPM-02,10.2(d)
VPM-02,10.2(e)
