scf_control_id,pci_dss_v4_req_id
IAC-20.1,7.2.2
IAC-20.1,7.2.5
IAC-20.1,7.2.6
IAC-20.2,7.2.6
IAC-20.3,8.6
IAC-20.3,8.6.1
IAC-20.6,8.2.5
IAC-21,1.3
IAC-21,3.4
IAC-21,3.4.2
IAC-21,7.1
IAC-21,7.2
IAC-21,7.2.1
IAC-21,7.2.2
IAC-21,7.2.6
IAC-21,7.3
IAC-21,7.3.1
IAC-21,7.3.2
IAC-21,7.3.3
IAC-21,8.6
IAC-21,8.6.1
IAC-21.3,7.2.3
IAC-21.4,10.2.1.2
IAC-22,8.3.4
IAC-24,8.2.8
IAC-25,8.2.8
IAC-28,8.3.3
IRO-01,10.7
IRO-01,10.7.1
IRO-01,10.7.2
IRO-01,10.7.3
IRO-01,12.10
IRO-02,12.10
IRO-02,12.10.5
IRO-02.4,12.10
IRO-04,12.10
IRO-04,12.10.1
IRO-04,12.10.5
IRO-04,12.10.7
IRO-04.2,12.10.2
IRO-04.2,12.10.6
IRO-05,12.10.4
IRO-05,12.10.4.1
IRO-06,12.10.2
IRO-07,12.10.3
IRO-10,12.1.4
IRO-10,12.10.1
IRO-10,A1.2.3
IRO-12,12.10.7
IRO-12,A3.2.5.2
IRO-12.3,12.10.7
IRO-13,12.10.6
IAO-04,6.2.1
IAO-04,6.2.2
IAO-04,6.2.3
IAO-04,6.2.3.1
IAO-04,6.2.4
IAO-04,6.3.1
IAO-04,6.4.1
IAO-04,6.4.2
IAO-04,11.4.1
IAO-04,11.4.4
IAO-04,12.4.2.1
IAO-04,A1.2.3
MNT-03,10.7
MNT-03,11.3
MNT-05,8.2.7
MNT-05.1,8.2.7
MNT-05.3,2.2.7
MNT-05.4,8.2.7
NET-01,1.1
NET-01,1.2
NET-01,11.2.1
NET-02,1.4
NET-02,1.4.1
NET-02.2,1.2.3
NET-02.2,1.3.3
NET-02.2,2.3
NET-02.2,11.2
NET-02.2,11.2.1
NET-02.2,11.2.2
NET-03,1.3.3
NET-03,1.4
NET-03,1.4.1
NET-03,1.4.2
NET-03,11.5.1
NET-03.1,1.4.2
NET-03.1,11.2.1
NET-03.3,1.4.5
NET-03.5,1.3.2
NET-03.7,1.3.3
NET-03.8,1.4
NET-03.8,1.4.1
NET-04,1.1
NET-04,1.3
NET-04,1.3.1
NET-04,1.3.2
NET-04,1.4.2
NET-04,1.4.3
NET-04.1,1.3
NET-04.1,1.3.1
NET-04.1,1.3.2
NET-04.1,1.3.3
NET-04.1,1.4.2
NET-04.6,1.2.7
NET-04.7,1.3.3
NET-05.1,1.4.4
NET-06,1.2.1
NET-06,1.2.3
NET-06,1.2.4
NET-06,1.2.5
NET-06,1.2.6
NET-06,1.2.7
NET-06,1.2.8
NET-06,1.3
NET-06,1.3.1
NET-06,1.3.2
NET-06,1.3.3
NET-06,1.4.1
NET-06,1.4.2
NET-06,11.4.5
NET-06,11.4.6
NET-06,12.5.2
NET-06,A1.1.4
NET-06,A3.2.1
NET-06,A3.2.4
NET-07,8.2.8
NET-08,1.4.3
NET-08,11.5
NET-08,11.5.1
NET-08,11.5.1.1
NET-08.1,1.2.1
NET-08.1,1.2.3
NET-08.1,1.2.4
NET-08.1,1.2.5
NET-08.1,1.2.6
NET-08.1,1.2.7
NET-08.1,1.2.8
NET-08.1,1.3
NET-08.1,1.3.1
NET-08.1,1.3.2
NET-08.1,1.3.3
NET-08.1,1.4
NET-08.1,1.4.1
NET-08.1,1.4.2
NET-08.1,11.4.5
NET-08.1,11.4.6
NET-08.1,12.5.2
NET-08.1,A1.1.4
NET-08.1,A3.2.1
NET-08.1,A3.2.4
NET-08.2,1.4.3
NET-08.2,11.2
NET-09,1.4.1
NET-12,4.1
NET-12,4.2.1
NET-12,11.2
NET-12.1,1.2.3
NET-12.1,1.3.3
NET-12.1,2.3
NET-12.1,2.3.1
NET-12.1,2.3.2
NET-12.1,4.2.1.2
NET-12.1,11.2
NET-12.1,11.2.1
NET-12.1,11.2.2
NET-12.1,12.10.1
NET-12.1,12.10.5
NET-12.2,4.2.2
NET-14,3.4.2
NET-14,7.2.5
NET-14,8.2.3
NET-14,8.2.7
NET-14,12.8.1
NET-14.6,8.2.7
NET-15,11.2
NET-15,11.2.1
NET-15,11.2.2
NET-15,2.3
NET-15.1,1.3
NET-15.1,2.3.1
NET-15.1,2.3.2
NET-15.1,4.2.1
NET-15.5,11.2
NET-15.5,11.2.1
PES-01,9.1
PES-01,9.1.1
PES-01,9.2
PES-02,8.3.11
PES-02,9.1
PES-02,9.2
PES-02,9.2.1
