scf_control_id,nist_csf_2_0_id
BCD-12,RC
BCD-12,RC.RP-01
BCD-12,RC.RP-05
BCD-13,RC.RP-03
BCD-13.1,RC.RP-03
CAP-01,PR.IR-04
CAP-02,PR.IR-04
CAP-03,PR.IR-04
CAP-04,PR.IR-04
CAP-05,PR.IR-04
CHG-01,ID.RA-07
CHG-02,ID.RA-07
CHG-02.1,ID.RA-07
CHG-02.2,ID.RA-07
CHG-03,ID.RA-07
CHG-04,ID.RA-07
CPL-01,GV.OC
CPL-01,GV.OC-03
CPL-01,GV.SC-05
CPL-01,PR
CPL-01.2,GV.SC-05
CPL-02,GV.OC-03
CPL-03,ID.IM-01
CPL-03,ID.IM-02
CPL-03.2,ID.IM-01
CPL-03.2,ID.IM-02
CFG-01,PR.PS
CFG-01,PR.PS-01
CFG-01,PR.PS-05
CFG-02,PR.DS-10
CFG-02,PR.PS
CFG-02,PR.PS-05
CFG-02.1,PR.PS
CFG-02.5,PR.PS
CFG-02.9,PR.PS
CFG-03,PR.PS-05
CFG-03.2,PR.PS-05
CFG-05,PR.PS-05
MON-01,DE.AE
MON-01,DE.CM-01
MON-01,DE.CM-03
MON-01,DE.CM-06
MON-01,DE.CM-09
MON-01,PR.PS-04
MON-01.1,DE.CM-01
MON-01.3,DE.CM-01
MON-01.4,DE.CM-01
MON-01.4,PR.PS-04
MON-01.7,DE.CM-09
MON-01.8,DE.AE
MON-01.8,DE.AE-06
MON-01.8,DE.CM-01
MON-01.12,DE.AE
MON-01.12,DE.AE-06
MON-01.16,DE.AE
MON-01.16,DE.CM-01
MON-01.16,DE.CM-03
MON-01.16,DE.CM-06
MON-01.16,DE.CM-09
MON-01.16,PR.PS-04
MON-02,DE.AE-03
MON-02,DE.AE-06
MON-02.1,DE.AE-03
MON-02.1,DE.AE-06
MON-03,PR.PS-04
MON-11.3,DE.CM
MON-16,DE.CM
MON-16,DE.CM-03
MON-16.1,DE.CM-03
MON-16.2,DE.CM-06
MON-16.3,DE.CM-03
MON-16.4,DE.CM-06
CRY-01,PR.DS-01
CRY-01,PR.DS-02
CRY-01,PR.DS-10
CRY-01.1,PR.DS-01
CRY-03,PR.DS-02
CRY-04,PR.DS-02
CRY-05,PR.DS-01
DCH-01,ID.AM-08
DCH-01,PR.DS
DCH-01,PR.DS-01
DCH-01,PR.DS-02
DCH-01,PR.DS-10
DCH-01.1,ID.AM-08
DCH-01.1,PR.DS
DCH-01.2,PR.DS
DCH-01.3,PR.DS
DCH-01.4,PR.DS
DCH-02,ID.AM-05
DCH-02,PR.DS
DCH-03,PR.DS
DCH-06,ID.AM-07
DCH-06.2,ID.AM-07
DCH-06.3,ID.AM-07
DCH-19,ID.AM-03
END-01,DE.CM-09
END-03,PR.PS-05
END-04,DE.CM-09
END-06,DE.CM-09
HRS-01,GV.RR-04
HRS-01,ID.AM
HRS-02,GV.RR-02
HRS-02,PR.AA-05
HRS-03,GV.RM-05
HRS-03,GV.RR
HRS-03,GV.RR-02
HRS-03,ID.AM
HRS-03.1,GV.RR-04
HRS-04.2,PR.AT
HRS-04.2,PR.AT-01
HRS-05,ID.AM
HRS-05.1,ID.AM
HRS-05.7,GV.PO
HRS-05.7,GV.PO-01
HRS-05.7,GV.PO-02
HRS-07,GV.PO
HRS-07,GV.PO-01
HRS-07,GV.PO-02
HRS-11,PR.AA-05
IAC-01,PR.AA
IAC-01,PR.AA-05
IAC-01.2,PR.AA
IAC-01.2,PR.AA-03
IAC-01.2,PR.AA-04
IAC-01.2,PR.AA-05
IAC-02,PR.AA-01
IAC-02,PR.AA-03
IAC-02,PR.AA-05
IAC-02.2,PR.AA-04
IAC-03,PR.AA-01
IAC-03,PR.AA-03
IAC-03,PR.AA-05
IAC-03.5,PR.AA-04
IAC-04,PR.AA-01
IAC-04,PR.AA-03
IAC-04,PR.AA-05
IAC-05,PR.AA-01
IAC-05,PR.AA-03
IAC-05,PR.AA-05
IAC-08,PR.AA-05
IAC-21,PR.AA-05
IAC-21,PR.DS-10
IAC-28,PR.AA-02
IRO-01,DE.AE
IRO-01,GV.SC-08
IRO-01,RS
IRO-01,RS.MI
IRO-02,DE.AE
IRO-02,DE.AE-02
IRO-02,DE.AE-03
IRO-02,DE.AE-04
IRO-02,DE.AE-06
IRO-02,DE.AE-08
IRO-02,GV.SC-08
IRO-02,RC.RP-06
IRO-02,RS
IRO-02,RS.AN
IRO-02,RS.AN-06
IRO-02,RS.CO
IRO-02,RS.CO-02
IRO-02,RS.CO-03
IRO-02,RS.MA
IRO-02,RS.MA-01
IRO-02,RS.MA-02
IRO-02,RS.MA-04
IRO-02,RS.MI
IRO-02,RS.MI-01
IRO-02,RS.MI-02
IRO-02.4,DE.AE
IRO-02.4,DE.AE-02
IRO-02.4,DE.AE-04
IRO-02.4,DE.AE-06
IRO-02.4,DE.AE-08
IRO-02.4,RS.AN-08
IRO-02.4,RS.MA-03
IRO-02.5,DE.AE-03
IRO-02.5,GV.SC-08
IRO-02.5,RS.CO
IRO-02.5,RS.MA-01
IRO-03,DE.CM
IRO-04,DE.AE-06
IRO-04,ID.IM-04
IRO-04,RS
IRO-04,RS.MA
IRO-04,RS.MA-01
IRO-04,RS.MA-02
IRO-04,RS.MA-04
IRO-04,RS.MI
IRO-04.2,ID.IM-04
IRO-06.1,RS.CO
IRO-07,DE.AE-06
IRO-07,RS
IRO-07,RS.MA
IRO-07,RS.MA-01
IRO-07,RS.MA-04
IRO-08,RS.AN
IRO-08,RS.AN-06
IRO-08,RS.AN-07
IRO-09,DE.AE-06
IRO-09,RC.RP-06
IRO-09,RS
IRO-09,RS.AN-06
IRO-09,RS.CO
IRO-10,DE.AE-06
IRO-10,RS
IRO-10,RS.CO
IRO-10,RS.CO-02
IRO-10,RS.CO-03
IRO-10,RS.MA-01
IRO-10.2,RS.CO
IRO-10.2,RS.CO-02
IRO-10.2,RS.CO-03
IRO-10.4,RS.CO
IRO-10.4,RS.CO-02
IRO-10.4,RS.CO-03
IRO-13,ID.IM-02
IRO-13,ID.IM-03
IRO-13,RS.AN-03
IRO-16,RC.CO-04
IAO-01,ID.RA-01
IAO-02,ID.IM-01
IAO-02,ID.IM-02
IAO-02,ID.RA-01
IAO-02.4,ID.IM-01
IAO-02.4,ID.IM-02
IAO-03.2,GV.SC-05
IAO-05,ID.IM-01
IAO-05,ID.IM-02
IAO-05,ID.RA-01
MNT-01,PR.PS
MNT-01,PR.PS-02
MNT-01,PR.PS-03
MNT-02,PR.PS
MNT-02,PR.PS-02
MNT-02,PR.PS-03
MNT-03,PR.PS-02
MNT-03,PR.PS-03
MNT-03.1,PR.PS-02
MNT-03.1,PR.PS-03
NET-01,PR.IR-01
NET-02,PR.IR-01
NET-18,DE.CM-03
PES-01,DE.CM-02
PES-01,ID.AM
PES-01,PR.AA
PES-01,PR.AA-06
PES-01,PR.IR-02
PES-02,PR.AA
PES-02,PR.AA-06
PES-02.1,PR.AA-06
PES-03,DE.CM-02
PES-03,PR.AA
PES-03,PR.AA-06
PES-03.3,DE.CM-02
PES-05,DE.CM-02
PES-07,PR.IR-02
PES-07.5,PR.IR-02
PES-08,PR.IR-02
PES-09,PR.IR-02
PRI-01,GV.OC-03
PRI-05,ID.AM-07
PRI-05.5,ID.AM-07
PRI-07.1,GV.SC-05
PRM-01,GV.RM
PRM-01,GV.RR-03
PRM-01.1,GV
PRM-01.1,GV.OC-04
PRM-01.1,GV.OV-01
PRM-01.1,GV.RM
PRM-02,GV.RR-03
PRM-03,GV.RR-03
PRM-07,GV.SC-09
PRM-07,ID.AM-08
PRM-07,PR.PS-02
PRM-07,PR.PS-03
RSK-01,GV
RSK-01,GV.OV-02
RSK-01,GV.OV-03
RSK-01,GV.RM
RSK-01,GV.RM-01
RSK-01,GV.RM-03
RSK-01,GV.RM-04
RSK-01,GV.RM-06
RSK-01,GV.RR-01
RSK-01,GV.SC
RSK-01,GV.SC-01
RSK-01,GV.SC-03
RSK-01,GV.SC-05
RSK-01,GV.SC-09
RSK-01,ID
RSK-01,ID.IM
RSK-01,ID.RA
RSK-01,PR
RSK-01,PR.IR
RSK-01.1,GV.OC-01
RSK-01.1,GV.RM
RSK-01.1,GV.RM-04
RSK-01.1,GV.RM-06
RSK-01.1,GV.RM-07
RSK-01.1,ID
RSK-01.1,ID.RA-05
RSK-01.1,ID.RA-06
RSK-01.3,GV.RM
RSK-01.3,GV.RM-02
RSK-01.3,GV.RR-01
RSK-01.4,GV.RR-01
RSK-01.5,GV.RM
RSK-01.5,GV.RM-02
RSK-01.5,GV.RR-01
RSK-02,ID.AM
RSK-02.1,ID.RA-05
RSK-02.1,ID.RA-06
RSK-03,ID
RSK-03.1,ID
RSK-04,GV.RM-06
RSK-04,ID
RSK-04,ID.RA-01
RSK-04,ID.RA-05
RSK-04.1,GV.RM-06
RSK-04.1,ID
RSK-04.1,ID.RA-01
RSK-05,ID
RSK-05,ID.RA-05
RSK-05,ID.RA-06
RSK-06,GV.RM-04
RSK-06,ID.RA-05
RSK-06,ID.RA-06
RSK-06.1,GV.RM-04
RSK-06.1,ID.RA-05
RSK-06.1,ID.RA-06
RSK-06.2,GV.RM-04
RSK-06.2,ID.RA-06
RSK-09,GV.SC
RSK-09,GV.SC-01
RSK-09,GV.SC-03
RSK-09,GV.SC-05
RSK-09,GV.SC-09
RSK-09,GV.SC-10
RSK-09,ID
RSK-09,ID.IM
RSK-09,ID.RA
RSK-09,PR
RSK-09.1,GV.SC
RSK-09.1,GV.SC-09
RSK-12,GV.RR-01
SEA-01,PR.IR
SEA-01,PR.IR-01
SEA-01,PR.IR-03
SEA-01.1,PR.IR
SEA-01.2,PR.IR
SEA-01.2,PR.IR-02
SEA-01.2,PR.IR-03
SEA-02,PR.IR
SEA-02,PR.IR-01
SEA-02,PR.IR-03
SEA-07,ID.AM-08
SEA-07.1,GV.SC-09
SEA-07.1,ID.AM-08
SEA-07.1,PR.PS-02
SEA-07.1,PR.PS-03
OPS-01,ID.IM
OPS-01.1,ID.IM
SAT-01,PR.AT
SAT-02,PR.AT
SAT-02,PR.AT-01
SAT-03,PR.AT
SAT-03,PR.AT-01
SAT-03,PR.AT-02
SAT-03.5,PR.AT-02
SAT-03.6,ID.RA-03
SAT-03.7,PR.AT-02
TDA-01,ID.RA-09
TDA-01,PR.PS-06
TDA-01.1,GV.SC-09
TDA-01.1,PR.PS-06
TDA-01.2,ID.RA-09
TDA-04.2,GV.OC-05
TDA-06,PR.PS-06
TDA-06.1,PR.PS-06
TDA-06.2,GV.OC-01
TDA-06.2,PR.PS-06
TDA-06.3,PR.PS-06
TDA-09,ID.IM-01
TDA-09,ID.IM-02
TDA-09,ID.RA-01
TDA-09,PR.PS-06
TDA-09.1,ID.IM-01
TDA-09.1,ID.IM-02
TDA-14,ID.RA-09
TDA-14.1,ID.RA-09
TDA-14.2,ID.RA-09
TDA-17,PR.PS-02
TDA-17,PR.PS-03
TPM-01,GV.SC-04
TPM-01,GV.SC-06
TPM-01,GV.SC-07
TPM-01,GV.SC-08
TPM-01,GV.SC-10
TPM-01,ID.AM
TPM-01.1,GV.SC-04
TPM-01.1,GV.SC-07
TPM-01.1,GV.SC-08
TPM-01.1,ID.AM
TPM-01.1,ID.AM-01
TPM-01.1,ID.AM-02
TPM-01.1,ID.AM-04
TPM-01.1,ID.RA-10
TPM-02,GV.OC-04
TPM-02,GV.OC-05
TPM-02,GV.SC-04
TPM-02,GV.SC-06
TPM-02,GV.SC-07
TPM-02,GV.SC-08
TPM-02,ID.AM-05
TPM-02,ID.RA-10
TPM-03,GV.SC
TPM-03,GV.SC-06
TPM-03,GV.SC-07
TPM-03.2,GV.SC-06
TPM-03.2,GV.SC-07
TPM-03.3,GV.SC-06
TPM-03.3,GV.SC-07
TPM-04,GV.SC-06
TPM-04,GV.SC-07
TPM-04.1,GV.SC-06
TPM-04.1,GV.SC-07
TPM-04.1,ID.IM-01
TPM-04.1,ID.IM-02
TPM-04.1,ID.RA-10
TPM-04.3,GV.SC-06
TPM-04.4,GV.SC-06
TPM-05,GV.OC-02
TPM-05,GV.OC-03
TPM-05,GV.SC-02
TPM-05,GV.SC-05
TPM-05,GV.SC-06
TPM-05.2,GV.OC-03
TPM-05.2,GV.SC-02
TPM-05.2,GV.SC-05
TPM-05.2,GV.SC-06
TPM-05.2,GV.SC-10
TPM-05.3,GV.SC-06
TPM-05.3,GV.SC-10
TPM-05.4,GV.OC
TPM-05.4,GV.OC-02
TPM-05.4,GV.RM-05
TPM-05.4,GV.RR
TPM-05.4,GV.RR-02
TPM-05.4,GV.SC-02
TPM-05.4,GV.SC-06
TPM-05.4,ID.AM
TPM-05.5,GV.SC-06
TPM-05.6,GV.SC-06
TPM-05.7,GV.SC-06
TPM-06,GV.SC-06
TPM-06,ID.AM
TPM-08,GV.SC-07
TPM-08,ID.IM-01
TPM-08,ID.IM-02
TPM-09,GV.SC-06
TPM-09,GV.SC-07
TPM-09,GV.SC-08
TPM-10,GV.SC-08
TPM-11,GV.SC-08
THR-01,DE
THR-01,DE.AE-07
THR-01,ID.RA-03
THR-01,ID.RA-08
THR-02,DE
THR-02,DE.CM
THR-02,ID.RA-03
THR-02,ID.RA-05
THR-02,ID.RA-08
THR-03,DE
THR-03,DE.AE-07
THR-03,ID.RA-02
THR-03,ID.RA-03
THR-03,ID.RA-08
THR-04,ID.RA-03
THR-05,ID.RA-03
THR-07,DE
THR-07,ID.RA-03
THR-09,DE
THR-09,ID.RA-03
THR-09,ID.RA-04
THR-09,ID.RA-05
THR-09,PR.IR-02
THR-10,DE
THR-10,DE.AE-07
THR-10,ID.RA-04
THR-10,ID.RA-05
VPM-01,ID.RA-01
VPM-01,ID.RA-08
VPM-01,PR.PS-02
VPM-01.1,PR.PS-02
VPM-02,ID.RA-08
VPM-02,PR.PS-02
VPM-03,ID.RA-08
VPM-05,PR.PS-02
VPM-06,ID.RA-01
