scf_control_id,nist_rmf_control_id
DCH-23.5,SI-19(5)
DCH-23.6,SI-19(6)
DCH-23.7,SI-19(7)
DCH-23.8,SI-19(8)
DCH-24,CM-12
DCH-24.1,CM-12(1)
END-01,MP-2
END-02,SC-28
END-03,CM-11
END-03,CM-11(2)
END-03.1,CM-8(3)
END-03.1,CM-11(3)
END-03.2,CM-5
END-04,SI-3
END-04.1,SI-2
END-04.1,SI-3
END-04.3,PL-9
END-04.4,SI-3
END-04.5,SI-3(6)
END-06,SI-7
END-06.1,SI-7(1)
END-06.2,SI-7(7)
END-06.3,SI-7(2)
END-06.4,SI-7(5)
END-06.5,SI-7(9)
END-06.6,SI-7(10)
END-06.7,CM-7(8)
END-08,SI-8
END-08.1,PL-9
END-08.2,SI-8(2)
END-09,SC-11
END-10,SC-18
END-10,SC-18(1)
END-10,SC-18(2)
END-10,SC-18(3)
END-10,SC-18(4)
END-10,SC-27
END-11,SC-25
END-12,SC-41
END-13,SC-42
END-13.1,SC-42(2)
END-13.2,SC-42(4)
END-13.3,PM-25
END-13.3,SA-8(33)
END-13.3,SC-42(5)
END-13.4,SC-42(1)
END-14,SC-15
END-14,SC-15(1)
END-14.1,SC-15(3)
END-14.2,SC-15(4)
END-16,SC-3
END-16.1,SC-7(12)
HRS-01,PS-1
HRS-02,PS-2
HRS-02.2,SI-4(21)
HRS-03,PM-13
HRS-03,PS-9
HRS-03.2,PS-2
HRS-04,PS-3
HRS-04.1,PS-3(1)
HRS-04.1,PS-3(3)
HRS-04.2,PS-3(2)
HRS-04.3,PS-3(4)
HRS-05,PL-4
HRS-05.1,PL-4
HRS-05.2,PL-4(1)
HRS-05.3,PL-4
HRS-06,PS-6
HRS-06,PS-6(2)
HRS-06.1,PS-6
HRS-06.1,PS-6(2)
HRS-06.2,PS-6(3)
HRS-07,PS-8
HRS-08,PS-5
HRS-09,PS-4
HRS-09.2,AC-2(13)
HRS-09.3,PS-4(1)
HRS-09.4,PS-4(2)
HRS-10,PS-7
HRS-11,AC-5
HRS-12.1,AC-3(2)
IAC-01,AC-1
IAC-01,IA-1
IAC-01.2,IA-4
IAC-01.2,IA-4(4)
IAC-02,IA-2
IAC-02.1,IA-2(5)
IAC-02.2,IA-2(8)
IAC-02.3,IA-2(12)
IAC-02.3,IA-8(5)
IAC-02.4,IA-2(13)
IAC-03,IA-8
IAC-03.1,IA-8(1)
IAC-03.2,IA-8(2)
IAC-03.3,IA-8(4)
IAC-03.4,IA-8(6)
IAC-04,IA-3
IAC-04,IA-3(1)
IAC-04,IA-3(4)
IAC-04.1,IA-3(4)
IAC-05,IA-9
IAC-05.2,AC-6(6)
IAC-06,IA-2(1)
IAC-06,IA-2(2)
IAC-06.1,IA-2(1)
IAC-06.1,IA-2(2)
IAC-06.2,IA-2(1)
IAC-06.2,IA-2(2)
IAC-06.3,IA-2(1)
IAC-06.3,IA-2(2)
IAC-06.4,IA-2(1)
IAC-06.4,IA-2(2)
IAC-06.4,IA-2(6)
IAC-07,IA-12(4)
IAC-07.2,AC-2
IAC-08,AC-2(7)
IAC-09,IA-4
IAC-09.1,IA-4(4)
IAC-09.2,IA-4(4)
IAC-09.3,IA-4(5)
IAC-09.3,IA-5(10)
IAC-09.4,IA-4(6)
IAC-09.5,IA-5(8)
IAC-09.6,IA-4(8)
IAC-10,IA-5
IAC-10,IA-5(1)
IAC-10.1,IA-5(1)
IAC-10.2,IA-5(2)
IAC-10.3,IA-12(4)
IAC-10.4,IA-5(1)
IAC-10.5,IA-5(6)
IAC-10.6,IA-5(7)
IAC-10.7,IA-2(1)
IAC-10.7,IA-2(2)
IAC-10.8,IA-5
IAC-10.8,IA-5(5)
IAC-10.9,IA-5(8)
IAC-10.10,IA-5(13)
IAC-10.11,IA-5(18)
IAC-10.12,IA-5(12)
IAC-11,IA-6
IAC-12,IA-7
IAC-13,IA-10
IAC-13.1,IA-2(10)
IAC-13.2,IA-5(9)
IAC-14,IA-11
IAC-15,AC-2
IAC-15.1,AC-2(1)
IAC-15.2,AC-2(2)
IAC-15.3,AC-2(3)
IAC-15.4,AC-2(4)
IAC-15.5,AC-2(9)
IAC-15.6,AC-2(13)
IAC-15.8,AC-2(11)
IAC-17,AC-6(7)
IAC-18,IA-5(6)
IAC-20,AC-3
IAC-20,AC-6
IAC-20.5,AC-3(2)
IAC-20.6,AC-3(8)
IAC-21,AC-6
IAC-21,SA-8(14)
IAC-21.1,AC-6(1)
IAC-21.2,AC-6(2)
IAC-21.3,AC-6(5)
IAC-21.4,AC-6(9)
IAC-21.5,AC-6(10)
IAC-21.6,AC-6(3)
IAC-21.7,AC-6(8)
IAC-22,AC-7
IAC-23,AC-10
IAC-24,AC-2(5)
IAC-24,AC-11
IAC-24.1,AC-11(1)
IAC-25,AC-12
IAC-25.1,AC-12(1)
IAC-26,AC-14
IAC-27,AC-25
IAC-28,IA-12
IAC-28.1,AC-24
IAC-28.1,IA-12(1)
IAC-28.2,IA-12(2)
IAC-28.3,IA-12(3)
IAC-28.4,IA-12(4)
IAC-28.5,IA-12(5)
IRO-01,IR-1
IRO-02,IR-4
IRO-02.1,IR-4(1)
IRO-02.1,SI-4(7)
IRO-02.2,IR-4(6)
IRO-02.2,IR-4(7)
IRO-02.3,IR-4(2)
IRO-02.4,IR-4(3)
IRO-02.5,IR-4(8)
IRO-02.6,IR-4(5)
IRO-04,IR-8
IRO-04.1,IR-8(1)
IRO-04.2,IR-1
IRO-04.3,IR-3(3)
IRO-05,IR-2
IRO-05,IR-2(3)
IRO-05.1,IR-2(1)
IRO-05.2,IR-2(2)
IRO-06,IR-3
IRO-06,SI-4(9)
IRO-06.1,IR-3(2)
IRO-07,IR-4(11)
IRO-08,AU-10(3)
IRO-08,IR-4(12)
IRO-09,IR-5
IRO-09.1,IR-5(1)
IRO-10,IR-6
IRO-10.1,IR-6(1)
IRO-10.3,IR-6(2)
IRO-10.4,IR-4(10)
IRO-10.4,IR-6(3)
IRO-11,IR-7
IRO-11.1,IR-7(1)
IRO-11.2,IR-7(2)
IRO-12,IR-9
IRO-12.1,IR-9
IRO-12.2,IR-9(2)
IRO-12.3,IR-9(3)
IRO-12.4,IR-9(4)
IRO-13,IR-1
IRO-13,IR-4(12)
IRO-13,IR-6(2)
IRO-14,IR-6
IRO-15,SC-44
IRO-16,IR-4(15)
IAO-01,CA-1
IAO-01,PM-10
IAO-02,CA-2
IAO-02.1,CA-2(1)
IAO-02.2,CA-2(2)
IAO-02.2,SA-11(5)
IAO-02.3,CA-2(3)
IAO-03,PL-2
IAO-03.1,PL-2
IAO-04,SA-11(5)
IAO-05,CA-5
IAO-05,PM-4
IAO-05,SA-15(2)
IAO-05.1,CA-5(1)
IAO-06,CA-2
IAO-06,CM-4(2)
IAO-07,CA-6
MNT-01,MA-1
MNT-02,MA-2
MNT-02.1,MA-2(2)
MNT-03,MA-6
MNT-03.1,MA-6(1)
MNT-03.2,MA-6(2)
MNT-03.3,MA-6(3)
MNT-04,MA-3
MNT-04,MA-3(5)
MNT-04,MA-3(6)
MNT-04.1,MA-3(1)
MNT-04.2,MA-3(2)
MNT-04.3,MA-3(3)
MNT-04.4,MA-3(4)
MNT-05,MA-4
MNT-05.1,MA-1
MNT-05.1,MA-4
MNT-05.1,MA-4(1)
MNT-05.2,MA-1
MNT-05.2,MA-4
MNT-05.3,MA-4(6)
MNT-05.4,MA-4(7)
MNT-05.5,MA-4(5)
MNT-05.6,MA-4(3)
MNT-05.7,MA-4(4)
MNT-06,MA-5
MNT-06.1,MA-5(1)
MNT-06.1,MA-5(2)
MNT-06.1,MA-5(3)
MNT-06.1,MA-5(4)
MNT-06.2,MA-5(5)
MNT-07,SR-11(2)
MNT-08,MA-7
MDM-02,AC-19
MDM-03,AC-19(5)
MDM-04,PE-3(5)
MDM-05,AC-7(2)
MDM-05,MP-6(8)
NET-01,SC-1
NET-02.1,SC-5
NET-02.3,SC-46
NET-03,SC-7
NET-03,SC-7(9)
NET-03,SC-7(11)
NET-03.1,SC-7(3)
NET-03.1,SI-4(25)
NET-03.2,SC-7(4)
NET-03.2,SC-7(9)
NET-03.3,SC-7(16)
NET-03.4,SC-7(24)
NET-03.5,SC-7(10)
NET-03.6,SC-7(20)
NET-03.7,SC-7(21)
NET-03.8,SC-7(22)
NET-03.8,SC-7(29)
NET-04,AC-4
NET-04.1,SC-7(5)
NET-04.1,SC-7(11)
NET-04.2,AC-4(1)
NET-04.3,AC-4(4)
NET-04.4,AC-4(5)
NET-04.5,AC-4(6)
NET-04.6,AC-4(9)
NET-04.7,AC-4(8)
NET-04.8,AC-4(12)
NET-04.9,AC-4(13)
NET-04.10,AC-4(15)
NET-04.11,AC-4(20)
NET-04.12,AC-4(17)
NET-04.13,AC-4(19)
NET-05,CA-3
NET-05,SC-7(25)
NET-05,SC-7(26)
NET-05.1,SC-7(27)
NET-05.2,CA-9
NET-06,AC-4(21)
NET-06.1,SC-7(13)
NET-06.1,SC-7(29)
NET-06.5,SC-7(28)
NET-07,SC-10
NET-09,SC-23
NET-09.1,SC-23(1)
NET-09.2,SC-23(3)
NET-10,SC-20
NET-10,SC-20(2)
NET-10.1,SC-22
NET-10.2,SC-21
NET-11,SC-37
NET-11,SC-37(1)
NET-12,AC-2
NET-12,AC-3
NET-12,AC-5
NET-12,SI-3
NET-12,SI-4
NET-12,SI-5
NET-12,SI-7
NET-12,SI-10
NET-12.1,SC-40
NET-13,SC-8(3)
NET-14,AC-17
NET-14,AC-17(6)
NET-14.1,AC-17(1)
NET-14.2,AC-17(2)
NET-14.3,AC-17(3)
NET-14.4,AC-17(4)
NET-14.7,CA-9(1)
NET-14.8,AC-17(9)
NET-15,AC-18
NET-15.1,AC-18(1)
NET-15.2,AC-18(3)
NET-15.3,AC-18(4)
NET-15.4,AC-18(5)
NET-17,SC-7(10)
NET-17,SI-4(18)
NET-18,SC-7(8)
NET-18,SC-18(3)
NET-18.1,SC-7(8)
NET-18.2,SI-4(10)
NET-18.3,SC-7(15)
PES-01,PE-1
PES-01,PE-23
PES-02,PE-2
PES-02.1,PE-2(1)
PES-03,PE-3
PES-03,PE-3(2)
PES-03,PE-3(3)
PES-03.2,PE-3(4)
PES-03.2,SC-7(14)
PES-03.3,PE-8
PES-03.4,PE-3(1)
PES-05,PE-6
PES-05.1,PE-6(1)
PES-05.2,PE-6(4)
PES-06.2,PE-2(2)
PES-06.3,PE-2(3)
PES-06.4,PE-8(1)
PES-06.5,PE-8(3)
PES-06.5,PM-25
PES-06.5,SA-8(33)
PES-07,PE-9
PES-07.1,PE-9(2)
PES-07.2,PE-10
PES-07.3,PE-11
PES-07.3,PE-11(1)
PES-07.3,PE-11(2)
PES-07.4,PE-12
PES-07.5,PE-15
PES-07.6,PE-15(1)
PES-07.7,PE-9(1)
PES-08,PE-13
PES-08.1,PE-13(1)
PES-08.2,PE-13(2)
PES-08.3,PE-13(2)
PES-09,PE-14
PES-09.1,PE-14(2)
PES-10,PE-16
PES-11,PE-17
PES-12,PE-18
PES-12,PE-23
PES-12,SC-7(14)
PES-12.1,PE-4
PES-12.1,SC-7(14)
PES-12.2,PE-5
PES-13,PE-19
PES-14,PE-20
PES-15,PE-21
PES-16,PE-22
PRI-01,PM-18
PRI-01,PT-1
PRI-01.1,PM-19
PRI-01.2,PT-5(2)
PRI-01.3,PM-20
PRI-02,PM-20(1)
PRI-02,PT-5
PRI-02.1,PT-3
PRI-02.2,PM-24
PRI-02.2,PT-2(2)
PRI-02.2,PT-3(2)
PRI-02.3,PM-24
PRI-02.3,PT-8
PRI-02.4,PT-6
PRI-02.5,PT-6(1)
PRI-02.6,PT-6(2)
PRI-03,PT-4
PRI-03.1,PT-4(1)
PRI-03.2,PT-4(2)
PRI-03.2,PT-5(1)
PRI-03.4,PT-4(3)
PRI-04,PT-2
PRI-04.1,PT-2
PRI-05,AC-4(25)
PRI-05,SI-12
PRI-05,SI-12(3)
PRI-05.1,PM-25
PRI-05.1,PT-2
PRI-05.1,PT-3
PRI-05.1,SI-12(1)
PRI-05.1,SI-12(2)
PRI-05.2,PM-24
PRI-05.3,SI-19(4)
PRI-05.4,AC-23
PRI-05.4,PM-25
PRI-05.4,PT-2
PRI-05.4,PT-7
PRI-05.5,PM-5(1)
PRI-05.6,PM-5(1)
PRI-05.7,PT-7
PRI-05.7,PT-7(1)
PRI-05.7,PT-7(2)
PRI-06,AC-3(14)
PRI-06,SI-18(4)
PRI-06.1,SI-18(4)
PRI-06.1,SI-18(5)
PRI-06.2,SI-18(5)
PRI-06.3,PM-26
PRI-06.4,PM-26
PRI-07,AC-21
PRI-08,PM-14
PRI-09,SA-4(12)
PRI-10,PM-22
PRI-10,PM-23
PRI-10,PM-24
PRI-10.1,PT-3(2)
PRI-11,PT-3(1)
PRI-13,PM-23
PRI-13,PM-24
PRI-14,PM-27
PRI-14.1,PM-21
PRM-01,PL-1
PRM-02,PM-3
PRM-03,SA-2
PRM-04,CA-2
PRM-05,RA-9
PRM-06,PM-11
PRM-07,SA-3
PRM-07,SA-3(1)
PRM-07,SA-8(30)
RSK-01,PM-9
RSK-01,PM-29
RSK-01,RA-1
RSK-01.1,PM-28
RSK-02,RA-2
RSK-02.1,RA-2(1)
RSK-04,RA-3
RSK-06.1,RA-7
RSK-09,PM-29
RSK-09,PM-30
RSK-09,SA-9(3)
RSK-09,SR-2
RSK-09,SR-7
RSK-09.1,RA-3(1)
RSK-10,RA-8
RSK-11,CA-7(4)
SEA-01,PT-1
SEA-01,SA-8
SEA-01,SC-1
SEA-01,SC-7(18)
SEA-01,SI-1
SEA-01,SA-15(5)
SEA-01.1,PL-9
SEA-01.2,SA-24
SEA-02,PL-8
SEA-02,PM-7
SEA-02.2,PM-7(1)
SEA-03,PL-8(1)
SEA-03,SC-3(5)
SEA-03.1,SC-32
SEA-03.2,SC-2
SEA-03.2,SC-2(1)
SEA-04,SC-39
SEA-04.1,SC-3
SEA-04.2,SC-39(1)
SEA-04.3,SC-39(2)
SEA-05,SC-4
SEA-06,CM-7(2)
SEA-07,SI-13
SEA-07.1,SA-3
SEA-07.1,SA-3(1)
SEA-07.1,SA-3(3)
SEA-07.1,SA-8(30)
SEA-07.2,CP-12
SEA-07.2,SA-8(24)
SEA-07.2,SC-24
SEA-07.3,SI-17
SEA-08,SI-14
SEA-08.1,SA-3(3)
SEA-08.1,SI-14(1)
SEA-09,SI-15
SEA-10,SI-16
SEA-11,IR-4(13)
SEA-11,SC-26
SEA-12,IR-4(13)
SEA-12,SC-35
SEA-13,SC-29
SEA-13.1,SC-29(1)
SEA-14,SC-30
SEA-14,SC-30(4)
SEA-14,SC-30(5)
SEA-14.1,SC-30(2)
SEA-14.2,SC-30(3)
SEA-15,PE-23
SEA-15,SC-36
SEA-16,SC-34
SEA-18,AC-8
SEA-19,AC-9
SEA-20,AU-8
OPS-01,SC-38
OPS-01,SR-7
OPS-01.1,SA-8(32)
OPS-02,PL-7
OPS-04,IR-4(14)
OPS-04,SC-38
SAT-01,AT-1
SAT-01,PM-13
SAT-02,AT-2
SAT-02.1,AT-2(1)
SAT-02.1,AT-6
SAT-02.2,AT-2(3)
SAT-03,AT-3
SAT-03,AT-3(2)
SAT-03.1,AT-3(3)
SAT-03.2,AT-2(4)
SAT-03.2,AT-2(5)
SAT-03.3,AT-3(5)
SAT-03.6,AT-2(6)
SAT-04,AT-4
TDA-01,PL-1
TDA-01,SA-1
TDA-01,SA-4
TDA-01,SA-23
TDA-01.1,SA-23
TDA-02,SA-4
TDA-02.1,SA-4(9)
TDA-02.2,SA-4(7)
TDA-02.2,SA-4(10)
TDA-02.2,IA-2(1)
TDA-02.2,IA-2(2)
TDA-02.3,SA-4(3)
TDA-02.3,SR-3(1)
TDA-02.4,SA-4(5)
TDA-02.7,SA-10(7)
TDA-02.14,SA-15(13)
TDA-03,SA-4(6)
TDA-03.1,PL-8(2)
TDA-03.1,SR-3(1)
TDA-04,SA-5
TDA-04.1,SA-4(1)
TDA-04.1,SA-4(2)
TDA-05,SA-17
TDA-06,SA-1
TDA-06,SA-4(3)
TDA-06,SA-15
TDA-06.1,PM-30(1)
TDA-06.1,RA-9
TDA-06.1,SA-15(3)
TDA-06.2,SA-11(2)
TDA-06.2,SA-15(8)
TDA-06.6,SI-02(07)
TDA-07,SA-3(1)
TDA-08,CM-4(1)
TDA-09,SA-11
TDA-09,SA-11(5)
TDA-09,SA-11(6)
TDA-09,SA-11(7)
TDA-09.1,SA-4(8)
TDA-09.2,SA-11(1)
TDA-09.3,SA-11(8)
TDA-09.5,SA-11(5)
TDA-09.7,SA-11(4)
TDA-10,SA-3(2)
TDA-11,SR-4(3)
TDA-11,SR-4(4)
TDA-11,SR-10
TDA-11,SR-11
TDA-11,SR-11(3)
TDA-11.1,SR-11(1)
TDA-12,PM-30(1)
TDA-12,SA-20
TDA-12,SA-23
TDA-13,SA-21
TDA-14,SA-10
TDA-14.1,SA-10(1)
TDA-14.2,SA-10(3)
TDA-15,SA-11(2)
