scf_control_id,iso_control_id
TDA-06,8.27
TDA-06,8.28
TDA-06,8.30
TDA-06.1,8.29
TDA-07,8.25
TDA-07,8.31
TDA-08,8.25
TDA-08,8.31
TDA-09,8.25
TDA-09,8.29
TDA-09,8.30
TDA-10,8.33
TDA-14,8.30
TDA-14,8.32
TDA-20,8.4
TDA-20,8.30
TPM-01,5.19
TPM-01,5.20
TPM-01,8.30
TPM-01.1,5.19
TPM-02,5.19
TPM-03,5.19
TPM-03,5.21
TPM-03,5.22
TPM-03,8.30
TPM-03.1,5.21
TPM-03.1,5.22
TPM-03.2,5.19
TPM-03.2,5.20
TPM-03.3,5.19
TPM-03.3,5.22
TPM-04,5.19
TPM-04,8.30
TPM-04.1,5.19
TPM-04.3,5.19
TPM-04.4,5.21
TPM-05,5.19
TPM-05,5.20
TPM-05,5.21
TPM-05,5.31
TPM-05,6.6
TPM-05,8.21
TPM-05,8.30
TPM-05.1,5.21
TPM-05.4,5.2
TPM-05.4,5.23
TPM-06,5.2
TPM-06,5.19
TPM-06,8.30
TPM-08,5.19
TPM-08,5.20
TPM-08,5.22
TPM-08,8.21
TPM-09,5.19
TPM-10,5.20
TPM-10,5.22
TPM-11,5.19
THR-01,5.7
THR-02,5.7
THR-03,5.7
THR-03.1,5.7
VPM-01,8.8
VPM-01.1,8.8
VPM-02,8.8
VPM-03,8.8
VPM-05,8.8
VPM-06,8.8
WEB-02,8.22
