scf_control_id,tisax_reference_id
OPS-01.1,9.8.1
OPS-02,8.1.1
OPS-05,9.8.1
SAT-01,8.2.3
SAT-02,2.1.3
SAT-02,8.2.3
SAT-03,2.1.4
SAT-03,9.7.2
SAT-03.3,2.1.4
SAT-04,8.2.3
TPM-01,1.3.3
TPM-04.1,1.3.3
TPM-04.1,6.1.1
TPM-05,1.2.4
TPM-05,1.3.3
TPM-05,6.1.1
TPM-05,8.2.1
TPM-05,8.2.2
TPM-05,8.3.1
TPM-05.1,8.3.1
TPM-05.2,6.1.1
TPM-05.4,1.2.4
TPM-05.4,1.3.3
TPM-05.6,8.2.2
TPM-05.8,8.2.2
TPM-08,6.1.1
THR-03,5.2.5
VPM-01.1,5.2.5
VPM-02,5.2.5
VPM-03,5.2.5
VPM-03.1,5.2.5
