provision_id,citation,section_id,parent_provision_id,label,level,heading,text,source_document
prov_312.4(c)(1)(iv),§ 312.4(c)(1)(iv),sec_312.4,prov_312.4(c)(1),(iv),3,,(iv) A hyperlink to the operator’s online notice of its information practices required under paragraph (d) of this section;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(1)(v),§ 312.4(c)(1)(v),sec_312.4,prov_312.4(c)(1),(v),3,,"(v) The means by which the parent can provide verifiable consent to the collection, use, and disclosure of the information; and",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(1)(vi),§ 312.4(c)(1)(vi),sec_312.4,prov_312.4(c)(1),(vi),3,,"(vi) That if the parent does not provide consent within a reasonable time from the date the direct notice was sent, the operator will delete the parent’s online contact information from its records.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(2),§ 312.4(c)(2),sec_312.4,prov_312.4(c),(2),2,"Content of the direct notice to the parent under § 312.5(c)(2) (Voluntary Notice to Parent of a Child's Online Activities Not Involving the Collection, Use or Disclosure of Personal Information)","(2) Content of the direct notice to the parent under § 312.5(c)(2) (Voluntary Notice to Parent of a Child’s Online Activities Not Involving the Collection, Use or Disclosure of Personal Information). Where an operator chooses to notify a parent of a child’s participation in a Web site or online service, and where such site or service does not collect any personal information other than the parent’s online contact information, the direct notice shall set forth:",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(2)(i),§ 312.4(c)(2)(i),sec_312.4,prov_312.4(c)(2),(i),3,,"(i) That the operator has collected the parent’s online contact information from the child in order to provide notice to, and subsequently update the parent about, a child’s participation in a Web site or online service that does not otherwise collect, use, or disclose children’s personal information;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(2)(ii),§ 312.4(c)(2)(ii),sec_312.4,prov_312.4(c)(2),(ii),3,,(ii) That the parent’s online contact information will not be used or disclosed for any other purpose;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(2)(iii),§ 312.4(c)(2)(iii),sec_312.4,prov_312.4(c)(2),(iii),3,,"(iii) That the parent may refuse to permit the child’s participation in the Web site or online service and may require the deletion of the parent’s online contact information, and how the parent can do so; and",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(2)(iv),§ 312.4(c)(2)(iv),sec_312.4,prov_312.4(c)(2),(iv),3,,(iv) A hyperlink to the operator’s online notice of its information ###PAGEBREAK### practices required under paragraph (d) of this section.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(3),§ 312.4(c)(3),sec_312.4,prov_312.4(c),(3),2,Content of the direct notice to the parent under § 312.5(c)(4) (Notice to a Parent of Operator's Intent to Communicate with the Child Multiple Times),(3) Content of the direct notice to the parent under § 312.5(c)(4) (Notice to a Parent of Operator’s Intent to Communicate with the Child Multiple Times). This direct notice shall set forth:,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(3)(i),§ 312.4(c)(3)(i),sec_312.4,prov_312.4(c)(3),(i),3,,(i) That the operator has collected the child’s online contact information from the child in order to provide multiple online communications to the child;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(3)(ii),§ 312.4(c)(3)(ii),sec_312.4,prov_312.4(c)(3),(ii),3,,(ii) That the operator has collected the parent’s online contact information from the child in order to notify the parent that the child has registered to receive multiple online communications from the operator;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(3)(iii),§ 312.4(c)(3)(iii),sec_312.4,prov_312.4(c)(3),(iii),3,,"(iii) That the online contact information collected from the child will not be used for any other purpose, disclosed, or combined with any other information collected from the child;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(3)(iv),§ 312.4(c)(3)(iv),sec_312.4,prov_312.4(c)(3),(iv),3,,"(iv) That the parent may refuse to permit further contact with the child and require the deletion of the parent’s and child’s online contact information, and how the parent can do so;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(3)(v),§ 312.4(c)(3)(v),sec_312.4,prov_312.4(c)(3),(v),3,,"(v) That if the parent fails to respond to this direct notice, the operator may use the online contact information collected from the child for the purpose stated in the direct notice; and",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(3)(vi),§ 312.4(c)(3)(vi),sec_312.4,prov_312.4(c)(3),(vi),3,,(vi) A hyperlink to the operator’s online notice of its information practices required under paragraph (d) of this section.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(4),§ 312.4(c)(4),sec_312.4,prov_312.4(c),(4),2,Content of the direct notice to the parent required under § 312.5(c)(5) (Notice to a Parent In Order to Protect a Child's Safety),(4) Content of the direct notice to the parent required under § 312.5(c)(5) (Notice to a Parent In Order to Protect a Child’s Safety). This direct notice shall set forth:,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(4)(i),§ 312.4(c)(4)(i),sec_312.4,prov_312.4(c)(4),(i),3,,(i) That the operator has collected the name and the online contact information of the child and the parent in order to protect the safety of a child;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(4)(ii),§ 312.4(c)(4)(ii),sec_312.4,prov_312.4(c)(4),(ii),3,,(ii) That the information will not be used or disclosed for any purpose unrelated to the child’s safety;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(4)(iii),§ 312.4(c)(4)(iii),sec_312.4,prov_312.4(c)(4),(iii),3,,"(iii) That the parent may refuse to permit the use, and require the deletion, of the information collected, and how the parent can do so;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(4)(iv),§ 312.4(c)(4)(iv),sec_312.4,prov_312.4(c)(4),(iv),3,,"(iv) That if the parent fails to respond to this direct notice, the operator may use the information for the purpose stated in the direct notice; and",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(4)(v),§ 312.4(c)(4)(v),sec_312.4,prov_312.4(c)(4),(v),3,,(v) A hyperlink to the operator’s online notice of its information practices required under paragraph (d) of this section.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(d),§ 312.4(d),sec_312.4,,(d),1,Notice on the Web site or online service,"(d) Notice on the Web site or online service. In addition to the direct notice to the parent, an operator must post a prominent and clearly labeled link to an online notice of its information practices with regard to children on the home or landing page or screen of its Web site or online service, and, at each area of the Web site or online service where personal information is collected from children. The link must be in close proximity to the requests for information in each such area. An operator of a general audience Web site or online service that has a separate children’s area must post a link to a notice of its information practices with regard to children on the home or landing page or screen of the children’s area. To be complete, the online notice of the Web site or online service’s information practices must state the following:",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(d)(1),§ 312.4(d)(1),sec_312.4,prov_312.4(d),(1),2,,"(1) The name, address, telephone number, and email address of all operators collecting or maintaining personal information from children through the Web site or online service. Provided that: The operators of a Web site or online service may list the name, address, phone number, and email address of one operator who will respond to all inquiries from parents concerning the operators’ privacy policies and use of children’s information, as long as the names of all the operators collecting or maintaining personal information from children through the Web site or online service are also listed in the notice;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(d)(2),§ 312.4(d)(2),sec_312.4,prov_312.4(d),(2),2,,"(2) A description of what information the operator collects from children, including whether the Web site or online service enables a child to make personal information publicly available; how the operator uses such information; and, the operator’s disclosure practices for such information; and",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(d)(3),§ 312.4(d)(3),sec_312.4,prov_312.4(d),(3),2,,"(3) That the parent can review or have deleted the child’s personal information, and refuse to permit further collection or use of the child’s information, and state the procedures for doing so.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(a),§ 312.5(a),sec_312.5,,(a),1,General requirements,(a) General requirements.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(a)(1),§ 312.5(a)(1),sec_312.5,prov_312.5(a),(1),2,,"(1) An operator is required to obtain verifiable parental consent before any collection, use, or disclosure of personal information from children, including consent to any material change in the collection, use, or disclosure practices to which the parent has previously consented.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(a)(2),§ 312.5(a)(2),sec_312.5,prov_312.5(a),(2),2,,(2) An operator must give the parent the option to consent to the collection and use of the child’s personal information without consenting to disclosure of his or her personal information to third parties.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(b),§ 312.5(b),sec_312.5,,(b),1,Methods for verifiable parental consent,(b) Methods for verifiable parental consent.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(b)(1),§ 312.5(b)(1),sec_312.5,prov_312.5(b),(1),2,,"(1) An operator must make reasonable efforts to obtain verifiable parental consent, taking into consideration available technology. Any method to obtain verifiable parental consent must be reasonably calculated, in light of available technology, to ensure that the person providing consent is the child’s parent.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(b)(2),§ 312.5(b)(2),sec_312.5,prov_312.5(b),(2),2,,(2) Existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include:,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(b)(2)(i),§ 312.5(b)(2)(i),sec_312.5,prov_312.5(b)(2),(i),3,,"(i) Providing a consent form to be signed by the parent and returned to the operator by postal mail, facsimile, or electronic scan;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(b)(2)(ii),§ 312.5(b)(2)(ii),sec_312.5,prov_312.5(b)(2),(ii),3,,"(ii) Requiring a parent, in connection with a monetary transaction, to use a credit card, debit card, or other online payment system that provides notification of each discrete transaction to the primary account holder;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(b)(2)(iii),§ 312.5(b)(2)(iii),sec_312.5,prov_312.5(b)(2),(iii),3,,(iii) Having a parent call a toll-free telephone number staffed by trained personnel;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(b)(2)(iv),§ 312.5(b)(2)(iv),sec_312.5,prov_312.5(b)(2),(iv),3,,(iv) Having a parent connect to trained personnel via video-conference;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(b)(2)(v),§ 312.5(b)(2)(v),sec_312.5,prov_312.5(b)(2),(v),3,,"(v) Verifying a parent’s identity by checking a form of government-issued identification against databases of such information, where the parent’s identification is deleted by the operator from its records promptly after such verification is complete; or",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(b)(2)(vi),§ 312.5(b)(2)(vi),sec_312.5,prov_312.5(b)(2),(vi),3,,"(vi) Provided that, an operator that does not ‘‘disclose’’ (as defined by § 312.2) children’s personal information, may use an email coupled with additional steps to provide assurances that the person providing the consent is the parent. Such additional steps include: Sending a confirmatory email to the parent following receipt of consent, or obtaining a postal address or telephone number from the parent and confirming the parent’s consent by letter or telephone call. An operator that uses this method must provide notice that the parent can revoke any consent given in response to the earlier email.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(b)(3),§ 312.5(b)(3),sec_312.5,prov_312.5(b),(3),2,Safe harbor approval of parental consent methods,(3) Safe harbor approval of parental consent methods. A safe harbor program approved by the Commission under § 312.11 may approve its member operators’ use of a parental consent method not currently enumerated in paragraph (b)(2) of this section where the safe harbor program determines that such parental consent method meets the requirements of paragraph (b)(1) of this section.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c),§ 312.5(c),sec_312.5,,(c),1,Exceptions to prior parental consent,"(c) Exceptions to prior parental consent. Verifiable parental consent is required prior to any collection, use, or disclosure of personal information from a child except as set forth in this paragraph:",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(1),§ 312.5(c)(1),sec_312.5,prov_312.5(c),(1),2,,"(1) Where the sole purpose of collecting the name or online contact information of the parent or child is to provide notice and obtain parental consent under § 312.4(c)(1). If the operator has not obtained parental consent after a reasonable time from the date of the information collection, the ###PAGEBREAK### operator must delete such information from its records;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(2),§ 312.5(c)(2),sec_312.5,prov_312.5(c),(2),2,,"(2) Where the purpose of collecting a parent’s online contact information is to provide voluntary notice to, and subsequently update the parent about, the child’s participation in a Web site or online service that does not otherwise collect, use, or disclose children’s personal information. In such cases, the parent’s online contact information may not be used or disclosed for any other purpose. In such cases, the operator must make reasonable efforts, taking into consideration available technology, to ensure that the parent receives notice as described in § 312.4(c)(2);",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(3),§ 312.5(c)(3),sec_312.5,prov_312.5(c),(3),2,,"(3) Where the sole purpose of collecting online contact information from a child is to respond directly on a one-time basis to a specific request from the child, and where such information is not used to re-contact the child or for any other purpose, is not disclosed, and is deleted by the operator from its records promptly after responding to the child’s request;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(4),§ 312.5(c)(4),sec_312.5,prov_312.5(c),(4),2,,"(4) Where the purpose of collecting a child’s and a parent’s online contact information is to respond directly more than once to the child’s specific request, and where such information is not used for any other purpose, disclosed, or combined with any other information collected from the child. In such cases, the operator must make reasonable efforts, taking into consideration available technology, to ensure that the parent receives notice as described in § 312.4(c)(3). An operator will not be deemed to have made reasonable efforts to ensure that a parent receives notice where the notice to the parent was unable to be delivered;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(5),§ 312.5(c)(5),sec_312.5,prov_312.5(c),(5),2,,"(5) Where the purpose of collecting a child’s and a parent’s name and online contact information, is to protect the safety of a child, and where such information is not used or disclosed for any purpose unrelated to the child’s safety. In such cases, the operator must make reasonable efforts, taking into consideration available technology, to provide a parent with notice as described in § 312.4(c)(4);",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(6),§ 312.5(c)(6),sec_312.5,prov_312.5(c),(6),2,,(6) Where the purpose of collecting a child’s name and online contact information is to:,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(7),§ 312.5(c)(7),sec_312.5,prov_312.5(c),(7),2,,"(7) Where an operator collects a persistent identifier and no other personal information and such identifier is used for the sole purpose of providing support for the internal operations of the Web site or online service. In such case, there also shall be no obligation to provide notice under § 312.4; or",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(8),§ 312.5(c)(8),sec_312.5,prov_312.5(c),(8),2,,"(8) Where an operator covered under paragraph (2) of the definition of Web site or online service directed to children in § 312.2 collects a persistent identifier and no other personal information from a user who affirmatively interacts with the operator and whose previous registration with that operator indicates that such user is not a child. In such case, there also shall be no obligation to provide notice under § 312.4.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(6)(i),§ 312.5(c)(6)(i),sec_312.5,prov_312.5(c)(6),(i),3,,(i) Protect the security or integrity of its Web site or online service;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(6)(ii),§ 312.5(c)(6)(ii),sec_312.5,prov_312.5(c)(6),(ii),3,,(ii) Take precautions against liability;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(6)(iii),§ 312.5(c)(6)(iii),sec_312.5,prov_312.5(c)(6),(iii),3,,(iii) Respond to judicial process; or,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.5(c)(6)(iv),§ 312.5(c)(6)(iv),sec_312.5,prov_312.5(c)(6),(iv),3,,"(iv) To the extent permitted under other provisions of law, to provide information to law enforcement agencies or for an investigation on a matter related to public safety; and where such information is not be used for any other purpose;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.6(a),§ 312.6(a),sec_312.6,,(a),1,,"(a) Upon request of a parent whose child has provided personal information to a Web site or online service, the operator of that Web site or online service is required to provide to that parent the following:",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.6(a)(1),§ 312.6(a)(1),sec_312.6,prov_312.6(a),(1),2,,"(1) A description of the specific types or categories of personal information collected from children by the operator, such as name, address, telephone number, email address, hobbies, and extracurricular activities;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.6(a)(2),§ 312.6(a)(2),sec_312.6,prov_312.6(a),(2),2,,"(2) The opportunity at any time to refuse to permit the operator’s further use or future online collection of personal information from that child, and to direct the operator to delete the child’s personal information; and",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.6(a)(3),§ 312.6(a)(3),sec_312.6,prov_312.6(a),(3),2,,"(3) Notwithstanding any other provision of law, a means of reviewing any personal information collected from the child. The means employed by the operator to carry out this provision must:",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.6(a)(3)(i),§ 312.6(a)(3)(i),sec_312.6,prov_312.6(a)(3),(i),3,,"(i) Ensure that the requestor is a parent of that child, taking into account available technology; and",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.6(a)(3)(ii),§ 312.6(a)(3)(ii),sec_312.6,prov_312.6(a)(3),(ii),3,,(ii) Not be unduly burdensome to the parent.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.6(b),§ 312.6(b),sec_312.6,,(b),1,,(b) Neither an operator nor the operator’s agent shall be held liable under any Federal or State law for any disclosure made in good faith and following reasonable procedures in responding to a request for disclosure of personal information under this section.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.6(c),§ 312.6(c),sec_312.6,,(c),1,,"(c) Subject to the limitations set forth in § 312.7, an operator may terminate any service provided to a child whose parent has refused, under paragraph (a)(2) of this section, to permit the operator’s further use or collection of personal information from his or her child or has directed the operator to delete the child’s personal information.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(a),§ 312.11(a),sec_312.11,,(a),1,In general,(a) In general. Industry groups or other persons may apply to the Commission for approval of self- regulatory program guidelines (‘‘safe harbor programs’’). The application shall be filed with the Commission’s Office of the Secretary. The Commission will publish in the Federal Register a document seeking public comment on the application. The Commission shall issue a written determination within 180 days of the filing of the application.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(b),§ 312.11(b),sec_312.11,,(b),1,Criteria for approval of self-regulatory program guidelines,(b) Criteria for approval of self- regulatory program guidelines. Proposed safe harbor programs must demonstrate ###PAGEBREAK### that they meet the following performance standards:,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(b)(1),§ 312.11(b)(1),sec_312.11,prov_312.11(b),(1),2,,"(1) Program requirements that ensure operators subject to the self-regulatory program guidelines (‘‘subject operators’’) provide substantially the same or greater protections for children as those contained in §§ 312.2 through 312.8, and 312.10.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(b)(2),§ 312.11(b)(2),sec_312.11,prov_312.11(b),(2),2,,"(2) An effective, mandatory mechanism for the independent assessment of subject operators’ compliance with the self-regulatory program guidelines. At a minimum, this mechanism must include a comprehensive review by the safe harbor program, to be conducted not less than annually, of each subject operator’s information policies, practices, and representations. The assessment mechanism required under this paragraph can be provided by an independent enforcement program, such as a seal program.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(b)(3),§ 312.11(b)(3),sec_312.11,prov_312.11(b),(3),2,,(3) Disciplinary actions for subject operators’ non-compliance with self- regulatory program guidelines. This performance standard may be satisfied by:,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(b)(3)(i),§ 312.11(b)(3)(i),sec_312.11,prov_312.11(b)(3),(i),3,,"(i) Mandatory, public reporting of any action taken against subject operators by the industry group issuing the self- regulatory guidelines;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(b)(3)(ii),§ 312.11(b)(3)(ii),sec_312.11,prov_312.11(b)(3),(ii),3,,(ii) Consumer redress;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(b)(3)(iii),§ 312.11(b)(3)(iii),sec_312.11,prov_312.11(b)(3),(iii),3,,(iii) Voluntary payments to the United States Treasury in connection with an industry-directed program for violators of the self-regulatory guidelines;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(b)(3)(iv),§ 312.11(b)(3)(iv),sec_312.11,prov_312.11(b)(3),(iv),3,,(iv) Referral to the Commission of operators who engage in a pattern or practice of violating the self-regulatory guidelines; or,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(b)(3)(v),§ 312.11(b)(3)(v),sec_312.11,prov_312.11(b)(3),(v),3,,(v) Any other equally effective action.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(c),§ 312.11(c),sec_312.11,,(c),1,Request for Commission approval of self-regulatory program guidelines,(c) Request for Commission approval of self-regulatory program guidelines. A proposed safe harbor program’s request for approval shall be accompanied by the following:,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(c)(1),§ 312.11(c)(1),sec_312.11,prov_312.11(c),(1),2,,"(1) A detailed explanation of the applicant’s business model, and the technological capabilities and mechanisms that will be used for initial and continuing assessment of subject operators’ fitness for membership in the safe harbor program;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(c)(2),§ 312.11(c)(2),sec_312.11,prov_312.11(c),(2),2,,(2) A copy of the full text of the guidelines for which approval is sought and any accompanying commentary;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(c)(3),§ 312.11(c)(3),sec_312.11,prov_312.11(c),(3),2,,"(3) A comparison of each provision of §§ 312.2 through 312.8, and 312.10 with the corresponding provisions of the guidelines; and",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(c)(4),§ 312.11(c)(4),sec_312.11,prov_312.11(c),(4),2,,(4) A statement explaining:,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(c)(4)(i),§ 312.11(c)(4)(i),sec_312.11,prov_312.11(c)(4),(i),3,,"(i) How the self-regulatory program guidelines, including the applicable assessment mechanisms, meet the requirements of this part; and",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(c)(4)(ii),§ 312.11(c)(4)(ii),sec_312.11,prov_312.11(c)(4),(ii),3,,(ii) How the assessment mechanisms and compliance consequences required under paragraphs (b)(2) and (b)(3) provide effective enforcement of the requirements of this part.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(d),§ 312.11(d),sec_312.11,,(d),1,Reporting and recordkeeping requirements,(d) Reporting and recordkeeping requirements. Approved safe harbor programs shall:,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(d)(1),§ 312.11(d)(1),sec_312.11,prov_312.11(d),(1),2,,"(1) By July 1, 2014, and annually thereafter, submit a report to the Commission containing, at a minimum, an aggregated summary of the results of the independent assessments conducted under paragraph (b)(2) of this section, a description of any disciplinary action taken against any subject operator under paragraph (b)(3) of this section, and a description of any approvals of member operators’ use of a parental consent mechanism, pursuant to § 312.5(b)(4);",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(d)(2),§ 312.11(d)(2),sec_312.11,prov_312.11(d),(2),2,,(2) Promptly respond to Commission requests for additional information; and,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(d)(3),§ 312.11(d)(3),sec_312.11,prov_312.11(d),(3),2,,"(3) Maintain for a period not less than three years, and upon request make available to the Commission for inspection and copying:",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(d)(3)(i),§ 312.11(d)(3)(i),sec_312.11,prov_312.11(d)(3),(i),3,,(i) Consumer complaints alleging violations of the guidelines by subject operators;,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(d)(3)(ii),§ 312.11(d)(3)(ii),sec_312.11,prov_312.11(d)(3),(ii),3,,(ii) Records of disciplinary actions taken against subject operators; and,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(d)(3)(iii),§ 312.11(d)(3)(iii),sec_312.11,prov_312.11(d)(3),(iii),3,,(iii) Results of the independent assessments of subject operators’ compliance required under paragraph (b)(2) of this section.,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.11(e),§ 312.11(e),sec_312.11,,(e),1,Post-approval modifications to self-regulatory program guidelines,(e) Post-approval modifications to self-regulatory program guidelines. Approved safe harbor programs must submit proposed changes to their guidelines for review and approval by the Commission in the manner required for initial approval of guidelines under paragraph (c)(2) of this section. The statement required under paragraph (c)(4) of this section must describe how the proposed changes affect existing provisions of the guidelines.,KB 2/USA/Children's Online Privacy Protection Act.pdf
