definitionelement_id,definition_id,label,parent_element_id,text,citation,source_document
def_support_for_the_internal_operations_of_the_web_site_or_onlin1_vi,def_support_for_the_internal_operations_of_the_web_site_or_onlin,(1)(vi),def_support_for_the_internal_operations_of_the_web_site_or_onlin1,(vi) Ensure legal or regulatory compliance; or,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_support_for_the_internal_operations_of_the_web_site_or_onlin1_vii,def_support_for_the_internal_operations_of_the_web_site_or_onlin,(1)(vii),def_support_for_the_internal_operations_of_the_web_site_or_onlin1,(vii) Fulfill a request of a child as permitted by § 312.5(c)(3) and (4);,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_support_for_the_internal_operations_of_the_web_site_or_onlin2,def_support_for_the_internal_operations_of_the_web_site_or_onlin,(2),,"(2) So long as The information collected for the activities listed in paragraphs (1)(i)–(vii) of this definition is not used or disclosed to contact a specific individual, including through behavioral advertising, to amass a ###PAGEBREAK### profile on a specific individual, or for any other purpose.",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_third_party1,def_third_party,(1),,(1) An operator with respect to the collection or maintenance of personal information on the Web site or online service; or,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_third_party2,def_third_party,(2),,(2) A person who provides support for the internal operations of the Web site or online service and who does not use or disclose information protected under this part for any other purpose.,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_web_site_or_online_service_directed_to_children1,def_web_site_or_online_service_directed_to_children,(1),,"(1) In determining whether a Web site or online service, or a portion thereof, is directed to children, the Commission will consider its subject matter, visual content, use of animated characters or child-oriented activities and incentives, music or other audio content, age of models, presence of child celebrities or celebrities who appeal to children, language or other characteristics of the Web site or online service, as well as whether advertising promoting or appearing on the Web site or online service is directed to children. The Commission will also consider competent and reliable empirical evidence regarding audience composition, and evidence regarding the intended audience.",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_web_site_or_online_service_directed_to_children2,def_web_site_or_online_service_directed_to_children,(2),,(2) A Web site or online service shall be deemed directed to children when it has actual knowledge that it is collecting personal information directly from users of another Web site or online service directed to children.,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_web_site_or_online_service_directed_to_children3,def_web_site_or_online_service_directed_to_children,(3),,"(3) A Web site or online service that is directed to children under the criteria set forth in paragraph (1) of this definition, but that does not target children as its primary audience, shall not be deemed directed to children if it:",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_web_site_or_online_service_directed_to_children3_i,def_web_site_or_online_service_directed_to_children,(3)(i),def_web_site_or_online_service_directed_to_children3,(i) Does not collect personal information from any visitor prior to collecting age information; and,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_web_site_or_online_service_directed_to_children3_ii,def_web_site_or_online_service_directed_to_children,(3)(ii),def_web_site_or_online_service_directed_to_children3,"(ii) Prevents the collection, use, or disclosure of personal information from visitors who identify themselves as under age 13 without first complying with the notice and parental consent provisions of this part.",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_web_site_or_online_service_directed_to_children4,def_web_site_or_online_service_directed_to_children,(4),,"(4) A Web site or online service shall not be deemed directed to children solely because it refers or links to a commercial Web site or online service directed to children by using information location tools, including a directory, index, reference, pointer, or hypertext link.",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
