clause_id,clause_ref,article_id,article_number,marker,kind,level,parent_clause_id,text,source_document
CL_11_b,11(b),ART_11,11,b,alpha,1,,"Processing is necessary for the purpose of carrying out the obligations and exercising the specific rights of a Controller or a Data Subject in the context of the Data Subject's employment, including but not limited to recruitment, visa or work permit processing, the performance of an employment contract, termination of employment, the conduct of proceedings relating to employment and the administration of a pension, retirement or employee money purchase benefit scheme;",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_c,11(c),ART_11,11,c,alpha,1,,"Processing is necessary to protect the vital interests of a Data Subject or of another natural person, where the Data Subject is physically or legally incapable of giving consent;",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_d,11(d),ART_11,11,d,alpha,1,,"Processing is carried out by a foundation, association or any other non-profit-seeking body in the course of its legitimate activities, subject to appropriate assurances and provided that the Processing relates: and the Personal Data is not disclosed to a Third Party without the consent of a Data Subject;",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_d_i,11(d)(i),ART_11,11,i,roman,2,CL_11_d,solely to the members or former members of such an entity; or,KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_d_ii,11(d)(ii),ART_11,11,ii,roman,2,CL_11_d,"to other persons who have regular contact with such a body in connection with its purpose,",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_e,11(e),ART_11,11,e,alpha,1,,Processing relates to Personal Data that has been made public by a Data Subject;,KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_f,11(f),ART_11,11,f,alpha,1,,"Processing is necessary for the establishment, exercise or defence of legal claims (including, without limitation, arbitration and other structured and commonly recognised alternative dispute resolution procedures, such as mediation) or is performed by the Court acting in its judicial capacity;",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_g,11(g),ART_11,11,g,alpha,1,,"Processing is necessary for compliance with a specific requirement of Applicable Law to which a Controller is subject, and in such circumstances the Controller must provide a Data Subject with clear notice of such Processing as soon as reasonably practicable unless the obligation in question prohibits such notice being given;",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_h,11(h),ART_11,11,h,alpha,1,,"Processing is necessary to comply with Applicable Law that applies to a Controller in relation to anti-money laundering or counter-terrorist financing obligations or the prevention, detection or prosecution of any crime;",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_i,11(i),ART_11,11,i,alpha,1,,"Processing is required for the purposes of preventive or occupational medicine, the assessment of the working capacity of an employee, medical diagnosis, the provision of health or social care or the treatment or the management of health or social care systems and services, provided that the Personal Data is processed by or under the responsibility of a health professional subject to an obligation of professional secrecy under Applicable Law or by another person also subject to an obligation of secrecy under Applicable Law;",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_i_j,11(i)(j),ART_11,11,j,alpha,2,CL_11_i,"Processing is required for protecting members of the public against dishonesty, malpractice, incompetence or other improper conduct of persons providing banking, insurance, investment, management consultancy, information technology services, accounting or other services or commercial activities (either in person or indirectly by means of outsourcing), including any resulting financial loss; or",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_i_k,11(i)(k),ART_11,11,k,alpha,2,CL_11_i,"Processing is proportional and necessary to protect a Data Subject from potential bias or inaccurate decision making, where such risk would be increased regardless of whether Special Category Personal Data is Processed.",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_i_l,11(i)(l),ART_11,11,l,alpha,2,CL_11_i,"Processing is necessary for Substantial Public Interest reasons that are proportionate to the aim(s) pursued, respect the principles of data protection and provide for suitable and specific measures to safeguard the rights of the Data Subject.",KB 2/UAE/DIFC Data Protection Law.pdf
